preds
WASF1
['NCKAP1', 'ABI2', 'GNG12']
preds
APC
['GSN', 'CDC42', 'RHOA']
preds
ABI2
['NCKAP1', 'WASF1', 'ARHGEF6']
preds
NCKAP1
['ABI2', 'GNG12', 'WASF1']
preds
BAIAP2
['PTK2', 'CDC42', 'RHOA']
preds
GIT1
['RHOA', 'CDC42', 'PTK2']
preds
CDC42
['RHOA', 'FN1', 'APC']
preds
RHOA
['CDC42', 'SLC9A1', 'PTK2']
preds
ARHGEF6
['ABI2', 'NCKAP1', 'GNG12']
preds
GNG12
['BCAR1', 'NCKAP1', 'ARHGEF6']
preds
CRK
['WASF2', 'RHOA', 'PTK2']
preds
BCAR1
['GNG12', 'BAIAP2', 'GIT1']
preds
PTK2
['ENAH', 'RHOA', 'CRK']
preds
FN1
['RHOA', 'CDC42', 'WASF1']
gen	nevals	avg    	std    	min     	max    
0  	24    	8.57318	6.18139	0.329793	20.8918
1  	24    	7.03513	5.25701	0.21664 	20.8918
2  	24    	6.49815	4.80952	0.239687	20.8918
3  	24    	5.92064	4.14193	0.239687	20.8918
4  	24    	5.39137	3.46061	0.00166661	20.8918
5  	24    	5.03182	2.94187	0.279232  	19.7118
6  	24    	4.86413	2.7257 	0.279232  	13.4565
7  	24    	4.7812 	2.622  	0.279232  	13.1938
8  	24    	4.71043	2.49305	0.187947  	11.8176
9  	24    	4.65684	2.42156	0.187947  	11.8176
10 	24    	4.61519	2.36038	0.279232  	11.6722
11 	24    	4.58415	2.37188	0.279232  	11.6722
12 	24    	4.51496	2.34661	0.29261   	11.6587
13 	24    	4.47184	2.39731	0.236226  	12.5437
14 	24    	4.44598	2.42039	0.236226  	11.6587
15 	24    	4.43624	2.43103	0.236226  	11.6061
16 	24    	4.42683	2.37106	0.236226  	11.594 
17 	24    	4.40338	2.22331	0.236226  	11.5641
18 	24    	4.36693	2.04618	0.236226  	10.6636
19 	24    	4.32629	2.0177 	0.147182  	11.1809
20 	24    	4.30642	2.01451	0.322789  	7.88006
21 	24    	4.29845	2.02685	0.322789  	7.8785 
22 	24    	4.29174	2.05221	0.322438  	7.89532
23 	24    	4.27463	2.11986	0.322801  	7.89532
24 	24    	4.26392	2.14335	0.322518  	7.89009
25 	24    	4.25784	2.14236	0.322518  	7.8785 
26 	24    	4.24899	2.14117	0.322518  	7.46481
27 	24    	4.24888	2.14125	0.322801  	7.46481
28 	24    	4.24866	2.14122	0.322702  	7.46481
29 	24    	4.24229	2.13996	0.322702  	7.46481
30 	24    	4.2422 	2.14003	0.322702  	7.46481
31 	24    	4.24215	2.14006	0.322702  	7.46481
32 	24    	4.23586	2.13878	0.322702  	7.46481
33 	24    	4.19824	2.13061	0.322702  	7.46481
34 	24    	4.14813	2.11853	0.322746  	7.46481
35 	24    	4.09695	2.10229	0.322746  	7.46481
36 	24    	4.09442	2.09644	0.322714  	7.46481
37 	24    	4.09214	2.09052	0.322714  	7.46481
38 	24    	4.08559	2.07254	0.323305  	7.46481
39 	24    	4.07919	2.05442	0.322931  	7.46481
40 	24    	4.06951	2.03789	0.15071   	7.46481
41 	24    	4.06795	2.03951	0.136649  	7.46481
42 	24    	4.06607	2.04434	0.136649  	7.46481
43 	24    	4.05932	2.05754	0.134252  	7.46481
