preds
WASF1
['ABI2', 'GNG12', 'GIT1']
preds
APC
['PTK2', 'RHOA', 'BAIAP2']
preds
ABI2
['SRC', 'BCAR1', 'GNG12']
preds
NCKAP1
['BCAR1', 'ARHGEF6', 'DIAPH3']
preds
BAIAP2
['PTK2', 'CDC42', 'RHOA']
preds
GIT1
['RHOA', 'CDC42', 'PTK2']
preds
CDC42
['RHOA', 'PTK2', 'CRK']
preds
RHOA
['CDC42', 'SLC9A1', 'PTK2']
preds
ARHGEF6
['BCAR1', 'ABI2', 'NCKAP1']
preds
GNG12
['ABI2', 'WASF1', 'GIT1']
preds
CRK
['RHOA', 'CDC42', 'FN1']
preds
BCAR1
['NCKAP1', 'ABI2', 'ARHGEF6']
preds
PTK2
['RHOA', 'CDC42', 'APC']
preds
FN1
['CRK', 'RHOA', 'PTK2']
gen	nevals	avg    	std    	min      	max    
0  	24    	7.41898	5.11385	0.0570239	20.8918
1  	24    	6.37684	4.4859 	0.165045 	20.8918
2  	24    	5.86975	3.94933	0.228444 	20.1086
3  	24    	5.65983	3.69258	0.179188 	20.1083
4  	24    	5.43011	3.51383	0.424367 	20.1083
5  	24    	5.10592	3.12157	0.424367 	19.0436
6  	24    	4.95323	2.86617	0.195729 	16.0131
7  	24    	4.87517	2.72004	0.195729 	16.0082
8  	24    	4.76225	2.65649	0.195729 	16.048 
9  	24    	4.57304	2.18969	0.195729 	16     
10 	24    	4.44789	2.05403	0.199396 	11.3875
11 	24    	4.32335	1.98524	0.138131 	9.21175
12 	24    	4.31516	1.98244	0.138131 	8.02485
13 	24    	4.31356	1.97383	0.138131 	8.02137
14 	24    	4.31088	1.95862	0.138131 	8.02378
15 	24    	4.30346	1.90373	0.138131 	8.02137
16 	24    	4.29522	1.83998	0.138131 	8.02137
17 	24    	4.2892 	1.79877	0.138131 	7.19986
18 	24    	4.2884 	1.79852	0.138131 	7.20294
19 	24    	4.28827	1.79809	0.138131 	7.19253
20 	24    	4.28773	1.7973 	0.138131 	7.17274
21 	24    	4.28751	1.79687	0.138131 	7.17274
22 	24    	4.28737	1.7973 	0.138131 	7.17302
23 	24    	4.28734	1.79717	0.138131 	7.17274
24 	24    	4.28724	1.79717	0.138131 	7.17274
25 	24    	4.28721	1.7971 	0.138131 	7.17274
26 	24    	4.28705	1.79685	0.138131 	7.17411
27 	24    	4.28688	1.79674	0.140789 	7.17411
28 	24    	4.28686	1.79668	0.140789 	7.17411
29 	24    	4.28686	1.79668	0.140789 	7.17411
30 	24    	4.28677	1.79659	0.140789 	7.17411
31 	24    	4.28676	1.79671	0.140789 	7.17411
32 	24    	4.28668	1.79659	0.140789 	7.17411
33 	24    	4.28668	1.79659	0.140789 	7.17411
34 	24    	4.28665	1.79661	0.13993  	7.17411
35 	24    	4.28665	1.79661	0.13993  	7.17411
36 	24    	4.28665	1.79661	0.13993  	7.17411
37 	24    	4.28367	1.8032 	0.13993  	7.18013
38 	24    	4.28367	1.8032 	0.13993  	7.18013
39 	24    	4.28364	1.80315	0.13993  	7.18013
40 	24    	4.28364	1.80315	0.13993  	7.18013
41 	24    	4.27753	1.81632	0.138949 	7.18013
42 	24    	4.27279	1.82369	0.0393694	7.33674
43 	24    	4.25757	1.85564	0.0393694	7.33674
44 	24    	4.22115	1.92629	0.0389577	7.3788 
45 	24    	4.2109 	1.94683	0.0386416	7.32439
46 	24    	4.2102 	1.94641	0.0386416	7.32439
47 	24    	4.20609	1.94554	0.0386416	7.37264
48 	24    	4.20199	1.94491	0.0380823	7.39425
49 	24    	4.19387	1.94285	0.0380823	7.39425
50 	24    	4.17428	1.93895	0.0380823	7.3954 
51 	24    	4.16416	1.93674	0.0378889	7.3954 
52 	24    	4.16354	1.93615	0.0375881	7.3829 
53 	24    	4.16302	1.93569	0.0375881	7.37674
54 	24    	4.16274	1.93548	0.0375881	7.36899
55 	24    	4.1626 	1.93539	0.0375039	7.35555
56 	24    	4.16254	1.93532	0.0375039	7.35555
57 	24    	4.16243	1.93516	0.0375039	7.35555
58 	24    	4.16235	1.93522	0.0375039	7.35555
59 	24    	4.16235	1.93522	0.0375039	7.35555
60 	24    	4.16234	1.93524	0.0375039	7.35555
61 	24    	4.16229	1.93509	0.0375039	7.35031
62 	24    	4.16221	1.93492	0.0375881	7.35031
63 	24    	4.16221	1.93492	0.0375881	7.35031
64 	24    	4.16175	1.93025	0.0375881	7.35031
65 	24    	4.15965	1.93089	0.0375881	7.35031
66 	24    	4.15829	1.93072	0.0375881	7.35511
67 	24    	4.15642	1.92588	0.0375881	7.37758
68 	24    	4.15393	1.92203	0.0347546	7.37758
69 	24    	4.14348	1.91556	0.0319245	7.37758
70 	24    	4.13158	1.89834	0.0319245	7.37758
71 	24    	4.1176 	1.9258 	0.0319245	7.36776
72 	24    	4.11082	1.95321	0.0318649	6.88379
73 	24    	4.10904	1.95273	0.0314751	6.88379
74 	24    	4.10325	1.95146	0.0314751	6.88379
75 	24    	4.10045	1.95093	0.0314751	6.88379
76 	24    	4.09165	1.94913	0.0312182	6.87975
77 	24    	4.07941	1.94681	0.0312182	6.8883 
78 	24    	4.0787 	1.94709	0.0310596	6.8883 
79 	24    	4.07852	1.94707	0.0332424	6.8883 
80 	24    	4.07847	1.94716	0.0332424	6.8883 
81 	24    	4.07844	1.94704	0.0332424	6.8883 
82 	24    	4.07831	1.9472 	0.0324001	6.8883 
83 	24    	4.07831	1.9472 	0.0324001	6.8883 
84 	24    	4.07828	1.94727	0.0324001	6.8883 
85 	24    	4.07817	1.94733	0.0315866	6.8883 
86 	24    	4.07808	1.94727	0.0315866	6.88418
87 	24    	4.07802	1.94726	0.0315866	6.88418
88 	24    	4.07797	1.94714	0.0315866	6.88418
89 	24    	4.07795	1.94709	0.0315866	6.88418
90 	24    	4.07465	1.93733	0.0315866	6.88418
91 	24    	4.0697 	1.92246	0.0312087	6.88418
92 	24    	4.06274	1.90117	0.0309029	6.94784
93 	24    	4.05251	1.86918	0.0309029	6.95454
94 	24    	4.0372 	1.82204	0.0312087	6.46078
95 	24    	4.0362 	1.82084	0.0312087	6.47501
96 	24    	4.03375	1.81955	0.0316582	6.63128
97 	24    	4.03287	1.81561	0.0316582	6.63128
98 	24    	4.02893	1.80756	0.0317176	6.63128
99 	24    	4.02201	1.79523	0.0422267	6.63128
100	24    	4.02079	1.80351	0.0429387	6.66058
101	24    	4.01999	1.80885	0.0440269	6.66058
102	24    	4.01897	1.82265	0.0449682	6.66058
103	24    	4.01768	1.83612	0.0452531	6.66947
104	24    	4.01601	1.8499 	0.0472681	6.66947
105	24    	4.01487	1.85226	0.0509527	6.66947
106	24    	4.01288	1.85196	0.0509527	6.66947
107	24    	4.00999	1.84254	0.048533 	6.67178
108	24    	4.00769	1.83516	0.048533 	6.66975
109	24    	4.00151	1.82506	0.048533 	6.66349
110	24    	3.99697	1.80541	0.0480467	6.66429
111	24    	3.98406	1.83092	0.0480467	6.67399
112	24    	3.97268	1.85405	0.0992382	6.66519
113	24    	3.97211	1.85483	0.0992382	6.6645 
114	24    	3.96996	1.85517	0.0994336	6.6645 
115	24    	3.96517	1.85468	0.0994336	6.6645 
116	24    	3.96241	1.85364	0.0994336	6.66381
117	24    	3.95947	1.85316	0.0994336	6.66991
118	24    	3.9514 	1.85218	0.0994336	6.66381
119	24    	3.94599	1.84913	0.0995436	6.66323
120	24    	3.92961	1.8418 	0.0995436	6.66323
--- 8821.047432661057 seconds ---
ran GA
