preds
WASF1
['NCKAP1', 'ABI2', 'GNG12']
preds
APC
['RHOA', 'GIT1', 'WASF1']
preds
ABI2
['NCKAP1', 'WASF1', 'GIT1']
preds
NCKAP1
['ABI2', 'GNG12', 'WASF1']
preds
BAIAP2
['PTK2', 'CDC42', 'RHOA']
preds
GIT1
['RHOA', 'CRK', 'APC']
preds
CDC42
['RHOA', 'PTK2', 'CRK']
preds
RHOA
['CDC42', 'WASF2', 'PTK2']
preds
ARHGEF6
['BCAR1', 'GNG12', 'GIT1']
preds
GNG12
['NCKAP1', 'ARHGEF6', 'WASF1']
preds
CRK
['RHOA', 'CDC42', 'GIT1']
preds
BCAR1
['SRC', 'ARHGEF6', 'DIAPH3']
preds
PTK2
['RHOA', 'CDC42', 'BAIAP2']
preds
FN1
['RHOA', 'GIT1', 'WASF1']
gen	nevals	avg    	std    	min      	max    
0  	24    	6.75057	4.69874	0.0938528	20.1086
1  	24    	6.14073	4.19407	0.0938528	19.7118
2  	24    	5.73246	3.70987	0.0936996	18.1385
3  	24    	5.12691	3.14254	0.0936996	18.1385
4  	24    	4.70428	2.64369	0.0938209	17.9014
5  	24    	4.54507	2.53101	0.0938209	11.8176
6  	24    	4.39284	2.42943	0.0658196	11.6116
7  	24    	4.25949	2.32731	0.0658196	12.0566
8  	24    	4.13961	2.19558	0.216998 	9.88896
9  	24    	4.03917	2.12118	0.216998 	9.88524
10 	24    	3.98779	2.1219 	0.216998 	9.88524
11 	24    	3.93005	2.15265	0.0940567	10.9113
12 	24    	3.88604	2.09724	0.185405 	8.30704
13 	24    	3.85534	2.05382	0.215754 	7.82202
14 	24    	3.83946	2.05108	0.217462 	7.82202
15 	24    	3.83396	2.07549	0.217197 	7.80725
16 	24    	3.8273 	2.072  	0.217462 	7.80135
17 	24    	3.81959	2.05818	0.217151 	7.79051
18 	24    	3.80928	2.02187	0.217151 	7.79051
19 	24    	3.78309	1.94376	0.218988 	7.79051
20 	24    	3.73229	1.9247 	0.218988 	7.79242
21 	24    	3.66975	1.91799	0.218988 	7.82472
22 	24    	3.64111	1.8542 	0.218945 	7.22292
23 	24    	3.62072	1.87722	0.217233 	7.00006
24 	24    	3.61405	1.89964	0.217233 	6.61104
25 	24    	3.61077	1.90243	0.215815 	6.61007
26 	24    	3.60616	1.90659	0.215815 	6.61141
27 	24    	3.59732	1.91502	0.216718 	6.5949 
28 	24    	3.59638	1.91528	0.102386 	6.9804 
29 	24    	3.5949 	1.91404	0.102386 	6.9804 
30 	24    	3.59186	1.9105 	0.102386 	6.98202
31 	24    	3.58979	1.90892	0.100482 	6.98577
32 	24    	3.58799	1.90835	0.0972643	7.00397
33 	24    	3.57998	1.90377	0.095966 	7.00397
34 	24    	3.57095	1.89135	0.100534 	7.00397
35 	24    	3.56226	1.89776	0.100534 	7.00397
36 	24    	3.56191	1.8991 	0.100534 	7.00397
37 	24    	3.55313	1.90678	0.100534 	6.99486
38 	24    	3.53168	1.91293	0.0982718	6.99482
39 	24    	3.52398	1.90268	0.0970418	6.99482
40 	24    	3.51527	1.9014 	0.126159 	6.86882
41 	24    	3.51477	1.90279	0.127092 	6.86882
42 	24    	3.51362	1.8957 	0.12823  	6.86882
43 	24    	3.51269	1.87481	0.129312 	6.8717 
44 	24    	3.51001	1.86244	0.154137 	6.87219
45 	24    	3.50947	1.86943	0.154137 	6.87219
46 	24    	3.50739	1.87903	0.154137 	6.87219
47 	24    	3.50071	1.91449	0.13363  	7.45861
48 	24    	3.49545	1.9411 	0.13363  	7.46636
49 	24    	3.48531	1.97295	0.13363  	7.46636
50 	24    	3.47527	2.01894	0.13363  	7.46909
51 	24    	3.47174	1.99407	0.148656 	7.4673 
52 	24    	3.46367	1.96667	0.15039  	7.46829
53 	24    	3.45408	2.032  	0.148157 	7.46829
54 	24    	3.4468 	2.0798 	0.15039  	7.46874
55 	24    	3.44593	2.08114	0.15039  	7.46998
56 	24    	3.44393	2.08581	0.1487   	7.46829
57 	24    	3.43978	2.08956	0.156357 	7.46982
58 	24    	3.4364 	2.08682	0.193197 	7.46982
59 	24    	3.43529	2.08589	0.193197 	7.46967
60 	24    	3.43151	2.0809 	0.193197 	7.46967
61 	24    	3.42822	2.0777 	0.193197 	7.46969
62 	24    	3.41943	2.06262	0.114828 	7.52248
63 	24    	3.40387	2.03153	0.103529 	7.52248
64 	24    	3.39444	2.01338	0.112658 	7.52248
65 	24    	3.39379	2.015  	0.112658 	7.52248
66 	24    	3.392  	2.01925	0.108803 	7.52297
67 	24    	3.39103	2.02406	0.108803 	7.52297
68 	24    	3.38895	2.02306	0.0677978	7.52248
69 	24    	3.38685	2.02141	0.0677978	7.52248
70 	24    	3.38188	2.01751	0.0674206	7.52947
71 	24    	3.37636	2.01373	0.0667422	7.52947
72 	24    	3.37577	2.01361	0.0662026	7.52947
73 	24    	3.37417	2.00886	0.0662026	7.52947
74 	24    	3.3703 	2.00036	0.0662026	7.52947
75 	24    	3.36595	1.99144	0.265929 	7.52947
76 	24    	3.36177	1.99013	0.264916 	7.5285 
77 	24    	3.3576 	1.98884	0.265673 	7.52458
78 	24    	3.35744	1.98873	0.265673 	7.52458
79 	24    	3.3565 	1.98793	0.266139 	7.52458
80 	24    	3.35637	1.98787	0.266139 	7.52458
81 	24    	3.35559	1.9872 	0.266139 	7.52458
82 	24    	3.35487	1.98639	0.266139 	7.52458
83 	24    	3.35214	1.98395	0.265894 	7.52458
84 	24    	3.3466 	1.97845	0.265894 	7.52458
85 	24    	3.34295	1.97457	0.265198 	7.52406
86 	24    	3.3328 	1.9648 	0.265198 	7.52406
87 	24    	3.32387	1.95751	0.2653   	7.52639
88 	24    	3.31346	1.95056	0.074414 	7.52328
89 	24    	3.30776	1.94585	0.074414 	7.52328
90 	24    	3.30601	1.94582	0.0687911	7.52328
91 	24    	3.30564	1.94517	0.0687911	7.52287
92 	24    	3.30338	1.94692	0.0666225	7.52287
93 	24    	3.30021	1.94889	0.0666225	7.52802
94 	24    	3.29689	1.9504 	0.066486 	7.52802
95 	24    	3.292  	1.95198	0.066486 	7.52802
96 	24    	3.2867 	1.95886	0.066486 	7.52802
97 	24    	3.28191	1.96349	0.066486 	7.52802
98 	24    	3.27765	1.96237	0.066486 	7.51981
99 	24    	3.27051	1.95947	0.066486 	7.53122
100	24    	3.26693	1.95794	0.066486 	7.53122
101	24    	3.25323	1.95267	0.066486 	7.53122
102	24    	3.23801	1.94651	0.0671139	7.53122
103	24    	3.2091 	1.94308	0.0672109	7.53122
104	24    	3.18982	1.93259	0.251965 	7.53122
105	24    	3.18902	1.9324 	0.251985 	7.53122
106	24    	3.18386	1.92998	0.251042 	7.52702
107	24    	3.18367	1.92973	0.251042 	7.52563
108	24    	3.17637	1.93514	0.251042 	7.52752
109	24    	3.17149	1.933  	0.251042 	7.52752
110	24    	3.17136	1.93309	0.251042 	7.52752
111	24    	3.15688	1.94393	0.251763 	7.52772
112	24    	3.11593	1.96813	0.251985 	7.53387
113	24    	3.08573	1.97775	0.0720221	7.55744
114	24    	3.03733	2.00619	0.256598 	7.53387
115	24    	3.02258	2.04856	0.256598 	7.53421
116	24    	3.02191	2.04849	0.256136 	7.53165
117	24    	3.02139	2.04837	0.25566  	7.53086
118	24    	3.02117	2.04845	0.25566  	7.53086
119	24    	3.02101	2.04854	0.25566  	7.53086
120	24    	3.02101	2.04854	0.25566  	7.53086
--- 8534.813281059265 seconds ---
ran GA
