preds
WASF1
['ARHGEF6', 'NCKAP1', 'ABI2']
preds
APC
['FN1', 'GIT1', 'BAIAP2']
preds
ABI2
['NCKAP1', 'BCAR1', 'WASF1']
preds
NCKAP1
['ABI2', 'BCAR1', 'GNG12']
preds
BAIAP2
['PTK2', 'CDC42', 'RHOA']
preds
GIT1
['RHOA', 'CDC42', 'PTK2']
preds
CDC42
['RHOA', 'PTK2', 'CRK']
preds
RHOA
['CDC42', 'WASF2', 'PTK2']
preds
ARHGEF6
['WASF1', 'BCAR1', 'GNG12']
preds
GNG12
['NCKAP1', 'ARHGEF6', 'GIT1']
preds
CRK
['RHOA', 'CDC42', 'PTK2']
preds
BCAR1
['NCKAP1', 'ABI2', 'ARHGEF6']
preds
PTK2
['RHOA', 'CDC42', 'CRK']
preds
FN1
['RHOA', 'CDC42', 'APC']
gen	nevals	avg    	std    	min       	max    
0  	24    	8.98777	6.13835	0.00273405	20.8918
1  	24    	7.90045	5.64832	0.0179152 	20.381 
2  	24    	7.44883	5.29432	0.0083876 	20.3416
3  	24    	7.17584	5.08701	0.0083876 	19.6564
4  	24    	6.80717	4.94267	0.0083876 	18.458 
5  	24    	6.55988	4.92657	0.0083876 	19.7118
6  	24    	6.38485	4.85259	0.0083876 	19.7118
7  	24    	6.17219	4.68732	0.00655977	19.7118
8  	24    	6.06163	4.53213	0.00655977	19.7118
9  	24    	5.77826	4.21047	0.0105489 	19.7118
10 	24    	5.57788	4.04669	0.00709272	18.0572
11 	24    	5.39638	4.07174	0.00690502	18.0572
12 	24    	5.24629	4.00073	0.00690502	18.0537
13 	24    	4.99014	3.93824	0.00690502	18.0502
14 	24    	4.7661 	3.64792	0.00690502	18.0502
15 	24    	4.55048	3.39715	0.216386  	15.6353
16 	24    	4.38912	3.20418	0.227894  	15.6394
17 	24    	4.23494	2.96657	0.263839  	12.9955
18 	24    	4.21126	2.93768	0.263076  	12.981 
19 	24    	4.20928	2.96818	0.265529  	13.0021
20 	24    	4.20541	3.01009	0.265529  	13.0021
21 	24    	4.19989	3.08969	0.265529  	13.0021
22 	24    	4.17649	3.1184 	0.264054  	13.006 
23 	24    	4.17135	3.12384	0.264054  	13.006 
24 	24    	4.12553	3.09873	0.264054  	13.006 
25 	24    	4.0775 	3.03602	0.264054  	12.9923
26 	24    	4.00432	2.88375	0.264054  	12.9822
27 	24    	3.8616 	2.55762	0.264529  	10.6228
28 	24    	3.83829	2.56383	0.265256  	10.6228
29 	24    	3.81004	2.57762	0.265256  	10.6228
30 	24    	3.7827 	2.57532	0.263886  	10.6228
31 	24    	3.75259	2.54863	0.26305   	10.6228
32 	24    	3.74584	2.5516 	0.26305   	10.6228
33 	24    	3.73788	2.54995	0.26305   	10.6127
34 	24    	3.72413	2.54473	0.101549  	10.6218
35 	24    	3.69644	2.53046	0.101549  	10.6218
36 	24    	3.66421	2.52344	0.0987497 	10.6253
37 	24    	3.65698	2.51872	0.0987497 	10.6068
38 	24    	3.65545	2.51454	0.0987497 	10.582 
39 	24    	3.65437	2.51126	0.0987497 	10.5858
40 	24    	3.65048	2.49877	0.0978312 	10.5981
41 	24    	3.64602	2.48379	0.0969522 	10.5981
42 	24    	3.63926	2.46195	0.0968516 	10.5862
43 	24    	3.63342	2.44575	0.0968516 	10.0459
44 	24    	3.63127	2.46317	0.0959884 	11.5813
45 	24    	3.63097	2.46261	0.0959884 	11.5813
46 	24    	3.62946	2.4809 	0.0945067 	11.6217
47 	24    	3.62916	2.48056	0.0945067 	11.6217
48 	24    	3.62667	2.53696	0.0945067 	11.6621
49 	24    	3.62214	2.66567	0.0945067 	11.6621
50 	24    	3.61725	2.82377	0.0945067 	11.6621
51 	24    	3.61492	2.87287	0.0945851 	11.6608
52 	24    	3.61406	2.87166	0.0948732 	11.6608
53 	24    	3.61171	2.86909	0.0948732 	11.6431
54 	24    	3.61142	2.86886	0.0948732 	11.6406
55 	24    	3.60887	2.8679 	0.0951326 	11.6524
56 	24    	3.60502	2.86732	0.09314   	11.6524
57 	24    	3.59943	2.86757	0.09314   	11.6754
58 	24    	3.58929	2.86756	0.09314   	11.6754
59 	24    	3.58385	2.86556	0.0939498 	11.6552
60 	24    	3.58266	2.86392	0.0938103 	11.6611
61 	24    	3.58236	2.86284	0.093132  	11.6392
62 	24    	3.58213	2.8621 	0.093132  	11.627 
63 	24    	3.58203	2.86216	0.093132  	11.6299
64 	24    	3.58196	2.86233	0.093132  	11.6299
65 	24    	3.58196	2.86233	0.093132  	11.6299
66 	24    	3.58196	2.86233	0.093132  	11.6299
67 	24    	3.58189	2.86191	0.093132  	11.6299
68 	24    	3.58157	2.86104	0.0938103 	11.6299
69 	24    	3.58153	2.86084	0.0938103 	11.6299
70 	24    	3.58151	2.86061	0.0938103 	11.6299
71 	24    	3.58139	2.86048	0.0938103 	11.6299
72 	24    	3.58112	2.85973	0.0938103 	11.6299
73 	24    	3.5811 	2.85986	0.0938103 	11.6299
74 	24    	3.5809 	2.85975	0.0938103 	11.6299
75 	24    	3.57892	2.86095	0.0938103 	11.6299
