slurmstepd: error: task/cgroup: unable to add task[pid=91232] to memory cg '(null)'
preds
WASF1
['NCKAP1', 'BCAR1', 'GNG12']
preds
APC
['CRK', 'CDC42', 'RHOA']
preds
ABI2
['NCKAP1', 'BCAR1', 'ARHGEF6']
preds
NCKAP1
['ABI2', 'BCAR1', 'WASF1']
preds
BAIAP2
['PTK2', 'CDC42', 'RHOA']
preds
GIT1
['RHOA', 'CRK', 'APC']
preds
CDC42
['RHOA', 'PTK2', 'VCL']
preds
RHOA
['CDC42', 'SLC9A1', 'PTK2']
preds
ARHGEF6
['ABI2', 'GNG12', 'GIT1']
preds
GNG12
['SRC', 'BCAR1', 'ARHGEF6']
preds
CRK
['CXCR4', 'RHOA', 'PTK2']
preds
BCAR1
['NCKAP1', 'ABI2', 'GNG12']
preds
PTK2
['RHOA', 'CDC42', 'CRK']
preds
FN1
['RHOA', 'BAIAP2', 'BCAR1']
gen	nevals	avg    	std   	min      	max    
0  	24    	8.26932	5.8298	0.0318087	20.8918
1  	24    	6.81005	4.97737	0.0318087	20.8918
2  	24    	6.41905	4.53411	0.290829 	20.8918
3  	24    	6.10498	4.31627	0.290829 	20.8918
4  	24    	5.70788	3.66965	0.387191 	20.0418
5  	24    	5.39631	3.23626	0.410065 	19.7118
6  	24    	5.13283	2.81265	0.329574 	18.1385
7  	24    	4.93533	2.67795	0.329574 	14.3437
8  	24    	4.85211	2.61099	1.03168  	10.0182
9  	24    	4.84359	2.61164	1.03587  	10.0165
10 	24    	4.83338	2.62696	1.03587  	10.0165
11 	24    	4.82488	2.63682	1.03663  	10.0165
12 	24    	4.79485	2.61858	1.03534  	10.0165
13 	24    	4.76715	2.60269	1.03368  	10.0165
14 	24    	4.72905	2.62398	1.03368  	17.7283
15 	24    	4.62353	2.56064	1.03368  	17.7283
16 	24    	4.50372	2.42626	1.04688  	10.0008
17 	24    	4.46913	2.36784	1.03097  	10.0055
18 	24    	4.39578	2.23656	1.03097  	9.95236
19 	24    	4.37362	2.19691	1.04161  	9.45134
20 	24    	4.36968	2.1944 	1.04346  	9.45134
21 	24    	4.36825	2.19413	1.03975  	9.41268
22 	24    	4.36157	2.193  	1.03937  	9.46129
23 	24    	4.35159	2.19555	1.03937  	9.5294 
24 	24    	4.34637	2.19007	1.03937  	9.4489 
25 	24    	4.32952	2.20382	0.24234  	10.3847
26 	24    	4.31398	2.21838	0.24234  	10.4057
27 	24    	4.31397	2.21832	0.24234  	10.4057
28 	24    	4.25497	2.29165	0.235227 	10.4887
29 	24    	4.15874	2.41007	0.226071 	10.4887
30 	24    	4.00789	2.57827	0.226071 	10.4574
31 	24    	4.00167	2.57559	0.226071 	10.4649
32 	24    	3.99623	2.57292	0.226071 	10.4649
33 	24    	3.98737	2.57057	0.227485 	10.4649
34 	24    	3.97037	2.5737 	0.227485 	10.4668
35 	24    	3.94727	2.57946	0.227485 	10.4756
36 	24    	3.92419	2.58419	0.229953 	10.4871
37 	24    	3.92065	2.57839	0.221488 	10.4442
38 	24    	3.91538	2.57333	0.221488 	10.6736
39 	24    	3.91514	2.57333	0.221488 	10.6736
40 	24    	3.91162	2.57048	0.221488 	10.6736
41 	24    	3.89556	2.56091	0.221488 	10.6824
42 	24    	3.87402	2.54974	0.221488 	10.6824
43 	24    	3.8451 	2.53564	0.437769 	10.6824
44 	24    	3.83677	2.5034 	0.437508 	10.6667
45 	24    	3.82992	2.47332	0.437508 	10.6667
46 	24    	3.80599	2.33394	0.433455 	10.6677
47 	24    	3.7818 	2.17963	0.440162 	10.644 
48 	24    	3.72863	1.83542	0.432744 	10.6194
49 	24    	3.69895	1.75071	0.431755 	7.12958
50 	24    	3.69746	1.74905	0.432744 	7.12958
51 	24    	3.69486	1.75361	0.432744 	7.12958
52 	24    	3.69181	1.74952	0.432744 	7.12958
53 	24    	3.68719	1.75945	0.432744 	7.12958
54 	24    	3.67918	1.76418	0.432744 	7.12958
55 	24    	3.67057	1.79398	0.429203 	7.12958
56 	24    	3.65837	1.8573 	0.439036 	7.12958
57 	24    	3.64888	1.87014	0.439778 	7.12958
58 	24    	3.63798	1.8561 	0.439778 	7.12958
59 	24    	3.62695	1.84333	0.439778 	7.12144
60 	24    	3.62645	1.84275	0.439778 	7.11936
61 	24    	3.61195	1.82464	0.439596 	7.11585
62 	24    	3.60559	1.81832	0.439596 	7.11585
63 	24    	3.58401	1.79253	0.436422 	7.11459
64 	24    	3.55692	1.7425 	0.438616 	7.08837
65 	24    	3.54935	1.73328	0.438616 	6.34918
66 	24    	3.53911	1.73013	0.440198 	6.34939
67 	24    	3.52478	1.71728	0.441091 	6.35665
68 	24    	3.5122 	1.71273	0.43199  	6.35521
69 	24    	3.51158	1.71233	0.43199  	6.35545
70 	24    	3.50994	1.70622	0.43199  	6.34939
71 	24    	3.50581	1.69828	0.441399 	6.34939
72 	24    	3.50487	1.69277	0.441993 	6.35571
73 	24    	3.50248	1.66935	0.441993 	6.35571
74 	24    	3.49572	1.65422	0.441993 	6.33888
75 	24    	3.49321	1.66121	0.439671 	6.33888
76 	24    	3.48362	1.68408	0.439671 	6.33888
77 	24    	3.47603	1.70871	0.438008 	6.34381
78 	24    	3.46772	1.71959	0.443986 	5.99877
79 	24    	3.46732	1.71907	0.443986 	5.9814 
80 	24    	3.46541	1.72167	0.432981 	6.33567
81 	24    	3.46035	1.71834	0.432981 	6.33567
82 	24    	3.4585 	1.71868	0.432981 	6.35113
83 	24    	3.44987	1.72626	0.43191  	6.35113
84 	24    	3.4429 	1.71446	0.43191  	5.98792
85 	24    	3.44227	1.71353	0.43191  	5.98344
86 	24    	3.44202	1.71318	0.443146 	5.97503
87 	24    	3.44159	1.71273	0.444393 	5.94906
88 	24    	3.44143	1.71254	0.444393 	5.95455
89 	24    	3.44142	1.71277	0.444393 	5.97818
90 	24    	3.44109	1.71232	0.444393 	5.95455
91 	24    	3.44096	1.71217	0.444393 	5.95455
92 	24    	3.44086	1.71223	0.444393 	5.95455
93 	24    	3.44085	1.71217	0.441584 	5.95455
94 	24    	3.44083	1.71228	0.441584 	5.95455
95 	24    	3.44071	1.71199	0.441584 	5.97212
96 	24    	3.44009	1.71127	0.439429 	5.95635
97 	24    	3.44   	1.71111	0.439429 	5.95635
98 	24    	3.43994	1.7109 	0.439429 	5.95635
99 	24    	3.43982	1.71059	0.439429 	5.95635
100	24    	3.43982	1.71059	0.439429 	5.95635
101	24    	3.43976	1.71072	0.439429 	5.95635
102	24    	3.43967	1.71058	0.439429 	5.95635
103	24    	3.43942	1.71016	0.439429 	5.95635
104	24    	3.43918	1.70983	0.439429 	5.95635
105	24    	3.43914	1.70974	0.439429 	5.95635
106	24    	3.43914	1.70974	0.439429 	5.95635
107	24    	3.43908	1.70952	0.439429 	5.95635
108	24    	3.43844	1.71208	0.360746 	5.95635
109	24    	3.4383 	1.71242	0.360746 	5.95635
110	24    	3.43824	1.71221	0.360746 	5.94979
111	24    	3.43762	1.71486	0.350053 	5.94979
112	24    	3.43717	1.71753	0.350053 	5.98998
113	24    	3.43498	1.72018	0.350053 	6.13515
114	24    	3.43346	1.7204 	0.350053 	6.13515
115	24    	3.43064	1.72571	0.347962 	6.13752
116	24    	3.42666	1.73154	0.347531 	6.13833
117	24    	3.42346	1.73523	0.316654 	6.13833
118	24    	3.4129 	1.74438	0.316654 	6.13989
119	24    	3.40652	1.72697	0.316654 	6.61457
120	24    	3.40026	1.72699	0.342834 	6.61457
--- 13047.896106481552 seconds ---
ran GA
