slurmstepd: error: task/cgroup: unable to add task[pid=91255] to memory cg '(null)'
preds
WASF1
['ARHGEF6', 'ABI2', 'BCAR1']
preds
APC
['RHOA', 'BAIAP2', 'WASF1']
preds
ABI2
['BCAR1', 'WASF1', 'ARHGEF6']
preds
NCKAP1
['BCAR1', 'GNG12', 'BAIAP2']
preds
BAIAP2
['PTK2', 'RHOA', 'ENAH']
preds
GIT1
['RHOA', 'CDC42', 'PTK2']
preds
CDC42
['RHOA', 'CRK', 'VCL']
preds
RHOA
['CDC42', 'SLC9A1', 'WASF2']
preds
ARHGEF6
['WASF1', 'ABI2', 'GIT1']
preds
GNG12
['NCKAP1', 'WASF1', 'GIT1']
preds
CRK
['RHOA', 'CDC42', 'GIT1']
preds
BCAR1
['NCKAP1', 'ABI2', 'WASF1']
preds
PTK2
['RHOA', 'GIT1', 'BAIAP2']
preds
FN1
['RHOA', 'BAIAP2', 'GNG12']
gen	nevals	avg    	std    	min     	max    
0  	24    	6.71932	4.97898	0.140515	20.8918
1  	24    	5.53849	3.75175	0.134063	20.8918
2  	24    	5.09685	2.98648	0.134063	20.8918
3  	24    	4.85809	2.61714	0.254175	14.669 
4  	24    	4.75655	2.40628	0.497235	13.7187
5  	24    	4.67756	2.43056	0.204434	13.841 
6  	24    	4.61038	2.51053	0.204434	13.988 
7  	24    	4.55138	2.42527	0.209614	13.8494
8  	24    	4.49547	2.352  	0.190926	13.8998
9  	24    	4.48359	2.35173	0.190926	13.8998
10 	24    	4.46759	2.3982 	0.190359	13.8998
11 	24    	4.44015	2.53391	0.188881	13.9186
12 	24    	4.41263	2.63344	0.188881	13.9186
13 	24    	4.39136	2.76639	0.188881	13.8855
14 	24    	4.38548	2.73962	0.188881	13.8855
15 	24    	4.37444	2.68314	0.188881	13.8855
16 	24    	4.35295	2.56767	0.188444	13.8855
17 	24    	4.31651	2.35464	0.188444	13.8573
18 	24    	4.27425	2.08091	0.486398	8.45699
19 	24    	4.27248	2.07773	0.486398	8.45699
20 	24    	4.27176	2.07757	0.486398	8.45699
21 	24    	4.27141	2.07719	0.486398	8.45699
22 	24    	4.27107	2.07688	0.486398	8.45699
23 	24    	4.27091	2.07694	0.486398	8.45699
24 	24    	4.26559	2.07527	0.474617	8.46228
25 	24    	4.26034	2.07335	0.474617	8.46732
26 	24    	4.2451 	2.06816	0.434235	8.47025
27 	24    	4.20974	2.05504	0.434235	8.47293
28 	24    	4.15305	2.03367	0.297176	8.47293
29 	24    	4.14643	2.03102	0.293716	8.47293
30 	24    	4.14377	2.03131	0.293539	8.47302
31 	24    	4.1383 	2.03112	0.280854	8.47293
32 	24    	4.12791	2.02999	0.280221	8.47032
33 	24    	4.10969	2.01837	0.278179	8.47032
34 	24    	4.09737	2.01291	0.278179	8.4157 
35 	24    	4.09637	2.0123 	0.278179	8.40707
36 	24    	4.08791	2.01009	0.278179	8.41296
37 	24    	4.07975	2.00959	0.278071	8.40613
38 	24    	4.06699	2.00945	0.277637	8.40613
39 	24    	4.02276	2.00135	0.280518	8.40737
40 	24    	4.00392	1.98768	0.348305	8.4145 
41 	24    	4.00191	1.98643	0.348258	8.4145 
