slurmstepd: error: task/cgroup: unable to add task[pid=91249] to memory cg '(null)'
preds
WASF1
['ARHGEF6', 'GNG12', 'GIT1']
preds
APC
['CDC42', 'RHOA', 'GIT1']
preds
ABI2
['NCKAP1', 'BCAR1', 'GNG12']
preds
NCKAP1
['ABI2', 'SRC', 'BCAR1']
preds
BAIAP2
['PTK2', 'CDC42', 'APC']
preds
GIT1
['RHOA', 'CRK', 'APC']
preds
CDC42
['RHOA', 'SLC9A1', 'APC']
preds
RHOA
['CDC42', 'PTK2', 'CXCR4']
preds
ARHGEF6
['WASF1', 'ABI2', 'GIT1']
preds
GNG12
['ABI2', 'BCAR1', 'WASF1']
preds
CRK
['RHOA', 'GIT1', 'BAIAP2']
preds
BCAR1
['NCKAP1', 'ABI2', 'GNG12']
preds
PTK2
['RHOA', 'BAIAP2', 'ARHGEF6']
preds
FN1
['RHOA', 'BAIAP2', 'WASF1']
gen	nevals	avg    	std    	min      	max    
0  	24    	7.02904	5.05725	0.0975719	20.8918
1  	24    	5.77364	3.95909	0.0939407	20.8918
2  	24    	5.26857	3.44782	0.0939459	19.6976
3  	24    	4.92246	3.14583	0.128322 	19.0436
4  	24    	4.52431	2.75437	0.128322 	17.9014
5  	24    	4.31295	2.42745	0.128322 	10.537 
6  	24    	4.25942	2.42997	0.128322 	10.2784
7  	24    	4.2167 	2.46466	0.128322 	10.2784
8  	24    	4.18469	2.57566	0.128322 	12.0051
9  	24    	4.1316 	2.61501	0.128322 	10.2784
10 	24    	4.09631	2.65804	0.128452 	10.2784
11 	24    	4.04718	2.74275	0.128489 	10.2784
12 	24    	3.99073	2.811  	0.151188 	10.2914
13 	24    	3.98033	2.8646 	0.151511 	10.2915
14 	24    	3.96759	2.81701	0.151511 	10.2601
15 	24    	3.93996	2.73202	0.151218 	10.2565
16 	24    	3.90253	2.59849	0.15163  	10.2461
17 	24    	3.86208	2.56896	0.151159 	9.93292
18 	24    	3.84983	2.61325	0.151159 	10.6771
19 	24    	3.83302	2.68741	0.151159 	10.6771
20 	24    	3.82902	2.68027	0.151159 	10.6771
21 	24    	3.81463	2.6596 	0.107087 	10.7023
22 	24    	3.79061	2.62874	0.107087 	10.7023
23 	24    	3.75479	2.58842	0.106785 	10.7023
24 	24    	3.73915	2.61808	0.10644  	10.7544
25 	24    	3.7025 	2.62103	0.107251 	10.7648
26 	24    	3.66497	2.55843	0.107251 	10.7648
27 	24    	3.5828 	2.42476	0.107752 	9.42973
28 	24    	3.50274	2.32753	0.107752 	9.06474
29 	24    	3.43968	2.26297	0.10767  	9.06451
30 	24    	3.437  	2.25257	0.107192 	9.06451
31 	24    	3.43459	2.24434	0.106974 	9.0633 
32 	24    	3.43275	2.23417	0.106463 	9.0633 
33 	24    	3.42765	2.22031	0.106534 	9.06587
34 	24    	3.42662	2.21945	0.105878 	9.06587
35 	24    	3.42122	2.20733	0.106129 	9.06587
36 	24    	3.42117	2.20746	0.105915 	9.06587
37 	24    	3.41146	2.18365	0.105915 	9.06587
38 	24    	3.39703	2.1475 	0.106129 	9.06587
39 	24    	3.37789	2.09815	0.106129 	9.06587
40 	24    	3.33066	1.96934	0.105748 	9.06587
41 	24    	3.31068	1.91391	0.105748 	7.03328
42 	24    	3.31008	1.91315	0.105748 	7.01319
43 	24    	3.30986	1.91313	0.105748 	7.01319
44 	24    	3.30963	1.91362	0.105748 	7.01905
45 	24    	3.30933	1.91341	0.105748 	7.01905
46 	24    	3.30868	1.91327	0.105748 	7.01829
47 	24    	3.30819	1.9135 	0.105748 	7.01829
48 	24    	3.30806	1.91381	0.105748 	7.01978
49 	24    	3.30786	1.91399	0.106095 	7.01978
50 	24    	3.30729	1.91357	0.105943 	7.01361
51 	24    	3.3071 	1.91396	0.105943 	7.01361
52 	24    	3.3066 	1.91388	0.105943 	7.01045
53 	24    	3.30644	1.91369	0.105506 	7.00719
54 	24    	3.30639	1.91357	0.105506 	7.00719
55 	24    	3.30629	1.91355	0.105506 	7.00719
56 	24    	3.30616	1.91376	0.105506 	7.01316
57 	24    	3.30616	1.91376	0.105506 	7.01316
58 	24    	3.30587	1.91378	0.105506 	7.01316
59 	24    	3.30486	1.91359	0.105506 	7.00719
60 	24    	3.30335	1.91341	0.105506 	7.00887
61 	24    	3.30136	1.91465	0.105506 	7.02149
62 	24    	3.30014	1.91592	0.106018 	7.03348
63 	24    	3.29962	1.91444	0.106018 	7.03128
64 	24    	3.29852	1.91688	0.106018 	7.33164
65 	24    	3.29833	1.91764	0.106018 	7.33164
66 	24    	3.29695	1.92316	0.106018 	7.33964
67 	24    	3.29625	1.92598	0.106018 	7.35015
68 	24    	3.29354	1.94006	0.106018 	7.36929
69 	24    	3.29066	1.95389	0.107083 	7.36929
70 	24    	3.28581	1.98216	0.152114 	7.36929
71 	24    	3.28468	1.98143	0.152126 	7.35499
72 	24    	3.28442	1.98151	0.152126 	7.35397
73 	24    	3.28427	1.98139	0.152126 	7.35397
74 	24    	3.2838 	1.98103	0.151882 	7.36455
75 	24    	3.28374	1.98144	0.151882 	7.36455
76 	24    	3.28366	1.98143	0.151882 	7.36455
77 	24    	3.28362	1.98159	0.151882 	7.36455
78 	24    	3.28344	1.98145	0.151882 	7.36455
79 	24    	3.28337	1.98135	0.151882 	7.36455
80 	24    	3.28326	1.98116	0.151762 	7.36455
81 	24    	3.28326	1.98116	0.151762 	7.36455
82 	24    	3.28309	1.98096	0.151762 	7.36455
83 	24    	3.28299	1.98088	0.151762 	7.36558
84 	24    	3.28298	1.98086	0.151762 	7.36558
85 	24    	3.28293	1.98083	0.151762 	7.36558
86 	24    	3.28288	1.98035	0.151762 	7.36455
87 	24    	3.28238	1.98013	0.151762 	7.36455
88 	24    	3.28132	1.97946	0.151762 	7.36455
89 	24    	3.2803 	1.97889	0.151762 	7.36455
90 	24    	3.2803 	1.97889	0.151762 	7.36455
91 	24    	3.27997	1.97867	0.151005 	7.35248
92 	24    	3.27898	1.97816	0.151005 	7.36494
93 	24    	3.27606	1.97691	0.151005 	7.36494
94 	24    	3.27403	1.97606	0.151005 	7.36494
95 	24    	3.26809	1.97314	0.151464 	7.36494
96 	24    	3.26035	1.96916	0.150989 	7.36926
97 	24    	3.2514 	1.96265	0.150989 	7.36494
98 	24    	3.24587	1.95975	0.151464 	7.3935 
99 	24    	3.23904	1.95635	0.151464 	7.3935 
100	24    	3.2306 	1.9525 	0.150674 	7.40681
101	24    	3.22708	1.95205	0.150674 	7.40681
102	24    	3.22133	1.9529 	0.150674 	7.40908
103	24    	3.21851	1.95261	0.151468 	7.3935 
104	24    	3.21825	1.95259	0.151468 	7.3935 
105	24    	3.21736	1.95198	0.151468 	7.39933
106	24    	3.21711	1.95165	0.151468 	7.39933
107	24    	3.21701	1.95163	0.150756 	7.39933
108	24    	3.21685	1.95153	0.150756 	7.39933
109	24    	3.21681	1.95144	0.150756 	7.38432
110	24    	3.21669	1.95142	0.150756 	7.38432
111	24    	3.21669	1.95142	0.150756 	7.38432
112	24    	3.21648	1.95083	0.150701 	7.38202
113	24    	3.21641	1.95062	0.150629 	7.38202
114	24    	3.21617	1.95105	0.150629 	7.38623
115	24    	3.21617	1.95113	0.150629 	7.38623
116	24    	3.21591	1.95123	0.150629 	7.38623
117	24    	3.21569	1.95139	0.150629 	7.38623
118	24    	3.21521	1.95248	0.150756 	7.39421
119	24    	3.21486	1.95283	0.150756 	7.39421
120	24    	3.21467	1.95366	0.150827 	7.39421
--- 13199.672446489334 seconds ---
ran GA
