slurmstepd: error: task/cgroup: unable to add task[pid=91252] to memory cg '(null)'
preds
WASF1
['ARHGEF6', 'NCKAP1', 'BCAR1']
preds
APC
['CRK', 'PTK2', 'RHOA']
preds
ABI2
['NCKAP1', 'GNG12', 'GIT1']
preds
NCKAP1
['ABI2', 'BCAR1', 'GNG12']
preds
BAIAP2
['PTK2', 'CDC42', 'RHOA']
preds
GIT1
['RHOA', 'CDC42', 'CXCR4']
preds
CDC42
['RHOA', 'PTK2', 'FN1']
preds
RHOA
['CDC42', 'SLC9A1', 'PTK2']
preds
ARHGEF6
['WASF1', 'NCKAP1', 'GIT1']
preds
GNG12
['ABI2', 'BCAR1', 'NCKAP1']
preds
CRK
['RHOA', 'APC', 'WASF1']
preds
BCAR1
['NCKAP1', 'GNG12', 'WASF1']
preds
PTK2
['RHOA', 'CDC42', 'APC']
preds
FN1
['RHOA', 'CDC42', 'BAIAP2']
gen	nevals	avg    	std    	min      	max    
0  	24    	8.58613	6.04024	0.0466597	20.8918
1  	24    	7.4752 	5.47785	0.0446403	20.8918
2  	24    	6.18393	4.68713	0.0428004	20.8918
3  	24    	5.38874	4.11137	0.0428004	19.0436
4  	24    	4.97278	4.01784	0.174367 	19.0436
5  	24    	4.72696	3.98073	0.171189 	20.8918
6  	24    	4.49921	3.76049	0.170812 	18.004 
7  	24    	4.26262	3.42725	0.169647 	16.7672
8  	24    	4.05985	2.9646 	0.172151 	16.7428
9  	24    	3.83416	2.12362	0.288719 	10.2655
10 	24    	3.76485	2.01144	0.712645 	10.2626
11 	24    	3.74343	1.99478	0.712645 	9.77624
12 	24    	3.71503	1.95352	0.712645 	9.77624
13 	24    	3.68425	1.92649	0.712645 	9.77624
14 	24    	3.66208	1.89509	0.657786 	9.77624
15 	24    	3.64456	1.86923	0.657786 	9.77624
16 	24    	3.63801	1.86356	0.657786 	9.76599
17 	24    	3.63678	1.86089	0.657786 	9.7671 
18 	24    	3.62836	1.85484	0.642652 	9.7671 
19 	24    	3.61828	1.84269	0.642652 	9.47632
20 	24    	3.60804	1.83896	0.642652 	9.46732
