variable,"1% O2, CyA+","1% O2, CyA-","19% O2, CyA-",Dataset,Condition
norm_1-1ug-B,1,0,0,Proteomics,"1% O2, CyA+"
norm_1-A,0,1,0,Proteomics,"1% O2, CyA-"
norm_19-A,0,0,1,Proteomics,"19% O2, CyA-"
norm_1-1ug-A,1,0,0,Proteomics,"1% O2, CyA+"
norm_19-B,0,0,1,Proteomics,"19% O2, CyA-"
norm_1-B,0,1,0,Proteomics,"1% O2, CyA-"
norm_1-C,0,1,0,Proteomics,"1% O2, CyA-"
norm_1-1ug-C,1,0,0,Proteomics,"1% O2, CyA+"
norm_19-C,0,0,1,Proteomics,"19% O2, CyA-"
Ramos_19O2_NoCyclo_2,0,0,1,Transcriptomics,"19% O2, CyA-"
Ramos_19O2_NoCyclo_1,0,0,1,Transcriptomics,"19% O2, CyA-"
Ramos_19O2_NoCyclo_3,0,0,1,Transcriptomics,"19% O2, CyA-"
Ramos_1O2_NoCyclo_2,0,1,0,Transcriptomics,"1% O2, CyA-"
Ramos_1O2_NoCyclo_1,0,1,0,Transcriptomics,"1% O2, CyA-"
Ramos_1O2_PlusCyclo_2,1,0,0,Transcriptomics,"1% O2, CyA+"
Ramos_1O2_PlusCyclo_3,1,0,0,Transcriptomics,"1% O2, CyA+"
Ramos_1O2_NoCyclo_3,0,1,0,Transcriptomics,"1% O2, CyA-"
Ramos_1O2_PlusCyclo_1,1,0,0,Transcriptomics,"1% O2, CyA+"
"Gr1_F2: 128C, Sample, 4",1,0,0,Phosphoproteomics,"1% O2, CyA+"
"Gr2_F2: 128N, Control, 781",0,0,1,Phosphoproteomics,"19% O2, CyA-"
"Gr2_F1: 128N, Control, 781",0,0,1,Phosphoproteomics,"19% O2, CyA-"
"Gr1_F1: 126, Sample, 1",0,1,0,Phosphoproteomics,"1% O2, CyA-"
"Gr1_F2: 126, Sample, 1",0,1,0,Phosphoproteomics,"1% O2, CyA-"
"Gr1_F3: 126, Sample, 1",0,1,0,Phosphoproteomics,"1% O2, CyA-"
"Gr2_F3: 128N, Control, 781",0,0,1,Phosphoproteomics,"19% O2, CyA-"
"Gr1_F3: 128C, Sample, 4",1,0,0,Phosphoproteomics,"1% O2, CyA+"
"Gr1_F1: 128C, Sample, 4",1,0,0,Phosphoproteomics,"1% O2, CyA+"
