Gene,"Gr2_F2: 128N, Control, 781","Gr1_F1: 128C, Sample, 4","Gr1_F2: 126, Sample, 1","Gr1_F1: 126, Sample, 1","Gr1_F3: 128C, Sample, 4","Gr1_F2: 128C, Sample, 4","Gr2_F1: 128N, Control, 781","Gr2_F3: 128N, Control, 781","Gr1_F3: 126, Sample, 1"
HSP90AB1,13.292652356314452,12.488794147426699,9.959567319912093,9.969098673168764,12.71250550601509,12.544119233343695,13.137919724263924,13.104402187716135,9.942954284352213
HNRNPM,11.382840144475237,12.330356716957944,12.171864822873447,12.363860976729532,12.14532718215473,12.131696223597777,11.491352073563435,11.509230675127737,12.198813342107272
MS4A1,13.079984707033974,12.980514486791176,13.913347588501857,14.09987376558251,12.872001465442507,12.788045353021475,13.074777018606856,12.98653537371022,13.987033020237336
MAP4,13.145199789051851,12.766259723965023,13.424336903142702,13.194418298373167,12.538625458316671,13.016007341796822,12.974665533816651,13.114718389188425,12.93796225500846
SRRM1,13.074292014444262,12.997355925020381,12.227525696948549,12.147586539821027,13.301567642056522,13.040906125666963,12.873655579498449,13.023910255722805,12.459021703862302
DNM1L,12.188496124537556,11.888819338402293,13.129588913148824,12.934870291192027,11.862985979648798,12.08384494103367,11.940827442791425,12.165786350683955,12.922324233318855
LSP1,12.516611089311084,12.75085350904075,13.276298914280869,13.373721609970481,12.635786127608116,12.665224868034455,12.64880694972577,12.672955647083473,13.272731831339831
SRRM2,12.991202944050155,13.034627039197348,13.539534464030577,13.5904934868915,12.637689030976318,13.041453819894919,12.988098827967123,12.973840839533146,13.14280908317072
TPD52,10.082015945266237,11.498899056915825,12.033457416562102,12.229960372213842,11.380190466749834,11.228217442293435,10.092889249801487,11.075546001277417,12.164812670871944
HMGA1,12.590142571501632,11.894363060869692,8.638073837180718,9.047396607519977,11.567052920387638,11.50561309528514,12.745653317806095,12.859301824349547,8.45532722030456
EIF5B,12.149747119504681,12.17280251060771,11.645253124064736,11.958081406405709,11.92562861251905,11.943393929347506,12.480512538873265,12.26065495652351,11.726303321815083
PABPN1,12.282045901421663,12.154438402498815,12.483034777738201,12.617168977455727,12.304465409286633,12.079451449452783,12.359282859735115,12.273271099385498,12.760948598588127
NUCKS1,11.827779337258036,11.778241436242544,8.399598369120115,8.810250286028182,11.91236544105204,11.055824700134858,11.5961431567148,12.134169590076839,8.899961066583904
HDGF,11.98687308114478,11.956230936549876,11.366540787845338,11.25868380010696,12.221858960296018,12.08988077571792,12.00232278421358,12.564459150203898,11.530503879105183
RPRD1B,12.0212229132762,11.825276830054866,11.609040188431655,11.264149339723328,12.071965072954029,12.14984236471279,11.757848331862581,12.233170262382705,11.550073370555145
ABLIM1,11.534886457615647,11.853426525935276,11.7825478081604,12.157915310925272,11.575633784696423,11.593764587728042,11.768184324776927,11.910830081296574,11.921357478873837
THRAP3,11.748360595074317,11.961160258136639,10.484218708433163,10.506704280089783,11.667244625884992,11.826905939022788,11.909593115988342,11.92035285541508,10.144913113434239
EVL,12.02769869790714,12.10937361966378,12.920092283244898,12.743929768060717,12.329628182146044,12.277752335693803,12.379351289207525,11.994494870616228,12.996650019175894
CDK1,12.050290817397183,11.859767710803828,12.669283708504318,12.306488964728633,11.774210525166747,12.162580150829145,12.0731708636929,12.128187698771857,12.296916206879288
NOLC1,12.59114830066745,12.90258238336662,13.07240061364987,13.259184199310042,12.596236354068894,12.760054574438314,12.841289148043497,12.686938171670388,12.940166750482817
MYH9,12.418063419796864,12.796283012655822,9.143893360756412,9.001971087509933,12.659772961881611,12.70336289396418,12.822152540114653,12.539352708701346,9.180406485310636
