,Ramos_1O2_NoCyclo_3,Ramos_1O2_PlusCyclo_1,Ramos_1O2_NoCyclo_1,Ramos_19O2_NoCyclo_3,Ramos_19O2_NoCyclo_2,Ramos_1O2_PlusCyclo_2,Ramos_1O2_NoCyclo_2,Ramos_1O2_PlusCyclo_3,Ramos_19O2_NoCyclo_1
DDX11L1,0.9265302899782488,0.4863620248129874,0.7055144898514552,0.6872671227372361,0.9835387803154275,0.694808505691471,0.576897593996964,0.4769880095426312,1.1494972856111887
WASH7P,3.9459062120505153,3.9726883572279648,3.84829040044942,4.24342334184236,3.919365632920748,3.836002204648348,3.4221398550993887,4.059475811110884,3.9653585417537833
MIR6859-1,0.25798117149965494,0.12312400897722989,0.10948193896169282,0.16613192306515054,0.1662831499640397,0.11435273196386748,0.105190800928855,0.1771034143594268,0.2393963774474462
RP11-34P13.3,0.10878761531817253,0.18095740044491276,0.10948193896169282,0.16613192306515054,0.0,0.0,0.053553906430085556,0.0,0.06367503324497491
RP11-34P13.7,0.5936797042084947,0.6590925473752305,0.5196668937523028,1.1241817104836132,0.7238116785785863,0.8010787406825931,0.5398484832115474,0.7626424217080111,0.7840805794488512
RP11-34P13.10,0.7696829622694948,0.8846846122777039,0.5588010921130533,0.7583837257201073,0.6877939462972438,0.41137971239553395,0.4226257781193857,0.7991971170180565,0.4446641800036402
RP11-34P13.15,1.1466460863436776,1.0489946627401525,1.1260553228960997,1.4375713733341184,1.0417700977563777,0.8010787406825931,0.7162546951931681,0.9368028135941399,1.0270600186522352
RP11-34P13.16,0.5936797042084947,0.6178097817329635,0.7055144898514552,0.6124622841538307,0.7238116785785863,0.41137971239553395,0.24985984733676003,0.686631254539182,0.6659571623982765
RP11-34P13.14,0.055418967352059936,0.06287507852973383,0.16125713670036787,0.21751377204915406,0.26736340329560837,0.0,0.053553906430085556,0.0,0.1246580894829957
RP11-34P13.13,1.6925020849322348,1.6083760811426449,1.4090682949702902,1.7129009954376895,1.3944314589332556,1.2889859006398015,1.262600204186887,1.5651945883552048,1.6419431780677263
ABC7-43046700E7.1,0.4355726372945575,0.23656150044684476,0.39546105239485324,0.45010347177261245,0.36182295980729773,0.22030339311914043,0.381334931380905,0.38378492212347937,0.6243310662324799
RP11-34P13.18,4.257875675843227,4.26111612322529,4.17859081005056,4.5519145259180895,4.266270264978502,4.105103319730855,3.8580943933153593,4.414938782673663,4.321746425277086
