"","ingroup_n","ingroupnames","ingroup_mean","outgroup_n","outgroup_mean","zscore","oddsratio","pvalue","BH_pvalue","SignedBH_pvalue","background_n","background_mean","Method","Pathway","Contrast","negativelog10pvalue","negativelog10FDR"
"KEGG_N_GLYCAN_BIOSYNTHESIS",135,"ALG13, DOLPP1, RPN1, ALG14, MAN1B1, ALG3, B4GALT1, MGAT5, RPN2, STT3A, MGAT3, DAD1, MGAT2, ALG12, MAN1C1, DPM2, DPM1, GANAB, ALG1, MGAT4A, ALG10B, STT3B, MAN1A2, ALG10, ALG11, ALG8, ALG2, DPAGT1, RFT1, DPM3, DDOST, MGAT4B, ALG6, MAN2A2, MAN1A1, MAN2A1, ST6GAL1, B4GALT3, ALG5, B4GALT2, MGAT5B, ALG9, MOGS, FUT8, MGAT1",5.32109948984163,135,5.34498932319106,0.0111987214630918,-0.0238898333494308,0.927340440565201,0.99996206749799,NA,NA,NA,"Transcriptomics","KEGG_N_GLYCAN_BIOSYNTHESIS","X19O2NoCyA - X1O2NoCyA",0.032760800573606,1.64741887634977e-05
"KEGG_OTHER_GLYCAN_DEGRADATION",39,"ENGASE, GLB1, MANBA, MAN2B1, GBA, NEU1, FUCA1, AGA, MAN2C1, MAN2B2, NEU3, HEXB, HEXA",4.27266550038245,39,4.21884591027501,-0.0511156741637077,0.0538195901074374,0.817282924378026,0.99996206749799,NA,NA,NA,"Transcriptomics","KEGG_OTHER_GLYCAN_DEGRADATION","X19O2NoCyA - X1O2NoCyA",0.0876275747700144,1.64741887634977e-05
"KEGG_O_GLYCAN_BIOSYNTHESIS",45,"GALNT15, GALNT6, GALNT10, GALNT7, GCNT1, GALNT8, C1GALT1, GALNT18, GALNT12, GALNT2, GALNT1, ST3GAL2, ST3GAL1, B4GALT5, C1GALT1C1",4.65486545227727,45,4.72848915928659,0.0325231337742171,-0.0736237070093146,0.877805141759184,0.99996206749799,NA,NA,NA,"Transcriptomics","KEGG_O_GLYCAN_BIOSYNTHESIS","X19O2NoCyA - X1O2NoCyA",0.0566018795959658,1.64741887634977e-05
"KEGG_GLYCOSAMINOGLYCAN_DEGRADATION",45,"HPSE, GLB1, GUSB, HYAL3, GNS, HYAL2, HGSNAT, GALNS, IDUA, SGSH, HEXB, NAGLU, HEXA, IDS, ARSB",3.88650068877376,45,3.84780380087128,-0.0225794664273394,0.0386968879024789,0.913030573884746,0.99996206749799,NA,NA,NA,"Transcriptomics","KEGG_GLYCOSAMINOGLYCAN_DEGRADATION","X19O2NoCyA - X1O2NoCyA",0.039514679369187,1.64741887634977e-05
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE",36,"B4GAT1, B3GNT2, B4GALT1, B3GNT7, ST3GAL2, B4GALT3, ST3GAL1, B4GALT2, B4GALT4, CHST4, ST3GAL3, FUT8",4.13017160510373,36,4.06216366980176,-0.0340567021897793,0.0680079353019769,0.88405142477797,0.99996206749799,NA,NA,NA,"Transcriptomics","KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE","X19O2NoCyA - X1O2NoCyA",0.053522471584518,1.64741887634977e-05
"KEGG_GLYCEROLIPID_METABOLISM",87,"GPAM, DGKZ, DGKE, DGKD, DGKH, GK, DGAT2, GLA, AGK, TKFC, AGPAT3, AGPAT4, AKR1B1, DGAT1, GLYCTK, DGKQ, ALDH2, AKR1A1, DGKA, PLPP3, DGKI, LCLAT1, MGLL, ALDH9A1, ALDH3A2, PLPP1, AGPAT1, AGPAT2, CEL",4.36662285352272,87,4.34906235027524,-0.00842945737826194,0.0175605032474788,0.956093103397535,0.99996206749799,NA,NA,NA,"Transcriptomics","KEGG_GLYCEROLIPID_METABOLISM","X19O2NoCyA - X1O2NoCyA",0.0194998144989979,1.64741887634977e-05
"KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS",69,"PIGP, PIGW, PIGM, PIGN, PIGS, PIGF, DPM2, PIGQ, PIGH, PIGO, PIGG, GPAA1, PIGU, PGAP1, PIGT, PIGK, PIGL, PIGV, PIGB, PIGX, PIGA, GPLD1, PIGC",4.38650452543851,69,4.40952995122269,0.0176682745265634,-0.0230254257841755,0.917015171023965,0.99996206749799,NA,NA,NA,"Transcriptomics","KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS","X19O2NoCyA - X1O2NoCyA",0.0376234793381675,1.64741887634977e-05
"KEGG_GLYCEROPHOSPHOLIPID_METABOLISM",150,"PEMT, PLA2G15, GPD1, GPD1L, LPGAT1, GPAM, MBOAT7, LPCAT1, PTDSS1, DGKZ, ETNK1, DGKE, DGKD, PCYT1A, DGKH, JMJD7-PLA2G4B, CHPT1, PLA2G6, LPCAT3, PLA2G4B, PTDSS2, PCYT2, AGPAT3, AGPAT4, PGS1, LYPLA1, PLA2G1B, ADPRM, CDIPT, DGKQ, CDS2, PLPP3, DGKA, DGKI, PHOSPHO1, LCLAT1, GNPAT, LPCAT4, CHKA, PLPP1, LYPLA2, AGPAT1, PLA2G12A, AGPAT2, CHKB, PISD, PLD2, LCAT, CRLS1, GPD2",4.40577632744525,150,4.37844919905225,-0.0116234454348656,0.0273271283930034,0.91990648907552,0.99996206749799,NA,NA,NA,"Transcriptomics","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM","X19O2NoCyA - X1O2NoCyA",0.0362563175920007,1.64741887634977e-05
"KEGG_ETHER_LIPID_METABOLISM",48,"PAFAH1B1, PLPP3, LPCAT1, LPCAT4, JMJD7-PLA2G4B, CHPT1, AGPS, PLA2G6, PAFAH1B3, PAFAH2, PLA2G4B, PLPP1, PAFAH1B2, PLA2G12A, PLD2, PLA2G1B",3.62834313693219,48,3.60050975799187,-0.0105880092196257,0.0278333789403238,0.958438399950272,0.99996206749799,NA,NA,NA,"Transcriptomics","KEGG_ETHER_LIPID_METABOLISM","X19O2NoCyA - X1O2NoCyA",0.0184357945453072,1.64741887634977e-05
"KEGG_ARACHIDONIC_ACID_METABOLISM",60,"EPHX2, CYP2E1, ALOX5, GGT1, ALOX12B, PTGES2, ALOX15, JMJD7-PLA2G4B, PLA2G6, PTGS1, PLA2G4B, GPX7, CBR1, CYP2U1, PLA2G1B, LTA4H, GPX1, GPX4, GGT7, PLA2G12A",2.60236027200862,60,2.58111388407227,-0.00874969613228315,0.021246387936352,0.961738436126961,0.99996206749799,NA,NA,NA,"Transcriptomics","KEGG_ARACHIDONIC_ACID_METABOLISM","X19O2NoCyA - X1O2NoCyA",0.0169430269150309,1.64741887634977e-05
