"","ingroup_n","ingroupnames","ingroup_mean","outgroup_n","outgroup_mean","zscore","oddsratio","pvalue","BH_pvalue","SignedBH_pvalue","background_n","background_mean","Method","Pathway","Contrast","negativelog10pvalue","negativelog10FDR"
"Glycolysis / Gluconeogenesis",162,"DLAT, GALM, G6PC, DLD, BPGM, MINPP1, AKR1A1, TPI1, GPI, ADPGK, ALDH7A1, ALDH9A1, AHR, ADH6, PDHB, PKLR, GAPDH, PGM2, MDH1, MDH2, POR, ALDOA, ALDOB, ALDOC, ALDH2, ALDH3A2, ALDH3B1, ALDH3B2, ADH5, PDHA1, LDHAL6A, LDHA, LDHB, LDHC, LDHAL6B, PKM, ENO1, ENO2, ENO3, PGAM4, PGAM1, PFKL, PFKM, PFKP, PGM1, HK1, HK2, G6PC3, PGK1, PGK2, PCK1, PCK2, ACSS2, ACSS1",5.08198475747647,162,5.2097156016352,0.0361489586405648,-0.127730844158723,0.741975880587939,0.999233677344947,NA,NA,NA,"Transcriptomics","Glycolysis / Gluconeogenesis","X19O2NoCyA - X1O2NoCyA",0.129610212103476,0.000332937285438734
"Citrate Cycle (Tca Cycle)",90,"DLD, IDH1, CS, DLAT, DLST, ACLY, FH, PC, OGDH, MDH1, MDH2, PDHB, SDHA, SDHB, SDHC, SDHD, POR, OGDHL, SUCLG2, SUCLG1, SUCLA2, IDH2, IDH3A, IDH3B, IDH3G, ACO1, ACO2, PDHA1, PCK1, PCK2",5.95145936620077,90,5.97109207925937,0.0086802913322832,-0.0196327130585985,0.95379146188553,0.999233677344947,NA,NA,NA,"Transcriptomics","Citrate Cycle (Tca Cycle)","X19O2NoCyA - X1O2NoCyA",0.02054656958573,0.000332937285438734
"Pentose Phosphate Pathway",87,"RPE, PGD, G6PD, H6PD, GPI, RBKS, PGM2, DERA, RPIA, PGLS, IDNK, TALDO1, GLYCTK, EDA, CUTA, CUTC, PRPS1L1, PRPS1, PRPS2, TKT, TKTL1, RPEL1, ALDOA, ALDOB, ALDOC, PFKL, PFKM, PFKP, PGM1",4.85490768349398,87,4.94807425985604,0.0343410673951691,-0.0931665763620666,0.821859446762985,0.999233677344947,NA,NA,NA,"Transcriptomics","Pentose Phosphate Pathway","X19O2NoCyA - X1O2NoCyA",0.0852024485360648,0.000332937285438734
"Pentose And Glucuronate Interconversions",42,"RPE, XYLB, CRYL1, UGP2, UGDH, SORD, AKR1A1, GAR1, FGGY, DCXR, DHDH, GUSB, RPEL1, AKR1B1",4.35726570506866,42,4.34330165784014,-0.0054267410644488,0.0139640472285247,0.980147572700542,0.999233677344947,NA,NA,NA,"Transcriptomics","Pentose And Glucuronate Interconversions","X19O2NoCyA - X1O2NoCyA",0.00870853126206445,0.000332937285438734
"Fructose And Mannose Metabolism",87,"SORD, KHK, FPGT, TSTA3, FUK, MPI, GMDS, TPI1, TKFC, ENOSF1, TIGAR, PFKFB1, PFKFB2, PFKFB3, PFKFB4, ALG8, AKR1B1, HK1, HK2, PMM1, PMM2, GMPPB, GMPPA, PFKL, PFKM, PFKP, ALDOA, ALDOB, ALDOC",4.77782391804809,87,4.9538671954457,0.0827284293092744,-0.176043277397617,0.585165518504742,0.999233677344947,NA,NA,NA,"Transcriptomics","Fructose And Mannose Metabolism","X19O2NoCyA - X1O2NoCyA",0.232721273053087,0.000332937285438734
"Galactose Metabolism",60,"UGP2, G6PC, GALM, GALT, GLA, GLB1, GALE, GALK1, GATB, GATC, GAA, GANC, PGM2, B4GALT1, B4GALT2, AKR1B1, HK1, HK2, PGM1, G6PC3",4.72306728293204,60,4.76050249012878,0.0173494574940212,-0.0374352071967365,0.923021018783342,0.999233677344947,NA,NA,NA,"Transcriptomics","Galactose Metabolism","X19O2NoCyA - X1O2NoCyA",0.0347884092257816,0.000332937285438734
"Ascorbate And Aldarate Metabolism",15,"UGDH, AKR1A1, ALDH7A1, ALDH9A1, GUSB",4.37571549472093,15,4.37104210390165,-0.00206040168003206,0.00467339081928131,0.995514082919136,0.999233677344947,NA,NA,NA,"Transcriptomics","Ascorbate And Aldarate Metabolism","X19O2NoCyA - X1O2NoCyA",0.00195259189894314,0.000332937285438734
"Fatty Acid Biosynthesis",51,"FASN, FAS, ACSF3, MECR, CBR4, HSD17B8, ACACA, OLAH, OXSM, MCAT, ACACB, ACSL1, ACSL3, ACSL4, ACSBG1, ACSL5, ACSBG2",4.34292876613964,51,4.31072784543019,-0.0122789934012672,0.0322009207094469,0.950420294713628,0.999233677344947,NA,NA,NA,"Transcriptomics","Fatty Acid Biosynthesis","X19O2NoCyA - X1O2NoCyA",0.0220842985960081,0.000332937285438734
"Fatty Acid Elongation",63,"MECR, HADHA, HADH, HSD17B12, TECR, ECHS1, ACAA2, HADHB, ACOT7, THEM4, ELOVL1, ELOVL3, ELOVL5, ELOVL6, PPT1, PPT2, HACD2, HACD4, HACD3, ACOT2, ACOT1",5.03405376584912,63,5.05222081963655,0.0090764131581613,-0.0181670537874341,0.9596791639755,0.999233677344947,NA,NA,NA,"Transcriptomics","Fatty Acid Elongation","X19O2NoCyA - X1O2NoCyA",0.0178739342560382,0.000332937285438734
"Fatty Acid Degradation",99,"ACADS, ACADM, GCDH, ACADVL, CPT2, ACADSB, HADHA, CYP2U1, HADH, EHHADH, ECHS1, ACAA2, HADHB, ACAA1, ADH6, CPT1A, CPT1B, CPT1C, ALDH7A1, ALDH9A1, ACAT1, ACAT2, ADH5, ACSL1, ACSL3, ACSL4, ACSBG1, ACSL5, ACSBG2, ACOX1, ACOX3, ALDH2, ALDH3A2",4.29652550922849,99,4.2927821903867,-0.00150153715586389,0.00374331884178858,0.991540390556313,0.999233677344947,NA,NA,NA,"Transcriptomics","Fatty Acid Degradation","X19O2NoCyA - X1O2NoCyA",0.00368959004319978,0.000332937285438734
