"","Contrast","Pathway","FDR","Method","negativelog10FDR"
"1","X1O2PlusCyA - X1O2NoCyA","Hepatocellular carcinoma",0.000114398687032122,"Proteomics",3.94157895996587
"5","X1O2PlusCyA - X1O2NoCyA","Melanoma",5.88535372305823e-05,"Proteomics",4.23022742995636
"9","X1O2PlusCyA - X1O2NoCyA","C-type lectin receptor signaling pathway",0.00270436460859094,"Proteomics",2.56793475621256
"10","X1O2PlusCyA - X1O2NoCyA","Acute myeloid leukemia",1.48282148399948e-05,"Proteomics",4.82891113028017
"13","X1O2PlusCyA - X1O2NoCyA","Non-small cell lung cancer",0.000174449271056046,"Proteomics",3.75833084093068
"16","X1O2PlusCyA - X1O2NoCyA","HIF-1 signaling pathway",0.0014493562304976,"Proteomics",2.83882485819671
"18","X1O2PlusCyA - X1O2NoCyA","Parkinson disease",0.000953934349709603,"Proteomics",3.02048151265431
"19","X1O2PlusCyA - X1O2NoCyA","Amoebiasis",0.000228334915334301,"Proteomics",3.64142767424077
"23","X1O2PlusCyA - X1O2NoCyA","Wnt signaling pathway",0.000996373578580671,"Proteomics",3.00157779742292
"29","X1O2PlusCyA - X1O2NoCyA","Fc epsilon RI signaling pathway",1.23649816555249e-06,"Proteomics",5.90780652361406
"30","X1O2PlusCyA - X1O2NoCyA","GnRH secretion",8.27370687603083e-06,"Proteomics",5.08229986951464
"32","X1O2PlusCyA - X1O2NoCyA","T cell receptor signaling pathway",0.000163393527669308,"Proteomics",3.78676515069942
"33","X1O2PlusCyA - X1O2NoCyA","Lysine degradation",2.2084831168951e-06,"Proteomics",5.65590591642702
"34","X1O2PlusCyA - X1O2NoCyA","Phosphatidylinositol signaling system",0.000621089421659065,"Proteomics",3.20684586755725
"37","X1O2PlusCyA - X1O2NoCyA","Epstein-Barr virus infection",0.00235894136282496,"Proteomics",2.62728285441668
"38","X1O2PlusCyA - X1O2NoCyA","Terpenoid backbone biosynthesis",0.0408586064012914,"Proteomics",1.38871645029659
"39","X1O2PlusCyA - X1O2NoCyA","cAMP signaling pathway",0.000747128557820089,"Proteomics",3.12660466304656
"40","X1O2PlusCyA - X1O2NoCyA","FoxO signaling pathway",0.00454290698726298,"Proteomics",2.34266615495996
"41","X1O2PlusCyA - X1O2NoCyA","Amino sugar and nucleotide sugar metabolism",1.09039116821768e-05,"Proteomics",4.96241767479064
"44","X1O2PlusCyA - X1O2NoCyA","Relaxin signaling pathway",0.012312522581226,"Proteomics",1.90965295999542
"45","X1O2PlusCyA - X1O2NoCyA","VEGF signaling pathway",0.000128429178176364,"Proteomics",3.89133629650553
"46","X1O2PlusCyA - X1O2NoCyA","Endometrial cancer",0.00140501005451169,"Proteomics",2.85232056785618
"49","X1O2PlusCyA - X1O2NoCyA","Chronic myeloid leukemia",0.00665990146661198,"Proteomics",2.17653219617854
"50","X1O2PlusCyA - X1O2NoCyA","PD-L1 expression and PD-1 checkpoint pathway in cancer",0.000395595792215917,"Proteomics",3.40274833645587
"51","X1O2PlusCyA - X1O2NoCyA","Chemical carcinogenesis - receptor activation",6.69411014925611e-05,"Proteomics",4.17430714575468
"52","X1O2PlusCyA - X1O2NoCyA","Fluid shear stress and atherosclerosis",0.000514699573862254,"Proteomics",3.28844619131724
"54","X1O2PlusCyA - X1O2NoCyA","Insulin resistance",6.15906652443399e-05,"Proteomics",4.21048510504458
"58","X1O2PlusCyA - X1O2NoCyA","Fatty acid elongation",2.26221219703885e-10,"Proteomics",9.64546666038282
"61","X1O2PlusCyA - X1O2NoCyA","Non-alcoholic fatty liver disease",3.74409759791189e-13,"Proteomics",12.4266528389718
"62","X1O2PlusCyA - X1O2NoCyA","Small cell lung cancer",0.00200312403529175,"Proteomics",2.69829215795807
"63","X1O2PlusCyA - X1O2NoCyA","p53 signaling pathway",0.000213044324740337,"Proteomics",3.67153003042285
"64","X1O2PlusCyA - X1O2NoCyA","Morphine addiction",0.000188366375044756,"Proteomics",3.72499661978003
"66","X1O2PlusCyA - X1O2NoCyA","Salmonella infection",1.33145926225838e-06,"Proteomics",5.87567211683078
"68","X1O2PlusCyA - X1O2NoCyA","Th1 and Th2 cell differentiation",0.00199031193013926,"Proteomics",2.70107885378025
"70","X1O2PlusCyA - X1O2NoCyA","AGE-RAGE signaling pathway in diabetic complications",0.000810695524548274,"Proteomics",3.09114222450259
"74","X1O2PlusCyA - X1O2NoCyA","Human immunodeficiency virus 1 infection",0.0227482602430337,"Proteomics",1.64305181200651
"75","X1O2PlusCyA - X1O2NoCyA","Hepatitis C",0.00456089049282145,"Proteomics",2.34095035506323
"77","X1O2PlusCyA - X1O2NoCyA","Fc gamma R-mediated phagocytosis",9.14666040293388e-05,"Proteomics",4.03873744509444
"80","X1O2PlusCyA - X1O2NoCyA","Hepatitis B",0.0181263119006337,"Proteomics",1.74169055134524
"83","X1O2PlusCyA - X1O2NoCyA","Pancreatic cancer",0.000772716728998008,"Proteomics",3.11197968535705
