,index,ImportanceScore,Pathway
0,PPM1B,0.1603263603790561,metaNetwork
1,MAP4K4,0.061922611025472085,metaNetwork
2,MAP3K14,0.09707949005168975,metaNetwork
3,LAMTOR3,0.061135142576149326,metaNetwork
4,MAP2K2,0.06201634599246098,metaNetwork
5,MAP2K1,0.062424660794435705,metaNetwork
6,RAF1,0.32380764091825365,metaNetwork
7,BRAF,0.06328720300260236,metaNetwork
8,RASA1,0.06227969311212157,metaNetwork
9,NF1,0.2683474020942741,metaNetwork
10,RAPGEF2,0.08952474891552266,metaNetwork
11,RASA2,0.0740930983121239,metaNetwork
12,GRB2,0.11061730776993543,metaNetwork
13,NR4A1,0.10571322436151454,metaNetwork
14,MAPK7,0.15101224793828202,metaNetwork
15,MAP2K5,0.19340147072816122,metaNetwork
16,NLK,0.06261700863079774,metaNetwork
17,ATF4,0.08815977984611789,metaNetwork
18,TP53,0.06184745271243262,metaNetwork
19,ATF2,0.06177619879466015,metaNetwork
20,PPP5C,0.18938219352229207,metaNetwork
21,MAP2K6,0.06247062069716843,metaNetwork
22,MAP2K3,0.06276319894734168,metaNetwork
23,PPM1A,0.06780370844451465,metaNetwork
24,MAP3K4,0.06214102487935657,metaNetwork
25,HSPB1,0.0613408490035198,metaNetwork
26,MAP3K7,0.1428890858771991,metaNetwork
27,MAP3K5,0.1452474306800066,metaNetwork
28,MAP3K6,0.0619053056001177,metaNetwork
29,MAP3K12,0.06194548018168565,metaNetwork
30,MAP3K13,0.06292958281434834,metaNetwork
31,MAP4K2,0.06114189395329534,metaNetwork
32,ECSIT,0.06259921305027918,metaNetwork
33,TRAF6,0.07190165474433176,metaNetwork
34,DAXX,0.06460985318308161,metaNetwork
35,TRAF2,0.2697450499024249,metaNetwork
36,CASP3,0.19308730394528004,metaNetwork
37,TNFRSF1A,0.6893135011754931,metaNetwork
38,TNF,0.7682241373034072,metaNetwork
39,MAPKAPK5,0.062209383868809635,metaNetwork
40,MAP3K11,0.06622871355659327,metaNetwork
41,MAP2K7,0.06236300037625175,metaNetwork
42,MAP2K4,0.1497845521193971,metaNetwork
43,CRK,0.06313059340622303,metaNetwork
44,NFATC3,0.06267954309963146,metaNetwork
45,NFATC1,0.09434694045169169,metaNetwork
46,MAPK8IP3,0.061254778663781276,metaNetwork
47,FLNA,0.061550068155573276,metaNetwork
48,MAP3K1,0.24626600913583505,metaNetwork
49,MAP3K8,0.38433474941481993,metaNetwork
50,MAP4K1,0.06761344336264748,metaNetwork
51,MAP4K3,0.06243111380217907,metaNetwork
52,MYC,0.06307720990429162,metaNetwork
53,TRADD,0.3194484914821711,metaNetwork
54,MYD88,0.12465817954069255,metaNetwork
55,ARAF,0.06186575108265038,metaNetwork
56,RASGRF1,0.06210241471238738,metaNetwork
57,NFKB1,0.7936816950596292,metaNetwork
58,NFKB2,0.530205654548026,metaNetwork
59,RELA,0.6948799585025373,metaNetwork
60,RELB,0.10468703382514255,metaNetwork
61,IKBKB,0.43949988470144513,metaNetwork
62,IKBKG,0.8598372497993323,metaNetwork
63,PRKCA,0.3348149443215578,metaNetwork
64,PRKCB,0.4020039936546925,metaNetwork
65,PRKCG,0.3307966927807579,metaNetwork
66,RAP1A,0.2812113983572921,metaNetwork
67,RAP1B,0.42545803229639667,metaNetwork
68,HRAS,0.08022854511815657,metaNetwork
69,KRAS,0.15942540821270512,metaNetwork
70,NRAS,0.33954108553121487,metaNetwork
71,RRAS,0.07874270987575416,metaNetwork
72,RRAS2,0.11378416497392015,metaNetwork
73,RASGRP1,0.1563536103341431,metaNetwork
74,RASGRP2,0.5683846067826152,metaNetwork
75,RASGRP3,0.06225369836633486,metaNetwork
76,GNA12,0.16396691837120259,metaNetwork
77,GNG12,0.31534977901119526,metaNetwork
78,EGFR,0.06210642439544574,metaNetwork
79,ERBB2,0.06203911666409433,metaNetwork
80,ERBB3,0.0697864418052389,metaNetwork
81,FGFR1,0.0631668179138207,metaNetwork
82,FGFR3,0.06139556010350998,metaNetwork
83,FGFR4,0.06394425940181687,metaNetwork
84,INSR,0.0980184686047024,metaNetwork
85,IGF1R,0.0651260584906439,metaNetwork
86,FLT3,0.061924029656975084,metaNetwork
87,FLT1,0.0630078699565853,metaNetwork
88,CACNA1A,0.06805041944521165,metaNetwork
89,CACNA1D,0.06270492166886676,metaNetwork
90,CACNA2D4,0.0753413129397563,metaNetwork
91,CACNB1,0.35395536417968554,metaNetwork
92,CACNB3,0.10028477049631906,metaNetwork
93,CACNB4,0.06277341834235473,metaNetwork
94,RPS6KA5,0.28224041481798484,metaNetwork
95,RPS6KA4,0.12451010765032633,metaNetwork
96,MAPKAPK2,0.34028118581309974,metaNetwork
97,MAPKAPK3,0.10668826900449395,metaNetwork
98,STK4,0.06232256954039771,metaNetwork
99,STK3,0.06221115043596787,metaNetwork
100,TGFBR2,0.0894988341884574,metaNetwork
