"","Pathway","Method","Contrast","negativelog10pvalue","pvalue","FDR","negativelog10FDR"
"3","Viral life cycle - HIV-1","Concatenated","X1O2PlusCyA - X1O2NoCyA",1.37672659,0.042002332637096,0.25393654273375,0.595274797489183
"4","GnRH signaling pathway","Concatenated","X1O2PlusCyA - X1O2NoCyA",2.633094036,0.00232758722019979,0.0481046145993857,1.31781326044693
"10","C-type lectin receptor signaling pathway","Concatenated","X1O2PlusCyA - X1O2NoCyA",1.334085266,0.0463355939104941,0.264563136502737,0.577470669327508
"11","Acute myeloid leukemia","Concatenated","X1O2PlusCyA - X1O2NoCyA",1.811559135,0.0154326627268176,0.14590537497438,0.835928708937829
"16","cGMP-PKG signaling pathway","Concatenated","X1O2PlusCyA - X1O2NoCyA",2.124422772,0.00750891568822066,0.0913084147687632,1.03948919706328
"18","HIF-1 signaling pathway","Concatenated","X1O2PlusCyA - X1O2NoCyA",2.306799767,0.00493401235898798,0.0737675290392957,1.13213476368235
"24","Oocyte meiosis","Concatenated","X1O2PlusCyA - X1O2NoCyA",2.624595585,0.00237358295720653,0.0481046145993857,1.31781326044693
"25","Wnt signaling pathway","Concatenated","X1O2PlusCyA - X1O2NoCyA",2.581568245,0.00262078717598975,0.0508544235000564,1.2936712646073
"27","Homologous recombination","Concatenated","X1O2PlusCyA - X1O2NoCyA",1.87021147,0.0134830619513146,0.132643430623957,0.877314254271283
"28","Tuberculosis","Concatenated","X1O2PlusCyA - X1O2NoCyA",1.323812213,0.0474447089722737,0.268755121631761,0.570643250703434
"33","GnRH secretion","Concatenated","X1O2PlusCyA - X1O2NoCyA",1.45852356,0.0347917632986587,0.22992817484331,0.63840780807282
"35","T cell receptor signaling pathway","Concatenated","X1O2PlusCyA - X1O2NoCyA",1.750153149,0.0177765243062459,0.158943040855846,0.798758482433501
"40","Melanogenesis","Concatenated","X1O2PlusCyA - X1O2NoCyA",2.912032786,0.00122452375334898,0.0358338485644211,1.44570654599149
"44","cAMP signaling pathway","Concatenated","X1O2PlusCyA - X1O2NoCyA",2.666648232,0.00215452614209945,0.0467839962284453,1.32990268406948
"45","FoxO signaling pathway","Concatenated","X1O2PlusCyA - X1O2NoCyA",2.406296697,0.00392376783731034,0.0636983849020938,1.19587157923452
"48","Glucagon signaling pathway","Concatenated","X1O2PlusCyA - X1O2NoCyA",4.047268941,8.96873225199081e-05,0.00644311719713824,2.19090396897842
"50","VEGF signaling pathway","Concatenated","X1O2PlusCyA - X1O2NoCyA",1.864181239,0.0136715816651886,0.132643430623957,0.877314254271283
"51","Endometrial cancer","Concatenated","X1O2PlusCyA - X1O2NoCyA",1.899064417,0.0126164038711403,0.127846225894222,0.893312088110909
"57","Chemical carcinogenesis - receptor activation","Concatenated","X1O2PlusCyA - X1O2NoCyA",1.970159872,0.0107112493133948,0.113525671315441,0.944905921290202
"65","Hippo signaling pathway","Concatenated","X1O2PlusCyA - X1O2NoCyA",1.370592247,0.0425998189159385,0.25393654273375,0.595274797489183
"72","Circadian rhythm","Concatenated","X1O2PlusCyA - X1O2NoCyA",1.418374897,0.0381614706495945,0.243379449177834,0.613716096136646
"73","MicroRNAs in cancer","Concatenated","X1O2PlusCyA - X1O2NoCyA",2.880520018,0.00131667922143217,0.0363882257559435,1.43903911954947
"82","Thermogenesis","Concatenated","X1O2PlusCyA - X1O2NoCyA",1.459663425,0.0347005673092359,0.22992817484331,0.63840780807282
"93","Hepatitis B","Concatenated","X1O2PlusCyA - X1O2NoCyA",2.043035686,0.00905658179861255,0.101970402473267,0.991525866550234
"97","Renal cell carcinoma","Concatenated","X1O2PlusCyA - X1O2NoCyA",2.703314298,0.0019800935176544,0.0458516434505899,1.33864509339132
"104","Growth hormone synthesis, secretion and action","Concatenated","X1O2PlusCyA - X1O2NoCyA",3.060677634,0.000869605676461739,0.0317232150773243,1.49862280434362
"106","Pathways in cancer","Concatenated","X1O2PlusCyA - X1O2NoCyA",1.865197435,0.0136396292322623,0.132643430623957,0.877314254271283
"108","mTOR signaling pathway","Concatenated","X1O2PlusCyA - X1O2NoCyA",2.376540026,0.00420203798536106,0.0649535363160896,1.18739719931373
"109","Alcoholism","Concatenated","X1O2PlusCyA - X1O2NoCyA",1.713410674,0.0193459172591245,0.167471909211577,0.776058028612208
"112","Viral carcinogenesis","Concatenated","X1O2PlusCyA - X1O2NoCyA",1.440786461,0.0362421154094233,0.234417086903504,0.630010735326964
"131","Amphetamine addiction","Concatenated","X1O2PlusCyA - X1O2NoCyA",1.536781818,0.0290548195150839,0.205410817036872,0.687376689970833
"139","Human T-cell leukemia virus 1 infection","Concatenated","X1O2PlusCyA - X1O2NoCyA",1.965381507,0.0108297515399598,0.113525671315441,0.944905921290202
