"","Pathway","P.value","Contrast","X.log10Pvalue","Pathway.Name","BHpvals","negativeLog10_adjpvals"
"1","hsa05225",2.3865570097861e-05,"1% O2, CyA+ vs 1% O2, CyA-",4.6222281867996,"Hepatocellular carcinoma",0.0165149745077198,1.78212209234285
"2","hsa04962",0.485402892113437,"1% O2, CyA+ vs 1% O2, CyA-",0.313897640395586,"Vasopressin-regulated water reabsorption",1,0
"3","hsa03250",4.39844966660438e-07,"1% O2, CyA+ vs 1% O2, CyA-",6.35670037348769,"Viral life cycle - HIV-1",0.000322846205528761,3.49100431357162
"4","hsa04912",0.000210039317783624,"1% O2, CyA+ vs 1% O2, CyA-",3.6776994009891,"GnRH signaling pathway",0.139466107008326,0.85553132162108
"5","hsa05218",0.0079507864180582,"1% O2, CyA+ vs 1% O2, CyA-",2.09958991283639,"Melanoma",1,0
"6","hsa00100",5.28922483558919e-29,"1% O2, CyA+ vs 1% O2, CyA-",28.2766079714986,"Steroid biosynthesis",4.46939498607287e-26,25.3497512625489
"7","hsa00830",0.473338278103377,"1% O2, CyA+ vs 1% O2, CyA-",0.324828373417323,"Retinol metabolism",1,0
"8","hsa00785",0.546738170893761,"1% O2, CyA+ vs 1% O2, CyA-",0.262220604488112,"Lipoic acid metabolism",1,0
"9","hsa04625",1.05124934285002e-16,"1% O2, CyA+ vs 1% O2, CyA-",15.9782942626772,"C-type lectin receptor signaling pathway",8.50460718365667e-14,13.0703457410649
"10","hsa05221",0.00690584134372539,"1% O2, CyA+ vs 1% O2, CyA-",2.16078340344618,"Acute myeloid leukemia",1,0
"11","hsa04145",0.00512532164719601,"1% O2, CyA+ vs 1% O2, CyA-",2.29027887461971,"Phagosome",1,0
"12","hsa05217",0.249244209845051,"1% O2, CyA+ vs 1% O2, CyA-",0.603374921929253,"Basal cell carcinoma",1,0
"13","hsa05223",0.0986189770202555,"1% O2, CyA+ vs 1% O2, CyA-",1.00603950674062,"Non-small cell lung cancer",1,0
"14","hsa05330",0.542973899240955,"1% O2, CyA+ vs 1% O2, CyA-",0.265221046448112,"Allograft rejection",1,0
"15","hsa04022",0.0104581576188443,"1% O2, CyA+ vs 1% O2, CyA-",1.98054481704084,"cGMP-PKG signaling pathway",1,0
"16","hsa00140",0.502254091835657,"1% O2, CyA+ vs 1% O2, CyA-",0.299076516392739,"Steroid hormone biosynthesis",1,0
"17","hsa04066",2.08001190866611e-07,"1% O2, CyA+ vs 1% O2, CyA-",6.68193417856937,"HIF-1 signaling pathway",0.000154336883623025,3.81153027329034
"18","hsa04724",0.440638395397801,"1% O2, CyA+ vs 1% O2, CyA-",0.355917662920877,"Glutamatergic synapse",1,0
"19","hsa05012",0.306961081555479,"1% O2, CyA+ vs 1% O2, CyA-",0.51291668360141,"Parkinson disease",1,0
"20","hsa05146",0.43903979662507,"1% O2, CyA+ vs 1% O2, CyA-",0.357496111486088,"Amoebiasis",1,0
"21","hsa05410",0.389444010432984,"1% O2, CyA+ vs 1% O2, CyA-",0.409554971130937,"Hypertrophic cardiomyopathy",1,0
"22","hsa00510",0.471088197548552,"1% O2, CyA+ vs 1% O2, CyA-",0.326897776262181,"N-Glycan biosynthesis",1,0
"23","hsa04114",1.13332702978747e-05,"1% O2, CyA+ vs 1% O2, CyA-",4.94564475320929,"Oocyte meiosis",0.00794462247881018,2.09992673524263
"24","hsa04310",0.00904109264072445,"1% O2, CyA+ vs 1% O2, CyA-",2.04377908067926,"Wnt signaling pathway",1,0
"25","hsa03015",5.9907323695705e-19,"1% O2, CyA+ vs 1% O2, CyA-",18.2225200816807,"mRNA surveillance pathway",4.90041907830867e-16,15.3097667780094
"26","hsa03440",0.150469739379408,"1% O2, CyA+ vs 1% O2, CyA-",0.822550831245781,"Homologous recombination",1,0
"27","hsa05152",0.126959692092013,"1% O2, CyA+ vs 1% O2, CyA-",0.89633413952118,"Tuberculosis",1,0
"28","hsa04110",0.0775258066650578,"1% O2, CyA+ vs 1% O2, CyA-",1.1105537061824,"Cell cycle",1,0
"29","hsa00604",0.524190366695734,"1% O2, CyA+ vs 1% O2, CyA-",0.280510964559444,"Glycosphingolipid biosynthesis - ganglio series",1,0
"30","hsa05416",0.0142387862593108,"1% O2, CyA+ vs 1% O2, CyA-",1.84652702919281,"Viral myocarditis",1,0
"31","hsa04664",1.77975403410517e-26,"1% O2, CyA+ vs 1% O2, CyA-",25.74964001399,"Fc epsilon RI signaling pathway",1.48787437251192e-23,22.827433736551
"32","hsa04929",3.68633557363327e-05,"1% O2, CyA+ vs 1% O2, CyA-",4.43340513272421,"GnRH secretion",0.0252145353236516,1.59834903100409
"33","hsa04136",2.41792675915635e-05,"1% O2, CyA+ vs 1% O2, CyA-",4.61655685838674,"Autophagy - other",0.0167078739057704,1.77707881101254
"34","hsa04660",3.18189244870623e-10,"1% O2, CyA+ vs 1% O2, CyA-",9.49731450404921,"T cell receptor signaling pathway",2.45960286284992e-07,6.60913501013089
"35","hsa00310",0.00258887703551442,"1% O2, CyA+ vs 1% O2, CyA-",2.58688857685975,"Lysine degradation",1,0
"36","hsa04070",0.334544561438186,"1% O2, CyA+ vs 1% O2, CyA-",0.475546025884935,"Phosphatidylinositol signaling system",1,0
"37","hsa04726",0.00430880637100401,"1% O2, CyA+ vs 1% O2, CyA-",2.36564302178398,"Serotonergic synapse",1,0
"38","hsa05332",0.538107978121083,"1% O2, CyA+ vs 1% O2, CyA-",0.269130568949089,"Graft-versus-host disease",1,0
"39","hsa04916",0.00203207334426594,"1% O2, CyA+ vs 1% O2, CyA-",2.69206062097713,"Melanogenesis",1,0
"40","hsa05169",0.159107192516435,"1% O2, CyA+ vs 1% O2, CyA-",0.798310187420708,"Epstein-Barr virus infection",1,0
"41","hsa00900",0.0219678360971013,"1% O2, CyA+ vs 1% O2, CyA-",1.65821272038363,"Terpenoid backbone biosynthesis",1,0
"42","hsa00591",0.517449046400937,"1% O2, CyA+ vs 1% O2, CyA-",0.286132409071805,"Linoleic acid metabolism",1,0
"43","hsa04024",0.028281291978194,"1% O2, CyA+ vs 1% O2, CyA-",1.54850075448674,"cAMP signaling pathway",1,0
"44","hsa04068",1.47403141498645e-06,"1% O2, CyA+ vs 1% O2, CyA-",5.83149326056796,"FoxO signaling pathway",0.00106425068162022,2.97295606299832
"45","hsa00520",0.304449597821249,"1% O2, CyA+ vs 1% O2, CyA-",0.516484595313278,"Amino sugar and nucleotide sugar metabolism",1,0
"46","hsa00860",0.469639487816195,"1% O2, CyA+ vs 1% O2, CyA-",0.328235394256848,"Porphyrin metabolism",1,0
"47","hsa04922",8.24313050277039e-09,"1% O2, CyA+ vs 1% O2, CyA-",8.08390782448186,"Glucagon signaling pathway",6.28126544311104e-06,5.20195285314226
"48","hsa04926",0.0408867638747385,"1% O2, CyA+ vs 1% O2, CyA-",1.38841726183405,"Relaxin signaling pathway",1,0
"49","hsa04370",5.55737764926462e-05,"1% O2, CyA+ vs 1% O2, CyA-",4.25513008991267,"VEGF signaling pathway",0.0377901680149994,1.42262117720643
"50","hsa05213",2.15850609809755e-20,"1% O2, CyA+ vs 1% O2, CyA-",19.6658467200601,"Endometrial cancer",1.78508454312668e-17,16.7483412105076
"51","hsa04520",2.04860320715052e-05,"1% O2, CyA+ vs 1% O2, CyA-",4.68854215171724,"Adherens junction",0.0141968202255531,1.84780891710543
"52","hsa05110",0.00557304716607664,"1% O2, CyA+ vs 1% O2, CyA-",2.25390728138662,"Vibrio cholerae infection",1,0
"53","hsa05220",0.0110722697800887,"1% O2, CyA+ vs 1% O2, CyA-",1.95576334100722,"Chronic myeloid leukemia",1,0
"54","hsa05235",2.2834539747137e-09,"1% O2, CyA+ vs 1% O2, CyA-",8.64140773760606,"PD-L1 expression and PD-1 checkpoint pathway in cancer",1.74912574463069e-06,5.75717896797345
"55","hsa05207",0.000317809380551908,"1% O2, CyA+ vs 1% O2, CyA-",3.49783328818022,"Chemical carcinogenesis - receptor activation",0.209118572403156,0.679607394566267
"56","hsa05418",0.185697094451906,"1% O2, CyA+ vs 1% O2, CyA-",0.731194891485723,"Fluid shear stress and atherosclerosis",1,0
"57","hsa00920",0.526078126889818,"1% O2, CyA+ vs 1% O2, CyA-",0.278949754786251,"Sulfur metabolism",1,0
"58","hsa04931",0.000107575501658055,"1% O2, CyA+ vs 1% O2, CyA-",3.96828661999031,"Insulin resistance",0.0723983126158713,1.14027155576633
"59","hsa00500",0.0295943692706266,"1% O2, CyA+ vs 1% O2, CyA-",1.52879091148552,"Starch and sucrose metabolism",1,0
"60","hsa05216",0.413889761373307,"1% O2, CyA+ vs 1% O2, CyA-",0.383115316856243,"Thyroid cancer",1,0
"61","hsa00740",0.416577316390884,"1% O2, CyA+ vs 1% O2, CyA-",0.380304382094655,"Riboflavin metabolism",1,0
"62","hsa00062",0.23814831682609,"1% O2, CyA+ vs 1% O2, CyA-",0.623152483628453,"Fatty acid elongation",1,0
