,index,nodeModulation,Contrast,Pathway
0,ABI2,0.04402187232058274,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
1,ACTR2,268.3673763907248,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
2,ACTR3,1.3523104961943557,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
3,AKT1S1,29.30680600589733,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
4,ARAF,126.05840483908854,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
5,ARHGAP35,99.56552466181374,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
6,ARHGAP5,87.51859715543304,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
7,ARHGEF1,13.511037525289693,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
8,ARHGEF12,0.21713301897111284,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
9,ARHGEF6,59.8589653358042,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
10,ARHGEF7,918.694478465558,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
11,ARNT,4559.330932200407,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
12,ARPC2,0.7824053508010168,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
13,ARPC3,0.5128768844724376,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
14,ARPC4,2.6499633481160516,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
15,ARPC5,2.644417897730823,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
16,ATF2,103.52959394798192,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
17,ATF4,16.052415253456157,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
18,ATF6B,0.17324075225581162,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
19,BAD,58.54990117694796,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
20,BAG4,1008.9122083976868,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
21,BAIAP2,283.08473170441107,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
22,BCAR1,0.022208704038762912,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
23,BCL10,50.19242769718598,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
24,BCL2,0.3765328942867252,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
25,BCL2A1,0.8044626523204967,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
26,BCL2L1,1.563445873450062,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
27,BCL2L11,16.500362344746698,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
28,BCL3,5.81200167710027,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
29,BLNK,1.3256230175629653,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
30,BRAF,41.80162205623357,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
31,BTK,32.9132271684786,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
32,CACNA1A,0.015219048498378886,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
33,CACNA1D,0.9346199152442836,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
34,CACNA2D4,0.6501063683936359,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
35,CACNB1,10.275185530614236,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
36,CACNB3,0.1712989253574847,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
37,CACNB4,0.31703004311144695,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
38,CARD10,0.8799979487362127,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
39,CARD11,72.0749256463216,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
40,CARD9,6.860176535544304,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
41,CASP1,0.046356453846255176,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
42,CASP10,1.1970709188035253,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
43,CASP3,6.192536213629606,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
44,CASP7,167.79842676628033,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
45,CASP8,3.2256849188855985,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
46,CBLB,0.2804835037097093,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
47,CCL5,0.06384024444810181,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
48,CCND1,0.28334864807281757,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
49,CCND2,0.10437399594268557,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
50,CCND3,0.05278704574288711,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
51,CCR10,0.8884684225112998,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
52,CCR9,0.26386543994952516,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
53,CD19,123.46421254846801,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
54,CD226,0.11986744601169137,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
55,CDC42,12.184430880040892,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
56,CDK2,2.230323081541498,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
57,CDK4,0.05889956422138791,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
58,CDK6,2.9217035083899137,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
59,CDKN1A,0.4753805569473257,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
60,CDKN1B,3.4524462245634417,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
61,CFLAR,1.5929765147554404,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
62,CLIP1,173.78765540556526,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
63,CNTF,2.9010086172463443,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
64,CREB1,17.848445268740626,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
65,CREB3,3.38670859799612,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
66,CREB5,0.052644042893973314,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
67,CRK,28.184199943487606,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
68,CSF1,0.11116943488403505,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
