"","Node Modulation
Score","Importance
Score","Phosphoproteomics
log2 FC","Proteomics
log2 FC","Transcriptomics
log2 FC","Evidence
Score","Phosphoproteomics
SD","Proteomics
SD","Transcriptomics
SD"
"4",162.146896660472,0.0619226110254721,1.37150521050692,0.0240385684240074,0.046882687423949,3,1.02642433495737,0.127323789633534,0.0648682940163097
"5",183.17429524846,0.0619226110254721,1.53400023293292,0.108935240048176,0.135543446826091,3,1.02642433495737,0.127323789633534,0.0648682940163097
"6",21.7294259004138,0.0619226110254721,0.162495022425999,0.132973808472183,0.088660759402142,3,1.02642433495737,0.127323789633534,0.0648682940163097
"19",743.239916498996,0.323807640918254,1.27813838225869,0,0.023848518895508,2,1.45349885688713,0,0.0509619095556908
"20",1034.50657559763,0.323807640918254,1.77876804561651,0,0.0405295972058894,2,1.45349885688713,0,0.0509619095556908
"21",1777.74649209663,0.323807640918254,3.0569064278752,0,0.0643781161013974,2,1.45349885688713,0,0.0509619095556908
"22",9.79918792762284,0.0632872030026024,0.143724665036999,0.00858720283941672,0.056087408992787,3,0.563035300725383,0.0339378214086109,0.0425886389492225
"23",51.324854797492,0.0632872030026024,0.774794245752929,0.00414451863316501,0.0352900646241947,3,0.563035300725383,0.0339378214086109,0.0425886389492225
"24",41.8016220562336,0.0632872030026024,0.631069580715931,0.0127317214725817,0.0207973443685923,3,0.563035300725383,0.0339378214086109,0.0425886389492225
"28",254.467176052194,0.268347402094274,0.797503823645091,0.348149400835813,0.040811734988095,3,0.538144288818173,0.226746686950434,0.0954472067271287
"29",231.245905509226,0.268347402094274,0.785126463652331,0.110882192101539,0.184736562584844,3,0.538144288818173,0.226746686950434,0.0954472067271287
"30",36.8759945892459,0.268347402094274,0.0123773599927599,0.237267208734274,0.14392482759675,3,0.538144288818173,0.226746686950434,0.0954472067271287
"58",388.342156904072,0.0617761987946601,2.35038420539233,0.163481719949573,0.134393436007629,3,1.43042410096258,0.131903454903726,0.0787594969387929
"59",485.016960303693,0.0617761987946601,2.95950326179702,0.0274168272195672,0.0278364418494093,3,1.43042410096258,0.131903454903726,0.0787594969387929
"60",103.529593947982,0.0617761987946601,0.609119056404689,0.19089854716914,0.10655699415822,3,1.43042410096258,0.131903454903726,0.0787594969387929
"79",128.426708079249,0.142889085877199,0.819130944324398,0.151348043743607,0.0346420777740839,3,0.562432609156348,0.147050568205679,0.0671550780135417
"80",165.440259391058,0.142889085877199,1.09670923058632,0.0229626525146722,0.0737127453148467,3,0.562432609156348,0.147050568205679,0.0671550780135417
"81",50.0244269385202,0.142889085877199,0.277578286261924,0.174310696258279,0.108354823088931,3,0.562432609156348,0.147050568205679,0.0671550780135417
"82",62.4368047954815,0.145247430680007,0.565197031579282,0,0.251236051991504,2,0.55628507618612,0,0.134294846214517
"83",48.6496575047305,0.145247430680007,0.444897947267064,0,0.177092053690973,2,0.55628507618612,0,0.134294846214517
"84",102.556203416112,0.145247430680007,1.01009497884635,0,0.0741439983005305,2,0.55628507618612,0,0.134294846214517
