,Pathway,P-value,Contrast,-log10Pvalue
0,hsa05225,0.2062261756011537,"1% O2, CyA+ vs 1% O2, CyA-",0.6856562120027206
1,hsa04962,0.7013729376030994,"1% O2, CyA+ vs 1% O2, CyA-",0.1540509953355872
2,hsa03250,0.2030989657201287,"1% O2, CyA+ vs 1% O2, CyA-",0.6922922882307647
3,hsa04912,0.2551914243859798,"1% O2, CyA+ vs 1% O2, CyA-",0.593133924012101
4,hsa05218,0.37844403998806975,"1% O2, CyA+ vs 1% O2, CyA-",0.421998329958189
5,hsa00100,2.5639168189142185e-08,"1% O2, CyA+ vs 1% O2, CyA-",7.591096068729097
6,hsa00830,0.7120647286715017,"1% O2, CyA+ vs 1% O2, CyA-",0.14748052598797878
7,hsa00785,0.6334346002960985,"1% O2, CyA+ vs 1% O2, CyA-",0.19829821771299255
8,hsa04964,0.42453258736776367,"1% O2, CyA+ vs 1% O2, CyA-",0.3720889674440379
9,hsa04625,0.440637794833718,"1% O2, CyA+ vs 1% O2, CyA-",0.3559182548389844
10,hsa05221,0.44761177153693144,"1% O2, CyA+ vs 1% O2, CyA-",0.3490985006818711
11,hsa04145,0.29135459965224325,"1% O2, CyA+ vs 1% O2, CyA-",0.5355781212573059
12,hsa05217,0.3270818849092878,"1% O2, CyA+ vs 1% O2, CyA-",0.4853435081580882
13,hsa05223,0.343067877001501,"1% O2, CyA+ vs 1% O2, CyA-",0.46461994499865067
14,hsa05330,0.6904456904166102,"1% O2, CyA+ vs 1% O2, CyA-",0.16087047679569405
15,hsa04022,0.3498268247280437,"1% O2, CyA+ vs 1% O2, CyA-",0.4561468918707732
16,hsa00140,0.7345777641827776,"1% O2, CyA+ vs 1% O2, CyA-",0.1339622219734052
17,hsa04066,1.225733905769822e-07,"1% O2, CyA+ vs 1% O2, CyA-",6.911603800452777
18,hsa04724,0.6959899891378492,"1% O2, CyA+ vs 1% O2, CyA-",0.15739700707544166
19,hsa05012,0.5459126612601367,"1% O2, CyA+ vs 1% O2, CyA-",0.2628768330586743
20,hsa05146,0.7343260242330091,"1% O2, CyA+ vs 1% O2, CyA-",0.13411108028937072
21,hsa05410,0.6863928857443131,"1% O2, CyA+ vs 1% O2, CyA-",0.1634272264676252
22,hsa00510,0.7134163369700262,"1% O2, CyA+ vs 1% O2, CyA-",0.14665694970092288
23,hsa04114,5.8808232584342367e-05,"1% O2, CyA+ vs 1% O2, CyA-",4.230561872636758
24,hsa04310,0.19187989924611148,"1% O2, CyA+ vs 1% O2, CyA-",0.7169705182490282
25,hsa03015,0.24431029493714917,"1% O2, CyA+ vs 1% O2, CyA-",0.6120582320024448
26,hsa03440,0.3810895658695702,"1% O2, CyA+ vs 1% O2, CyA-",0.41897294193185797
27,hsa05152,0.4791081649733339,"1% O2, CyA+ vs 1% O2, CyA-",0.3195664278213618
28,hsa04110,0.5690745678221698,"1% O2, CyA+ vs 1% O2, CyA-",0.2448308227580338
29,hsa00604,0.7240919425113946,"1% O2, CyA+ vs 1% O2, CyA-",0.14020628519766795
30,hsa05416,0.5667123081801193,"1% O2, CyA+ vs 1% O2, CyA-",0.2466373550015943
31,hsa04664,0.05430028345716661,"1% O2, CyA+ vs 1% O2, CyA-",1.2651979033105638
32,hsa04929,0.14580874907357794,"1% O2, CyA+ vs 1% O2, CyA-",0.8362164159331539
33,hsa04136,0.4849860551741078,"1% O2, CyA+ vs 1% O2, CyA-",0.31427074850701836
34,hsa04660,0.02736451622708147,"1% O2, CyA+ vs 1% O2, CyA-",1.5628122252764975
35,hsa00310,0.4109751502307961,"1% O2, CyA+ vs 1% O2, CyA-",0.3861844371115464
36,hsa04070,0.6137455131531483,"1% O2, CyA+ vs 1% O2, CyA-",0.2120116698098331
37,hsa04726,0.42045477545625676,"1% O2, CyA+ vs 1% O2, CyA-",0.3762807105106517
38,hsa05332,0.7128651914158342,"1% O2, CyA+ vs 1% O2, CyA-",0.1469925909892116
39,hsa04916,0.08124190230786504,"1% O2, CyA+ vs 1% O2, CyA-",1.0902199159893362
40,hsa05169,0.6795668420551515,"1% O2, CyA+ vs 1% O2, CyA-",0.16776781971439395
41,hsa00900,0.298662720554676,"1% O2, CyA+ vs 1% O2, CyA-",0.5248189831802521
42,hsa00591,0.6508524456561081,"1% O2, CyA+ vs 1% O2, CyA-",0.18651745889844887
43,hsa04024,0.2505098146351437,"1% O2, CyA+ vs 1% O2, CyA-",0.6011752543939994
44,hsa04068,0.4079547148392164,"1% O2, CyA+ vs 1% O2, CyA-",0.3893880432507488
45,hsa00520,0.7027294326490104,"1% O2, CyA+ vs 1% O2, CyA-",0.15321185638257093
46,hsa00860,0.741126536783248,"1% O2, CyA+ vs 1% O2, CyA-",0.1301076361028172
47,hsa04922,0.25226054078288906,"1% O2, CyA+ vs 1% O2, CyA-",0.5981506775857997
48,hsa04926,0.6986170071248801,"1% O2, CyA+ vs 1% O2, CyA-",0.15576084610950267
49,hsa04370,0.3291446786951793,"1% O2, CyA+ vs 1% O2, CyA-",0.4826131617841193
50,hsa05213,0.35422639871469286,"1% O2, CyA+ vs 1% O2, CyA-",0.4507190761529959
51,hsa04520,0.3363539943524893,"1% O2, CyA+ vs 1% O2, CyA-",0.4732034105114465
52,hsa05110,0.5331206432329996,"1% O2, CyA+ vs 1% O2, CyA-",0.27317450061402626
53,hsa00430,0.6233091391730683,"1% O2, CyA+ vs 1% O2, CyA-",0.2052965052861909
54,hsa05220,0.49589542662196195,"1% O2, CyA+ vs 1% O2, CyA-",0.30460989695592444
55,hsa05235,0.38506147175507066,"1% O2, CyA+ vs 1% O2, CyA-",0.4144699335747569
56,hsa05207,0.028122538339446612,"1% O2, CyA+ vs 1% O2, CyA-",1.5509454824764433
57,hsa05418,0.5357804500559814,"1% O2, CyA+ vs 1% O2, CyA-",0.2710131372894177
58,hsa00920,0.6562713225763799,"1% O2, CyA+ vs 1% O2, CyA-",0.18291657291653962
59,hsa04931,0.17933783189144692,"1% O2, CyA+ vs 1% O2, CyA-",0.7463280849577631
60,hsa00500,0.7188192298837431,"1% O2, CyA+ vs 1% O2, CyA-",0.14338031314251934
61,hsa05216,0.6796722731751103,"1% O2, CyA+ vs 1% O2, CyA-",0.1677004465006632
62,hsa00740,0.630034594413045,"1% O2, CyA+ vs 1% O2, CyA-",0.20063560332387295
63,hsa00062,0.4696659990161902,"1% O2, CyA+ vs 1% O2, CyA-",0.32821087897820633
64,hsa04390,0.6498086923031677,"1% O2, CyA+ vs 1% O2, CyA-",0.18721448352034964
65,hsa04064,0.5850223155991247,"1% O2, CyA+ vs 1% O2, CyA-",0.2328275674960818
66,hsa04975,0.7018670357956643,"1% O2, CyA+ vs 1% O2, CyA-",0.15374515437967734
67,hsa04932,0.6173875780024148,"1% O2, CyA+ vs 1% O2, CyA-",0.20944211288320352
68,hsa05222,0.617071539727867,"1% O2, CyA+ vs 1% O2, CyA-",0.20966448344166702
69,hsa05320,0.6948607646855878,"1% O2, CyA+ vs 1% O2, CyA-",0.158102210067
70,hsa04115,0.5651451113485275,"1% O2, CyA+ vs 1% O2, CyA-",0.24784002480652687
71,hsa04710,0.08095901118448473,"1% O2, CyA+ vs 1% O2, CyA-",1.0917348048489453
72,hsa05206,0.3513548248885541,"1% O2, CyA+ vs 1% O2, CyA-",0.4542540782500374
73,hsa05032,0.7379530631382273,"1% O2, CyA+ vs 1% O2, CyA-",0.13197126022075062
74,hsa00620,0.6728860243182564,"1% O2, CyA+ vs 1% O2, CyA-",0.17205849179618588
75,hsa05132,0.37320447066137474,"1% O2, CyA+ vs 1% O2, CyA-",0.4280531624283881
76,hsa00053,0.6232010932763914,"1% O2, CyA+ vs 1% O2, CyA-",0.20537179345569814
77,hsa04658,0.6013585249862435,"1% O2, CyA+ vs 1% O2, CyA-",0.22086652799929135
78,hsa05014,,"1% O2, CyA+ vs 1% O2, CyA-",
79,hsa04933,0.7564393572025718,"1% O2, CyA+ vs 1% O2, CyA-",0.12122588309083741
80,hsa00531,0.6936839468805872,"1% O2, CyA+ vs 1% O2, CyA-",0.15883835575540164
81,hsa04714,0.4032560287296474,"1% O2, CyA+ vs 1% O2, CyA-",0.3944191311319405
82,hsa00592,0.7112835739200037,"1% O2, CyA+ vs 1% O2, CyA-",0.14795722059818905
83,hsa05170,0.563742421696861,"1% O2, CyA+ vs 1% O2, CyA-",0.24891928322902876
84,hsa05160,0.7512878769424113,"1% O2, CyA+ vs 1% O2, CyA-",0.124193619039243
85,hsa04392,0.5277214549082255,"1% O2, CyA+ vs 1% O2, CyA-",0.2775952488987915
86,hsa04666,0.42082185641674275,"1% O2, CyA+ vs 1% O2, CyA-",0.37590171211790346
87,hsa04920,0.47079145627543934,"1% O2, CyA+ vs 1% O2, CyA-",0.32717142714997
88,hsa04940,0.685992855247777,"1% O2, CyA+ vs 1% O2, CyA-",0.16368040753322466
89,hsa04672,0.6636389437963346,"1% O2, CyA+ vs 1% O2, CyA-",0.1780681365422
90,hsa00780,0.6171628545064027,"1% O2, CyA+ vs 1% O2, CyA-",0.20960022092444677
91,hsa00590,0.6576879002225873,"1% O2, CyA+ vs 1% O2, CyA-",0.18198014797638368
92,hsa05161,0.18774269048642517,"1% O2, CyA+ vs 1% O2, CyA-",0.7264369626764292
93,hsa04540,0.4148227429725995,"1% O2, CyA+ vs 1% O2, CyA-",0.3821374411047516
94,hsa04913,0.6489952039967448,"1% O2, CyA+ vs 1% O2, CyA-",0.18775851257627948
95,hsa05212,0.4454884008688166,"1% O2, CyA+ vs 1% O2, CyA-",0.3511635991562801
96,hsa05211,0.09410688126320726,"1% O2, CyA+ vs 1% O2, CyA-",1.026378619023596
97,hsa04371,0.2928528164410935,"1% O2, CyA+ vs 1% O2, CyA-",0.5333505948938536
98,hsa05164,0.5117336825282515,"1% O2, CyA+ vs 1% O2, CyA-",0.2909559966399004
99,hsa04146,0.7723633558780543,"1% O2, CyA+ vs 1% O2, CyA-",0.11217833913587233
100,hsa04122,0.394710443838333,"1% O2, CyA+ vs 1% O2, CyA-",0.40372138224053433
101,hsa05167,0.4955593077277508,"1% O2, CyA+ vs 1% O2, CyA-",0.3049043624147181
102,hsa00562,0.6538578862514833,"1% O2, CyA+ vs 1% O2, CyA-",0.1845166338217978
103,hsa04935,0.19022759994935012,"1% O2, CyA+ vs 1% O2, CyA-",0.720726471435903
104,hsa00240,0.7610606175336043,"1% O2, CyA+ vs 1% O2, CyA-",0.1185807508353246
105,hsa05200,0.3646539450383074,"1% O2, CyA+ vs 1% O2, CyA-",0.4381190836254586
106,hsa00480,0.713021868755206,"1% O2, CyA+ vs 1% O2, CyA-",0.1468971499040051
107,hsa04150,0.07377813826647171,"1% O2, CyA+ vs 1% O2, CyA-",1.132072308052011
108,hsa05034,0.38921851476179203,"1% O2, CyA+ vs 1% O2, CyA-",0.4098065089287912
109,hsa04750,0.49051677844421027,"1% O2, CyA+ vs 1% O2, CyA-",0.309346132705828
