,pathway,code,nodes,"1% O2, CyA+-1% O2, CyA-","1% O2, CyA--19% O2, CyA-","19% O2, CyA--1% O2, CyA+"
0,Hepatocellular carcinoma,05225,"['EGFR', 'GRB2', 'MTOR', 'IGF1R', 'PTEN', 'CCND1', 'MYC', 'APC', 'CTNNB1', 'GSK3B', 'RB1', 'TP53', 'CDKN1A', 'BAX', 'DDB2', 'POLK', 'ELK1', 'TGFBR1', 'SMAD4', 'TGFBR2', 'SMARCB1', 'ARID2', 'NFE2L2', 'TERT', 'HMOX1', 'NQO1', 'BAD', 'BCL2L1', 'CDKN2A', 'GAB1', 'SMARCE1', 'PBRM1', 'BRD7', 'BAK1', 'KEAP1', 'HRAS', 'KRAS', 'NRAS', 'ARAF', 'BRAF', 'RAF1', 'MAP2K1', 'MAP2K2', 'SHC1', 'SHC4', 'TCF7', 'TCF7L1', 'TCF7L2', 'LEF1', 'AXIN1', 'AXIN2', 'FRAT1', 'FRAT2', 'FZD2', 'FZD3', 'FZD4', 'FZD6', 'WNT3', 'WNT6', 'E2F1', 'E2F2', 'E2F3', 'PLCG1', 'PLCG2', 'PRKCA', 'PRKCB', 'TGFB1', 'TGFB3', 'SMAD2', 'SMAD3', 'CDK4', 'CDK6', 'ACTL6A', 'MAPK1', 'MAPK3', 'SOS1', 'SOS2', 'RPS6KB1', 'RPS6KB2', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R3', 'AKT1', 'AKT2', 'CSNK1A1', 'APC2', 'DVL1', 'DVL2', 'DVL3', 'LRP6', 'LRP5', 'FZD5', 'FZD1', 'FZD8', 'WNT5A', 'WNT10B', 'WNT2B', 'WNT10A', 'WNT5B', 'GADD45A', 'GADD45B', 'ARID1B', 'ARID1A', 'SMARCC1', 'SMARCC2', 'SMARCA2', 'SMARCA4', 'GSTO2', 'GSTA4', 'GSTM4', 'GSTP1', 'MGST1', 'MGST2', 'MGST3', 'GSTO1', 'TXNRD2', 'TXNRD1', 'ACTB', 'ACTG1', 'PHF10', 'DPF3', 'DPF1', 'SMARCD1', 'SMARCD2']",0.00039112788250412296,0.003411663820774987,0.013692597877023606
1,Vasopressin-regulated water reabsorption,04962,"['GNAS', 'AQP3', 'STX4', 'VAMP2', 'NSF', 'ADCY3', 'ADCY9', 'CREB1', 'CREB3', 'CREB5', 'PRKACA', 'PRKACB', 'CREB3L4', 'CREB3L2', 'ARHGDIA', 'ARHGDIB']",0.02373356179876267,0.0172601256759893,0.030971629366113616
2,Viral life cycle - HIV-1,03250,"['PSIP1', 'TSG101', 'PDCD6IP', 'CXCR4', 'RANBP2', 'NUP153', 'TRIM5', 'PPIA', 'SMARCB1', 'PIN1', 'XPO1', 'FURIN', 'AFF4', 'BST2', 'HGS', 'ELL', 'CDK9', 'EP300', 'RAN', 'SAMHD1', 'TNPO3', 'SUPT4H1', 'SUPT5H', 'SERINC5', 'SERINC3', 'CPSF6', 'CPSF7', 'NELFB', 'NELFCD', 'NELFA', 'NELFE', 'ELL2', 'ELL3', 'MLLT1', 'MLLT3', 'CCNT1', 'CCNT2']",0.0012731657875901838,0.0008403962062580948,0.0010912923608117295
3,GnRH signaling pathway,04912,"['CDC42', 'ATF4', 'MAPK7', 'MMP14', 'GNAS', 'SRC', 'ELK1', 'RAF1', 'GRB2', 'EGFR', 'HBEGF', 'PTK2B', 'JUN', 'MAP3K1', 'EGR1', 'PRKCA', 'PRKCB', 'PRKCD', 'ADCY3', 'ADCY4', 'ADCY5', 'ADCY7', 'ADCY9', 'MAP2K3', 'MAP2K6', 'MAP3K2', 'MAP3K3', 'MAP3K4', 'ITPR1', 'ITPR2', 'ITPR3', 'GNA11', 'MAP2K1', 'MAP2K2', 'HRAS', 'KRAS', 'NRAS', 'MAP2K4', 'MAP2K7', 'PLCB1', 'PLCB2', 'PLCB3', 'CAMK2B', 'CAMK2D', 'CAMK2G', 'MAPK14', 'MAPK11', 'MAPK13', 'MAPK12', 'PLA2G4B', 'PLA2G4C', 'JMJD7', 'CALM1', 'CALM2', 'CALM3', 'CALML4', 'PLD2', 'GNRH1', 'GNRH2', 'PRKACA', 'PRKACB', 'MAPK1', 'MAPK3', 'SOS1', 'SOS2', 'MAPK8', 'MAPK9']",0.04265409081806733,0.02918750799186036,0.027915540469623135
4,Melanoma,05218,"['BRAF', 'NRAS', 'CDK4', 'CCND1', 'PTEN', 'BAD', 'CDKN2A', 'CDKN1A', 'MDM2', 'TP53', 'RB1', 'BAX', 'DDB2', 'POLK', 'BAK1', 'EGFR', 'FGFR1', 'IGF1R', 'FGF2', 'E2F1', 'E2F2', 'E2F3', 'CDK6', 'MAP2K1', 'MAP2K2', 'RAF1', 'ARAF', 'HRAS', 'KRAS', 'FGF8', 'FGF20', 'FGF22', 'PDGFD', 'FGF18', 'AKT1', 'AKT2', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R3', 'MAPK1', 'MAPK3', 'GADD45A', 'GADD45B']",0.027734335489343738,0.1231342811962446,0.09793233753810726
5,Steroid biosynthesis,00100,"['EBP', 'DHCR7', 'DHCR24', 'TM7SF2', 'LSS', 'NSDHL', 'CYP2R1', 'CYP27B1', 'FDFT1', 'SQLE', 'SC5D', 'CYP51A1', 'MSMO1', 'HSD17B7', 'LBR', 'LIPA', 'CEL', 'SOAT1', 'SOAT2']",0.01918425016894105,0.03718900658988141,0.03390049208871018
6,Retinol metabolism,00830,"['RETSAT', 'PNPLA4', 'AOX1', 'CYP26A1', 'RDH11', 'RDH5', 'RDH10', 'DGAT1', 'RDH13', 'RDH16', 'DHRS4', 'DHRS4L2', 'HSD17B6', 'ADH5', 'ALDH1A1', 'CYP26C1']",0.04861067959550094,0.16072993167332622,0.10061086444184392
7,Lipoic acid metabolism,00785,"['LIPA', 'LIPT1', 'LIAS', 'LIPT2']",0.08812498023013458,0.10013725438753848,0.12216730757796078
8,Proximal tubule bicarbonate reclamation,04964,"['SLC9A3', 'SLC25A10', 'MDH1', 'GLS2', 'GLS', 'GLUD1', 'GLUD2', 'PCK1', 'PCK2']",0.1832228928154028,0.1166637535033709,0.30427768320052573
9,C-type lectin receptor signaling pathway,04625,"['LSP1', 'KSR1', 'PLK3', 'SRC', 'NFKB1', 'RAF1', 'PAK1', 'RELA', 'SYK', 'IL23A', 'PTPN11', 'IKBKG', 'CASP1', 'PYCARD', 'IL1B', 'CASP8', 'ARHGEF12', 'RHOA', 'CYLD', 'IKBKE', 'STAT1', 'STAT2', 'IRF9', 'IL17D', 'BCL3', 'MAPKAPK2', 'NFKBIA', 'CARD9', 'BCL10', 'MALT1', 'PRKCD', 'PLCG2', 'MAP3K14', 'TNF', 'CBLB', 'MDM2', 'IRF1', 'NFKB2', 'RELB', 'JUN', 'CHUK', 'HRAS', 'KRAS', 'NRAS', 'RRAS', 'RRAS2', 'IKBKB', 'NFATC1', 'NFATC2', 'NFATC3', 'NFATC4', 'ITPR1', 'ITPR2', 'ITPR3', 'EGR2', 'EGR3', 'MAPK1', 'MAPK3', 'PPP3CA', 'PPP3CB', 'PPP3CC', 'PPP3R1', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R3', 'AKT1', 'AKT2', 'CALM1', 'CALM2', 'CALM3', 'CALML4', 'MAPK14', 'MAPK11', 'MAPK13', 'MAPK12', 'MAPK8', 'MAPK9']",0.004827715894507618,0.00533617607903908,0.004384765745950431
10,Acute myeloid leukemia,05221,"['KRAS', 'NRAS', 'FLT3', 'SPI1', 'CEBPA', 'MYC', 'JUP', 'CCND1', 'PIM1', 'RUNX1', 'BAD', 'PIM2', 'GRB2', 'MTOR', 'EIF4EBP1', 'CEBPE', 'BCL2A1', 'PER2', 'DUSP6', 'PPARD', 'RARA', 'RUNX1T1', 'NFKB1', 'RELA', 'STAT3', 'STAT5A', 'STAT5B', 'TCF7', 'TCF7L1', 'TCF7L2', 'LEF1', 'PML', 'HRAS', 'IKBKB', 'IKBKG', 'MAP2K1', 'MAP2K2', 'BRAF', 'RAF1', 'ARAF', 'CCNA2', 'CHUK', 'RPS6KB1', 'RPS6KB2', 'SOS1', 'SOS2', 'AKT1', 'AKT2', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R3', 'MAPK1', 'MAPK3']",0.008970824984789834,0.004031574809258493,0.0055099453175566455
11,Phagosome,04145,"['STX18', 'VAMP3', 'ITGB1', 'MSR1', 'PIK3C3', 'EEA1', 'RILP', 'CYBA', 'NCF4', 'NCF1', 'NCF2', 'RAC1', 'TUBB', 'HGS', 'M6PR', 'PIKFYVE', 'STX12', 'STX7', 'OLR1', 'TLR2', 'TLR6', 'TLR4', 'SCARB1', 'CALR', 'CANX', 'TFRC', 'CORO1A', 'SEC22B', 'CYBB', 'RAB5A', 'RAB5B', 'RAB5C', 'RAB7A', 'DYNC1H1', 'DYNC1I2', 'DYNC1LI2', 'DYNC1LI1', 'TUBA1B', 'TUBA4A', 'TUBA1A', 'TUBA1C', 'TUBB3', 'TUBB4A', 'TUBB4B', 'TUBB2B', 'TUBB2A']",0.002246567251620658,0.00602758922782583,0.00502154899461122
12,Basal cell carcinoma,05217,"['GLI1', 'APC', 'PTCH1', 'SUFU', 'SMO', 'CTNNB1', 'GSK3B', 'TP53', 'CDKN1A', 'BAX', 'DDB2', 'POLK', 'BAK1', 'PTCH2', 'WNT3', 'WNT6', 'FZD2', 'FZD3', 'FZD4', 'FZD6', 'TCF7', 'TCF7L1', 'TCF7L2', 'LEF1', 'WNT5A', 'WNT10B', 'WNT2B', 'WNT10A', 'WNT5B', 'DVL1', 'DVL2', 'DVL3', 'FZD5', 'FZD1', 'FZD8', 'GADD45A', 'GADD45B']",0.13253243396907344,0.27340040975863955,0.28552853029277037
13,Non-small cell lung cancer,05223,"['FOXO3', 'CASP9', 'BAD', 'PDPK1', 'CCND1', 'EGFR', 'STK4', 'ERBB2', 'RB1', 'GRB2', 'RASSF1', 'RASSF5', 'CDKN2A', 'FHIT', 'KRAS', 'JAK3', 'TP53', 'CDKN1A', 'BAX', 'DDB2', 'POLK', 'BAK1', 'PRKCA', 'PRKCB', 'CDK4', 'CDK6', 'E2F1', 'E2F2', 'E2F3', 'HRAS', 'NRAS', 'PLCG1', 'PLCG2', 'RXRA', 'RXRB', 'MAP2K1', 'MAP2K2', 'BRAF', 'RAF1', 'ARAF', 'EML4', 'STAT3', 'STAT5A', 'STAT5B', 'AKT1', 'AKT2', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R3', 'SOS1', 'SOS2', 'MAPK1', 'MAPK3', 'GADD45A', 'GADD45B', 'KIF5A', 'KIF5B', 'KIF5C']",0.004913358255850354,0.0030472873711398017,0.010145406256390238
14,Allograft rejection,05330,"['PRF1', 'CD28', 'TNF', 'CD40', 'FAS', 'CD80', 'CD86']",0.14750837027774594,0.06138661296508578,0.10216965802085158
15,cGMP-PKG signaling pathway,04022,"['RGS2', 'RHOA', 'SRF', 'RAF1', 'BAD', 'VASP', 'NOS3', 'PRKCE', 'INSR', 'NPR2', 'PPP1R12A', 'PRKG2', 'ITPR1', 'ITPR2', 'ITPR3', 'KCNMB3', 'KCNMB4', 'ROCK1', 'ROCK2', 'GNA11', 'NFATC1', 'NFATC2', 'NFATC3', 'NFATC4', 'MEF2A', 'MEF2B', 'MEF2C', 'MEF2D', 'MAP2K1', 'MAP2K2', 'CREB1', 'ATF2', 'ATF4', 'CREB3', 'CREB5', 'ATF6B', 'PIK3CG', 'ADCY3', 'ADCY4', 'ADCY5', 'ADCY7', 'ADCY9', 'PDE3B', 'VDAC1', 'VDAC2', 'VDAC3', 'PPIF', 'IRS1', 'IRS2', 'ADRB2', 'ADORA3', 'GNA12', 'GNA13', 'PPP1CA', 'PPP1CB', 'PPP1CC', 'PLCB1', 'PLCB2', 'PLCB3', 'PPP3CA', 'PPP3CB', 'PPP3CC', 'PPP3R1', 'BORCS8', 'ATP2A1', 'ATP2A2', 'ATP2A3', 'MAPK1', 'MAPK3', 'CREB3L4', 'CREB3L2', 'SLC8A1', 'ATP1A1', 'ATP1A3', 'ATP1B1', 'ATP1B3', 'ATP2B1', 'ATP2B4', 'GTF2I', 'PIK3R5', 'AKT1', 'AKT2', 'SLC25A4', 'SLC25A5', 'MYLK4', 'MYLK2', 'MYLK3', 'CALM1', 'CALM2', 'CALM3', 'CALML4', 'GNAI2', 'GNAI3']",0.009343547065080388,0.004012445912754514,0.0029188908271150418
16,Steroid hormone biosynthesis,00140,"['STS', 'HSD11B2', 'COMT', 'HSD17B1', 'HSD17B6', 'HSD17B8', 'HSD17B7', 'HSD17B12', 'SRD5A1', 'SRD5A3', 'CYP2E1', 'HSD11B1L', 'LRTOMT']",0.06797483905559991,0.0911265961633195,0.09149207472093587
