"term.id","term.name","adjusted.p.val","term.size","overlap","evidence","Genes_mrna","Genes_prot","Genes_phosph","Contrast","negativelog10FDR","Pathway","Method"
"Aminoacyl-tRNA biosynthesis - Homo sapiens (human)","hsa00970","0.0374938988652593","48","c(""WARS"", ""CARS"", ""YARS"", ""GARS"", ""AARS1"", ""AARS"", ""SARS"", ""TARS"", ""MARS"", ""MARS1"")","mrna","c(""WARS"", ""CARS"", ""YARS"", ""GARS"", ""AARS"", ""SARS"", ""TARS"", ""MARS"", ""IARS"", ""LARS"")","NA","NA","X1O2NoCyA - X1O2PlusCyA","1.42603939639822","Aminoacyl-Trna Biosynthesis","Combined"
"Protein processing in endoplasmic reticulum - Homo sapiens (human)","hsa04141","0.0150199773032822","86","c(""CANX"", ""HERPUD1"", ""SEC24D"", ""UBE4B"", ""RRBP1"", ""PDIA4"", ""P4HB"", ""HSP90B1"", ""PDIA6"", ""XBP1"", ""ATF4"", ""UBXN6"", ""ERLEC1"", ""LMAN2"", ""PREB"", ""HSPA5"")","mrna","c(""SEC24D"", ""PDIA4"", ""P4HB"", ""HERPUD1"", ""HSP90B1"", ""ATF4"", ""LMAN2"", ""ERLEC1"", ""PREB"", ""HSPA5"", ""CKAP4"", ""SEC23B"", ""PDIA6"", ""SEC24C"", ""ERP29"", ""MARCH6"", ""CALR"", ""AMFR"", ""CANX"", ""RRBP1"", ""SYVN1"", ""PDIA3"", ""MOGS"", ""WFS1"", ""TXNDC5"", ""EIF2AK2"", ""LMAN1"", ""SEC13"", ""SVIP"", ""PPP1R15A"", ""RBX1"")","NA","NA","X1O2NoCyA - X1O2PlusCyA","1.82333072359462","Protein Processing In Endoplasmic Reticulum","Combined"
"Long-term potentiation - Homo sapiens (human)","hsa04720","0.0150199773032822","49","c(""ITPR1"", ""EP300"", ""PPP3CB"", ""CAMK2D"", ""RPS6KA3"", ""ITPR3"", ""RAF1"", ""ATF4"", ""ARAF"")","phosph","NA","NA","c(""EP300"", ""ITPR1"", ""PPP3CB"", ""CAMK2D"", ""ITPR3"", ""ARAF"", ""RAF1"", ""RPS6KA3"")","X1O2NoCyA - X1O2PlusCyA","1.82333072359462","Long-Term Potentiation","Combined"
"Thyroid hormone synthesis - Homo sapiens (human)","hsa04918","0.0374938988652593","37","c(""CANX"", ""ITPR1"", ""PDIA4"", ""ITPR3"", ""HSP90B1"", ""CREB3L2"", ""ATF4"")","mrna","c(""PDIA4"", ""HSP90B1"", ""CREB3L2"", ""ATF4"", ""HSPA5"", ""CREB3"")","NA","NA","X1O2NoCyA - X1O2PlusCyA","1.42603939639822","Thyroid Hormone Synthesis","Combined"
"Prostate cancer - Homo sapiens (human)","hsa05215","0.0150199773032822","72","c(""HSP90AB1"", ""HSP90AA1"", ""EP300"", ""SOS1"", ""IKBKB"", ""CCNE2"", ""HSP90B1"", ""RAF1"", ""CREB3L2"", ""ATF4"", ""ARAF"")","mrna","c(""CCNE2"", ""HSP90B1"", ""CREB3L2"", ""ATF4"", ""CREB3"", ""CDK2"", ""RB1"")","NA","NA","X1O2NoCyA - X1O2PlusCyA","1.82333072359462","Prostate Cancer","Combined"
"Glycolysis / Gluconeogenesis - Homo sapiens (human)","hsa00010","0.00730007486971901","52","c(""PGM1"", ""GPI"", ""GAPDH"", ""TPI1"", ""PGK1"", ""PGAM1"", ""ENO1"", ""PDHA1"", ""HK2"", ""ALDOC"", ""LDHA"", ""PGM2"", ""MDH1"", ""PKM"")","mrna","c(""HK2"", ""ALDOC"", ""TPI1"", ""LDHA"", ""PGAM1"", ""PGK1"", ""ENO1"", ""PKM"", ""GPI"")","NA","NA","X1O2NoCyA vs X19O2NoCyA","2.1366726857235","Glycolysis / Gluconeogenesis","Combined"
"Pentose phosphate pathway - Homo sapiens (human)","hsa00030","0.00730007486971901","27","c(""PGM1"", ""GPI"")","mrna","c(""ALDOC"", ""GPI"", ""PGM1"")","NA","NA","X1O2NoCyA vs X19O2NoCyA","2.1366726857235","Pentose Phosphate Pathway","Combined"
"Starch and sucrose metabolism - Homo sapiens (human)","hsa00500","0.00730007486971901","24","c(""PGM1"", ""GPI"")","mrna","c(""HK2"", ""GPI"", ""PGM1"", ""GBE1"")","NA","NA","X1O2NoCyA vs X19O2NoCyA","2.1366726857235","Starch And Sucrose Metabolism","Combined"
"Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)","hsa00520","0.00980989949617785","36","c(""PGM1"", ""GPI"")","c(""mrna"", ""phosph"")","c(""HK2"", ""GPI"", ""MPI"", ""PGM1"")","NA","c(""GFPT1"", ""PGM1"")","X1O2NoCyA vs X19O2NoCyA","2.00833544200629","Amino Sugar And Nucleotide Sugar Metabolism","Combined"
"HIF-1 signaling pathway - Homo sapiens (human)","hsa04066","0.0314351464444772","88","c(""GAPDH"", ""IGF1R"", ""MAP2K2"", ""TFRC"", ""PGK1"", ""PFKFB3"", ""EP300"", ""ENO1"", ""PDHA1"", ""HK2"", ""MTOR"", ""PDK1"", ""ALDOC"", ""LDHA"", ""CAMK2D"", ""ARNT"", ""SLC2A1"", ""EGLN1"", ""PFKL"")","mrna","c(""HK2"", ""PDK1"", ""ALDOC"", ""LDHA"", ""PFKFB3"", ""PGK1"", ""ENO1"", ""SLC2A1"", ""EGLN1"")","NA","NA","X1O2NoCyA vs X19O2NoCyA","1.50258451209508","Hif-1 Signaling Pathway","Combined"
"Spinocerebellar ataxia - Homo sapiens (human)","hsa05017","0.0300464519527492","112","c(""PSMA5"", ""PIK3R4"", ""PIK3C3"", ""WIPI2"", ""RB1CC1"", ""SP1"", ""PSMA2"", ""ATG2A"")","phosph","NA","NA","c(""PSMA5"", ""PIK3R4"", ""WIPI2"", ""SP1"", ""PIK3C3"", ""ATG2A"", ""PSMA2"", ""RB1CC1"")","X1O2NoCyA vs X19O2NoCyA","1.52220680447048","Spinocerebellar Ataxia","Combined"
"Central carbon metabolism in cancer - Homo sapiens (human)","hsa05230","0.0470687808250452","52","c(""SIRT6"", ""MAP2K2"", ""PGAM1"", ""PDHA1"", ""HK2"", ""MTOR"", ""PDK1"", ""LDHA"", ""SLC1A5"", ""SLC2A1"", ""PKM"", ""MYC"", ""PFKL"")","mrna","c(""HK2"", ""PDK1"", ""LDHA"", ""PGAM1"", ""PKM"", ""SLC2A1"")","NA","NA","X1O2NoCyA vs X19O2NoCyA","1.32726705063779","Central Carbon Metabolism In Cancer","Combined"
"Glycolysis / Gluconeogenesis - Homo sapiens (human)","hsa00010","0.000554063897139176","52","c(""PGM1"", ""GPI"", ""GAPDH"", ""HK2"", ""PGAM1"", ""PCK2"", ""PDHA1"", ""LDHA"", ""ALDOC"", ""ENO1"", ""PGK1"", ""TPI1"", ""MDH1"", ""PKM"")","mrna","c(""HK2"", ""PCK2"", ""LDHA"", ""ALDOC"", ""ENO1"", ""TPI1"", ""PGAM1"", ""PKM"", ""PGK1"", ""PGM1"", ""MDH1"", ""GPI"", ""ACSS1"", ""G6PC3"", ""GAPDH"", ""ALDH9A1"", ""ACSS2"")","NA","NA","X19O2NoCyA - X1O2PlusCyA","3.25644014759151","Glycolysis / Gluconeogenesis","Combined"
"Pentose phosphate pathway - Homo sapiens (human)","hsa00030","0.00438711726048483","27","c(""PGM1"", ""GPI"")","combined","NA","NA","NA","X19O2NoCyA - X1O2PlusCyA","2.35782075745716","Pentose Phosphate Pathway","Combined"
"Starch and sucrose metabolism - Homo sapiens (human)","hsa00500","0.00438711726048483","24","c(""PGM1"", ""GPI"")","mrna","c(""HK2"", ""PGM1"", ""GPI"", ""G6PC3"", ""GBE1"")","NA","NA","X19O2NoCyA - X1O2PlusCyA","2.35782075745716","Starch And Sucrose Metabolism","Combined"
"Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)","hsa00520","0.00589887058245295","36","c(""PGM1"", ""GPI"")","mrna","c(""HK2"", ""GMPPA"", ""PGM1"", ""PGM3"", ""GPI"", ""GALT"", ""MPI"")","NA","NA","X19O2NoCyA - X1O2PlusCyA","2.22923113187681","Amino Sugar And Nucleotide Sugar Metabolism","Combined"
"Carbon metabolism - Homo sapiens (human)","hsa01200","0.0492224251302172","22","c(""GPI"", ""GAPDH"")","mrna","c(""PSAT1"", ""PHGDH"", ""TPI1"", ""GPI"", ""GAPDH"")","NA","NA","X19O2NoCyA - X1O2PlusCyA","1.30783699293461","Carbon Metabolism","Combined"
"HIF-1 signaling pathway - Homo sapiens (human)","hsa04066","0.0130017298918957","88","c(""GAPDH"", ""IGF1R"", ""MAP2K2"", ""TFRC"", ""HK2"", ""PFKFB3"", ""PDK1"", ""PDHA1"", ""LDHA"", ""ALDOC"", ""ENO1"", ""SLC2A1"", ""PGK1"", ""VEGFA"", ""EGLN1"", ""EIF4EBP1"")","mrna","c(""HK2"", ""PDK1"", ""PFKFB3"", ""LDHA"", ""ALDOC"", ""SLC2A1"", ""ENO1"", ""VEGFA"")","NA","NA","X19O2NoCyA - X1O2PlusCyA","1.88599886057601","Hif-1 Signaling Pathway","Combined"
