"","feature","sample","value","view"
"1","RP11-34P13.3","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"2","RP11-34P13.14","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"3","RP4-669L17.2","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"4","RF00026","1% O2, CyA-",0,"Transcriptomics"
"5","FAM87B","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"6","TUBB8P11","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"7","RP11-465B22.3","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"8","RP11-465B22.5","1% O2, CyA-",0.304470188304733,"Transcriptomics"
"9","C1QTNF12","1% O2, CyA-",0,"Transcriptomics"
"10","RP5-902P8.12","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"11","RP5-902P8.10","1% O2, CyA-",0,"Transcriptomics"
"12","SCNN1D","1% O2, CyA-",0.349507803453971,"Transcriptomics"
"13","TMEM240","1% O2, CyA-",0.209944082040261,"Transcriptomics"
"14","RP11-345P4.10","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"15","RP4-740C4.7","1% O2, CyA-",0,"Transcriptomics"
"16","PLCH2","1% O2, CyA-",0.257981171499655,"Transcriptomics"
"17","RP3-395M20.7","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"18","TTC34","1% O2, CyA-",0,"Transcriptomics"
"19","TP73","1% O2, CyA-",0,"Transcriptomics"
"20","RP11-374C13.1","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"21","CHD5","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"22","GPR153","1% O2, CyA-",0.209944082040261,"Transcriptomics"
"23","TNFRSF25","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"24","RP11-58A11.2","1% O2, CyA-",0.349507803453971,"Transcriptomics"
"25","CTA-215D11.5","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"26","RP5-1115A15.1","1% O2, CyA-",0,"Transcriptomics"
"27","RP11-185B14.1","1% O2, CyA-",0.209944082040261,"Transcriptomics"
"28","SLC2A7","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"29","RNU6-37P","1% O2, CyA-",0,"Transcriptomics"
"30","CORT","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"31","RP4-635E18.7","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"32","DRAXIN","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"33","C1ORF167","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"34","NPPA","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"35","RP11-426M1.2","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"36","RF00156","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"37","SNORA59A","1% O2, CyA-",0,"Transcriptomics"
"38","FHAD1","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"39","SLC25A34","1% O2, CyA-",0.257981171499655,"Transcriptomics"
"40","MTL1","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"41","MST1P2","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"42","RP1-163M9.8","1% O2, CyA-",0.476753272409049,"Transcriptomics"
"43","ESPNP","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"44","RP5-1182A14.7","1% O2, CyA-",0.435572637294557,"Transcriptomics"
"45","RP1-163M9.5","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"46","RP11-108M9.5","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"47","RNU1-2","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"48","RP11-108M9.6","1% O2, CyA-",0,"Transcriptomics"
"49","PADI4","1% O2, CyA-",0.393181906361246,"Transcriptomics"
"50","ACTL8","1% O2, CyA-",0.257981171499655,"Transcriptomics"
"51","RP1-8B22.1","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"52","RNU6-1099P","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
