pathway,code,nodes,"1% O2, CyA+-1% O2, CyA-","1% O2, CyA--19% O2, CyA-","19% O2, CyA--1% O2, CyA+"
Hepatocellular carcinoma,5225,"['EGFR', 'GRB2', 'MTOR', 'IGF1R', 'PTEN', 'CCND1', 'MYC', 'APC', 'CTNNB1', 'GSK3B', 'RB1', 'TP53', 'CDKN1A', 'BAX', 'DDB2', 'POLK', 'ELK1', 'TGFBR1', 'SMAD4', 'TGFBR2', 'SMARCB1', 'ARID2', 'NFE2L2', 'TERT', 'HMOX1', 'NQO1', 'BAD', 'BCL2L1', 'CDKN2A', 'GAB1', 'SMARCE1', 'PBRM1', 'BRD7', 'BAK1', 'KEAP1', 'HRAS', 'KRAS', 'NRAS', 'ARAF', 'BRAF', 'RAF1', 'MAP2K1', 'MAP2K2', 'SHC1', 'SHC4', 'TCF7', 'TCF7L1', 'TCF7L2', 'LEF1', 'AXIN1', 'AXIN2', 'FRAT1', 'FRAT2', 'FZD2', 'FZD3', 'FZD4', 'FZD6', 'WNT3', 'WNT6', 'E2F1', 'E2F2', 'E2F3', 'PLCG1', 'PLCG2', 'PRKCA', 'PRKCB', 'PRKCG', 'TGFB1', 'TGFB3', 'SMAD2', 'SMAD3', 'CDK4', 'CDK6', 'ACTL6A', 'MAPK1', 'MAPK3', 'SOS1', 'SOS2', 'RPS6KB1', 'RPS6KB2', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R3', 'AKT1', 'AKT2', 'CSNK1A1', 'APC2', 'DVL1', 'DVL2', 'DVL3', 'LRP6', 'LRP5', 'FZD5', 'FZD1', 'FZD8', 'WNT5A', 'WNT10B', 'WNT2B', 'WNT10A', 'WNT5B', 'GADD45A', 'GADD45B', 'ARID1B', 'ARID1A', 'SMARCC1', 'SMARCC2', 'SMARCA2', 'SMARCA4', 'GSTO2', 'GSTA4', 'GSTM4', 'GSTP1', 'MGST1', 'MGST2', 'MGST3', 'GSTO1', 'TXNRD2', 'TXNRD1', 'ACTB', 'ACTG1', 'PHF10', 'DPF3', 'DPF1', 'SMARCD1', 'SMARCD2']",0.828996777,1.210234051,1.256014225
Vasopressin-regulated water reabsorption,4962,"['GNAS', 'AQP3', 'STX4', 'VAMP2', 'NSF', 'ADCY3', 'ADCY9', 'CREB1', 'CREB3', 'CREB5', 'PRKACA', 'PRKACB', 'CREB3L4', 'CREB3L2', 'ARHGDIA', 'ARHGDIB']",0.128669225,0.094893689,0.14563386
Viral life cycle - HIV-1,3250,"['PSIP1', 'TSG101', 'PDCD6IP', 'CXCR4', 'RANBP2', 'NUP153', 'TRIM5', 'PPIA', 'SMARCB1', 'PIN1', 'XPO1', 'FURIN', 'AFF4', 'BST2', 'HGS', 'ELL', 'CDK9', 'EP300', 'RAN', 'SAMHD1', 'TNPO3', 'SUPT4H1', 'SUPT5H', 'SERINC5', 'SERINC3', 'CPSF6', 'CPSF7', 'NELFB', 'NELFCD', 'NELFA', 'NELFE', 'ELL2', 'ELL3', 'MLLT1', 'MLLT3', 'CCNT1', 'CCNT2']",1.37672659,3.309956939,2.135670083
GnRH signaling pathway,4912,"['CDC42', 'ATF4', 'MAPK7', 'MMP14', 'GNAS', 'SRC', 'ELK1', 'RAF1', 'GRB2', 'EGFR', 'HBEGF', 'PTK2B', 'JUN', 'MAP3K1', 'EGR1', 'PRKCA', 'PRKCB', 'PRKCD', 'ADCY3', 'ADCY4', 'ADCY5', 'ADCY7', 'ADCY9', 'MAP2K3', 'MAP2K6', 'MAP3K2', 'MAP3K3', 'MAP3K4', 'ITPR1', 'ITPR2', 'ITPR3', 'GNA11', 'MAP2K1', 'MAP2K2', 'HRAS', 'KRAS', 'NRAS', 'MAP2K4', 'MAP2K7', 'PLCB1', 'PLCB2', 'PLCB3', 'CAMK2B', 'CAMK2D', 'CAMK2G', 'MAPK14', 'MAPK11', 'MAPK13', 'MAPK12', 'PLA2G4B', 'PLA2G4C', 'JMJD7', 'CALM1', 'CALM2', 'CALM3', 'CALML3', 'CALML4', 'PLD2', 'GNRH1', 'GNRH2', 'PRKACA', 'PRKACB', 'MAPK1', 'MAPK3', 'SOS1', 'SOS2', 'MAPK8', 'MAPK9']",2.633094036,0.668096842,0.393448526
Melanoma,5218,"['BRAF', 'NRAS', 'CDK4', 'CCND1', 'PTEN', 'BAD', 'CDKN2A', 'CDKN1A', 'MDM2', 'TP53', 'RB1', 'BAX', 'DDB2', 'POLK', 'BAK1', 'EGFR', 'FGFR1', 'IGF1R', 'FGF2', 'E2F1', 'E2F2', 'E2F3', 'CDK6', 'MAP2K1', 'MAP2K2', 'RAF1', 'ARAF', 'HRAS', 'KRAS', 'FGF8', 'FGF20', 'FGF22', 'PDGFD', 'FGF18', 'AKT1', 'AKT2', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R3', 'MAPK1', 'MAPK3', 'GADD45A', 'GADD45B']",0.784815736,0.980888416,1.273021407
Steroid biosynthesis,100,"['EBP', 'DHCR7', 'DHCR24', 'TM7SF2', 'LSS', 'NSDHL', 'CYP2R1', 'CYP27B1', 'FDFT1', 'SQLE', 'SC5D', 'CYP51A1', 'MSMO1', 'HSD17B7', 'LBR', 'LIPA', 'CEL', 'SOAT1', 'SOAT2']",0.537793247,0.424901095,0.245490293
Retinol metabolism,830,"['RETSAT', 'PNPLA4', 'AOX1', 'CYP26A1', 'RDH11', 'RDH5', 'RDH10', 'DGAT1', 'RDH13', 'RDH16', 'DHRS4', 'DHRS4L2', 'HSD17B6', 'ADH5', 'ALDH1A1', 'CYP26C1']",0.164439391,0.146885727,0.217239928
Lipoic acid metabolism,785,"['LIPA', 'LIPT1', 'LIAS', 'LIPT2']",0.24444176,0.159066971,0.256660194
Proximal tubule bicarbonate reclamation,4964,"['SLC9A3', 'SLC25A10', 'MDH1', 'GLS2', 'GLS', 'GLUD1', 'GLUD2', 'PCK1', 'PCK2']",0.75210553,0.215628624,0.540008446
C-type lectin receptor signaling pathway,4625,"['LSP1', 'KSR1', 'PLK3', 'SRC', 'NFKB1', 'RAF1', 'PAK1', 'RELA', 'SYK', 'IL23A', 'PTPN11', 'IKBKG', 'CASP1', 'PYCARD', 'IL1B', 'CASP8', 'ARHGEF12', 'RHOA', 'CYLD', 'IKBKE', 'STAT1', 'STAT2', 'IRF9', 'IL17D', 'BCL3', 'MAPKAPK2', 'NFKBIA', 'CARD9', 'BCL10', 'MALT1', 'PRKCD', 'PLCG2', 'MAP3K14', 'TNF', 'CBLB', 'MDM2', 'IRF1', 'NFKB2', 'RELB', 'JUN', 'CHUK', 'HRAS', 'KRAS', 'NRAS', 'RRAS', 'RRAS2', 'IKBKB', 'NFATC1', 'NFATC2', 'NFATC3', 'NFATC4', 'ITPR1', 'ITPR2', 'ITPR3', 'EGR2', 'EGR3', 'MAPK1', 'MAPK3', 'PPP3CA', 'PPP3CB', 'PPP3CC', 'PPP3R1', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R3', 'AKT1', 'AKT2', 'CALM1', 'CALM2', 'CALM3', 'CALML3', 'CALML4', 'MAPK14', 'MAPK11', 'MAPK13', 'MAPK12', 'MAPK8', 'MAPK9']",1.334085266,0.664207179,0.825425834
