Pathway,P-value,Contrast,-log10Pvalue,Pathway Name
hsa05225,2.386557009786098e-05,"1% O2, CyA+ vs 1% O2, CyA-",4.622228186799604,Hepatocellular carcinoma
hsa04962,0.4854028921134373,"1% O2, CyA+ vs 1% O2, CyA-",0.3138976403955859,Vasopressin-regulated water reabsorption
hsa03250,4.3984496666043753e-07,"1% O2, CyA+ vs 1% O2, CyA-",6.356700373487685,Viral life cycle - HIV-1
hsa04912,0.00021003931778362418,"1% O2, CyA+ vs 1% O2, CyA-",3.677699400989097,GnRH signaling pathway
hsa05218,0.007950786418058202,"1% O2, CyA+ vs 1% O2, CyA-",2.0995899128363913,Melanoma
hsa00100,5.289224835589191e-29,"1% O2, CyA+ vs 1% O2, CyA-",28.27660797149863,Steroid biosynthesis
hsa00830,0.4733382781033767,"1% O2, CyA+ vs 1% O2, CyA-",0.3248283734173233,Retinol metabolism
hsa00785,0.5467381708937606,"1% O2, CyA+ vs 1% O2, CyA-",0.26222060448811246,Lipoic acid metabolism
hsa04625,1.0512493428500214e-16,"1% O2, CyA+ vs 1% O2, CyA-",15.978294262677217,C-type lectin receptor signaling pathway
hsa05221,0.006905841343725385,"1% O2, CyA+ vs 1% O2, CyA-",2.160783403446177,Acute myeloid leukemia
hsa04145,0.0051253216471960055,"1% O2, CyA+ vs 1% O2, CyA-",2.290278874619713,Phagosome
hsa05217,0.24924420984505108,"1% O2, CyA+ vs 1% O2, CyA-",0.6033749219292535,Basal cell carcinoma
hsa05223,0.09861897702025552,"1% O2, CyA+ vs 1% O2, CyA-",1.0060395067406178,Non-small cell lung cancer
hsa05330,0.5429738992409554,"1% O2, CyA+ vs 1% O2, CyA-",0.2652210464481124,Allograft rejection
hsa04022,0.01045815761884426,"1% O2, CyA+ vs 1% O2, CyA-",1.980544817040838,cGMP-PKG signaling pathway
hsa00140,0.5022540918356565,"1% O2, CyA+ vs 1% O2, CyA-",0.29907651639273936,Steroid hormone biosynthesis
hsa04066,2.0800119086661096e-07,"1% O2, CyA+ vs 1% O2, CyA-",6.6819341785693664,HIF-1 signaling pathway
hsa04724,0.44063839539780136,"1% O2, CyA+ vs 1% O2, CyA-",0.3559176629208768,Glutamatergic synapse
hsa05012,0.3069610815554794,"1% O2, CyA+ vs 1% O2, CyA-",0.5129166836014097,Parkinson disease
hsa05146,0.43903979662507037,"1% O2, CyA+ vs 1% O2, CyA-",0.357496111486088,Amoebiasis
hsa05410,0.3894440104329844,"1% O2, CyA+ vs 1% O2, CyA-",0.409554971130937,Hypertrophic cardiomyopathy
hsa00510,0.47108819754855186,"1% O2, CyA+ vs 1% O2, CyA-",0.32689777626218114,N-Glycan biosynthesis
hsa04114,1.1333270297874718e-05,"1% O2, CyA+ vs 1% O2, CyA-",4.9456447532092875,Oocyte meiosis
hsa04310,0.009041092640724453,"1% O2, CyA+ vs 1% O2, CyA-",2.043779080679262,Wnt signaling pathway
hsa03015,5.990732369570501e-19,"1% O2, CyA+ vs 1% O2, CyA-",18.222520081680695,mRNA surveillance pathway
hsa03440,0.15046973937940755,"1% O2, CyA+ vs 1% O2, CyA-",0.8225508312457813,Homologous recombination
hsa05152,0.12695969209201324,"1% O2, CyA+ vs 1% O2, CyA-",0.8963341395211804,Tuberculosis
hsa04110,0.07752580666505776,"1% O2, CyA+ vs 1% O2, CyA-",1.1105537061824038,Cell cycle
hsa00604,0.5241903666957344,"1% O2, CyA+ vs 1% O2, CyA-",0.28051096455944446,Glycosphingolipid biosynthesis - ganglio series
hsa05416,0.014238786259310784,"1% O2, CyA+ vs 1% O2, CyA-",1.8465270291928093,Viral myocarditis
hsa04664,1.7797540341051715e-26,"1% O2, CyA+ vs 1% O2, CyA-",25.74964001398999,Fc epsilon RI signaling pathway
