,pathway,code,nodes,"1% O2, CyA+-1% O2, CyA-","1% O2, CyA--19% O2, CyA-","19% O2, CyA--1% O2, CyA+"
0,Hepatocellular carcinoma,05225,"['GRB2', 'MTOR', 'MYC', 'APC', 'CTNNB1', 'RB1', 'TP53', 'BAX', 'SMAD4', 'TGFBR2', 'SMARCB1', 'ARID2', 'BAD', 'BCL2L1', 'GAB1', 'SMARCE1', 'PBRM1', 'BRD7', 'KEAP1', 'NRAS', 'ARAF', 'BRAF', 'MAP2K1', 'MAP2K2', 'SHC1', 'LEF1', 'FZD6', 'PLCG1', 'PLCG2', 'PRKCA', 'TGFB1', 'SMAD2', 'SMAD3', 'CDK6', 'ACTL6A', 'MAPK1', 'MAPK3', 'RPS6KB1', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'CSNK1A1', 'DVL2', 'ARID1B', 'ARID1A', 'SMARCC1', 'SMARCC2', 'SMARCA2', 'SMARCA4', 'GSTP1', 'MGST1', 'MGST3', 'GSTO1', 'TXNRD1', 'ACTB', 'PHF10', 'SMARCD1', 'SMARCD2']",4.582017185704782,4.77782084334151,1.9783682394246092
1,Vasopressin-regulated water reabsorption,04962,"['GNAS', 'STX4', 'NSF', 'CREB1', 'PRKACA', 'PRKACB', 'ARHGDIA', 'ARHGDIB']",0.08274301077039463,0.08705210169123413,0.16650711404127091
2,Viral life cycle - HIV-1,03250,"['PSIP1', 'TSG101', 'PDCD6IP', 'CXCR4', 'RANBP2', 'NUP153', 'TRIM5', 'PPIA', 'SMARCB1', 'PIN1', 'XPO1', 'BST2', 'HGS', 'ELL', 'CDK9', 'RAN', 'SAMHD1', 'TNPO3', 'SUPT5H', 'SERINC5', 'SERINC3', 'CPSF6', 'CPSF7', 'NELFB', 'NELFCD', 'NELFA', 'NELFE', 'MLLT1', 'CCNT1', 'CCNT2']",0.2018064331736439,0.12003407821028554,2.1177813209278895
3,GnRH signaling pathway,04912,"['CDC42', 'GNAS', 'GRB2', 'PTK2B', 'PRKCA', 'PRKCD', 'MAP2K3', 'MAP2K6', 'MAP3K2', 'ITPR1', 'ITPR2', 'ITPR3', 'MAP2K1', 'MAP2K2', 'NRAS', 'MAP2K4', 'MAP2K7', 'PLCB3', 'CAMK2B', 'CAMK2D', 'MAPK14', 'CALM1', 'CALML3', 'PRKACA', 'PRKACB', 'MAPK1', 'MAPK3', 'MAPK9']",0.9294195827393747,2.4588285741993086,11.110774415008342
4,Melanoma,05218,"['BRAF', 'NRAS', 'BAD', 'TP53', 'RB1', 'BAX', 'CDK6', 'MAP2K1', 'MAP2K2', 'ARAF', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'MAPK1', 'MAPK3']",4.9179995344909,4.38119258240649,0.9006357186854541
5,Steroid biosynthesis,00100,"['EBP', 'DHCR7', 'DHCR24', 'LSS', 'NSDHL', 'FDFT1', 'SQLE', 'CYP51A1', 'MSMO1', 'HSD17B7', 'LBR', 'SOAT1']",0.22709665093575462,0.18913496751439635,1.8400417908987579
6,Retinol metabolism,00830,"['RETSAT', 'RDH11', 'RDH13', 'DHRS4', 'ADH5']",0.39248751517698827,0.40644756006800625,1.001666640337778
7,Proximal tubule bicarbonate reclamation,04964,"['MDH1', 'GLS', 'GLUD1', 'PCK2']",0.2335291808493651,0.2744728119780457,0.6622089294917857
8,C-type lectin receptor signaling pathway,04625,"['LSP1', 'NFKB1', 'RELA', 'SYK', 'PTPN11', 'IKBKG', 'PYCARD', 'CASP8', 'RHOA', 'STAT1', 'STAT2', 'BCL10', 'PRKCD', 'PLCG2', 'NFKB2', 'RELB', 'CHUK', 'NRAS', 'RRAS2', 'IKBKB', 'NFATC1', 'NFATC2', 'NFATC3', 'ITPR1', 'ITPR2', 'ITPR3', 'MAPK1', 'MAPK3', 'PPP3CA', 'PPP3CC', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'CALM1', 'CALML3', 'MAPK14', 'MAPK9']",2.9931838620038644,4.943060012851628,4.970355643740877
9,Acute myeloid leukemia,05221,"['NRAS', 'MYC', 'JUP', 'RUNX1', 'BAD', 'PIM2', 'GRB2', 'MTOR', 'NFKB1', 'RELA', 'STAT3', 'STAT5B', 'LEF1', 'PML', 'IKBKB', 'IKBKG', 'MAP2K1', 'MAP2K2', 'BRAF', 'ARAF', 'CCNA2', 'CHUK', 'RPS6KB1', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'MAPK1', 'MAPK3']",5.603200768703898,6.812490853922238,1.3534329800631584
