"","Identifier","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","HBEGF",1.25242735814124,4.82772386534471,28.8802431305123,2.55179819667072e-10,2.59466840637479e-06,13.2079197519511
"2","HIVEP3",1.86452276518452,3.06205899974171,25.1100913588395,9.07129200936456e-10,4.61184485756094e-06,12.3535447429169
"3","TRAC",0.873936227127018,5.87335560680555,22.4685583791784,2.47704488442373e-09,8.39553079494018e-06,11.6134771618783
"4","INHBE",-1.1767615485594,1.55083884978133,-20.4381045583068,5.8137223923209e-09,1.34237260254939e-05,10.9441084185778
"5","BNIP3",-1.24325365371263,6.86999130501209,-20.1513992676901,6.60096677099426e-09,1.34237260254939e-05,10.8414490643017
"6","HK2",-0.748452700327157,7.94893775136478,-17.7259007319732,2.08326297600378e-08,3.07508283125604e-05,9.87933409176706
"7","SEC24D",-0.629974643616117,6.71344168867687,-17.4470234280955,2.40021129143386e-08,3.07508283125604e-05,9.75688036431825
"8","P4HA1",-0.884942064129143,6.14444756641512,-17.2473876863674,2.6598237553616e-08,3.07508283125604e-05,9.66757266722052
"9","WARS",-0.769710776354965,7.01127225946963,-17.2028786792505,2.72184750996306e-08,3.07508283125604e-05,9.64747050570368
"10","SSR4",-0.566155228926241,6.45648794424755,-16.2739333392023,4.46251016651904e-08,4.53748033731656e-05,9.21136778215378
"11","SEC61B",-0.576019585483328,6.97020665717156,-15.9457834169075,5.34800242965139e-08,4.94349897315412e-05,9.04940935013096
"12","LSP1",-0.844509747819591,6.22492546726301,-15.2717425812861,7.84387655943071e-08,6.64637807135762e-05,8.70286532914171
"13","LRRC32",-1.73549900724945,2.3121903300833,-14.767048272009,1.05589055782508e-07,7.94852173509308e-05,8.43047548282635
"14","PSAT1",-0.61187125440357,7.49662294364309,-14.695050545264,1.10247018878188e-07,7.94852173509308e-05,8.39067344218355
"15","PDK1",-0.808215425770745,5.47165655280348,-14.5927890757709,1.17257893416991e-07,7.94852173509308e-05,8.33372525651412
"16","ARFGAP3",-0.605875451215933,4.52999424469173,-14.398183537165,1.32001438225724e-07,8.17043741017601e-05,8.22398516153508
"17","SP110",0.505374412024781,4.09559122309597,14.3423349504118,1.36602513742125e-07,8.17043741017601e-05,8.19215618055929
"18","GPR18",0.556080325687245,4.94763313215061,14.2427502606938,1.45252850222981e-07,8.20517211704038e-05,8.13502514176387
"19","IL7R",0.688259486764416,3.57618857454914,14.1219017134514,1.56572754491634e-07,8.37911456668913e-05,8.0650408189918
"20","BNIP3L",-1.29116170828601,6.09950199415848,-13.9428782744422,1.75174769260535e-07,8.90588526920557e-05,7.96002760705766
"21","CD72",0.763631190356451,4.68381928848435,13.6831881961242,2.06645978015443e-07,0.000100056014498144,7.80479069102151
"22","IL2RA",-0.770794946741827,5.1043186162618,-13.5059777402854,2.31692234298244e-07,0.00010708393810657,7.69683510285357
"23","PHGDH",-0.556773463621322,7.72074456647718,-13.3625360492282,2.54428733860238e-07,0.000109417726294659,7.60822128919976
"24","IKZF1",0.508350256212172,8.03259817578444,13.3397410721519,2.58263712733263e-07,0.000109417726294659,7.59403652641565
"25","MSI2",0.64643902507654,7.25773482612565,13.2199008472638,2.79504336046727e-07,0.000113680003556925,7.51899405308983
"26","PFKFB4",-1.905886504725,3.3172041633246,-13.1011915087816,3.02461392136482e-07,0.000118285670586298,7.44387481490546
"27","KDM3A",-0.867129254096639,6.55676958929673,-13.0186168375268,3.1965607462515e-07,0.000120318780057049,7.3911548414058
"28","MT-ND6",-0.915328931511654,6.94006947748005,-12.9495115907473,3.3487708092946e-07,0.000120318780057049,7.34673683842628
"29","P4HB",-0.518960635656128,8.34136455185907,-12.9133503747747,3.43159384505744e-07,0.000120318780057049,7.32338498612117
"30","SEC61A1",-0.514922085781434,7.29785881891447,-12.8486930023638,3.58537779183383e-07,0.000121520404624554,7.28144333347814
"31","SESN2",-0.626897790413825,4.9846201996899,-12.5985711832493,4.25608795437642e-07,0.000137044106025207,7.11689379451591
"32","FMO1",0.825777339290901,2.69998905533222,12.5413342663999,4.42833699194356e-07,0.000137044106025207,7.07871663752106
"33","MT-ND5",-0.718709907440223,9.32572988073004,-12.5350432607826,4.4477335747756e-07,0.000137044106025207,7.0745085018556
"34","PFKFB3",-0.622401761976822,6.63995218287726,-12.3107315803132,5.20455095568798e-07,0.000155646688580692,6.9228888350551
