"Gene"	"Gr1_F2..126..Sample..1"	"Gr1_F1..126..Sample..1"	"Gr1_F2..128C..Sample..4"	"Gr2_F2..128N..Control..781"	"Gr1_F1..128C..Sample..4"	"Gr2_F1..128N..Control..781"	"Gr1_F3..126..Sample..1"	"Gr2_F3..128N..Control..781"	"Gr1_F3..128C..Sample..4"
"HSP90AB1"	9.95956731991209	9.96909867316876	12.5441192333437	13.2926523563145	12.4887941474267	13.1379197242639	9.94295428435221	13.1044021877161	12.7125055060151
"HNRNPM"	12.1718648228734	12.3638609767295	12.1316962235978	11.3828401444752	12.3303567169579	11.4913520735634	12.1988133421073	11.5092306751277	12.1453271821547
"MS4A1"	13.9133475885019	14.0998737655825	12.7880453530215	13.079984707034	12.9805144867912	13.0747770186069	13.9870330202373	12.9865353737102	12.8720014654425
"MAP4"	13.4243369031427	13.1944182983732	13.0160073417968	13.1451997890519	12.766259723965	12.9746655338167	12.9379622550085	13.1147183891884	12.5386254583167
"SRRM1"	12.2275256969485	12.147586539821	13.040906125667	13.0742920144443	12.9973559250204	12.8736555794984	12.4590217038623	13.0239102557228	13.3015676420565
"DNM1L"	13.1295889131488	12.934870291192	12.0838449410337	12.1884961245376	11.8888193384023	11.9408274427914	12.9223242333189	12.165786350684	11.8629859796488
"LSP1"	13.2762989142809	13.3737216099705	12.6652248680345	12.5166110893111	12.7508535090408	12.6488069497258	13.2727318313398	12.6729556470835	12.6357861276081
"SRRM2"	13.5395344640306	13.5904934868915	13.0414538198949	12.9912029440502	13.0346270391973	12.9880988279671	13.1428090831707	12.9738408395331	12.6376890309763
"TPD52"	12.0334574165621	12.2299603722138	11.2282174422934	10.0820159452662	11.4988990569158	10.0928892498015	12.1648126708719	11.0755460012774	11.3801904667498
"HMGA1"	8.63807383718072	9.04739660751998	11.5056130952851	12.5901425715016	11.8943630608697	12.7456533178061	8.45532722030456	12.8593018243495	11.5670529203876
"EIF5B"	11.6452531240647	11.9580814064057	11.9433939293475	12.1497471195047	12.1728025106077	12.4805125388733	11.7263033218151	12.2606549565235	11.9256286125191
"STMN1"	12.7353021549416	12.8403058632623	11.7792268837132	11.8535434869839	11.8243621335695	12.0072726023322	12.7760011463146	11.8764402054261	11.8141818841903
"PABPN1"	12.4830347777382	12.6171689774557	12.0794514494528	12.2820459014217	12.1544384024988	12.3592828597351	12.7609485985881	12.2732710993855	12.3044654092866
"NUCKS1"	8.39959836912012	8.81025028602818	11.0558247001349	11.827779337258	11.7782414362425	11.5961431567148	8.8999610665839	12.1341695900768	11.912365441052
"HDGF"	11.3665407878453	11.258683800107	12.0898807757179	11.9868730811448	11.9562309365499	12.0023227842136	11.5305038791052	12.5644591502039	12.221858960296
"RPRD1B"	11.6090401884317	11.2641493397233	12.1498423647128	12.0212229132762	11.8252768300549	11.7578483318626	11.5500733705551	12.2331702623827	12.071965072954
"ABLIM1"	11.7825478081604	12.1579153109253	11.593764587728	11.5348864576156	11.8534265259353	11.7681843247769	11.9213574788738	11.9108300812966	11.5756337846964
"THRAP3"	10.4842187084332	10.5067042800898	11.8269059390228	11.7483605950743	11.9611602581366	11.9095931159883	10.1449131134342	11.9203528554151	11.667244625885
"EVL"	12.9200922832449	12.7439297680607	12.2777523356938	12.0276986979071	12.1093736196638	12.3793512892075	12.9966500191759	11.9944948706162	12.329628182146
"CDK1"	12.6692837085043	12.3064889647286	12.1625801508291	12.0502908173972	11.8597677108038	12.0731708636929	12.2969162068793	12.1281876987719	11.7742105251667
"NOLC1"	13.0724006136499	13.25918419931	12.7600545744383	12.5911483006675	12.9025823833666	12.8412891480435	12.9401667504828	12.6869381716704	12.5962363540689
"MYH9"	9.14389336075641	9.00197108750993	12.7033628939642	12.4180634197969	12.7962830126558	12.8221525401147	9.18040648531064	12.5393527087013	12.6597729618816
"SUGP2"	11.7791858368381	12.0505969234953	10.8605438540552	10.0560957560381	11.150445438387	10.4739086460463	11.5952108518965	10.6805353440052	10.7466822618919
"LSM14A"	12.6595722949307	12.6868944131954	12.3253335665664	12.1056793872637	12.2938739379752	12.3236459076726	12.781236751321	12.2590076076446	12.4035713057717
"ARFGAP2"	11.1491755161705	11.3475660069902	10.6133290543711	11.0523642659262	10.8603886588054	11.179287104646	11.2054267265411	11.1238627411607	10.6858000197449
"ACLY"	11.8472922935784	12.1690167695211	11.3645724322959	11.7026921698725	11.6648028032883	11.6440365153847	12.419091139948	11.9936814370973	11.887258700896
"BCLAF1"	12.8745587712498	12.7566605597295	12.1307314252732	12.1113639267087	12.0464078413384	11.8965973026027	12.6949889826646	12.2082648460785	11.9332480425724
"EIF3CL"	9.98427603370197	10.4023725783222	11.4532706340106	11.9623538086353	11.7168623215085	11.7084804088857	10.0413853694861	12.0225758790396	11.427260457743
"CANX"	9.17542479858969	9.03534897975545	12.1899171947141	12.4868601554041	12.5766496756548	12.3417967723918	8.71596199025514	12.1517142437464	11.9657842846621
"RBM39"	12.8504212760788	12.8672015055738	12.2001323145648	12.1933713498215	12.2700908815154	12.1272527992121	12.8998289317743	12.2435905431841	12.2295398577395
"ACIN1"	11.9377783949089	11.9352755684838	11.6086706574743	11.3462921040015	11.5758228418374	11.5202749069504	11.0463055164936	11.1175132400054	10.7151898303028
"PNN"	12.046851165154	11.9945302268892	12.1193302365188	11.800090987625	12.0139507058119	11.5184564558243	12.1223103431907	11.5991689932194	12.1187788901545
"PPP1R2"	9.22134544356244	9.24674059849314	8.67807190511264	10.5520926727716	8.62278396615612	10.4151079416529	9.62186872471143	10.4963544885646	9.14312807294381
"CHD4"	11.1829529481487	11.3960160243631	11.9417445693406	11.4958550268872	12.0860366796169	11.8050989481172	10.7692593275797	11.6964459759337	11.4252683639834
"TERF2IP"	12.5827300447007	12.4502060277607	11.9545598469998	12.0052385626066	11.7298331388484	12.0753120064604	12.2454635748961	11.9210598855889	11.5803527966263
"PPP2R5D"	12.0296668336119	12.2150475707233	10.9573922930552	10.7566397128909	11.1285099375083	10.8745971924016	12.0788512989765	10.8612420261548	10.9862687067272
"TPI1"	13.8072140269903	13.3569470894994	12.6861503159809	12.1702693536903	12.1851232073606	12.2700324633488	13.3114787067523	12.1237334384458	12.1650011763218
"ATXN2L"	11.4313931330577	11.6279897843157	11.5394496477265	12.0147876572731	11.7297906622908	11.8683209960624	11.4582527995959	11.8270647780355	11.5658636964542
"ARHGEF6"	11.3231673785097	11.3858624006415	10.6452981639486	10.2249663650003	10.7278353874892	10.6692394112526	11.4033849024622	10.7023458676526	10.6491663431488
"LCP1"	9.87482769782767	10.2006534363675	11.1764225130422	11.1310209325233	11.4420622707456	11.2143798390113	10.1820218367159	11.0535865436392	11.4384799971804
"AP3B1"	8.19819945543749	8.20945336562895	11.0689797576367	10.5198327919132	11.0126245388651	11.2939313986957	7.97613447283165	11.1134166114859	10.9721900353461
"CLASP1"	10.0928892498015	10.3449616135529	11.303095761993	11.0321146218971	11.4435652131783	11.3827320895719	10.1276074876074	11.3603533017646	11.2484020061434
"NCL"	10.7253662578956	11.3213080536405	11.5005431540064	11.9224357402331	12.1513020043895	11.7737161693512	10.8540891798706	11.9347228893997	11.6527105541587
"HLA-A"	11.3360601813906	11.2666694340719	11.1386557850144	10.5890893129096	11.0170867733627	10.6455683737276	11.0909724859788	10.7682670457449	10.9228816817258
"EEF1D"	12.2290591196342	12.1859594356313	11.9618837399435	11.9569568939148	11.9291104323262	12.0646080530418	12.3024104504256	11.9654235658101	12.0520585346269
"SAFB"	11.4496129574668	10.8701334999273	11.9836349467006	11.0364483854409	11.5743570005659	11.4499224158638	10.6346295676832	11.5691435765451	11.5523328777373
"PCM1"	11.5294793589715	11.672823089079	11.0398101130482	11.1431918624356	11.2240619862752	11.4235361533895	11.4291974884799	11.5903999177997	11.0053438419178
"BOD1L1"	9.11478344724985	9.36937923530375	11.6274426872136	10.7632123668144	11.7412984374155	10.4002390448945	9.77099418024441	11.5443849208148	11.8116155239989
"SEPTIN2"	11.5742623789983	11.6365339961496	11.5509872145215	10.8519051687947	11.5620992926131	11.0849412265357	11.6189360441622	11.0410430687179	11.5651973026131
"SRSF6"	12.0309774340261	11.7645398985767	11.6260740360903	11.4565084312685	11.379811543787	11.6679541989421	11.754344719645	11.7704987208929	11.3380677975426
"PAICS"	11.5757755798748	11.224544392145	10.5099728913091	10.3718855228739	10.1458048061284	10.8691311196443	11.2385838707999	10.7682670457449	10.2100624832402
"HDAC1"	11.3922100754041	10.9232531943694	11.3187687426827	11.1019756709492	10.9197571927143	11.5665297826242	11.182704710519	11.6493909185825	11.2241222958311
"DAXX"	11.0276295917332	11.3184863209288	10.8727518219544	10.7176764230664	11.1355169139405	11.071328276861	11.3710142644246	11.2783332945229	11.2214662874743
"SLTM"	11.7515858999859	11.8482708298022	11.4168502952965	11.1706762094993	11.5762481298433	11.3279455425328	11.586042239344	11.272921326867	11.2253882144691
"PNISR"	12.3774545746968	12.5885038368163	11.580729651599	11.4243762728139	11.7910000469677	11.7311492922119	12.1642470066943	11.5526690975143	11.37036047512
"PCBP2"	11.7470600571242	11.8677806608348	10.8485447010497	10.8462739113499	11.0416591516372	10.9019981856685	11.7347942829436	10.82964346395	10.8935290673394
"TCEA1"	9.84549005094438	11.1198489583368	10.9257027813513	12.0331820733753	12.1993349404731	12.8781275682393	10.83439203933	12.0218128235848	11.9212086899047
