"F1....f1aonly","F2....f2aonly","F3....f3aonly","F1F2....f1f2aonly","F1F3....f1f3aonly","F2F3....f2f3aonly","F1gF2....f1gf2","F1gF3....f1gf3","F2gF1....f2gf1","F2gF3....f2gf3","F3gF1....f3gf1","F3gF2....f3gf2","F1gF2F3....f2f3","F2gF1F3....f1f3","F3gF1F2....f1f2","Overlap....overlap"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,-5.66666666666695,0,-5.66666666666695,0,0,0,0,0
1,1,0,0,0,0,-4.00000000000011,0,-4.00000000000011,0,-4.00000000000011,-4.00000000000011,0,0,0,0
1,2,1,0,0,0,-28.4584795994104,-3.00000000000012,-3.00000000000012,-3.00000000000012,-3.00000000000012,-28.4584795994104,0,0,0,0
2,3,1,0,0,0,-101.206353145192,-2.33333333333342,-20.1853151994765,-2.33333333333342,-20.1853151994765,-101.206353145192,0,0,0,0
3,3,1,0,0,0,-70.1283828465313,-1.85714285714282,-70.1283828465313,-1.85714285714282,-70.1283828465313,-70.1283828465313,0,0,0,0
4,3,1,0,0,0,-51.3409283308094,-1.49999999999996,-191.714572785823,-1.49999999999996,-191.714572785823,-51.3409283308094,0,0,0,0
4,3,1,0,0,0,-39.3852754571641,-1.22222222222206,-144.426318758464,-1.22222222222206,-144.426318758464,-39.3852754571641,0,0,0,0
4,3,2,0,0,0,-31.5233477954776,-7.42434879957141,-115.709163230175,-7.42434879957141,-115.709163230175,-31.5233477954776,0,0,0,0
4,3,2,0,0,0,-26.2907205662661,-6.15161645765161,-98.4603664071157,-6.15161645765161,-98.4603664071157,-26.2907205662661,0,0,0,0
4,3,3,0,0,0,-22.8729780396893,-22.8729780396893,-89.0405297088791,-22.8729780396893,-89.0405297088791,-22.8729780396893,0,0,0,0
4,3,3,0,0,0,-20.7798810664655,-20.7798810664655,-85.3479043233747,-20.7798810664655,-85.3479043233747,-20.7798810664655,0,0,0,0
4,3,3,0,0,0,-19.5877282452906,-19.5877282452906,-85.1926773933517,-19.5877282452906,-85.1926773933517,-19.5877282452906,0,0,0,0
4,4,3,0,0,0,-85.2472892927319,-18.7440517494364,-85.2472892927319,-18.7440517494364,-85.2472892927319,-85.2472892927319,0,0,0,0
4,4,3,0,0,0,-81.6741326168887,-17.5824054841779,-81.6741326168887,-17.5824054841779,-81.6741326168887,-81.6741326168887,0,0,0,0
4,4,3,0,0,0,-72.1242779622527,-15.5754529695356,-72.1242779622527,-15.5754529695356,-72.1242779622527,-72.1242779622527,0,0,0,0
4,4,3,0,0,0,-57.1833759723944,-12.6101794442546,-57.1833759723944,-12.6101794442546,-57.1833759723944,-57.1833759723944,0,0,0,0
4,4,4,0,0,0,-39.8979110207854,-39.8979110207854,-39.8979110207854,-39.8979110207854,-39.8979110207854,-39.8979110207854,0,0,0,0
4,4,4,0,0,0,-23.9035578635201,-23.9035578635201,-23.9035578635201,-23.9035578635201,-23.9035578635201,-23.9035578635201,0,0,0,0
