"","pathway","transcriptome_pval","transcriptome_padj","proteome_pval","proteome_padj","phosphoproteome_pval","phosphoproteome_padj","combined_pval","combined_padj","Contrast","negativelog10FDR","Pathway","Algorithm"
"1","(KEGG) Glycolysis / Gluconeogenesis",8.0558100805962e-13,2.57785922579078e-10,5.00582614359017e-05,0.00300058711626803,0.0412213740458015,1,1.17067920445426e-10,1.52271901270085e-08,"X19O2NoCyA - X1O2NoCyA",7.81738022961998,"Glycolysis / Gluconeogenesis","multiGSEA"
"2","(KEGG) Citrate cycle (TCA cycle)",0.0147866558568509,0.245953601220992,0.535593220338983,1,0.552772808586762,1,0.245953601220992,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Citrate Cycle (Tca Cycle)","multiGSEA"
"3","(KEGG) Pentose phosphate pathway",0.000987723372130669,0.0316071479081814,0.153846153846154,0.844804318488529,0.142148760330579,1,0.275491074877328,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Pentose Phosphate Pathway","multiGSEA"
"4","(KEGG) Pentose and glucuronate interconversions",0.72158154859967,0.960134541145893,0.382920110192837,1,NA,NA,0.960134541145893,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Pentose And Glucuronate Interconversions","multiGSEA"
"5","(KEGG) Fructose and mannose metabolism",5.41638606861471e-05,0.00216655442744588,1.80400080957387e-06,0.000188217417798874,0.120661157024793,1,2.92437150428264e-06,0.00015499168972698,"X19O2NoCyA - X1O2NoCyA",3.80969158700693,"Fructose And Mannose Metabolism","multiGSEA"
"6","(KEGG) Galactose metabolism",0.0393172320529085,0.392036753445636,0.0066978875846101,0.131027425873935,0.21031746031746,1,0.161867556887183,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Galactose Metabolism","multiGSEA"
"7","(KEGG) Ascorbate and aldarate metabolism",0.939393939393939,0.99485559201199,0.980295566502463,1,NA,NA,0.99485559201199,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Ascorbate And Aldarate Metabolism","multiGSEA"
"8","(KEGG) Fatty acid biosynthesis",0.763496143958869,0.980475182310045,0.0175622901708191,0.211422954748706,0.812641083521445,1,0.813934510321189,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Fatty Acid Biosynthesis","multiGSEA"
"9","(KEGG) Fatty acid elongation",0.3125,0.769230769230769,0.903323262839879,1,0.715563506261181,1,0.769230769230769,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Fatty Acid Elongation","multiGSEA"
"10","(KEGG) Fatty acid degradation",0.292553191489362,0.737935072228263,0.100694444444444,0.707579787234043,0.845238095238095,1,0.798628915026493,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Fatty Acid Degradation","multiGSEA"
"11","(KEGG) Steroid biosynthesis",0.000516077730018756,0.0183494304006669,0.104166666666667,0.707579787234043,0.376975169300226,1,0.137657698441074,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Steroid Biosynthesis","multiGSEA"
"12","(KEGG) Primary bile acid biosynthesis",0.780104712041885,0.980475182310045,0.231527093596059,1,NA,NA,0.980475182310045,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Primary Bile Acid Biosynthesis","multiGSEA"
"13","(KEGG) Ubiquinone and other terpenoid-quinone biosynthesis",0.230366492146597,0.696634938280182,0.497835497835498,1,NA,NA,0.696634938280182,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Ubiquinone And Other Terpenoid-Quinone Biosynthesis","multiGSEA"
"14","(KEGG) Steroid hormone biosynthesis",0.621333333333333,0.938287442158794,0.477922077922078,1,NA,NA,0.938287442158794,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Steroid Hormone Biosynthesis","multiGSEA"
"15","(KEGG) Oxidative phosphorylation",0.0863422291993721,0.476370919720673,0.00412324165581482,0.0921839027335741,0.488330341113106,1,0.163410336887002,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Oxidative Phosphorylation","multiGSEA"
"16","(KEGG) Arginine biosynthesis",0.625199362041467,0.938287442158794,0.804812834224599,1,NA,NA,0.938287442158794,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Arginine Biosynthesis","multiGSEA"
"17","(KEGG) Purine metabolism",0.72360248447205,0.960134541145893,0.834615384615385,1,0.566197183098592,1,0.960134541145893,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Purine Metabolism","multiGSEA"
"18","(KEGG) Caffeine metabolism",0.0300128287077103,0.32622738777886,0.381481481481481,1,NA,NA,0.32622738777886,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Caffeine Metabolism","multiGSEA"
"19","(KEGG) Pyrimidine metabolism",0.796636085626911,0.980475182310045,0.950842696629214,1,0.542148760330578,1,0.980475182310045,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Pyrimidine Metabolism","multiGSEA"
"20","(KEGG) Alanine, aspartate and glutamate metabolism",0.669291338582677,0.960134541145893,0.354166666666667,1,0.410714285714286,1,0.960134541145893,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Alanine, Aspartate And Glutamate Metabolism","multiGSEA"
"21","(KEGG) Glycine, serine and threonine metabolism",0.0305838176042681,0.32622738777886,0.0982142857142857,0.707579787234043,0.386904761904762,1,0.527052857199241,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Glycine, Serine And Threonine Metabolism","multiGSEA"
"22","(KEGG) Cysteine and methionine metabolism",0.460674157303371,0.881091617933723,0.196610169491525,0.976809254775357,0.931989924433249,1,0.987558095377925,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Cysteine And Methionine Metabolism","multiGSEA"
"23","(KEGG) Valine, leucine and isoleucine degradation",0.128939828080229,0.584112676056338,0.712328767123288,1,0.267504488330341,1,0.584112676056338,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Valine, Leucine And Isoleucine Degradation","multiGSEA"
"24","(KEGG) Lysine degradation",0.0782208588957055,0.456159225389995,0.897222222222222,1,0.675324675324675,1,0.456159225389995,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Lysine Degradation","multiGSEA"
"25","(KEGG) Arginine and proline metabolism",0.0664893617021277,0.456159225389995,0.233226837060703,1,NA,NA,0.456159225389995,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Arginine And Proline Metabolism","multiGSEA"
"26","(KEGG) Histidine metabolism",0.159685863874346,0.642434488588335,0.949756888168558,1,NA,NA,0.642434488588335,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Histidine Metabolism","multiGSEA"
"27","(KEGG) Tyrosine metabolism",0.193633952254642,0.677183532127741,0.888535031847134,1,NA,NA,0.677183532127741,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Tyrosine Metabolism","multiGSEA"
"28","(KEGG) Phenylalanine metabolism",0.235602094240838,0.696634938280182,0.778523489932886,1,NA,NA,0.696634938280182,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Phenylalanine Metabolism","multiGSEA"
"29","(KEGG) Tryptophan metabolism",0.0728359900072829,0.456159225389995,0.789865871833085,1,0.845238095238095,1,0.456159225389995,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Tryptophan Metabolism","multiGSEA"
"30","(KEGG) Phenylalanine, tyrosine and tryptophan biosynthesis",0.794372294372294,0.980475182310045,0.64471403812825,1,NA,NA,0.980475182310045,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Phenylalanine, Tyrosine And Tryptophan Biosynthesis","multiGSEA"
"31","(KEGG) beta-Alanine metabolism",0.47244094488189,0.881091617933723,0.460055096418733,1,0.845238095238095,1,0.881091617933723,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Beta-Alanine Metabolism","multiGSEA"
"32","(KEGG) Taurine and hypotaurine metabolism",0.205501618122977,0.692215976835292,0.590909090909091,1,NA,NA,0.692215976835292,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Taurine And Hypotaurine Metabolism","multiGSEA"
"33","(KEGG) Phosphonate and phosphinate metabolism",0.42907180385289,0.854086877145635,0.687058823529412,1,0.416666666666667,1,0.854086877145635,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Phosphonate And Phosphinate Metabolism","multiGSEA"
"34","(KEGG) Selenocompound metabolism",0.138709677419355,0.606104757048153,0.101604278074866,0.707579787234043,0.136445242369838,1,0.71791269591584,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Selenocompound Metabolism","multiGSEA"
"35","(KEGG) D-Amino acid metabolism",0.923076923076923,0.99485559201199,0.418518518518519,1,NA,NA,0.99485559201199,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"D-Amino Acid Metabolism","multiGSEA"
"36","(KEGG) Glutathione metabolism",0.326923076923077,0.770774789241269,0.720538720538721,1,0.810375670840787,1,0.770774789241269,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Glutathione Metabolism","multiGSEA"
"37","(KEGG) Starch and sucrose metabolism",9.11077842037903e-06,0.000485908182420215,0.00138982538530626,0.043501534560086,0.651705565529623,1,0.000198106197346736,0.00787472134453277,"X19O2NoCyA - X1O2NoCyA",2.10376480524286,"Starch And Sucrose Metabolism","multiGSEA"
"38","(KEGG) N-Glycan biosynthesis",0.162857142857143,0.642434488588335,0.18,0.954915254237288,0.078,1,0.927341125074323,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"N-Glycan Biosynthesis","multiGSEA"
"39","(KEGG) Mucin type O-glycan biosynthesis",0.0472865756813641,0.392036753445636,0.312807881773399,1,NA,NA,0.392036753445636,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Mucin Type O-Glycan Biosynthesis","multiGSEA"
"40","(KEGG) Various types of N-glycan biosynthesis",0.618589743589744,0.938287442158794,0.0857142857142857,0.687912087912088,NA,NA,0.924467146463351,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Various Types Of N-Glycan Biosynthesis","multiGSEA"
"41","(KEGG) Mannose type O-glycan biosynthesis",0.223491027732463,0.696634938280182,0.134199134199134,0.792534509515642,NA,NA,0.826505946917203,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Mannose Type O-Glycan Biosynthesis","multiGSEA"
"42","(KEGG) Amino sugar and nucleotide sugar metabolism",0.00458133188798644,0.122168850346305,0.00240342548912641,0.0626893481747138,0.775583482944345,1,0.028265308075686,0.898836796806816,"X19O2NoCyA - X1O2NoCyA",0.0463191566322617,"Amino Sugar And Nucleotide Sugar Metabolism","multiGSEA"
"43","(KEGG) Glycosaminoglycan degradation",0.776545166402536,0.980475182310045,0.00716655566841209,0.131948936718411,NA,NA,0.748326452041644,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Glycosaminoglycan Degradation","multiGSEA"
"44","(KEGG) Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",0.709677419354839,0.960134541145893,0.622222222222222,1,NA,NA,0.960134541145893,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Glycosaminoglycan Biosynthesis - Chondroitin Sulfate / Dermatan Sulfate","multiGSEA"
"45","(KEGG) Glycosaminoglycan biosynthesis - heparan sulfate / heparin",0.959719789842382,0.99485559201199,NA,NA,NA,NA,0.99485559201199,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Glycosaminoglycan Biosynthesis - Heparan Sulfate / Heparin","multiGSEA"
"46","(KEGG) Glycerolipid metabolism",0.225705329153605,0.696634938280182,0.688271604938272,1,0.219834710743802,1,0.696634938280182,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Glycerolipid Metabolism","multiGSEA"
"47","(KEGG) Inositol phosphate metabolism",0.128983308042489,0.584112676056338,0.221830985915493,1,0.761832061068702,1,0.584112676056338,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Inositol Phosphate Metabolism","multiGSEA"
"48","(KEGG) Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",0.361413043478261,0.790953037163418,0.404705882352941,1,NA,NA,0.790953037163418,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Glycosylphosphatidylinositol (Gpi)-Anchor Biosynthesis","multiGSEA"
"49","(KEGG) Glycerophospholipid metabolism",0.0773899848254932,0.456159225389995,0.274398868458274,1,0.246105919003115,1,0.456159225389995,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Glycerophospholipid Metabolism","multiGSEA"
"50","(KEGG) Ether lipid metabolism",0.933977455716586,0.99485559201199,0.917341977309562,1,NA,NA,0.99485559201199,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Ether Lipid Metabolism","multiGSEA"
"51","(KEGG) Arachidonic acid metabolism",0.919689119170985,0.99485559201199,0.628571428571429,1,0.254,1,0.99485559201199,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Arachidonic Acid Metabolism","multiGSEA"
"52","(KEGG) Linoleic acid metabolism",0.639593908629442,0.938287442158794,NA,NA,NA,NA,0.938287442158794,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Linoleic Acid Metabolism","multiGSEA"
"53","(KEGG) alpha-Linolenic acid metabolism",0.596858638743455,0.931074758281327,0.32512315270936,1,NA,NA,0.931074758281327,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Alpha-Linolenic Acid Metabolism","multiGSEA"
"54","(KEGG) Sphingolipid metabolism",0.275650842266462,0.732710815355443,0.467261904761905,1,0.221218961625282,1,0.732710815355443,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Sphingolipid Metabolism","multiGSEA"
"55","(KEGG) Glycosphingolipid biosynthesis - lacto and neolacto series",0.842948717948718,0.986151009732882,NA,NA,NA,NA,0.986151009732882,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Glycosphingolipid Biosynthesis - Lacto And Neolacto Series","multiGSEA"
"56","(KEGG) Glycosphingolipid biosynthesis - globo and isoglobo series",0.747395833333333,0.980191256830601,0.00880267967134883,0.14501256511222,NA,NA,0.760172741568459,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Glycosphingolipid Biosynthesis - Globo And Isoglobo Series","multiGSEA"
"57","(KEGG) Glycosphingolipid biosynthesis - ganglio series",0.827751196172249,0.986151009732882,0.0189774713261513,0.21999809352168,NA,NA,0.843918695670721,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Glycosphingolipid Biosynthesis - Ganglio Series","multiGSEA"
"58","(KEGG) Pyruvate metabolism",0.0067831981047204,0.151507340554467,0.424137931034483,1,0.421487603305785,1,0.151507340554467,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Pyruvate Metabolism","multiGSEA"
"59","(KEGG) Glyoxylate and dicarboxylate metabolism",0.261658031088083,0.727401129943503,0.61198738170347,1,0.227191413237925,1,0.727401129943503,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Glyoxylate And Dicarboxylate Metabolism","multiGSEA"
"60","(KEGG) Propanoate metabolism",0.24468085106383,0.697334502644237,0.132716049382716,0.792534509515642,0.292561983471074,1,0.826868799064081,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Propanoate Metabolism","multiGSEA"
"61","(KEGG) Butanoate metabolism",0.50132625994695,0.881091617933723,0.84984984984985,1,0.930022573363431,1,0.881091617933723,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Butanoate Metabolism","multiGSEA"
"62","(KEGG) One carbon pool by folate",0.339622641509434,0.770774789241269,0.34375,1,0.801587301587302,1,0.770774789241269,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"One Carbon Pool By Folate","multiGSEA"
"63","(KEGG) Thiamine metabolism",0.0290481602287283,0.32622738777886,0.475124378109453,1,NA,NA,0.32622738777886,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Thiamine Metabolism","multiGSEA"
"64","(KEGG) Riboflavin metabolism",0.635922330097087,0.938287442158794,0.463054187192118,1,NA,NA,0.938287442158794,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Riboflavin Metabolism","multiGSEA"
"65","(KEGG) Vitamin B6 metabolism",0.0974477958236659,0.511201551861854,0.36,1,NA,NA,0.511201551861854,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Vitamin B6 Metabolism","multiGSEA"
"66","(KEGG) Nicotinate and nicotinamide metabolism",0.519623233908948,0.881091617933723,0.897280966767372,1,0.856373429084381,1,0.881091617933723,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Nicotinate And Nicotinamide Metabolism","multiGSEA"
"67","(KEGG) Pantothenate and CoA biosynthesis",0.423076923076923,0.854086877145635,0.453821656050955,1,0.325581395348837,1,0.854086877145635,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Pantothenate And Coa Biosynthesis","multiGSEA"
"68","(KEGG) Biotin metabolism",0.844569288389513,0.986151009732882,NA,NA,NA,NA,0.986151009732882,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Biotin Metabolism","multiGSEA"
"69","(KEGG) Lipoic acid metabolism",0.916666666666667,0.99485559201199,0.445887445887446,1,NA,NA,0.99485559201199,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Lipoic Acid Metabolism","multiGSEA"
"70","(KEGG) Folate biosynthesis",0.0441495935026331,0.392036753445636,0.488262910798122,1,0.688492063492063,1,0.392036753445636,0.99659520468986,"X19O2NoCyA - X1O2NoCyA",0.00148120685163988,"Folate Biosynthesis","multiGSEA"
