"","Identifier","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","APBB1IP",-12.0838687249523,8.19855322243742,-84.6120503653615,1.36000173336479e-13,7.52813453067542e-11,17.7077735368109
"2","GFPT1",-11.4175480226262,7.56042259881523,-82.9321759777052,1.60879654644359e-13,7.52813453067542e-11,17.6607949286752
"3","EIF2A",-11.2501345194872,7.38119827991401,-81.1726515295382,1.92539880444323e-13,7.52813453067542e-11,17.6089817417748
"4","MRGBP",-10.398355221775,6.82719396288258,-80.0472617389459,2.16427127288806e-13,7.52813453067542e-11,17.5743589802289
"5","ARGLU1",-11.2861768239244,7.4528867996323,-78.9840251066229,2.42078577726401e-13,7.52813453067542e-11,17.5405294928506
"6","FTH1",-11.1945380978495,7.67215251281165,-78.3346607829418,2.59410832049587e-13,7.52813453067542e-11,17.5193134034357
"7","DNAJC5",-10.9450107133822,7.26706668037416,-76.9377392553608,3.01608435876507e-13,7.52813453067542e-11,17.4721866375775
"8","CDK16",-10.4034586911061,6.69368602316476,-76.7749739890729,3.07006196543512e-13,7.52813453067542e-11,17.4665596215359
"9","PDLIM5",-10.2906947831274,6.72004772073755,-76.7619416891849,3.07443037580616e-13,7.52813453067542e-11,17.4661078244715
"10","NAP1L1",-9.86281204813422,6.447331700971,-75.9060160996068,3.37716608161528e-13,7.52813453067542e-11,17.4360226470442
"11","PGM1",-9.95698085051627,6.40123032918497,-75.6930022288038,3.45759832306595e-13,7.52813453067542e-11,17.4284072558348
"12","PSMA5",-9.7401513088146,6.38477835644221,-73.7449603261133,4.30140939479152e-13,8.58489625043808e-11,17.3562957825031
"13","LUC7L3",-9.81677151943129,6.45152171560373,-72.4491903647808,4.98983712673445e-13,9.1928153219454e-11,17.3057463487675
"14","PPP1R10",-10.964876934139,7.09309274077228,-71.7236220537095,5.42867246452226e-13,9.286907537522e-11,17.276489262563
"15","PPP1R9B",-10.2640048957106,6.77594663627611,-69.3078992102709,7.23256413690625e-13,1.13041504473593e-10,17.1738392218267
"16","SRGAP2",-9.43979491958911,6.25033804437311,-68.6829727297751,7.80243077203014e-13,1.13041504473593e-10,17.1459006994368
"17","NELFB",-9.32427465397153,6.07688611213605,-68.4538447782636,8.02382286451389e-13,1.13041504473593e-10,17.1355078622958
"18","TULP4",-8.90272716789033,5.77672975213551,-66.5661662977866,1.01405597554563e-12,1.30326879682954e-10,17.0467158255574
"19","MED24",-9.04488042336793,6.07469048321314,-65.985124859728,1.09128714211558e-12,1.30326879682954e-10,17.0182015891355
"20","WDR33",-8.79039364687101,5.77823312287072,-65.7951889167546,1.11794387528154e-12,1.30326879682954e-10,17.008755063713
"21","FYTTD1",-10.2725500122658,6.68947146409534,-65.6229994561296,1.1427409074497e-12,1.30326879682954e-10,17.0001369673369
"22","SPIN1",-8.72023801774939,5.72856698634854,-65.1134587992695,1.21980064025705e-12,1.32484619335894e-10,16.9743285944626
"23","TINF2",-9.34947081476509,5.97819893110045,-64.7865612579932,1.27229488297518e-12,1.32484619335894e-10,16.9575268198779
"24","SRP72",-11.273550206479,7.46674688188753,-64.4243667675401,1.33343020046111e-12,1.33065222087681e-10,16.9386838699135
"25","PER1",-8.99671062953221,5.69983789463136,-63.0250953316128,1.60251310694954e-12,1.52219968559371e-10,16.8635751604528
"26","MAPKAP1",-10.3467976294568,6.66304169950664,-62.7942811022717,1.65249235179276e-12,1.52219968559371e-10,16.8508221159378
"27","MECP2",-9.96808695175438,6.49684134332399,-62.1327752216436,1.80566690591481e-12,1.58197804623725e-10,16.8136819699464
"28","NFAT5",-8.83238923158832,5.91679250589382,-61.9550070099742,1.84949416679094e-12,1.58197804623725e-10,16.8035495632629
"29","PI4KA",-10.1324524389029,7.06136555287443,-60.1995171023854,2.35252529760635e-12,1.9428614095749e-10,16.6999021652983
"30","ORC2",-8.98773296838119,5.83523068205589,-59.908952740825,2.44974004588893e-12,1.95570913663466e-10,16.6820964537765
"31","RAB3IP",-9.99691306757911,6.74611251478123,-59.5760104745975,2.56670076479718e-12,1.98298333280299e-10,16.6614583952425
"32","CADPS",-10.7382099985131,7.1775388925644,-58.8382193487039,2.84881920518569e-12,2.12155620291518e-10,16.6148100112669
"33","ARHGAP1",-10.7856494020436,7.1312923140363,-58.6572042379169,2.92322984117749e-12,2.12155620291518e-10,16.6031685468632
"34","RBM4",-10.7977971926422,7.03097333008286,-57.7509718069294,3.3300233763446e-12,2.30020649801691e-10,16.5436897554058
"35","KAT8",-8.24901327629089,5.26866560306254,-57.6861365921365,3.36147087392868e-12,2.30020649801691e-10,16.5393565439535
"36","NECAP2",-8.86041705879195,5.70945142163512,-57.1758275264255,3.62092157953957e-12,2.40891866194368e-10,16.5048788649283
"37","ASH1L",-8.52713603188943,5.54184968122155,-56.8509536721279,3.7977403957431e-12,2.45826709400128e-10,16.4825812230226
"38","RRP8",-10.0220458188177,6.52184006771777,-56.0446219652497,4.27987287635085e-12,2.61706010264678e-10,16.4260368156177
