Gene	"Gr2_F2: 128N, Control, 781"	"Gr1_F1: 128C, Sample, 4"	"Gr1_F2: 126, Sample, 1"	"Gr1_F1: 126, Sample, 1"	"Gr1_F3: 128C, Sample, 4"	"Gr1_F2: 128C, Sample, 4"	"Gr2_F1: 128N, Control, 781"	"Gr2_F3: 128N, Control, 781"	"Gr1_F3: 126, Sample, 1"
HSP90AB1	13.29265236	12.48879415	9.95956732	9.969098673	12.71250551	12.54411923	13.13791972	13.10440219	9.942954284
HNRNPM	11.38284014	12.33035672	12.17186482	12.36386098	12.14532718	12.13169622	11.49135207	11.50923068	12.19881334
MS4A1	13.07998471	12.98051449	13.91334759	14.09987377	12.87200147	12.78804535	13.07477702	12.98653537	13.98703302
MAP4	13.14519979	12.76625972	13.4243369	13.1944183	12.53862546	13.01600734	12.97466553	13.11471839	12.93796226
SRRM1	13.07429201	12.99735593	12.2275257	12.14758654	13.30156764	13.04090613	12.87365558	13.02391026	12.4590217
DNM1L	12.18849612	11.88881934	13.12958891	12.93487029	11.86298598	12.08384494	11.94082744	12.16578635	12.92232423
LSP1	12.51661109	12.75085351	13.27629891	13.37372161	12.63578613	12.66522487	12.64880695	12.67295565	13.27273183
SRRM2	12.99120294	13.03462704	13.53953446	13.59049349	12.63768903	13.04145382	12.98809883	12.97384084	13.14280908
TPD52	10.08201595	11.49889906	12.03345742	12.22996037	11.38019047	11.22821744	10.09288925	11.075546	12.16481267
HMGA1	12.59014257	11.89436306	8.638073837	9.047396608	11.56705292	11.5056131	12.74565332	12.85930182	8.45532722
EIF5B	12.14974712	12.17280251	11.64525312	11.95808141	11.92562861	11.94339393	12.48051254	12.26065496	11.72630332
PABPN1	12.2820459	12.1544384	12.48303478	12.61716898	12.30446541	12.07945145	12.35928286	12.2732711	12.7609486
NUCKS1	11.82777934	11.77824144	8.399598369	8.810250286	11.91236544	11.0558247	11.59614316	12.13416959	8.899961067
HDGF	11.98687308	11.95623094	11.36654079	11.2586838	12.22185896	12.08988078	12.00232278	12.56445915	11.53050388
RPRD1B	12.02122291	11.82527683	11.60904019	11.26414934	12.07196507	12.14984236	11.75784833	12.23317026	11.55007337
ABLIM1	11.53488646	11.85342653	11.78254781	12.15791531	11.57563378	11.59376459	11.76818432	11.91083008	11.92135748
THRAP3	11.7483606	11.96116026	10.48421871	10.50670428	11.66724463	11.82690594	11.90959312	11.92035286	10.14491311
EVL	12.0276987	12.10937362	12.92009228	12.74392977	12.32962818	12.27775234	12.37935129	11.99449487	12.99665002
CDK1	12.05029082	11.85976771	12.66928371	12.30648896	11.77421053	12.16258015	12.07317086	12.1281877	12.29691621
NOLC1	12.5911483	12.90258238	13.07240061	13.2591842	12.59623635	12.76005457	12.84128915	12.68693817	12.94016675
MYH9	12.41806342	12.79628301	9.143893361	9.001971088	12.65977296	12.70336289	12.82215254	12.53935271	9.180406485
SUGP2	10.05609576	11.15044544	11.77918584	12.05059692	10.74668226	10.86054385	10.47390865	10.68053534	11.59521085
LSM14A	12.10567939	12.29387394	12.65957229	12.68689441	12.40357131	12.32533357	12.32364591	12.25900761	12.78123675
ARFGAP2	11.05236427	10.86038866	11.14917552	11.34756601	10.68580002	10.61332905	11.1792871	11.12386274	11.20542673
ACLY	11.70269217	11.6648028	11.84729229	12.16901677	11.8872587	11.36457243	11.64403652	11.99368144	12.41909114
BCLAF1	12.11136393	12.04640784	12.87455877	12.75666056	11.93324804	12.13073143	11.8965973	12.20826485	12.69498898
EIF3CL	11.96235381	11.71686232	9.984276034	10.40237258	11.42726046	11.45327063	11.70848041	12.02257588	10.04138537
