Gene	norm_19-A	norm_19-C	norm_1-1ug-B	norm_19-B	norm_1-B	norm_1-C	norm_1-1ug-C	norm_1-1ug-A	norm_1-A
UBA52	4.09592442	5.462706751	5.116863758	9.103287808	5.09592442	9.172427509	9.09011242	5.402585758	8.909893084
ALB	7.741466986	7.994353437	8.348728154	8.294620749	10.42101286	10.95927751	8.303780748	7.499845887	8.370687407
LCE3D	2.722466024	2.944858446	3.837943242	5.01346226	2.963474124	7.965784285	4.906890596	4.061776198	5.129283017
MANBA	2.378511623	2.350497247	2.432959407	5.165911939	2.700439718	4.364572432	4.44625623	2.321928095	4.902073579
TRAM1	4.419538892	4	5.057450272	6.483815777	4.061776198	6.578938713	6.882643049	4.566815154	6.45779126
FLG	6.754887502	6.672425342	7.294620749	8.396604781	6.518849829	10.87728413	8.527477006	6.768184325	8.611024797
LYZ	3.632268215	3.217230716	3.584962501	5.575917361	3.817623258	7.348728154	4.426264755	4.560714954	5.307428525
MAP1LC3B2	2.807354922	2.378511623	3.364572432	4.995484519	2.137503524	4.321928095	4.832890014	2.807354922	5.078951341
PFKFB1	3.232660757	3.632268215	4.626439137	3.40599236	4.812498225	5.026800059	4.459431619	4.439623138	4.504620392
FLG2	7.727920455	7.392317423	7.845490051	8.900866808	7.54689446	11.59385794	8.882643049	7.851749041	9.197216693
RLF	4.161887682	3.906890596	4.364572432	5.719731057	3.459431619	5.578938713	5.944858446	4.112700133	6.017921908
DAP	5.364572432	5.539158811	5.321928095	6.882643049	5.478971805	6.894817763	7.06608919	5.62058641	7
HRNR	6.325530332	6.575917361	5.705977902	7.6794801	5.904484098	10.33427329	7.569855608	6.483815777	7.924812504
SLC25A4	6.638073837	6.741466986	6.942514505	8.011227255	6.658211483	7.982993575	8.243173983	6.857980995	8.098032083
BNIP3	6.404290064	6.270528942	7.523561956	6.279842694	7.707359132	7.238404739	7.50779464	7.46760555	7.459431619
PPP1CB	8.417852515	8.238404739	8.400879436	9.601770788	8.233619677	9.764871591	9.575539247	8.30833903	9.575539247
DCD	8.262094845	8.375039431	8.233619677	8.584962501	8.400879436	11.20518233	9.01402047	7.988684687	9.527477006
HBB	6.845490051	6.930737338	7.209453366	7.900866808	6.965784285	8.906890596	8.400879436	7.247927513	8.049848549
IGHA1	4.770829046	5.62935662	5.786596362	6.906890596	6.45779126	8.900866808	6.557655155	5.623515741	6.741466986
TEAD2	5.658211483	3.666756592	4.044394119	4.608809243	5.830356747	5.635173947	5.666756592	5.314696526	4.153805336
PIGR	5.074676686	4.916476644	4.666756592	6.063934306	4.672425342	7.807354922	5.770829046	5.108524457	6.057450272
KDM3A	7.366322214	7.199672345	8.055282436	7.339850003	8.257387843	7.383704292	8.118941073	8.189824559	8.285402219
C2orf49	7.483815777	7.599912842	7.787902559	8.426264755	7.622051819	8.519636253	8.54689446	7.64385619	8.511752654
HLA-DRA	8.647458426	8.357552005	8.971543554	9.810571635	8.503825738	9.558420713	9.756556323	8.636624621	9.753216749
BIVM-ERCC5	2	1.963474124	2.10433666	1.925999419	2.608809243	0	0	2.169925001	2.744161096
MON1B	4.153805336	3.608809243	4.061776198	3.655351829	4.504620392	4.760220946	4.044394119	4.078951341	4.03562391
CACFD1	3.137503524	2.070389328	2.944858446	2	2.887525271	0	2.510961919	3.053111336	2.584962501
HSH2D	2.722466024	2.887525271	2.887525271	2.744161096	3.053111336	4.044394119	3.017921908	3.378511623	3.472487771
ANKZF1	6.378511623	6.375039431	7.011227255	6.289096702	7.348728154	6.155830172	6.977279923	7.209453366	7.17990909
MINDY2	3.185866545	2.201633861	3.217230716	2.722466024	3.655351829	0	3.364572432	3	3.201633861
BAD	2.40599236	2.292781749	3.201633861	2.137503524	2.981852653	3.765534746	2.655351829	3.378511623	1.963474124
SNX19	0	2.5360529	2.827819025	2.10433666	2.887525271	0	2.887525271	2.765534746	3.070389328
JMY	2.963474124	2.722466024	3.498250868	3.392317423	3.432959407	4.087462841	3.307428525	3.608809243	3.678071905
IGKC	5.935459748	6.272396509	8.475733431	6.807354922	7.033423002	8.962896005	6.741466986	6.006746832	6.857980995
GCSAM	3.64385619	3.678071905	3.62058641	3.419538892	4.472487771	4.371558863	3.897240426	3.472487771	2.906890596
PRR14L	4.867896464	4.887525271	4.995484519	5.94016675	5.108524457	5.669593751	5.083213368	5.314696526	5.632268215
PLOD1	7.129283017	6.857980995	7.894817763	7.129283017	7.882643049	7.366322214	7.832890014	7.62935662	7.900866808
UQCRH	7.417852515	7.607330314	7.832890014	8	7.754887502	8.361943774	9.355351096	7.515699838	8.651051691
MICU1	3.596935142	2.981852653	3.754887502	3.121015401	3.807354922	4.426264755	3.95419631	4.053111336	3.584962501
KDM4C	4.498250868	4.10433666	4.807354922	4.008988783	4.812498225	4.364572432	4.655351829	4.683696454	4.822730148
GTPBP6	3.472487771	2.070389328	3.498250868	2.722466024	3.485426827	0	2.906890596	3.419538892	3.263034406
DSC1	6.350497247	6.359310317	6.529820947	6.942514505	5.984133595	10.02375435	7.50779464	6.06608919	7.087462841
CKS2	5.738767837	5.169925001	5.354028938	6.462706751	4.727920455	6.462706751	6.346956889	5.475733431	6.48058827
TTF1	2.10433666	3.121015401	2.655351829	1.765534746	2.906890596	0	2.459431619	2.485426827	2.510961919
C14orf1	4.770829046	4.44625623	4.857980995	4.412781525	5.137503524	5.807354922	4.5360529	4.529820947	4.608809243
DDHD2	4.596935142	5.031218731	5.663913842	3.897240426	5.274261661	5.830356747	4.053111336	4.548436625	4.371558863
GTF3A	5.01346226	5.551516018	5.031218731	6.232660757	5.705977902	6.23457796	5.9795681	4.705977902	6.277984747
LMAN2	8.503825738	8.174925683	8.82336724	9.076815597	8.06608919	9.392317423	9.398743692	8.54303182	9.182394353
DOPEY1	3.857980995	4.419538892	4.504620392	3.817623258	4.632268215	4.504620392	4.129283017	4.523561956	4.017921908
MSL1	3.419538892	3.916476644	4.053111336	3.572889668	4.153805336	4.426264755	3.99095486	2.925999419	4.201633861
NACAP1	2.981852653	3.64385619	2.906890596	2.700439718	3.572889668	4.09592442	3.307428525	3	3.087462841
TMSB4X	9.036173613	9.005624549	8.599912842	9.344295908	8.816983623	10.32305476	9.939579214	8.781359714	9.681238412
PIK3IP1	3.837943242	4.169925001	4.153805336	3.548436625	4.232660757	4.452858965	4.343407822	3.807354922	4.596935142
XPR1	3.247927513	2.981852653	3.40599236	3.070389328	3.666756592	3.678071905	2.786596362	3.887525271	3.169925001
ALDOC	9.415741768	9.523561956	9.865733271	9.403012024	10.07815081	9.818582177	9.890264277	10.05120894	10.06474276
RNF213	2.827819025	3.99095486	3.711494907	3	4.03562391	3.121015401	3.655351829	3.62058641	3.560714954
SERPINB12	7.011227255	7.044394119	6.965784285	7.348728154	6.882643049	9.887220615	7.400879436	6.754887502	7.672425342
OGFOD2	2.510961919	2.432959407	2.786596362	2.867896464	3.070389328	0	2.459431619	3.137503524	3.017921908
COA6	5.855491443	6.093813673	5.965784285	6.388878339	6.074676686	6.768184325	6.918863237	5.768184325	6.700439718
CCNY	3.169925001	3	4.548436625	3.247927513	3.744161096	3.916476644	3.40599236	3.185866545	2.378511623
IGHG1	3.632268215	3.137503524	4.177917792	2.867896464	3.548436625	4.193771743	3.62058641	2.867896464	3.700439718
SRP9	9.283088353	9.118941073	9.306061689	9.926295995	9.033423002	9.918863237	9.905387005	9.22881869	9.888743249
LTF	6.350497247	6.301953395	6.226893814	7.044394119	6.616181231	8.379378367	7.076815597	6.845490051	6.95419631
LAMTOR2	4.802193217	4.292781749	4.95419631	4.529820947	5.116863758	5.303780748	4.770829046	4.963474124	4.321928095
NCCRP1	6.226893814	5.937815169	6.653919873	6.512542955	5.993221467	8.566054038	6.540709263	5.977279923	6.820178962
PSMD4	8.951284715	8.876516947	8.997179481	9.721099189	8.980139578	9.541096615	9.769837844	8.930737338	9.758223215
CSNK1E	3.925999419	3.510961919	3.655351829	3.485426827	4.061776198	4.329123596	3.827819025	3.887525271	3.277984747
XP32	5.716990894	5.209453366	5.329123596	6.369815424	5.296457407	8.189824559	6.357552005	5.343407822	6.300123725
CAMK4	7.658211483	7.6794801	7.409390936	8.159871337	7.77478706	9.405141463	8.049848549	7.787902559	8.257387843
PEA15	6.352264173	6.395748328	6.62058641	6.655351829	6.623515741	7.483815777	7.686500527	6.518849829	6.977279923
TUBA4A	10.46250227	10.39981196	10.36741475	11.20518233	10.54206454	11.02997735	11.19905882	10.58025857	11.12992693
FAM162A	7.523561956	7.426264755	8.027905997	7.426264755	7.994353437	7.686500527	8.159871337	7.977279923	8.154818109
EEFSEC	4.240314329	4.03562391	4.061776198	4.017921908	4.364572432	4.95419631	3.754887502	4.121015401	4.584962501
P4HA1	8.857980995	8.900866808	9.290018847	8.754887502	9.426264755	9.199672345	9.14974712	9.353146825	9.422064766
CBL	3.169925001	2.963474124	3.510961919	3.087462841	3.596935142	3.887525271	3.608809243	3.40599236	3.10433666
AGTRAP	3.786596362	4.678071905	4.439623138	4.185866545	4.744161096	4.716990894	4.797012978	4.343407822	4.510961919
CENPN	4.716990894	4.666756592	4.321928095	4.277984747	4.842978832	6.289096702	4.683696454	4.307428525	5.213347282
UNK	2.807354922	2.847996907	2.963474124	3.584962501	3.378511623	0	3.378511623	3.263034406	3.292781749
BCAS2	9.06608919	9.209453366	9.22881869	9.764871591	9.189824559	10.2179577	9.759888183	9.245552706	9.761551232
SPG7	4.694880193	5.364572432	5.40599236	4.906890596	5.545350645	5.189824559	5.201633861	5.217230716	5.44625623
MCRIP2	3.678071905	3.700439718	3.678071905	3.847996907	4.217230716	4.336283388	3.935459748	2.827819025	3.201633861
RPS23	9.519636253	9.451211112	9.388017285	10.57080444	9.324180547	10.06474276	10.19352536	9.344295908	10.31174832
EGLN1	8.28077077	8.299208018	8.744833837	8.383704292	8.836050355	8.622051819	9.011227255	8.686500527	8.930737338
RSPRY1	3.897240426	3.5360529	4.017921908	3.972692654	4.40599236	5.061776198	3.925999419	4.044394119	4.070389328
NARF	2.378511623	2.232660757	2.169925001	1.485426827	2.608809243	0	2.459431619	2	2.765534746
DYNLL2	3.897240426	4.129283017	3.733354341	4.270528942	2.584962501	4.765534746	4.678071905	4.153805336	4.632268215
PKP1	4.87282876	5.197708158	6.207502459	5.057450272	4.733354341	7.539158811	5.526694846	4.694880193	5.572889668
FAM160A2	3.292781749	3.944858446	3.827819025	3.307428525	3.596935142	4.432959407	3.498250868	3.350497247	3.786596362
KDM5C	4.240314329	4.285402219	4.655351829	4.026800059	4.744161096	4.897240426	4.314696526	4.572889668	4.145677455
DBI	9.353146825	9	9.118941073	9.428360173	9.063395081	10.09143539	10.18115226	9.113742166	9.874981348
RGCC	3.655351829	3.498250868	2.906890596	3.584962501	4.240314329	0	3.121015401	3.744161096	3.887525271
DGKZ	3.432959407	3.321928095	3.827819025	3.40599236	3.887525271	3.87774425	3.419538892	3.087462841	3.678071905
PBX2	2.201633861	2.887525271	2.655351829	2.263034406	3.232660757	0	2.459431619	3.137503524	2.137503524
WDR41	4.078951341	3.847996907	3.817623258	3.87774425	4.678071905	3.944858446	4.608809243	3.944858446	4.371558863
LMCD1	3.263034406	3.87774425	3.807354922	3.232660757	3.364572432	3.807354922	3.87774425	4.270528942	3.744161096
SUN2	6.601399391	6.672425342	6.768184325	7.011227255	6.512542955	7.787902559	7.515699838	6.613236955	7.17990909
KDM4A	6.085339669	5.865423978	6.727920455	5.700439718	6.392317423	5.416164165	6.48864354	6.296457407	6.364572432
WDR5	5.840463234	5.852997588	5.977279923	6.125155131	5.95419631	6.359310317	6.279842694	6.033423002	6.385431037
UNC93B1	7.044394119	6.395748328	7.400879436	7.813781191	6.452858965	7.54689446	7.930737338	7.257387843	7.845490051
GLA	4.452858965	3.99095486	4.209453366	4.008988783	4.602884409	4.09592442	4.40599236	4.378511623	4.491853096
K7EQG2_106	3.584962501	3.797012978	4.201633861	3.754887502	4.596935142	4.217230716	4.145677455	3.847996907	3.776103988
DSG1	8.781359714	8.897845456	9.09011242	9.087462841	8.654636029	11.51224664	9.364134655	8.531381461	9.388017285
CYP51A1	8.276124405	8.30833903	8.885696373	8.271463028	8.764871591	8.54689446	8.836050355	8.813781191	8.820178962
ZBTB44	4.087462841	4.678071905	4.678071905	4.161887682	4.626439137	4.683696454	4.64385619	4.336283388	4.217230716
DHX35	3.459431619	3.307428525	3.765534746	3.292781749	3.935459748	0	3	3.321928095	3.572889668
NME1	9.209453366	9.162391329	9.301496195	10.09143539	9.121533517	9.689997971	9.936637939	9.187352073	9.995767151
ARCN1	10.42101286	10.30035256	10.47269084	10.97369737	10.34540525	10.9225844	10.90011206	10.4314976	10.90011206
SLC2A1	8.897845456	8.927777962	9.381542951	9.157346935	9.187352073	9.405141463	9.672425342	9.164906927	9.481799432
HCCS	8.894817763	8.807354922	9.016808288	9.398743692	8.854868383	9.548821908	9.449148645	8.885696373	9.370687407
TXNDC12	7.22881869	7.169925001	7.459431619	7.62935662	7.139551352	7.707359132	7.864186145	7.409390936	7.741466986
TRMT61A	5.578938713	4.857980995	4.837943242	4.822730148	5.321928095	6.093813673	5.22881869	5.026800059	5.09592442
GAB1	3.201633861	2.40599236	3.678071905	2.981852653	3.857980995	0	3.121015401	2.510961919	2.981852653
RPTOR	6.091699834	6.024585638	6.17990909	6.346956889	6	7.554588852	6.543805176	6.253611152	6.556122818
TCP11L1	3.217230716	3.185866545	3.765534746	3.817623258	3.689299161	3.070389328	3.916476644	3.498250868	3.632268215
BRI3BP	8.77807713	8.882643049	8.936637939	9.131856961	8.927777962	9.348728154	9.46760555	8.717676423	9.335390355
SYS1	3.887525271	4.053111336	3.972692654	3.827819025	4.053111336	4.566815154	4.255500733	3.944858446	4.314696526
GBE1	5.605849867	5.303780748	5.614709844	5.40599236	5.852997588	5.902073579	5.760220946	5.860466259	5.64385619
CENPA	4.277984747	4.584962501	4.478971805	4.145677455	4.716990894	4.986410935	4.217230716	4.472487771	4.217230716
AZGP1	3.336283388	3.185866545	3.087462841	2.807354922	3.350497247	5.008988783	3.596935142	2.632268215	3.608809243
HK2	11.18673329	11.07079181	11.53186878	11.1234748	11.57506646	11.40992124	11.50233458	11.59385794	11.64430696
NUCB2	8.434628228	8.434628228	8.668884984	8.741466986	8.447083226	8.885696373	9.103287808	8.379378367	8.921840937
MRPL39	7.357552005	7.303780748	7.285402219	8.573647187	7.247927513	7.8008999	8.471675214	7.392317423	8.50779464
SP4	3.972692654	4.263034406	4.329123596	3.981852653	4.465974465	4.412781525	4.137503524	4.478971805	3.897240426
SSBP3	4.572889668	4.314696526	4.760220946	4.786596362	4.842978832	5.008988783	4.916476644	4.722466024	5.040015679
GSDMA	5.459431619	5.797012978	6.246027981	5.504620392	5.700439718	7.357552005	5.762880293	5.857980995	5.937815169
EIF4ENIF1	6.464341533	6.151777655	6.845490051	6.988684687	6.183883459	6.906890596	7.055282436	6.727920455	6.965784285
IFRD2	4.087462841	4.161887682	4.078951341	4.10433666	3.897240426	4.596935142	4.722466024	3.87774425	4.517275693
S100A7	6.930737338	3.548436625	6.918863237	5.053111336	4.09592442	7.22881869	5.395748328	4.602884409	5.485426827
MBOAT7	4.776103988	4.529820947	5.224966365	4.608809243	4.786596362	5.422905743	5.031218731	5.141596278	5.03562391
RNF170	2.963474124	3.263034406	2.981852653	2.655351829	3.364572432	3.963474124	3.40599236	2.847996907	3.232660757
RNPC3	3.247927513	3.364572432	3.263034406	2.981852653	3.185866545	4.672425342	3.10433666	3.277984747	3.64385619
CALU	10.34540525	10.37829486	10.56128795	10.80654962	10.33427329	10.80654962	10.96650545	10.35645197	10.84627391
JUP	9.569855608	9.74819285	10.37829486	9.900866808	9.511752654	12.44630793	10.26561505	9.453270634	10.18115226
RPS12	9.839203788	9.677719642	9.573647187	10.53235593	9.721099189	10.4419067	10.23002044	9.693486957	10.26561505
RFC5	9.142107057	8.87958325	9.197216693	9.773139207	8.882643049	9.573647187	9.695228291	9.169925001	9.693486957
RPL35A	9.224001674	9.233619677	9.199672345	10.02375435	9.052568051	9.661778098	9.761551232	9.197216693	9.86727874
SLC27A4	3.867896464	3.364572432	3.596935142	3.392317423	3.137503524	4.523561956	3.722466024	3.572889668	3.786596362
ATP6V0D1	4.972692654	4.255500733	4.738767837	5	4.949534933	5.581953751	5.270528942	5.03562391	5.395748328
KMT2B	2.827819025	3.432959407	3.510961919	2.560714954	3.201633861	3.797012978	2.944858446	3.364572432	2.807354922
TOR4A	2.169925001	2.5360529	3	2.459431619	2.827819025	0	0	2.432959407	0
ATG5	3.807354922	3.608809243	4.177917792	3.364572432	4	2.963474124	3.776103988	4.09592442	4.026800059
CCDC97	6.566815154	6.62058641	7.383704292	6.584962501	7.426264755	7.011227255	7.139551352	6.593951284	6.768184325
N4BP3	4.862947248	4.867896464	5.112700133	4.733354341	5.28169825	5.560714954	4.781359714	4.916476644	4.99095486
