Pathway name,Uniquegenes,Uniquemetabol.,Metabolomics,Metabolomics(FDR BH),Proteomics,Proteomics(FDR BH),Geneexpression,Geneexpression(FDR BH),Combined pValue(Stouffer),Combined pValue(Stouffer)[FDR BH]
Protein processing in endoplasmic reticulum,157,,0.021878911,0.662930993,0.795957262,1,1.56E-08,5.36E-06,0.001771549,0.202547054
Intestinal immune network for IgA production,35,,0.522552184,1,0.019377865,0.547424698,0.000275229,0.031467831,0.004194206,0.301187341
Systemic lupus erythematosus,96,,0.435137004,1,0.303091955,1,2.46E-05,0.004217462,0.022455962,0.855821655
Malaria,24,,-,,0.001556096,0.175838816,0.033494617,0.547078739,0.000253298,0.08688106
Complement and coagulation cascades,36,,1,1,9.33E-06,0.003163624,0.964592095,1,0.981518113,1
N-Glycan biosynthesis,47,,0.056016816,0.707633992,0.265999827,1,0.00116419,0.057045326,0.004390486,0.301187341
Asthma,19,,0.043506396,0.707633992,0.015713304,0.53268102,0.033420799,0.547078739,0.000629093,0.107889428
Staphylococcus aureus infection,38,,0.556137169,1,0.000348167,0.05901428,0.163167619,0.861022976,0.006423511,0.367210703
Allograft rejection,28,,0.742058018,1,0.030268985,0.641324116,0.003792212,0.144525411,0.034265137,0.979411827
Various types of N-glycan biosynthesis,34,,0.056016816,0.707633992,0.219626241,1,0.011494136,0.312361595,0.007762615,0.380368127
ECM-receptor interaction,43,,1,1,0.003471217,0.197290614,0.041671398,0.621447369,0.959942285,1
Viral myocarditis,51,,0.432645749,1,0.007546052,0.306110023,0.049340995,0.633911248,0.010018944,0.429562242
Cell adhesion molecules,81,,0.568852976,1,0.054287666,0.876358039,0.005228994,0.179354508,0.027768609,0.943079997
Autoimmune thyroid disease,28,,0.742058018,1,0.072121844,1,0.003792212,0.144525411,0.060467184,1
Glycerophospholipid metabolism,66,,0.933894866,1,0.003491869,0.197290614,0.068217829,0.72644861,0.09032288,1
Oocyte meiosis,108,,0.000363159,0.110037284,0.915303414,1,0.854922387,1,0.179949371,1
Alcoholism,140,,0.532164251,1,0.882347892,1,0.000627193,0.053781841,0.337651495,1
Biosynthesis of unsaturated fatty acids,22,,1,1,0.372653957,1,0.000876461,0.057045326,0.997057671,1
Graft-versus-host disease,29,,0.742058018,1,0.030268985,0.641324116,0.016622466,0.380100379,0.053354862,1
Type I diabetes mellitus,31,,0.803442221,1,0.046005073,0.780915266,0.011838778,0.312361595,0.079882373,1
Long-term depression,43,,0.038904155,0.707633992,0.97018726,1,0.023172585,0.441566473,0.241928319,1
Viral carcinogenesis,179,,0.971415095,1,0.925341919,1,0.001084404,0.057045326,0.841954854,1
PI3K-Akt signaling pathway,223,,0.402570744,1,0.284273798,1,0.009029227,0.281547701,0.074542604,1
Toxoplasmosis,94,,0.922585407,1,0.002376115,0.197290614,0.493538479,1,0.182110717,1
Hippo signaling pathway - multiple species,21,,0.012610811,0.638542856,0.394299957,1,0.270139026,1,0.030244548,0.943079997
Long-term potentiation,52,,0.007011238,0.638542856,0.641478037,1,0.314233127,1,0.059197302,1
Glycerolipid metabolism,44,,1,1,0.008126815,0.306110023,0.179848554,0.900072234,0.987987032,1
Signaling pathways regulating pluripotency of stem cells,99,,0.694513782,1,0.025757316,0.623695021,0.08708768,0.72644861,0.072887243,1
Vitamin digestion and absorption,12,,0.556137169,1,0.07643009,1,0.046975175,0.633911248,0.069298365,1
GnRH signaling pathway,74,,0.005300025,0.638542856,0.641478037,1,0.863228302,1,0.154269879,1
Arrhythmogenic right ventricular cardiomyopathy,40,,1,1,0.00501418,0.242829588,0.659849467,1,0.9960546,1
Rheumatoid arthritis,63,,0.239774671,1,0.061658651,0.950103766,0.248823115,1,0.042207706,1
Terpenoid backbone biosynthesis,21,,0.043506396,0.707633992,0.372653957,1,0.270139026,1,0.058347564,1
Sulfur relay system,8,,1,1,0.046071697,0.780915266,0.103037218,0.763224992,0.995193724,1
Cholinergic synapse,73,,0.063056494,0.707633992,0.297429645,1,0.27832125,1,0.057672915,1
TNF signaling pathway,84,,0.600728786,1,0.040575685,0.780915266,0.225257331,1,0.104544925,1
Estrogen signaling pathway,84,,0.013006614,0.638542856,0.912259236,1,0.47488792,1,0.273039971,1
Cholesterol metabolism,33,,0.089849775,0.900992745,0.070043172,1,0.913971309,1,0.094774294,1
Fatty acid elongation,21,,1,1,0.372653957,1,0.016330985,0.380100379,0.999145403,1
Oxytocin signaling pathway,110,,0.138677051,1,0.172426636,1,0.273217043,1,0.059618717,1
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,15,,-,,0.220229008,1,0.131262604,0.789222628,0.108409911,1
SNARE interactions in vesicular transport,33,,0.058634121,0.707633992,0.308500741,1,0.404826404,1,0.07430422,1
Small cell lung cancer,75,,0.970885887,1,0.370952679,1,0.020500163,0.413620928,0.595088411,1
alpha-Linolenic acid metabolism,11,,-,,1,1,0.029389322,0.530554601,0.999996722,1
Fat digestion and absorption,21,,-,,0.158742587,1,0.189702248,0.903720431,0.095407597,1
Hippo signaling pathway,118,,0.2914626,1,0.084820319,1,0.313344172,1,0.075027149,1
Neutrophil extracellular trap formation,138,,0.564165208,1,0.761913281,1,0.018167474,0.389465231,0.406111078,1
AMPK signaling pathway,97,,0.274303728,1,0.623154117,1,0.045966048,0.633911248,0.200855375,1
Focal adhesion,139,,0.88996699,1,0.079550395,1,0.113482433,0.763224992,0.282320614,1
Leishmaniasis,59,,0.775925061,1,0.021653718,0.564662329,0.52675407,1,0.214948298,1
Thyroid hormone synthesis,50,,0.14148759,1,0.506274882,1,0.124078116,0.78125405,0.127463887,1
Nucleotide excision repair,46,,0.014751815,0.638542856,0.73901397,1,0.817792552,1,0.254058055,1
Proximal tubule bicarbonate reclamation,16,,0.056016816,0.707633992,0.554756722,1,0.287600405,1,0.121359299,1
