"","Identifier","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","BNIP3",-1.40141413815316,6.86999130501209,-22.7150992428751,2.24513274922169e-09,2.28285097940862e-05,10.1723485240979
"2","P4HA1",-0.890903168342361,6.14444756641512,-17.3637703451909,2.50527209729669e-08,0.000112572071926576,8.77513544881273
"3","BNIP3L",-1.54469298701823,6.09950199415848,-16.6806782696334,3.58295580958469e-08,0.000112572071926576,8.5386789362021
"4","HK2",-0.687734099925485,7.94893775136478,-16.2882042714563,4.42848434014855e-08,0.000112572071926576,8.39521602091838
"5","PDK1",-0.849606968708373,5.47165655280348,-15.3402766861809,7.5399151972823e-08,0.000153331715451933,8.02380700364475
"6","LSP1",-0.756685632615023,6.22492546726301,-13.6836952528697,2.06603990264479e-07,0.000350124895501537,7.2785146672457
"7","ALDOC",-1.35116058356457,4.10797386364608,-13.0580494165178,3.11350564165031e-07,0.00045225893377572,6.96042489960226
"8","PFKFB4",-1.81249448535951,3.3172041633246,-12.4591607143171,4.68975924399351e-07,0.000540060781411699,6.63460291522127
"9","KDM3A",-0.819229243507598,6.55676958929673,-12.2995261781844,5.24650406807174e-07,0.000540060781411699,6.54400584331369
"10","TPI1",-0.454163131673983,9.79981570094672,-12.2367630572764,5.48504716749935e-07,0.000540060781411699,6.50793749440811
"11","LRRC32",-1.42771487319827,2.3121903300833,-12.1481361313735,5.84251435437518e-07,0.000540060781411699,6.45656857131616
"12","PFKFB3",-0.602595099899867,6.63995218287726,-11.9191124507335,6.89114450608715e-07,0.000559608323140194,6.32141145161432
"13","LDHA",-0.509005014432136,11.6487071159446,-11.8675789560845,7.15470908814174e-07,0.000559608323140194,6.29051144582581
"14","FUT11",-0.78574620138483,5.09880682909367,-11.6699470196914,8.27358624448381e-07,0.000572704269526791,6.17031085918454
"15","PGAM1",-0.489376922045651,9.54240251715029,-11.6417120889511,8.44862710749593e-07,0.000572704269526791,6.15291544254401
"16","PLOD1",-0.577615043480368,5.39472081644516,-11.0424051327167,1.33202954941854e-06,0.000846504778655484,5.77002765089581
"17","AK4",-1.28335469797234,1.92150108907308,-10.7809662399026,1.63578824244871e-06,0.000969689874253581,5.59447783175423
"18","PGK1",-0.414153903393345,9.49530163913409,-10.6215455987871,1.85803498730121e-06,0.000969689874253581,5.48476582508339
"19","HBEGF",0.459401868601409,4.82772386534471,10.593736432159,1.90010897755959e-06,0.000969689874253581,5.46541653796478
"20","FAM162A",-0.435468974283402,4.91243314401093,-10.589027628075,1.9073364953847e-06,0.000969689874253581,5.46213393906901
"21","ENO1",-0.391396558565479,11.2700893252302,-9.77491630968645,3.76185323715315e-06,0.00180389219609786,4.86617310199365
"22","PKM",-0.399816398290588,10.9291573140991,-9.73233188786831,3.90299255646666e-06,0.00180389219609786,4.83337836331715
"23","NARF",-0.376547723238905,5.90478134159702,-8.60224962166983,1.09314918178939e-05,0.00483266994801501,3.89826630409861
"24","GPI",-0.311897510115211,9.30633657638534,-7.9634080792735,2.05547590286784e-05,0.00870836624181675,3.3093007487483
"25","TXNDC5",0.618884611251842,1.32025668240831,7.89659980555953,2.2007575873877e-05,0.00895092125942324,3.24496391957389
"26","SSTR3",-0.396225005237745,0.59511626997112,-7.80419588906335,2.42055320854401e-05,0.00925026915389111,3.15508942192801
"27","GPR18",0.30277224677215,4.94763313215061,7.7550215159356,2.54723204052373e-05,0.00925026915389111,3.10683640064241
"28","SLC2A1",-0.344189345359522,7.14716183482127,-7.75500301647069,2.54728104159079e-05,0.00925026915389111,3.10681819191009
"29","NRN1",-0.757127214574539,1.46357878148957,-7.40184148212754,3.70154146939882e-05,0.0117756481415074,2.75140529402784
"30","RIMKLA",-0.431233214827921,4.94717781298485,-7.39291235641898,3.73732325290293e-05,0.0117756481415074,2.7422136802972
"31","KMT2D",0.307668569274091,7.33565808823218,7.38538118576639,3.76779698963396e-05,0.0117756481415074,2.73445310420216
"32","SLA",-0.279328704878287,0.170904306788406,-7.37261139744816,3.82009049129317e-05,0.0117756481415074,2.72127755956976
"33","LRMP",0.370548411568311,8.96709410559262,7.37220726572029,3.82175834647665e-05,0.0117756481415074,2.72086024177876
"34","MDN1",0.321473858056921,7.99580096234889,7.32820441311441,4.00820917467927e-05,0.0119869032023938,2.67529475339745
"35","HIVEP3",0.523376544210045,3.06205899974171,7.04848690262342,5.45288639521281e-05,0.015841413961864,2.37967897306033
"36","SCIMP",0.315112718936676,4.24968976598988,6.97200068421551,5.94081372470475e-05,0.0167794983202217,2.29701962396509
"37","EGLN1",-0.596109788582512,6.10720358678707,-6.89399413389468,6.48793969739408e-05,0.0178295596873251,2.2118946809893
"38","PRKCE",0.329607039001378,5.95986543702759,6.78001751155348,7.38865366313976e-05,0.0191332829480021,2.08600720305857
"39","VPS13B",0.348105829030524,6.07407580935226,6.77772133099518,7.40814651333625e-05,0.0191332829480021,2.08345249579626
"40","PIP5K1B",0.414697747128768,2.73899607631257,6.76387780861778,7.5268618992927e-05,0.0191332829480021,2.06803471142819
"41","RBM3",-0.344664900333767,8.18240398598804,-6.52228614493617,9.97049986004023e-05,0.0233476876576014,1.79461141023548
"42","TNIP1",-0.331608220769136,6.60738328702164,-6.52189830424862,9.97505800810449e-05,0.0233476876576014,1.79416577533237
