"","Pathway.name","Unique.genes","Phosphoproteomics","PhosphoproteomicsFDR_BH","Proteomics","ProteomicsFDR_BH","Transcriptomics","TranscriptomicsFDR_BH","Combined","CombinedFDR_BH","Contrast","Proteomics_FDR","Phosphoproteomics_FDR","Transcriptomics_FDR","Combined_FDR"
"1","Protein processing in endoplasmic reticulum","157","0.021878911","0.6629310","0.795957262","1.000000e+00","0.0000000156","0.000005360","0.001771549","0.20254705","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"2","Intestinal immune network for IgA production"," 35","0.522552184","1.0000000","0.019377865","5.474247e-01","0.0002752290","0.031467831","0.004194206","0.30118734","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"3","Systemic lupus erythematosus"," 96","0.435137004","1.0000000","0.303091955","1.000000e+00","0.0000246000","0.004217462","0.022455962","0.85582165","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"4","Malaria"," 24",NA,NA,"0.001556096","1.758388e-01","0.0334946170","0.547078739","0.000253298","0.08688106","X1O2NoCyA - X1O2PlusCyA",1,NA,1,1
"5","Complement and coagulation cascades"," 36","1","1.0000000","9.33E-06","3.163624e-03","0.9645920950","1.000000000","0.981518113","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"6","N-Glycan biosynthesis"," 47","0.056016816","0.7076340","0.265999827","1.000000e+00","0.0011641900","0.057045326","0.004390486","0.30118734","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"7","Asthma"," 19","0.043506396","0.7076340","0.015713304","5.326810e-01","0.0334207990","0.547078739","0.000629093","0.10788943","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"8","Staphylococcus aureus infection"," 38","0.556137169","1.0000000","0.000348167","5.901428e-02","0.1631676190","0.861022976","0.006423511","0.36721070","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"9","Allograft rejection"," 28","0.742058018","1.0000000","0.030268985","6.413241e-01","0.0037922120","0.144525411","0.034265137","0.97941183","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"10","Various types of N-glycan biosynthesis"," 34","0.056016816","0.7076340","0.219626241","1.000000e+00","0.0114941360","0.312361595","0.007762615","0.38036813","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"11","ECM-receptor interaction"," 43","1","1.0000000","0.003471217","1.972906e-01","0.0416713980","0.621447369","0.959942285","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"12","Viral myocarditis"," 51","0.432645749","1.0000000","0.007546052","3.061100e-01","0.0493409950","0.633911248","0.010018944","0.42956224","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"13","Cell adhesion molecules"," 81","0.568852976","1.0000000","0.054287666","8.763580e-01","0.0052289940","0.179354508","0.027768609","0.94308000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"14","Autoimmune thyroid disease"," 28","0.742058018","1.0000000","0.072121844","1.000000e+00","0.0037922120","0.144525411","0.060467184","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"15","Glycerophospholipid metabolism"," 66","0.933894866","1.0000000","0.003491869","1.972906e-01","0.0682178290","0.726448610","0.090322880","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"16","Oocyte meiosis","108","0.000363159","0.1100373","0.915303414","1.000000e+00","0.8549223870","1.000000000","0.179949371","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"17","Alcoholism","140","0.532164251","1.0000000","0.882347892","1.000000e+00","0.0006271930","0.053781841","0.337651495","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"18","Biosynthesis of unsaturated fatty acids"," 22","1","1.0000000","0.372653957","1.000000e+00","0.0008764610","0.057045326","0.997057671","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"19","Graft-versus-host disease"," 29","0.742058018","1.0000000","0.030268985","6.413241e-01","0.0166224660","0.380100379","0.053354862","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"20","Type I diabetes mellitus"," 31","0.803442221","1.0000000","0.046005073","7.809153e-01","0.0118387780","0.312361595","0.079882373","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"21","Long-term depression"," 43","0.038904155","0.7076340","0.97018726","1.000000e+00","0.0231725850","0.441566473","0.241928319","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"22","Viral carcinogenesis","179","0.971415095","1.0000000","0.925341919","1.000000e+00","0.0010844040","0.057045326","0.841954854","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
"23","PI3K-Akt signaling pathway","223","0.402570744","1.0000000","0.284273798","1.000000e+00","0.0090292270","0.281547701","0.074542604","1.00000000","X1O2NoCyA - X1O2PlusCyA",1,1,1,1
