"Gene"	"norm_19.C"	"norm_1.1ug.B"	"norm_1.A"	"norm_1.1ug.A"	"norm_19.A"	"norm_1.C"	"norm_19.B"	"norm_1.B"	"norm_1.1ug.C"
"UBA52"	5.46270675067016	5.1168637576909	8.90989308377004	5.40258575823259	4.09592441999854	9.17242750864548	9.10328780841202	5.09592441999854	9.09011241966429
"ALB"	7.99435343685886	8.34872815423108	8.37068740680722	7.49984588708321	7.74146698640115	10.9592775057205	8.29462074889163	10.4210128557792	8.3037807481771
"LCE3D"	2.94485844580754	3.83794324189103	5.12928301694497	4.06177619758669	2.72246602447109	7.96578428466209	5.01346225980656	2.96347412397489	4.90689059560852
"MANBA"	2.35049724708413	2.43295940727611	4.90207357931074	2.32192809488736	2.37851162325373	4.36457243229586	5.16591193893569	2.70043971814109	4.44625622988956
"TRAM1"	4	5.0574502721839	6.45779126025604	4.5668151540109	4.41953889151378	6.57893871309339	6.48381577726426	4.06177619758669	6.88264304936184
"FLG"	6.6724253419715	7.29462074889163	8.61102479730735	6.76818432477693	6.75488750216347	10.8772841335232	8.39660478118186	6.51884982870769	8.5274770060604
"LYZ"	3.21723071622067	3.58496250072116	5.30742852519225	4.56071495447448	3.63226821549951	7.34872815423108	5.57591736111815	3.81762325751143	4.4262647547021
"MAP1LC3B2"	2.37851162325373	3.36457243229586	5.07895134139482	2.8073549220576	2.8073549220576	4.32192809488736	4.99548451887751	2.13750352374994	4.83289001416474
"PFKFB1"	3.63226821549951	4.62643913669732	4.50462039240355	4.43962313755712	3.23266075679027	5.02680005934372	3.40599235967584	4.81249822533356	4.4594316186373
"FLG2"	7.39231742277876	7.84549005094437	9.19721669311005	7.85174904141606	7.7279204545632	11.5938579388582	8.90086680798075	7.54689445988764	8.88264304936184
"RLF"	3.90689059560852	4.36457243229586	6.01792190799726	4.11270013274936	4.16188768237689	5.57893871309339	5.71973105674985	3.4594316186373	5.94485844580754
"DAP"	5.53915881110803	5.32192809488736	7	5.62058641045188	5.36457243229586	6.89481776330794	6.88264304936184	5.47897180503294	7.06608919045777
"HRNR"	6.57591736111815	5.70597790168252	7.92481250360578	6.48381577726426	6.32553033156756	10.3342732853072	7.67948009950545	5.90448409790142	7.56985560833095
"SLC25A4"	6.74146698640115	6.94251450533924	8.09803208296053	6.85798099512757	6.63807383718072	7.98299357469431	8.01122725542325	6.65821148275179	8.24317398347295
"BNIP3"	6.27052894238072	7.52356195605701	7.4594316186373	7.467605550083	6.40429006444484	7.23840473932508	6.27984269352035	7.70735913208088	7.5077946401987
"PPP1CB"	8.23840473932508	8.40087943628218	9.57553924683453	8.30833903013941	8.4178525148859	9.76487159073609	9.60177078840771	8.2336196767597	9.57553924683453
"DCD"	8.37503943134693	8.2336196767597	9.5274770060604	7.98868468677217	8.26209484537018	11.2051823262286	8.58496250072116	8.40087943628218	9.01402047031493
"HBB"	6.93073733756289	7.20945336562895	8.04984854945056	7.24792751344359	6.84549005094437	8.90689059560852	7.90086680798075	6.96578428466209	8.40087943628218
"IGHA1"	5.62935662007961	5.78659636189081	6.74146698640115	5.62351574149055	4.77082904603249	8.90086680798075	6.90689059560852	6.45779126025604	6.55765515472542
"TEAD2"	3.6667565918848	4.04439411935845	4.15380533607904	5.31469652565629	5.65821148275179	5.63517394667492	4.60880924267552	5.83035674741922	5.6667565918848
"PIGR"	4.91647664443772	4.6667565918848	6.0574502721839	5.10852445677817	5.0746766862945	7.8073549220576	6.0639343057541	4.6724253419715	5.77082904603249
"KDM3A"	7.19967234483636	8.05528243550119	8.28540221886225	8.18982455888002	7.36632221424582	7.38370429247405	7.33985000288462	8.25738784269265	8.11894107272351
"C2ORF49"	7.59991284218713	7.78790255939143	8.51175265376738	7.64385618977472	7.48381577726426	8.51963625284321	8.4262647547021	7.62205181945638	8.54689445988764
"HLA-DRA"	8.35755200461808	8.97154355395077	9.75321674917896	8.63662462054365	8.64745842645492	9.55842071326866	9.81057163474115	8.50382573799575	9.75655632252409
"BIVM-ERCC5"	1.96347412397489	2.10433665981474	2.74416109557041	2.16992500144231	2	0	1.92599941855622	2.60880924267552	0
"MON1B"	3.60880924267552	4.06177619758669	4.03562390973072	4.07895134139482	4.15380533607904	4.76022094646651	3.65535182861255	4.50462039240355	4.04439411935845
"CACFD1"	2.0703893278914	2.94485844580754	2.58496250072116	3.05311133645956	3.13750352374994	0	2	2.88752527074159	2.51096191927738
"HSH2D"	2.88752527074159	2.88752527074159	3.47248777146274	3.37851162325373	2.72246602447109	4.04439411935845	2.74416109557041	3.05311133645956	3.01792190799726
"ANKZF1"	6.37503943134692	7.01122725542325	7.17990909001493	7.20945336562895	6.37851162325373	6.15583017155653	6.28909670241999	7.34872815423108	6.97727992349992
"MINDY2"	2.20163386116965	3.21723071622067	3.20163386116965	3	3.18586654531133	0	2.72246602447109	3.65535182861255	3.36457243229586
"BAD"	2.29278174922785	3.20163386116965	1.96347412397489	3.37851162325373	2.40599235967584	3.76553474636298	2.13750352374994	2.98185265328974	2.65535182861255
"SNX19"	2.53605290024021	2.82781902461732	3.0703893278914	2.76553474636298	0	0	2.10433665981474	2.88752527074159	2.88752527074159
"JMY"	2.72246602447109	3.49825086752783	3.67807190511264	3.60880924267552	2.96347412397489	4.08746284125034	3.39231742277876	3.43295940727611	3.30742852519225
"IGKC"	6.27239650903748	8.4757334309664	6.85798099512757	6.00674683244058	5.93545974780529	8.96289600533726	6.8073549220576	7.03342300153745	6.74146698640115
"GCSAM"	3.67807190511264	3.62058641045188	2.90689059560852	3.47248777146274	3.64385618977472	4.37155886261196	3.41953889151378	4.47248777146274	3.8972404255748
"PRR14L"	4.88752527074159	4.99548451887751	5.63226821549951	5.31469652565629	4.86789646399265	5.66959375118833	5.94016675048282	5.10852445677817	5.08321336824898
"PLOD1"	6.85798099512757	7.89481776330794	7.90086680798075	7.62935662007961	7.12928301694497	7.36632221424582	7.12928301694497	7.88264304936184	7.83289001416474
"UQCRH"	7.60733031374961	7.83289001416474	8.65105169117893	7.51569983828404	7.4178525148859	8.36194377373524	8	7.75488750216347	9.35535109642481
"MICU1"	2.98185265328974	3.75488750216347	3.58496250072116	4.05311133645956	3.59693514238723	4.4262647547021	3.12101540096137	3.8073549220576	3.95419631038688
"KDM4C"	4.10433665981474	4.8073549220576	4.82273014794452	4.68369645430652	4.49825086752783	4.36457243229586	4.00898878322726	4.81249822533356	4.65535182861255
"GTPBP6"	2.0703893278914	3.49825086752783	3.26303440583379	3.41953889151378	3.47248777146274	0	2.72246602447109	3.48542682717024	2.90689059560852
"DSC1"	6.35931031689044	6.5298209465287	7.08746284125034	6.06608919045777	6.35049724708413	10.0237543532994	6.94251450533924	5.98413359454098	7.5077946401987
"CKS2"	5.16992500144231	5.35402893805439	6.48058827023386	5.4757334309664	5.73876783680019	6.46270675067016	6.46270675067016	4.7279204545632	6.34695688937888
"TTF1"	3.12101540096137	2.65535182861255	2.51096191927738	2.48542682717024	2.10433665981474	0	1.76553474636298	2.90689059560852	2.4594316186373
"C14ORF1"	4.44625622988956	4.85798099512757	4.60880924267552	4.5298209465287	4.77082904603249	5.8073549220576	4.41278152533848	5.13750352374993	4.53605290024021
"DDHD2"	5.03121873061072	5.66391384211598	4.37155886261196	4.54843662469604	4.59693514238723	5.83035674741922	3.8972404255748	5.27426166125705	4.05311133645956
"GTF3A"	5.55151601762801	5.03121873061072	6.27798474729977	4.70597790168252	5.01346225980656	6.23457795978457	6.23266075679027	5.70597790168252	5.97956810009519
"LMAN2"	8.17492568250068	8.82336724004623	9.18239435340453	8.54303182025524	8.50382573799575	9.39231742277876	9.07681559705083	8.06608919045777	9.39874369193819
"DOPEY1"	4.41953889151378	4.50462039240355	4.01792190799726	4.52356195605701	3.85798099512757	4.50462039240355	3.81762325751143	4.63226821549951	4.12928301694497
"MSL1"	3.91647664443772	4.05311133645956	4.20163386116965	2.92599941855622	3.41953889151378	4.4262647547021	3.57288966842058	4.15380533607904	3.99095486039699
"NACAP1"	3.64385618977472	2.90689059560852	3.08746284125034	3	2.98185265328974	4.09592441999854	2.70043971814109	3.57288966842058	3.30742852519225
"TMSB4X"	9.00562454919388	8.59991284218713	9.68123841177781	8.78135971352466	9.03617361255349	10.3230547603416	9.34429590791582	8.81698362325538	9.93957921431469
"PIK3IP1"	4.16992500144231	4.15380533607904	4.59693514238723	3.8073549220576	3.83794324189103	4.45285896471381	3.54843662469604	4.23266075679027	4.34340782229781
"XPR1"	2.98185265328974	3.40599235967584	3.16992500144231	3.88752527074159	3.24792751344359	3.67807190511264	3.0703893278914	3.6667565918848	2.78659636189081
"ALDOC"	9.52356195605701	9.86573327085176	10.0647427647503	10.0512089409148	9.41574176829009	9.81858217748086	9.403012023575	10.0781508077346	9.89026427702111
"RNF213"	3.99095486039699	3.71149490665009	3.56071495447448	3.62058641045188	2.82781902461732	3.12101540096137	3	4.03562390973072	3.65535182861255
"SERPINB12"	7.04439411935845	6.96578428466209	7.6724253419715	6.75488750216347	7.01122725542325	9.88722061546838	7.34872815423108	6.88264304936184	7.40087943628218
"OGFOD2"	2.43295940727611	2.78659636189081	3.01792190799726	3.13750352374994	2.51096191927738	0	2.86789646399265	3.0703893278914	2.4594316186373
"COA6"	6.09381367340273	5.96578428466209	6.70043971814109	5.76818432477693	5.85549144310187	6.76818432477693	6.38887833881199	6.0746766862945	6.91886323727459
"CCNY"	3	4.54843662469604	2.37851162325373	3.18586654531133	3.16992500144231	3.91647664443772	3.24792751344359	3.74416109557041	3.40599235967584
"IGHG1"	3.13750352374994	4.17791779219584	3.70043971814109	2.86789646399265	3.63226821549951	4.19377174339668	2.86789646399265	3.54843662469604	3.62058641045188
"SRP9"	9.11894107272351	9.30606168942834	9.88874324889826	9.22881869049588	9.283088353024	9.91886323727459	9.92629599478111	9.03342300153745	9.90538700501813
"LTF"	6.3019533951261	6.22689381357139	6.95419631038687	6.84549005094437	6.35049724708413	8.37937836707126	7.04439411935845	6.61618123133188	7.07681559705083
"LAMTOR2"	4.29278174922785	4.95419631038687	4.32192809488736	4.96347412397489	4.80219321694183	5.3037807481771	4.5298209465287	5.1168637576909	4.77082904603249
"NCCRP1"	5.93781516880342	6.65391987311942	6.82017896241519	5.97727992349992	6.22689381357139	8.56605403817109	6.51254295509686	5.99322146736894	6.54070926267143
"PSMD4"	8.876516946565	8.99717948093762	9.75822321472672	8.93073733756289	8.95128471496697	9.54109661534952	9.72109918870719	8.98013957763916	9.76983784362944
"CSNK1E"	3.51096191927738	3.65535182861255	3.27798474729977	3.88752527074159	3.92599941855622	4.32912359629157	3.48542682717024	4.06177619758669	3.82781902461732
"XP32"	5.20945336562895	5.32912359629157	6.30012372456901	5.34340782229781	5.71699089440494	8.18982455888002	6.36981542428391	5.29645740737124	6.35755200461808
