"","Contrast","Pathway","FDR","Method","negativelog10FDR"
"1","X19O2NoCyA - X1O2NoCyA","Coronavirus disease - COVID-19",4.78468099505589e-07,"Proteomics",6.3201470122665
"2","X19O2NoCyA - X1O2NoCyA","Ribosome",6.25739874112458e-06,"Proteomics",5.20360616953063
"3","X19O2NoCyA - X1O2NoCyA","Fructose and mannose metabolism",0.000280633534606536,"Proteomics",3.55186043371973
"4","X19O2NoCyA - X1O2NoCyA","Glycolysis / Gluconeogenesis",0.0127746049486391,"Proteomics",1.89365252143035
"5","X19O2NoCyA - X1O2NoCyA","Starch and sucrose metabolism",0.020009590620758,"Proteomics",1.69876179656941
"6","X19O2NoCyA - X1O2NoCyA","Neomycin, kanamycin and gentamicin biosynthesis",0.0277675060166911,"Proteomics",1.55646312535701
"7","X19O2NoCyA - X1O2NoCyA","Oxidative phosphorylation",0.0552578451538355,"Proteomics",1.25760605492522
"8","X19O2NoCyA - X1O2NoCyA","Tuberculosis",0.0941056428611418,"Proteomics",1.02638433417126
"9","X19O2NoCyA - X1O2NoCyA","Glycine, serine and threonine metabolism",0.124502397620548,"Proteomics",0.904822285007223
"10","X19O2NoCyA - X1O2NoCyA","Metabolic pathways",0.124502397620548,"Proteomics",0.904822285007223
"11","X19O2NoCyA - X1O2NoCyA","PPAR signaling pathway",0.125148230421094,"Proteomics",0.902575286877072
"12","X19O2NoCyA - X1O2NoCyA","SNARE interactions in vesicular transport",0.131879897484804,"Proteomics",0.879821399122161
"13","X19O2NoCyA - X1O2NoCyA","Retrograde endocannabinoid signaling",0.153250031215798,"Proteomics",0.814599428347248
"14","X19O2NoCyA - X1O2NoCyA","Glucagon signaling pathway",0.160498165929332,"Proteomics",0.794529926071082
"15","X19O2NoCyA - X1O2NoCyA","HIF-1 signaling pathway",0.160498165929332,"Proteomics",0.794529926071082
"16","X19O2NoCyA - X1O2NoCyA","Ribosome biogenesis in eukaryotes",0.160817236166245,"Proteomics",0.793667406018362
"17","X19O2NoCyA - X1O2NoCyA","Central carbon metabolism in cancer",0.218343838272213,"Proteomics",0.660859059488623
"18","X19O2NoCyA - X1O2NoCyA","Peroxisome",0.220651933184075,"Proteomics",0.656292263242855
"19","X19O2NoCyA - X1O2NoCyA","Terpenoid backbone biosynthesis",0.244248007055774,"Proteomics",0.612168971225202
"20","X19O2NoCyA - X1O2NoCyA","Lysosome",0.255421721212326,"Proteomics",0.592742172845779
"21","X19O2NoCyA - X1O2NoCyA","Cell cycle",0.255421721212326,"Proteomics",0.592742172845779
"22","X19O2NoCyA - X1O2NoCyA","Chemical carcinogenesis - reactive oxygen species",0.255421721212326,"Proteomics",0.592742172845779
"23","X19O2NoCyA - X1O2NoCyA","Steroid biosynthesis",0.255421721212326,"Proteomics",0.592742172845779
"24","X19O2NoCyA - X1O2NoCyA","Amino sugar and nucleotide sugar metabolism",0.255421721212326,"Proteomics",0.592742172845779
"25","X19O2NoCyA - X1O2NoCyA","Galactose metabolism",0.270838724486957,"Proteomics",0.567289240176565
"26","X19O2NoCyA - X1O2NoCyA","Glutamatergic synapse",0.270838724486957,"Proteomics",0.567289240176565
"27","X19O2NoCyA - X1O2NoCyA","N-Glycan biosynthesis",0.325386267600167,"Proteomics",0.487600779706835
"28","X19O2NoCyA - X1O2NoCyA","Fatty acid degradation",0.339011655430357,"Proteomics",0.469785370227384
"29","X19O2NoCyA - X1O2NoCyA","Glycosphingolipid biosynthesis - globo and isoglobo series",0.339011655430357,"Proteomics",0.469785370227384
"30","X19O2NoCyA - X1O2NoCyA","Dopaminergic synapse",0.339011655430357,"Proteomics",0.469785370227384
"31","X19O2NoCyA - X1O2NoCyA","Adipocytokine signaling pathway",0.339011655430357,"Proteomics",0.469785370227384
"32","X19O2NoCyA - X1O2NoCyA","Carbon metabolism",0.339011655430357,"Proteomics",0.469785370227384
"33","X19O2NoCyA - X1O2NoCyA","Propanoate metabolism",0.339011655430357,"Proteomics",0.469785370227384
"34","X19O2NoCyA - X1O2NoCyA","Serotonergic synapse",0.339011655430357,"Proteomics",0.469785370227384
"35","X19O2NoCyA - X1O2NoCyA","Protein processing in endoplasmic reticulum",0.344593308626758,"Proteomics",0.462693160012454
"36","X19O2NoCyA - X1O2NoCyA","Biosynthesis of amino acids",0.346258782280577,"Proteomics",0.460599202627498
"37","X19O2NoCyA - X1O2NoCyA","Vitamin B6 metabolism",0.357818279755164,"Proteomics",0.446337476529934
"38","X19O2NoCyA - X1O2NoCyA","Epithelial cell signaling in Helicobacter pylori infection",0.361976844813354,"Proteomics",0.441319209829875
"39","X19O2NoCyA - X1O2NoCyA","Glycosaminoglycan degradation",0.361976844813354,"Proteomics",0.441319209829875
"40","X19O2NoCyA - X1O2NoCyA","Mismatch repair",0.361976844813354,"Proteomics",0.441319209829875
