,Target
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
STK3,0
NFATC3,1
NFATC3,0
NFATC3,0
NFATC3,0
NFATC3,1
NFATC3,0
NFATC3,1
NFATC3,0
NFATC3,0
NFATC3,1
NFATC3,0
NFATC3,0
NFATC3,0
NFATC3,0
NFATC3,1
NFATC3,0
NFATC3,0
NFATC3,1
NFATC3,0
NFATC3,0
NFATC3,0
NFATC3,0
NFATC3,0
NFATC3,1
NFATC3,1
NFATC3,0
NFATC3,0
NFATC3,1
NFATC3,1
NFATC3,0
NFATC3,1
NFATC3,0
NFATC3,1
NFATC3,1
NFATC3,0
NFATC3,0
NFATC3,0
NFATC3,1
NFATC3,0
NFATC3,0
NFATC3,0
NFATC3,0
NFATC3,0
NFATC3,0
NFATC3,0
NFATC3,1
NFATC3,0
NFATC3,0
NFATC3,0
NFATC3,0
NFATC3,1
NFATC3,0
NFATC3,1
NFATC3,0
NFATC3,1
NFATC3,0
NFATC3,1
NFATC3,0
NFATC3,1
NFATC3,1
NFATC3,1
NFATC3,0
NFATC3,0
NFATC3,0
NFATC3,0
NFATC3,0
NFATC3,1
NFATC3,1
NFATC3,0
NFATC3,0
NFATC3,0
NFATC3,1
NFATC3,1
NFATC3,1
NFATC3,0
NFATC3,1
NFATC3,0
NFATC3,1
NFATC3,0
NFATC3,0
NFATC3,0
NFATC3,0
NFATC3,1
NFATC3,0
NFATC3,0
NFATC3,1
NFATC3,0
NFATC3,1
NFATC3,0
NFATC3,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
TAB2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
SESN2,0
HSP90AA1,0
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,0
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,0
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,0
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,0
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,0
HSP90AA1,0
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,0
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,0
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,0
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,0
HSP90AA1,0
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,0
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,0
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,0
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,1
HSP90AA1,0
HSP90AA1,0
HSP90AA1,1
