,"Gr1_F2: 126, Sample, 1","Gr1_F1: 126, Sample, 1","Gr1_F2: 128C, Sample, 4","Gr2_F2: 128N, Control, 781","Gr1_F1: 128C, Sample, 4","Gr2_F1: 128N, Control, 781","Gr1_F3: 126, Sample, 1","Gr2_F3: 128N, Control, 781","Gr1_F3: 128C, Sample, 4"
HSP90AB1,9.959567319912093,9.969098673168764,12.544119233343695,13.292652356314452,12.488794147426699,13.137919724263924,9.942954284352213,13.104402187716135,12.71250550601509
HNRNPM,12.171864822873447,12.363860976729532,12.131696223597777,11.382840144475237,12.330356716957944,11.491352073563435,12.198813342107272,11.509230675127737,12.14532718215473
MS4A1,13.913347588501857,14.09987376558251,12.788045353021475,13.079984707033974,12.980514486791176,13.074777018606856,13.987033020237336,12.98653537371022,12.872001465442507
MAP4,13.424336903142702,13.194418298373167,13.016007341796822,13.145199789051851,12.766259723965023,12.974665533816651,12.93796225500846,13.114718389188425,12.538625458316671
SRRM1,12.227525696948549,12.147586539821027,13.040906125666963,13.074292014444262,12.997355925020381,12.873655579498449,12.459021703862302,13.023910255722805,13.301567642056522
DNM1L,13.129588913148824,12.934870291192027,12.08384494103367,12.188496124537556,11.888819338402293,11.940827442791425,12.922324233318855,12.165786350683955,11.862985979648798
LSP1,13.276298914280869,13.373721609970481,12.665224868034455,12.516611089311084,12.75085350904075,12.64880694972577,13.272731831339831,12.672955647083473,12.635786127608116
SRRM2,13.539534464030577,13.5904934868915,13.041453819894919,12.991202944050155,13.034627039197348,12.988098827967123,13.14280908317072,12.973840839533146,12.637689030976318
TPD52,12.033457416562102,12.229960372213842,11.228217442293435,10.082015945266237,11.498899056915825,10.092889249801487,12.164812670871944,11.075546001277417,11.380190466749834
HMGA1,8.638073837180718,9.047396607519977,11.50561309528514,12.590142571501632,11.894363060869692,12.745653317806095,8.45532722030456,12.859301824349547,11.567052920387638
EIF5B,11.645253124064736,11.958081406405709,11.943393929347506,12.149747119504681,12.17280251060771,12.480512538873265,11.726303321815083,12.26065495652351,11.92562861251905
STMN1,12.735302154941605,12.840305863262254,11.77922688371316,11.853543486983932,11.824362133569483,12.007272602332174,12.776001146314613,11.876440205426075,11.81418188419028
PABPN1,12.483034777738201,12.617168977455727,12.079451449452783,12.282045901421663,12.154438402498815,12.359282859735115,12.760948598588127,12.273271099385498,12.304465409286633
NUCKS1,8.399598369120115,8.810250286028182,11.055824700134858,11.827779337258036,11.778241436242544,11.5961431567148,8.899961066583904,12.134169590076839,11.91236544105204
HDGF,11.366540787845338,11.25868380010696,12.08988077571792,11.98687308114478,11.956230936549876,12.00232278421358,11.530503879105183,12.564459150203898,12.221858960296018
RPRD1B,11.609040188431655,11.264149339723328,12.14984236471279,12.0212229132762,11.825276830054866,11.757848331862581,11.550073370555145,12.233170262382705,12.071965072954029
