preds
HIF1A
['VHL', 'TLR4', 'IFNG']
gen	nevals	avg    	std    	min        	max    
0  	24    	5.63221	6.82481	5.12666e-05	26.4869
1  	24    	4.74963	5.76152	3.60614e-05	23.7824
2  	24    	4.22384	5.3483 	3.48156e-05	23.7824
3  	24    	3.87604	5.08192	3.48156e-05	23.7824
4  	24    	3.51866	4.7731 	3.09864e-05	23.7824
5  	24    	3.39914	4.50511	4.00837e-05	23.7824
6  	24    	3.2204 	4.45211	4.00837e-05	23.7824
7  	24    	3.11184	4.34224	2.53718e-05	23.7824
8  	24    	2.91256	4.32317	1.44018e-05	23.7824
9  	24    	2.63692	4.40311	3.08593e-05	23.1608
10 	24    	2.48624	4.44522	3.08593e-05	16.8943
11 	24    	2.42771	4.40161	3.27259e-05	16.8943
12 	24    	2.41933	4.38973	4.38521e-05	16.9031
13 	24    	2.40383	4.36578	3.91166e-05	16.9031
14 	24    	2.3776 	4.32402	3.06956e-05	16.8917
15 	24    	2.36937	4.31461	3.06956e-05	16.9191
16 	24    	2.36717	4.31239	3.178e-05  	16.9191
17 	24    	2.36565	4.31032	5.55299e-05	16.9191
18 	24    	2.3621 	4.30443	6.00328e-05	16.8792
19 	24    	2.36064	4.30288	6.37799e-05	16.8792
20 	24    	2.34816	4.27048	6.37799e-05	16.8792
21 	24    	2.33739	4.2398 	6.37799e-05	16.8792
22 	24    	2.32517	4.20746	4.19997e-05	16.8792
23 	24    	2.30266	4.14447	4.19997e-05	16.8765
24 	24    	2.25782	4.01381	4.19997e-05	16.8756
25 	24    	2.13011	3.60126	4.19997e-05	16.8345
26 	24    	2.09264	3.47988	3.62377e-05	11.5259
27 	24    	2.08722	3.47665	3.62377e-05	11.4773
28 	24    	2.08567	3.47411	3.62377e-05	11.4766
29 	24    	2.08517	3.47329	3.62377e-05	11.4759
30 	24    	2.08465	3.47226	3.62377e-05	11.4759
31 	24    	2.08044	3.47761	3.62377e-05	11.5187
32 	24    	2.07263	3.47981	3.4985e-05 	11.4785
33 	24    	2.06654	3.48658	3.4985e-05 	11.4785
34 	24    	2.05164	3.49849	2.95917e-05	11.4785
35 	24    	2.03791	3.50767	2.58213e-05	11.4759
36 	24    	2.0315 	3.50365	2.61699e-05	11.5814
37 	24    	2.02448	3.50002	2.61699e-05	11.459 
38 	24    	2.01842	3.49773	2.61699e-05	11.459 
39 	24    	2.01723	3.49541	2.61699e-05	11.4382
40 	24    	2.01569	3.49458	2.61699e-05	11.4441
41 	24    	2.01255	3.49216	2.61699e-05	11.5023
42 	24    	2.01044	3.49228	3.74237e-05	11.4292
43 	24    	2.00988	3.49165	3.74237e-05	11.4451
44 	24    	2.00829	3.48744	2.06384e-05	11.4857
45 	24    	2.00543	3.48335	3.74237e-05	11.4309
46 	24    	2.00381	3.48153	3.74237e-05	11.4488
47 	24    	2.00346	3.48061	1.94195e-05	11.4488
48 	24    	2.00285	3.47911	1.94195e-05	11.4488
49 	24    	2.0022 	3.47723	1.94195e-05	11.4488
50 	24    	2.00185	3.4768 	1.94195e-05	11.4488
51 	24    	2.00138	3.4764 	1.94195e-05	11.4488
52 	24    	2.00076	3.4751 	1.94195e-05	11.4515
53 	24    	2.00048	3.47419	1.94195e-05	11.4515
54 	24    	2.00032	3.47412	1.94195e-05	11.4515
55 	24    	1.99825	3.46963	1.94195e-05	11.4515
56 	24    	1.99725	3.46829	1.94195e-05	11.454 
57 	24    	1.99655	3.46728	4.30709e-05	11.454 
58 	24    	1.99624	3.46656	4.37539e-05	11.454 
59 	24    	1.99547	3.46488	4.37539e-05	11.4782
60 	24    	1.99522	3.46434	4.37539e-05	11.4782
61 	24    	1.99333	3.45961	4.37539e-05	11.4782
62 	24    	1.99301	3.45876	4.37539e-05	11.4782
63 	24    	1.99241	3.45771	4.37539e-05	11.4782
64 	24    	1.99216	3.4577 	4.37539e-05	11.4782
65 	24    	1.99206	3.45755	4.37539e-05	11.4782
66 	24    	1.99119	3.4562 	4.37539e-05	11.4681
67 	24    	1.99096	3.45551	4.37539e-05	11.4681
68 	24    	1.98945	3.45274	4.37539e-05	11.4681
69 	24    	1.98945	3.45274	4.37539e-05	11.4681
70 	24    	1.98804	3.4509 	2.60542e-05	11.4414
71 	24    	1.98651	3.44759	2.60542e-05	11.4414
72 	24    	1.98586	3.44739	2.60542e-05	11.4414
73 	24    	1.98552	3.44786	2.60542e-05	11.4414
74 	24    	1.9854 	3.44779	2.60542e-05	11.4675
75 	24    	1.98415	3.44582	2.60542e-05	11.4787
76 	24    	1.98408	3.44578	4.37539e-05	11.4787
77 	24    	1.98345	3.44497	4.37539e-05	11.4787
78 	24    	1.98239	3.44651	5.42851e-05	11.4787
79 	24    	1.98239	3.44651	5.42851e-05	11.4787
80 	24    	1.98195	3.44535	5.42851e-05	11.4787
81 	24    	1.98155	3.4448 	5.42851e-05	11.4787
82 	24    	1.98102	3.44582	5.43377e-05	11.4414
83 	24    	1.98039	3.44734	3.50439e-05	11.4414
84 	24    	1.97931	3.45335	3.50439e-05	11.4414
85 	24    	1.97687	3.45671	4.80893e-05	11.4447
86 	24    	1.97368	3.46264	4.80893e-05	11.4447
87 	24    	1.97006	3.46973	5.46977e-05	11.4573
