preds
ITGAL
['RASSF5', 'ICAM1', 'F11R']
preds
RHOA
['F11R', 'CXCR4', 'ICAM1']
preds
RAC1
['F11R', 'CXCR4', 'ICAM1']
preds
RAC2
['F11R', 'CXCR4', 'ICAM1']
preds
PTK2B
['JAM3', 'RASSF5', 'ITGAL']
preds
CDC42
['F11R', 'CXCR4', 'ICAM1']
gen	nevals	avg    	std    	min        	max    
0  	24    	5.38884	6.02077	0.000115648	20.4227
1  	24    	4.85452	6.02567	6.22602e-05	20.45  
2  	24    	4.58768	6.02238	9.43805e-05	20.4227
3  	24    	4.40294	6.04213	9.45619e-05	20.4227
4  	24    	4.29443	6.08338	0.000103379	20.4299
5  	24    	4.23441	6.05317	0.000103379	20.4227
6  	24    	4.18052	5.95846	7.96299e-05	19.8835
7  	24    	4.12668	5.8132 	4.23563e-05	19.8773
8  	24    	4.05798	5.55609	7.96299e-05	19.8539
9  	24    	3.99039	5.54946	7.96299e-05	16.972 
10 	24    	3.96115	5.54474	7.96299e-05	16.9441
11 	24    	3.93982	5.53432	6.31583e-05	16.943 
12 	24    	3.92733	5.53593	3.80121e-05	16.5759
13 	24    	3.92302	5.53077	3.80121e-05	16.584 
14 	24    	3.92038	5.52753	0.000100571	16.5698
15 	24    	3.91784	5.52524	0.00010057 	16.5698
16 	24    	3.91488	5.52388	5.6223e-05 	16.5698
17 	24    	3.91317	5.52215	5.6223e-05 	16.5698
18 	24    	3.91035	5.52331	5.6223e-05 	16.572 
19 	24    	3.90926	5.52308	5.6223e-05 	16.5621
20 	24    	3.9082 	5.52111	5.6223e-05 	16.5621
21 	24    	3.90636	5.5192 	5.6223e-05 	16.5621
22 	24    	3.90533	5.51725	5.6223e-05 	16.5621
23 	24    	3.9048 	5.51644	9.71007e-05	16.5621
24 	24    	3.90424	5.51479	9.71007e-05	16.5532
25 	24    	3.90332	5.51454	9.71007e-05	16.5532
26 	24    	3.9028 	5.5156 	4.97401e-05	16.5532
27 	24    	3.90276	5.51627	4.97401e-05	16.5532
28 	24    	3.89987	5.50435	4.97401e-05	16.5569
29 	24    	3.89947	5.5044 	4.97401e-05	16.5569
30 	24    	3.8991 	5.50353	9.71007e-05	16.5569
31 	24    	3.89749	5.4921 	9.71007e-05	16.5569
32 	24    	3.89746	5.49304	9.25201e-05	16.5569
33 	24    	3.89718	5.48291	9.25201e-05	16.5569
34 	24    	3.89383	5.45976	7.06848e-05	16.5569
35 	24    	3.88909	5.42387	7.06848e-05	16.5569
36 	24    	3.87659	5.328  	6.44113e-05	16.5569
37 	24    	3.86491	5.23298	6.44113e-05	15.4983
38 	24    	3.8596 	5.22607	5.80185e-05	15.4989
39 	24    	3.8514 	5.22107	5.80185e-05	15.4989
40 	24    	3.83779	5.21502	6.99372e-05	15.4989
41 	24    	3.82563	5.21029	5.85801e-05	15.4727
42 	24    	3.80774	5.21287	5.85801e-05	15.4727
43 	24    	3.77026	5.21711	0.000150812	16.5515
44 	24    	3.7331 	5.20902	6.68385e-05	15.5836
45 	24    	3.72588	5.19658	6.68385e-05	15.5836
46 	24    	3.72337	5.1939 	6.68385e-05	15.5836
47 	24    	3.71792	5.18672	8.38956e-05	15.4834
48 	24    	3.71329	5.17702	8.38956e-05	15.4911
49 	24    	3.71031	5.1692 	8.38956e-05	15.4911
50 	24    	3.70383	5.15545	0.000129735	15.5053
51 	24    	3.69294	5.13743	0.000112341	15.4906
52 	24    	3.68943	5.13037	0.000112341	15.4906
53 	24    	3.68778	5.12666	0.000110064	15.4027
54 	24    	3.68622	5.12592	5.12666e-05	15.4027
55 	24    	3.68617	5.12598	5.12666e-05	15.3951
