preds
ARNT
['EP300', 'IFNG', 'TF']
preds
EP300
['ARNT', 'TF', 'TFRC']
preds
HIF1A
['VHL', 'BCL2', 'TLR4']
gen	nevals	avg    	std   	min      	max    
0  	24    	9.06264	5.4175	0.0766453	20.7127
1  	24    	7.58475	4.89536	0.0467795	20.7127
2  	24    	6.48418	4.40434	0.0467795	20.7127
3  	24    	5.85909	3.56494	0.0467795	20.7127
4  	24    	5.40456	2.85451	0.358737 	20.7127
5  	24    	5.19432	2.4286 	0.662225 	18.5625
6  	24    	5.06586	2.28684	0.662225 	15.69  
7  	24    	4.95933	2.14144	0.662225 	12.4763
8  	24    	4.81848	2.03746	0.641704 	12.4746
9  	24    	4.69177	2.07077	0.641704 	12.4746
10 	24    	4.55104	1.92335	0.640926 	11.8969
11 	24    	4.50796	1.73458	0.662225 	7.28911
12 	24    	4.50363	1.74077	0.662225 	7.28911
13 	24    	4.49509	1.7379 	0.662225 	7.28911
14 	24    	4.46265	1.75623	0.662225 	7.28911
15 	24    	4.40613	1.763  	0.662225 	7.28911
16 	24    	4.3429 	1.67856	0.662225 	6.85981
17 	24    	4.32288	1.65697	0.662225 	6.58367
18 	24    	4.32269	1.65688	0.662225 	6.58367
19 	24    	4.32255	1.65658	0.662225 	6.57353
20 	24    	4.32244	1.65647	0.662225 	6.57353
21 	24    	4.32231	1.65631	0.662225 	6.57185
22 	24    	4.32222	1.65634	0.662225 	6.57897
23 	24    	4.3221 	1.65616	0.662225 	6.57897
24 	24    	4.32205	1.65603	0.662225 	6.57897
25 	24    	4.32205	1.65602	0.662225 	6.57897
26 	24    	4.32199	1.65593	0.662225 	6.57897
27 	24    	4.32196	1.65602	0.662225 	6.57897
28 	24    	4.32191	1.65603	0.662225 	6.57897
29 	24    	4.31496	1.65365	0.662225 	6.60113
30 	24    	4.31495	1.65366	0.662225 	6.60113
31 	24    	4.30089	1.64863	0.662225 	6.60113
32 	24    	4.28319	1.64497	0.662225 	6.60113
33 	24    	4.24368	1.6439 	0.662225 	6.60801
34 	24    	4.23277	1.6915 	0.662225 	6.60801
35 	24    	4.23243	1.6906 	0.662225 	6.60004
36 	24    	4.23229	1.69026	0.662225 	6.59876
37 	24    	4.23218	1.6899 	0.662225 	6.59767
38 	24    	4.23214	1.68988	0.662225 	6.5979 
39 	24    	4.23203	1.68956	0.662225 	6.59549
40 	24    	4.23202	1.68952	0.662225 	6.59451
41 	24    	4.232  	1.68947	0.662225 	6.59451
42 	24    	4.23199	1.68937	0.662225 	6.59351
43 	24    	4.23195	1.68948	0.662225 	6.59598
44 	24    	4.22968	1.68732	0.662225 	6.59598
45 	24    	4.22967	1.68717	0.662225 	6.59598
46 	24    	4.22739	1.68526	0.662225 	6.60275
47 	24    	4.22514	1.6831 	0.662225 	6.60275
48 	24    	4.21828	1.67665	0.662225 	6.60275
49 	24    	4.20924	1.66831	0.662225 	6.60466
50 	24    	4.189  	1.6487 	0.662225 	6.60466
51 	24    	4.17715	1.63832	0.662225 	6.60533
52 	24    	4.17662	1.63877	0.662225 	6.60533
53 	24    	4.17606	1.63935	0.662225 	6.60911
54 	24    	4.17359	1.64224	0.662225 	6.60533
55 	24    	4.17064	1.6453 	0.662225 	6.61482
56 	24    	4.1659 	1.65026	0.662225 	6.61482
57 	24    	4.16563	1.64969	0.662225 	6.61482
58 	24    	4.16552	1.64971	0.662225 	6.61482
59 	24    	4.16548	1.64957	0.662225 	6.61482
60 	24    	4.16545	1.64939	0.662225 	6.60471
61 	24    	4.16545	1.64947	0.662225 	6.60471
62 	24    	4.16534	1.64916	0.662225 	6.60471
