preds
ARNT
['EP300', 'EIF4E', 'TFRC']
preds
EP300
['ARNT', 'TF', 'TFRC']
preds
HIF1A
['NOS3', 'BCL2', 'FLT1']
gen	nevals	avg    	std    	min     	max    
0  	24    	9.21304	5.74045	0.267385	21.4564
1  	24    	7.4714 	4.92131	0.177154	20.7127
2  	24    	5.80075	3.3671 	0.257801	20.7127
3  	24    	5.29422	2.59777	0.257801	16.4344
4  	24    	5.08417	2.287  	0.257801	14.5048
5  	24    	4.98949	2.27941	0.257801	14.5048
6  	24    	4.88755	2.24065	0.178069	14.5048
7  	24    	4.73551	1.98227	0.178069	10.3289
8  	24    	4.66656	1.90253	0.178069	8.79402
9  	24    	4.63476	1.91726	0.178069	8.78812
10 	24    	4.62679	1.89381	0.178069	8.795  
11 	24    	4.62078	1.87307	0.178069	8.795  
12 	24    	4.61064	1.85827	0.178069	8.78944
13 	24    	4.59955	1.88982	0.175494	8.79215
14 	24    	4.58927	1.91051	0.338741	8.79215
15 	24    	4.58127	1.92458	0.338741	8.79215
16 	24    	4.57415	1.96213	0.28844 	8.79331
17 	24    	4.56713	1.98481	0.28844 	8.79279
18 	24    	4.55863	1.95127	0.284595	8.79341
19 	24    	4.5469 	1.91806	0.279796	8.79341
20 	24    	4.5308 	1.86592	0.279796	8.79341
21 	24    	4.52165	1.84808	0.560739	8.79341
22 	24    	4.51136	1.86174	0.563942	8.79342
23 	24    	4.50661	1.88163	0.563942	8.79341
24 	24    	4.49465	1.89889	0.563063	8.35563
25 	24    	4.48678	1.87008	0.55925 	8.31209
26 	24    	4.4732 	1.84548	0.55925 	8.31209
27 	24    	4.45475	1.81342	0.55925 	8.3345 
28 	24    	4.43958	1.78566	0.55925 	7.79907
29 	24    	4.41472	1.76364	0.563499	6.99835
30 	24    	4.40661	1.75563	0.584375	6.83363
31 	24    	4.40088	1.7509 	0.58319 	6.83363
32 	24    	4.38358	1.74372	0.586523	7.01476
33 	24    	4.3768 	1.74113	0.586523	7.01476
34 	24    	4.37135	1.7451 	0.586523	7.01798
35 	24    	4.35529	1.75554	0.586523	7.02166
36 	24    	4.31643	1.77546	0.586523	7.02166
37 	24    	4.25947	1.81494	0.582588	7.06261
38 	24    	4.23626	1.81151	0.582588	7.0506 
39 	24    	4.21051	1.81283	0.582645	7.04462
40 	24    	4.19907	1.8228 	0.582645	7.04462
41 	24    	4.18936	1.83532	0.582645	7.04462
42 	24    	4.15336	1.87472	0.582645	7.05856
43 	24    	4.12597	1.86742	0.579224	7.0545 
44 	24    	4.09712	1.84484	0.579224	7.07413
45 	24    	4.0751 	1.83441	0.579224	7.07413
46 	24    	4.03297	1.81268	0.577645	7.08836
47 	24    	3.9995 	1.79119	0.579224	7.07413
48 	24    	3.99097	1.7802 	0.609599	6.73873
49 	24    	3.98935	1.77886	0.609599	6.72405
50 	24    	3.98855	1.77798	0.609599	6.72359
51 	24    	3.98775	1.77699	0.609599	6.72359
52 	24    	3.98752	1.77629	0.609599	6.72359
53 	24    	3.98677	1.77519	0.602607	6.68475
54 	24    	3.98644	1.77504	0.602607	6.68475
55 	24    	3.98561	1.77498	0.602607	6.68475
56 	24    	3.98549	1.77463	0.602607	6.68475
57 	24    	3.98419	1.77443	0.602607	6.68475
58 	24    	3.98231	1.77294	0.602607	6.67597
59 	24    	3.98137	1.77252	0.602607	6.67597
60 	24    	3.9771 	1.77058	0.602607	6.67597
61 	24    	3.96815	1.76542	0.602607	6.6654 
62 	24    	3.96365	1.76331	0.613632	6.66742
63 	24    	3.96141	1.76216	0.613632	6.65156
64 	24    	3.96058	1.76195	0.613632	6.67617
65 	24    	3.96022	1.76198	0.613632	6.67617
66 	24    	3.95996	1.76159	0.613632	6.67617
67 	24    	3.95985	1.76141	0.613632	6.67617
68 	24    	3.95089	1.76269	0.614464	6.67617
69 	24    	3.95075	1.76302	0.612221	6.67617
70 	24    	3.94103	1.76602	0.614464	6.64803
71 	24    	3.92424	1.7686 	0.614464	6.65844
72 	24    	3.90704	1.76935	0.614464	6.65844
73 	24    	3.86172	1.78172	0.571251	7.28833
