preds
ITGB1
['F11R', 'ITGB7', 'CD226']
preds
ITGAL
['JAM3', 'ICAM1', 'ICAM3']
preds
CD226
['SELL', 'ITGA4', 'ITGAL']
preds
ITGA4
['JAM3', 'MADCAM1', 'GLG1']
preds
ICAM1
['ICAM3', 'F11R', 'ITGAL']
preds
JAM3
['MADCAM1', 'CD22', 'NTNG2']
preds
F11R
['ICAM1', 'ITGB1', 'ITGAL']
gen	nevals	avg    	std    	min        	max    
0  	24    	5.08672	6.16871	0.000106394	23.1651
1  	24    	4.247  	5.233  	6.16046e-05	23.0471
2  	24    	3.62167	4.38611	5.28673e-05	23.0471
3  	24    	3.27415	4.10967	0.000115411	23.0471
4  	24    	3.1384 	3.73227	0.000122482	23.0471
5  	24    	2.98952	3.38472	0.000118298	18.3955
6  	24    	2.85266	3.09851	9.67339e-05	14.9847
7  	24    	2.77665	2.96519	5.90719e-05	13.9267
8  	24    	2.70742	2.79025	0.000147161	13.4505
9  	24    	2.6616 	2.65919	0.000147161	11.7194
10 	24    	2.6235 	2.59174	0.000147161	11.716 
11 	24    	2.58622	2.50907	9.87726e-05	9.82868
12 	24    	2.56507	2.46081	8.5437e-05 	9.5678 
13 	24    	2.54959	2.40844	8.5437e-05 	7.06797
14 	24    	2.54527	2.40277	8.5437e-05 	7.05307
15 	24    	2.54443	2.40129	8.5437e-05 	7.05307
16 	24    	2.54429	2.40086	8.5437e-05 	7.04713
17 	24    	2.54408	2.40138	8.5437e-05 	7.04713
18 	24    	2.54361	2.40086	8.5437e-05 	7.04713
19 	24    	2.54359	2.40094	8.5437e-05 	7.06652
20 	24    	2.54306	2.40104	0.000101784	7.04743
21 	24    	2.54277	2.40115	0.000101784	7.04743
22 	24    	2.54084	2.40449	0.000101784	7.07139
23 	24    	2.5389 	2.40939	7.17549e-05	7.07221
24 	24    	2.53821	2.40747	0.000121859	7.07221
25 	24    	2.53793	2.40707	0.000135179	7.07221
26 	24    	2.53773	2.40636	0.000135179	7.0424 
27 	24    	2.53765	2.40622	0.000135179	7.0424 
28 	24    	2.53755	2.40602	0.000135179	7.0424 
29 	24    	2.53747	2.40586	8.80382e-05	7.0424 
30 	24    	2.53734	2.40562	8.80382e-05	7.0424 
31 	24    	2.53729	2.40516	8.80382e-05	7.03253
32 	24    	2.53548	2.40377	0.00015276 	7.04563
33 	24    	2.53539	2.40302	0.000202931	7.04563
34 	24    	2.53184	2.40082	0.000172614	7.04563
35 	24    	2.52821	2.39783	0.000172614	7.05299
36 	24    	2.51949	2.39067	0.000172614	7.07501
37 	24    	2.51254	2.38566	6.27668e-05	7.12799
38 	24    	2.49433	2.3725 	6.27668e-05	7.07062
39 	24    	2.49367	2.37242	2.91744e-05	7.07027
40 	24    	2.49348	2.37227	0.000201166	7.04584
41 	24    	2.49326	2.37153	0.000187973	7.04584
