preds
F11R
['RAC2', 'ICAM1', 'RHOA']
preds
ITGAL
['RASSF5', 'PTK2B', 'ICAM1']
preds
RHOA
['CDC42', 'RAC1', 'RAC2']
preds
JAM3
['RASSF5', 'PTK2B', 'RHOA']
preds
RAC1
['RHOA', 'CDC42', 'RAC2']
preds
RAC2
['RHOA', 'RAC1', 'CDC42']
preds
RASSF5
['JAM3', 'PTK2B', 'ITGA4']
preds
PTK2B
['CTNNB1', 'JAM3', 'RASSF5']
preds
CXCR4
['RHOA', 'RAC1', 'PTK2']
preds
ICAM1
['F11R', 'CXCR4', 'RAC1']
preds
CDC42
['RHOA', 'RAC1', 'RAC2']
gen	nevals	avg    	std    	min        	max    
0  	24    	8.15975	5.23814	6.60842e-05	20.1086
1  	24    	6.49102	4.24564	6.87787e-05	20.1086
2  	24    	5.97202	3.78214	8.37911e-05	19.1078
3  	24    	5.75963	3.53401	0.000117186	19.1078
4  	24    	5.52823	3.34157	9.63054e-05	19.1078
5  	24    	5.33028	3.19999	9.63054e-05	19.1078
6  	24    	5.09778	2.86218	6.58502e-05	18.1385
7  	24    	4.99296	2.51124	6.58502e-05	10.8047
8  	24    	4.83787	2.41452	0.000221055	11.1115
9  	24    	4.75645	2.35473	0.00011153 	10.531 
10 	24    	4.68836	2.32833	0.00011268 	10.6862
11 	24    	4.64946	2.32191	8.10256e-05	10.5286
12 	24    	4.58953	2.29167	7.77196e-05	10.5331
13 	24    	4.51844	2.24674	7.77196e-05	10.5258
14 	24    	4.49072	2.21874	7.77196e-05	9.92479
15 	24    	4.47629	2.20482	9.42552e-05	9.92846
16 	24    	4.44578	2.12797	0.000122036	9.93267
17 	24    	4.40862	2.08223	4.94625e-05	9.95248
18 	24    	4.37853	2.09459	4.94625e-05	9.95248
19 	24    	4.36747	2.09258	4.94625e-05	9.92518
20 	24    	4.3602 	2.0734 	4.94625e-05	9.9194 
21 	24    	4.34667	2.03773	4.94625e-05	9.90919
22 	24    	4.32683	1.98014	0.000104861	9.90494
23 	24    	4.29468	1.87832	9.41274e-05	7.05848
24 	24    	4.29374	1.87803	0.000111411	7.04958
25 	24    	4.29321	1.87809	0.000135622	7.05029
26 	24    	4.29287	1.87827	0.000135622	7.05131
27 	24    	4.29265	1.87813	0.000135622	7.05131
28 	24    	4.29256	1.87808	0.000140217	7.0416 
29 	24    	4.29255	1.87812	0.00014179 	7.04457
30 	24    	4.29251	1.87827	0.000131084	7.04457
31 	24    	4.29251	1.87827	0.000131084	7.04457
32 	24    	4.29245	1.87822	0.000131084	7.03964
33 	24    	4.29237	1.8782 	0.000131084	7.03964
34 	24    	4.29221	1.87815	0.000131084	7.03964
35 	24    	4.29221	1.87815	0.000131084	7.03964
36 	24    	4.29217	1.87818	0.000131084	7.03964
37 	24    	4.28657	1.87646	0.000131084	7.03943
38 	24    	4.28109	1.87468	0.000132534	7.05906
39 	24    	4.27564	1.8729 	0.000132534	7.05906
40 	24    	4.25966	1.86798	0.000101552	7.17069
41 	24    	4.2381 	1.86104	0.000159027	7.17069
42 	24    	4.22711	1.85783	0.000105269	7.17069
43 	24    	4.17314	1.83854	5.59193e-05	7.17069
44 	24    	4.16095	1.83167	4.6526e-05 	7.05092
45 	24    	4.16032	1.83158	6.64919e-05	7.05035
46 	24    	4.16009	1.83146	8.40951e-05	7.05035
47 	24    	4.16004	1.83161	8.40951e-05	7.05035
48 	24    	4.15992	1.83165	8.40951e-05	7.05035
49 	24    	4.15979	1.83154	8.40951e-05	7.05035
50 	24    	4.15656	1.84002	8.40951e-05	7.05648
51 	24    	4.1533 	1.84865	7.12053e-05	7.05648
52 	24    	4.1469 	1.8654 	7.12053e-05	7.05648
53 	24    	4.1346 	1.89839	0.000112664	7.05648
54 	24    	4.11917	1.93894	5.3801e-05 	7.05648
55 	24    	4.08561	2.02432	8.48572e-05	7.07755
56 	24    	4.08476	2.02441	6.56152e-05	7.05988
57 	24    	4.0844 	2.02431	0.000109891	7.06316
58 	24    	4.08429	2.02411	0.000110372	7.06316
59 	24    	4.08414	2.0243 	0.000110372	7.06316
60 	24    	4.08401	2.02418	7.76739e-05	7.05069
61 	24    	4.08362	2.0217 	7.76739e-05	7.3295 
62 	24    	4.08266	2.01689	7.76739e-05	7.3295 
63 	24    	4.08183	2.012  	5.50305e-05	7.3295 
64 	24    	4.08142	2.00935	5.50305e-05	7.3295 
65 	24    	4.07909	1.99475	7.76739e-05	7.33311
66 	24    	4.07628	1.97496	0.00014459 	7.33753
67 	24    	4.07265	1.95936	0.00014459 	7.33753
68 	24    	4.07228	1.96008	0.00012334 	7.33539
69 	24    	4.06541	1.94423	0.00012334 	7.44038
70 	24    	4.05648	1.92318	9.67176e-05	7.44038
71 	24    	4.039  	1.88616	9.67176e-05	7.44038
72 	24    	4.02176	1.84232	8.21478e-05	7.14597
73 	24    	4.01987	1.84893	7.24401e-05	7.148  
74 	24    	4.01757	1.85548	6.94444e-05	7.148  
75 	24    	4.01543	1.85723	6.94444e-05	7.148  
76 	24    	4.01226	1.85911	6.94444e-05	7.14961
77 	24    	4.00775	1.86851	6.94444e-05	7.43335
78 	24    	4.00169	1.87802	6.94444e-05	8.68734
79 	24    	3.98217	1.88283	6.94444e-05	8.68734
80 	24    	3.96911	1.85427	7.56732e-05	6.89488
81 	24    	3.95819	1.86545	7.56732e-05	6.89103
82 	24    	3.94484	1.86572	9.91709e-05	6.89103
83 	24    	3.9317 	1.86135	9.91709e-05	6.90933
84 	24    	3.93014	1.86246	7.57611e-05	6.90933
85 	24    	3.92726	1.86356	7.57611e-05	6.90933
86 	24    	3.92465	1.86509	7.57611e-05	6.8843 
87 	24    	3.92004	1.86837	7.57611e-05	6.88398
88 	24    	3.91475	1.87048	4.17626e-05	6.73945
89 	24    	3.91434	1.87005	9.45875e-05	6.73347
90 	24    	3.91404	1.86983	9.45875e-05	6.73208
91 	24    	3.9112 	1.86969	9.45875e-05	6.73802
92 	24    	3.90994	1.87867	9.45875e-05	8.21555
93 	24    	3.90611	1.87966	9.45875e-05	8.21555
94 	24    	3.89971	1.88283	8.83167e-05	8.21555
95 	24    	3.88557	1.89   	8.83167e-05	8.21555
96 	24    	3.86676	1.89083	8.10919e-05	6.74242
97 	24    	3.86352	1.89113	7.08559e-05	6.74242
98 	24    	3.86292	1.89028	4.97717e-05	6.73802
99 	24    	3.86238	1.88957	0.000114223	6.73109
100	24    	3.86172	1.89268	6.7484e-05 	6.95111
101	24    	3.86125	1.88891	3.9016e-05 	6.73024
102	24    	3.86095	1.88922	3.9016e-05 	6.83602
103	24    	3.86055	1.88916	2.68189e-05	6.83602
104	24    	3.86025	1.88931	2.68189e-05	6.83704
105	24    	3.85988	1.88942	3.9016e-05 	6.83704
106	24    	3.85135	1.90122	3.9016e-05 	8.21033
107	24    	3.83455	1.92542	3.9016e-05 	8.22596
108	24    	3.81281	1.96416	5.17448e-05	8.247  
109	24    	3.7596 	2.04535	5.17448e-05	8.247  
110	24    	3.69022	2.13968	6.92786e-05	9.45525
111	24    	3.66648	2.15531	6.92786e-05	8.26453
112	24    	3.66611	2.15458	6.92786e-05	8.26453
113	24    	3.66572	2.15403	6.92786e-05	8.23532
114	24    	3.66557	2.15381	6.92786e-05	8.23532
115	24    	3.66548	2.15399	7.04401e-05	8.23532
116	24    	3.66522	2.15388	7.04401e-05	8.24899
117	24    	3.66516	2.15377	7.04401e-05	8.23532
118	24    	3.66486	2.15367	7.04401e-05	8.23532
119	24    	3.66478	2.1535 	7.04401e-05	8.24213
120	24    	3.66467	2.15332	7.04401e-05	8.24213
--- 7537.7468802928925 seconds ---
ran GA
