preds
F11R
['CDC42', 'PTK2', 'RAC2']
preds
ITGAL
['RASSF5', 'PECAM1', 'PTK2B']
preds
RHOA
['CDC42', 'RAC1', 'RAC2']
preds
JAM3
['RASSF5', 'PTK2B', 'CDC42']
preds
RAC1
['RHOA', 'CDC42', 'RAC2']
preds
RAC2
['RHOA', 'RAC1', 'F11R']
preds
RASSF5
['JAM3', 'SIPA1', 'PTK2B']
preds
PTK2B
['JAM3', 'BCAR1', 'RASSF5']
preds
CXCR4
['CDC42', 'RHOA', 'RAC2']
preds
ICAM1
['CXCR4', 'RAC1', 'RAC2']
preds
CDC42
['RHOA', 'RAC1', 'F11R']
gen	nevals	avg    	std    	min       	max    
0  	24    	8.77604	5.76893	9.9522e-05	20.1086
1  	24    	6.79704	4.94781	9.43487e-05	20.1086
2  	24    	5.92904	4.32212	9.43487e-05	19.1078
3  	24    	5.52169	3.73749	3.43794e-05	19.971 
4  	24    	5.41075	3.58169	3.43794e-05	19.971 
5  	24    	5.27016	3.60641	3.43794e-05	19.971 
6  	24    	5.12067	3.25884	3.43794e-05	19.971 
7  	24    	4.92773	2.90843	0.00010586 	17.5885
8  	24    	4.74773	2.51994	5.28569e-05	15.8153
9  	24    	4.60123	2.2197 	5.28569e-05	15.8153
10 	24    	4.44408	1.99668	3.00433e-05	9.51821
11 	24    	4.3738 	1.83126	3.00433e-05	9.51821
12 	24    	4.35246	1.82238	3.00433e-05	9.51821
13 	24    	4.34468	1.82931	3.00433e-05	9.51821
14 	24    	4.33779	1.73393	3.00433e-05	9.27075
15 	24    	4.33598	1.73205	6.96176e-05	9.19862
16 	24    	4.33534	1.73177	6.96176e-05	9.19758
17 	24    	4.3331 	1.73182	6.96176e-05	9.19907
18 	24    	4.3286 	1.73227	3.58855e-05	9.20272
19 	24    	4.32011	1.73272	3.58855e-05	9.20272
20 	24    	4.30726	1.7333 	3.58855e-05	9.20272
21 	24    	4.28761	1.73579	3.58855e-05	9.27248
22 	24    	4.2826 	1.73612	3.58855e-05	9.20272
23 	24    	4.28185	1.73517	8.44371e-05	9.20145
24 	24    	4.28158	1.73509	8.44371e-05	9.19878
25 	24    	4.27993	1.73583	7.63829e-05	9.20772
26 	24    	4.27392	1.74066	7.63829e-05	9.21278
27 	24    	4.26242	1.75016	7.63829e-05	9.21278
28 	24    	4.2446 	1.76611	5.95831e-05	9.21484
29 	24    	4.2171 	1.78854	4.54705e-05	9.21484
30 	24    	4.18753	1.81475	4.54705e-05	9.21484
31 	24    	4.17845	1.8227 	5.95831e-05	9.21889
32 	24    	4.17666	1.822  	0.000111617	9.21889
33 	24    	4.17558	1.82198	2.98704e-05	9.21889
34 	24    	4.16909	1.81993	0.000111617	9.21889
35 	24    	4.16517	1.81929	0.000111617	9.2204 
36 	24    	4.15556	1.81517	0.000111617	9.21889
37 	24    	4.13857	1.81069	0.000181085	9.31745
38 	24    	4.12258	1.80574	0.000101348	9.31745
39 	24    	4.0796 	1.79412	0.000101348	9.31745
40 	24    	4.06454	1.79032	0.000101348	9.31745
41 	24    	4.0614 	1.79554	0.000106183	9.31745
42 	24    	4.05882	1.80412	6.25305e-05	9.31745
43 	24    	4.0507 	1.81126	8.43876e-05	9.31745
44 	24    	4.03145	1.81578	0.000170404	9.31745
45 	24    	4.0132 	1.8218 	0.000131567	9.31745
46 	24    	3.98308	1.83456	0.00014617 	9.31745
47 	24    	3.93306	1.84053	0.000109633	9.31745
48 	24    	3.91393	1.85479	0.000124569	9.31745
49 	24    	3.89642	1.86243	0.000111015	9.31745
50 	24    	3.87481	1.87302	9.07526e-05	9.31745
51 	24    	3.8111 	1.89606	9.07526e-05	9.31745
52 	24    	3.78239	1.9017 	7.73633e-05	9.31745
53 	24    	3.76571	1.90201	7.73633e-05	9.31745
54 	24    	3.73404	1.90363	7.46352e-05	9.31745
55 	24    	3.71331	1.90937	1.53263e-05	9.31745
56 	24    	3.71205	1.90932	1.53263e-05	9.31745
57 	24    	3.70865	1.90739	1.53263e-05	9.31745
