preds
ARNT
['EP300', 'TFRC', 'PDK1']
preds
EP300
['ARNT', 'TF', 'TFRC']
preds
HIF1A
['NOS3', 'BCL2', 'TLR4']
gen	nevals	avg    	std    	min     	max    
0  	24    	8.96376	5.21219	0.354441	20.7127
1  	24    	6.82623	3.83367	0.335217	20.7127
2  	24    	6.11204	2.99047	0.322787	18.024 
3  	24    	5.76974	2.75931	0.320682	13.7043
4  	24    	5.49217	2.61996	0.333391	18.1595
5  	24    	5.22771	2.51556	0.555053	18.1595
6  	24    	5.14423	2.51821	0.555053	18.1595
7  	24    	5.08045	2.52381	0.555053	18.1595
8  	24    	5.02221	2.5332 	0.564195	18.1595
9  	24    	4.95515	2.58485	0.750662	18.1595
10 	24    	4.88298	2.02117	0.509676	18.1595
11 	24    	4.82752	1.99998	0.493181	14.3565
12 	24    	4.76516	1.98289	0.493181	14.3565
13 	24    	4.71375	1.88658	0.750662	8.10777
14 	24    	4.66297	1.82992	0.750662	8.10777
15 	24    	4.6346 	1.85646	0.997188	8.05863
16 	24    	4.62292	1.92137	0.997188	6.90738
17 	24    	4.6223 	1.92109	0.997188	6.90738
18 	24    	4.61634	1.92627	0.997188	6.90693
19 	24    	4.61277	1.92938	0.996032	6.90693
20 	24    	4.60189	1.94029	0.996032	6.90785
21 	24    	4.59723	1.94458	0.996073	6.90642
22 	24    	4.5967 	1.94442	0.993254	6.90642
23 	24    	4.59644	1.94425	0.993254	6.90642
24 	24    	4.59614	1.94404	0.993254	6.90642
25 	24    	4.59605	1.94398	0.993254	6.90464
26 	24    	4.59598	1.94392	0.993254	6.90464
27 	24    	4.59597	1.94392	0.993254	6.90464
28 	24    	4.59597	1.94392	0.993254	6.90464
29 	24    	4.59587	1.94389	0.993254	6.90464
30 	24    	4.59582	1.94388	0.993254	6.90293
31 	24    	4.59487	1.94694	0.993254	6.90583
32 	24    	4.59483	1.94684	0.993254	6.90583
33 	24    	4.59482	1.94689	0.993254	6.90583
34 	24    	4.59274	1.94862	0.993254	6.90583
35 	24    	4.59075	1.9546 	0.993254	6.90583
36 	24    	4.58488	1.97245	0.993254	6.9073 
37 	24    	4.57395	1.9922 	0.993254	6.91007
38 	24    	4.56337	2.00435	0.996046	6.90809
39 	24    	4.55318	1.99261	0.996046	6.90322
40 	24    	4.54528	1.98346	1.0066  	6.76955
41 	24    	4.5447 	1.98333	1.00632 	6.76776
42 	24    	4.54427	1.98314	1.00485 	6.76776
43 	24    	4.54408	1.98315	1.00458 	6.76776
44 	24    	4.54396	1.98312	1.00458 	6.76945
45 	24    	4.54394	1.9831 	1.00458 	6.76945
46 	24    	4.5439 	1.9831 	1.00458 	6.76945
47 	24    	4.54384	1.98303	1.00458 	6.76945
48 	24    	4.54379	1.98301	1.00458 	6.76945
49 	24    	4.53252	1.98927	1.00458 	6.76945
50 	24    	4.52126	1.9955 	1.00458 	6.76945
51 	24    	4.50992	2.00158	1.00458 	6.76945
52 	24    	4.49857	2.00757	1.00458 	6.76945
53 	24    	4.43072	2.04204	1.00458 	6.76776
54 	24    	4.33426	2.10784	0.751179	8.00145
55 	24    	4.27238	2.11194	1.0055  	6.7684 
56 	24    	4.26773	2.10936	1.0055  	6.7684 
57 	24    	4.2676 	2.10925	1.00526 	6.7684 
58 	24    	4.26753	2.10917	1.00526 	6.7684 
59 	24    	4.25899	2.10428	1.00402 	6.7684 
60 	24    	4.2547 	2.10179	1.00402 	6.7684 
61 	24    	4.23786	2.0922 	1.00402 	6.7684 
62 	24    	4.22069	2.08226	1.00402 	6.76797
63 	24    	4.17555	2.05495	1.00141 	6.83934
64 	24    	4.17018	2.05135	1.00402 	6.76875
65 	24    	4.17003	2.05128	1.00402 	6.7674 
66 	24    	4.16988	2.0512 	1.00402 	6.7674 
67 	24    	4.16976	2.05114	1.00402 	6.7674 
68 	24    	4.16972	2.0511 	1.00402 	6.7675 
69 	24    	4.16964	2.05104	1.00402 	6.7675 
70 	24    	4.16867	2.0525 	1.00402 	6.7675 
71 	24    	4.16774	2.05399	1.00402 	6.7675 
72 	24    	4.16493	2.05854	1.00402 	6.7674 
73 	24    	4.16118	2.06457	1.00402 	6.7674 
74 	24    	4.15359	2.0763 	1.00402 	6.7674 
75 	24    	4.14717	2.08669	1.00521 	6.76764
76 	24    	4.14669	2.08639	1.00521 	6.76764
77 	24    	4.14533	2.08785	0.584055	6.76764
78 	24    	4.14421	2.08949	0.583849	6.7675 
79 	24    	4.14411	2.0895 	0.583849	6.7675 
80 	24    	4.14198	2.09277	0.583418	6.7675 
81 	24    	4.14084	2.09435	0.583418	6.76785
82 	24    	4.13675	2.10096	0.583376	6.76785
83 	24    	4.13288	2.10757	0.583376	6.76897
84 	24    	4.12216	2.12561	0.583376	6.76897
85 	24    	4.12149	2.12521	0.583376	6.76897
86 	24    	4.12119	2.12509	0.583418	6.76873
87 	24    	4.12098	2.1249 	0.583418	6.76928
88 	24    	4.12091	2.12495	0.583418	6.76928
89 	24    	4.12084	2.12489	0.583377	6.76928
90 	24    	4.12078	2.12489	0.583377	6.76928
91 	24    	4.12063	2.12485	0.583377	6.76928
92 	24    	4.12054	2.12474	0.583377	6.76928
93 	24    	4.12046	2.12471	0.583377	6.76928
94 	24    	4.12046	2.12471	0.583377	6.76928
95 	24    	4.12044	2.12473	0.583377	6.76928
96 	24    	4.12041	2.12479	0.583377	6.76928
97 	24    	4.1175 	2.12251	0.583377	6.76928
98 	24    	4.11747	2.12247	0.583468	6.76928
99 	24    	4.11575	2.1215 	0.583468	6.76928
100	24    	4.11574	2.12148	0.583468	6.76928
101	24    	4.11223	2.11951	0.583468	6.76928
102	24    	4.10712	2.11658	0.583468	6.76753
103	24    	4.09847	2.11154	0.583468	6.76753
104	24    	4.09041	2.10615	0.583468	6.76753
105	24    	4.07899	2.10062	0.583561	6.7672 
106	24    	4.07852	2.10043	0.583489	6.7672 
107	24    	4.07845	2.10037	0.583489	6.7672 
108	24    	4.07841	2.10032	0.583489	6.76818
109	24    	4.07832	2.10028	0.583489	6.76818
110	24    	4.07829	2.10023	0.583489	6.76818
111	24    	4.07822	2.10023	0.583489	6.76818
112	24    	4.0782 	2.1002 	0.583489	6.76818
113	24    	4.07812	2.10011	0.583489	6.76818
114	24    	4.07808	2.1001 	0.583489	6.76818
115	24    	4.07808	2.1001 	0.583489	6.76818
116	24    	4.07804	2.10006	0.583489	6.76818
117	24    	4.07799	2.10004	0.583353	6.76844
118	24    	4.07799	2.10004	0.583353	6.76844
119	24    	4.07799	2.10004	0.583353	6.76844
120	24    	4.07799	2.10004	0.583353	6.76844
--- 5535.082719326019 seconds ---
ran GA
