preds
ARNT
['EP300', 'TFRC', 'SLC2A1']
preds
EP300
['ARNT', 'TF', 'EIF4E']
preds
HIF1A
['NOS3', 'TLR4', 'FLT1']
gen	nevals	avg    	std    	min     	max    
0  	24    	9.08278	5.68265	0.322787	20.7127
1  	24    	6.47722	3.9522 	0.322787	20.7127
2  	24    	5.9635 	3.44526	0.317303	20.7127
3  	24    	5.59354	3.18317	0.201239	18.2072
4  	24    	5.25111	2.92259	0.201239	18.2072
5  	24    	5.04427	2.64659	0.201239	18.2072
6  	24    	4.86373	2.26749	0.315908	11.0805
7  	24    	4.8103 	2.29751	0.315819	11.0805
8  	24    	4.73971	2.21128	0.281904	10.2226
9  	24    	4.6844 	2.19975	0.281904	11.6342
10 	24    	4.60617	2.07488	0.282398	11.6454
11 	24    	4.55872	2.06586	0.282398	11.6939
12 	24    	4.48666	2.05606	0.282398	11.6939
13 	24    	4.4438 	1.99541	0.282398	11.68  
14 	24    	4.39257	1.90439	0.281807	8.20104
15 	24    	4.37053	1.96096	0.281807	7.78104
16 	24    	4.37028	1.96091	0.282308	7.78652
17 	24    	4.36984	1.9465 	0.282308	7.78652
18 	24    	4.36868	1.90336	0.282639	7.78652
19 	24    	4.3669 	1.82914	0.283078	7.78652
20 	24    	4.36336	1.65386	0.941063	6.82257
21 	24    	4.36286	1.65433	0.941063	6.82487
22 	24    	4.36261	1.65443	0.941063	6.82487
23 	24    	4.36127	1.65251	0.941063	6.82487
24 	24    	4.35919	1.64873	0.93393 	6.82487
25 	24    	4.358  	1.64654	0.93393 	6.82487
26 	24    	4.35393	1.63913	0.939726	6.82487
27 	24    	4.34582	1.62348	0.911023	6.82283
28 	24    	4.33741	1.60746	0.903782	6.81743
29 	24    	4.33562	1.6067 	0.903782	6.81651
30 	24    	4.33352	1.60507	0.898302	6.80663
31 	24    	4.33173	1.60386	0.89605 	6.6626 
32 	24    	4.33121	1.60395	0.89605 	6.66517
33 	24    	4.33104	1.60413	0.89605 	6.66517
34 	24    	4.33095	1.60409	0.89605 	6.66517
35 	24    	4.33075	1.60413	0.89605 	6.66517
36 	24    	4.33069	1.60416	0.89605 	6.47365
37 	24    	4.33058	1.60426	0.89605 	6.47365
38 	24    	4.32992	1.60523	0.89605 	6.47465
39 	24    	4.32979	1.60527	0.89605 	6.47465
40 	24    	4.32975	1.61836	0.367362	7.83778
41 	24    	4.32968	1.63139	0.361235	7.83778
42 	24    	4.32953	1.65715	0.356454	7.83925
43 	24    	4.32942	1.66987	0.356454	7.83925
44 	24    	4.32874	1.68332	0.356454	7.83925
45 	24    	4.32802	1.69371	0.287766	7.83925
46 	24    	4.32542	1.70398	0.279882	7.83925
47 	24    	4.31857	1.74226	0.279882	7.83925
48 	24    	4.31113	1.74644	0.279882	7.43054
49 	24    	4.30666	1.83307	0.279882	7.43054
50 	24    	4.29545	1.80405	0.279882	7.43054
51 	24    	4.28279	1.74879	0.279882	7.42938
52 	24    	4.26888	1.71483	0.297351	7.42569
53 	24    	4.26159	1.72721	0.297351	7.42569
54 	24    	4.2581 	1.72305	0.542432	6.62152
55 	24    	4.25619	1.72247	0.542432	6.62152
56 	24    	4.25416	1.72191	0.542432	6.62571
57 	24    	4.24835	1.71997	0.542432	6.62571
58 	24    	4.24456	1.71881	0.536957	6.62571
59 	24    	4.23553	1.71577	0.536957	6.62571
60 	24    	4.21845	1.70918	0.547429	6.82211
61 	24    	4.21387	1.70905	0.547429	6.63382
62 	24    	4.21346	1.70891	0.547429	6.63382
63 	24    	4.21046	1.7099 	0.547429	6.63382
64 	24    	4.20792	1.70728	0.546464	6.63382
65 	24    	4.20117	1.70601	0.543774	6.63382
66 	24    	4.19052	1.70591	0.543774	6.63382
67 	24    	4.17599	1.70346	0.545977	6.63148
68 	24    	4.17328	1.69736	0.544687	6.62567
69 	24    	4.16559	1.68552	0.544687	6.62567
70 	24    	4.14781	1.65529	0.543988	6.62567
71 	24    	4.13678	1.64729	0.543401	6.47292
72 	24    	4.12448	1.65104	0.543401	6.47398
73 	24    	4.11932	1.65284	0.53947 	6.47398
74 	24    	4.11903	1.65317	0.53947 	6.47329
75 	24    	4.11877	1.65296	0.53947 	6.47329
76 	24    	4.11857	1.65305	0.53947 	6.47329
77 	24    	4.11706	1.65219	0.53947 	6.47329
78 	24    	4.11695	1.65211	0.53947 	6.47329
79 	24    	4.11536	1.65107	0.53947 	6.47219
80 	24    	4.11246	1.64925	0.53947 	6.47219
81 	24    	4.10973	1.6471 	0.53947 	6.47254
82 	24    	4.10073	1.63962	0.53947 	6.47254
83 	24    	4.08701	1.6278 	0.521934	6.48022
84 	24    	4.086  	1.62794	0.676536	6.48342
85 	24    	4.08556	1.62873	0.676536	6.48022
86 	24    	4.08498	1.63043	0.671083	6.47449
87 	24    	4.08437	1.63277	0.671083	6.47449
88 	24    	4.08401	1.63406	0.671083	6.47449
89 	24    	4.08318	1.63766	0.671083	6.47449
90 	24    	4.08232	1.64128	0.671083	6.47449
91 	24    	4.082  	1.64193	0.671083	6.47449
92 	24    	4.08106	1.64317	0.680509	6.47328
93 	24    	4.07631	1.64325	0.680509	6.47195
94 	24    	4.07567	1.64324	0.675833	6.47306
95 	24    	4.07467	1.64319	0.675833	6.47199
96 	24    	4.07342	1.64253	0.675833	6.47364
97 	24    	4.06838	1.64198	0.675833	6.47364
98 	24    	4.04899	1.63975	0.677642	6.47364
99 	24    	4.03291	1.64116	0.677642	6.47364
100	24    	4.00549	1.64291	0.674364	6.4736 
101	24    	3.97821	1.6441 	0.679197	6.4736 
102	24    	3.97743	1.64472	0.679197	6.47261
103	24    	3.9772 	1.64468	0.679197	6.47261
104	24    	3.97694	1.64484	0.679197	6.47261
105	24    	3.97687	1.64477	0.679197	6.47261
106	24    	3.97642	1.64473	0.676982	6.47261
107	24    	3.97612	1.64479	0.676982	6.47261
108	24    	3.976  	1.64494	0.676982	6.47261
109	24    	3.97588	1.64478	0.676982	6.47261
110	24    	3.97584	1.64484	0.676982	6.47261
111	24    	3.97581	1.64488	0.676982	6.47261
112	24    	3.97575	1.64484	0.676982	6.47261
113	24    	3.97568	1.6448 	0.676982	6.47261
114	24    	3.97565	1.64485	0.676982	6.47261
115	24    	3.97505	1.64583	0.528777	6.47261
116	24    	3.97438	1.64683	0.518383	6.47261
117	24    	3.97297	1.64961	0.518383	6.47261
118	24    	3.97185	1.65134	0.515825	6.47261
119	24    	3.96916	1.65604	0.515825	6.47261
120	24    	3.96396	1.66514	0.515793	6.4734 
--- 5376.733192443848 seconds ---
ran GA
