preds
ARNT
['EP300', 'TF', 'PDK1']
preds
EP300
['ARNT', 'TF', 'TFRC']
preds
HIF1A
['NOS3', 'TLR4', 'FLT1']
gen	nevals	avg    	std    	min     	max    
0  	24    	8.33997	5.31806	0.344051	20.7127
1  	24    	5.56356	3.18565	0.340191	18.2072
2  	24    	5.24566	2.77209	0.340191	18.2072
3  	24    	5.00279	2.29773	0.340308	18.1595
4  	24    	4.93075	2.21916	0.285352	18.1595
5  	24    	4.83334	2.0183 	0.285352	11.1991
6  	24    	4.75835	2.12433	0.282671	11.2027
7  	24    	4.73049	2.11168	0.282671	11.2027
8  	24    	4.67783	2.10555	0.282671	11.2027
9  	24    	4.64578	2.11322	0.282671	11.2027
10 	24    	4.60152	2.05968	0.280621	11.21  
11 	24    	4.5448 	1.8768 	0.517616	9.15539
12 	24    	4.52096	1.88204	0.515374	9.15539
13 	24    	4.50364	1.89995	0.516195	9.15539
14 	24    	4.48724	1.87864	0.515783	9.74504
15 	24    	4.45849	1.92884	0.515783	9.74504
16 	24    	4.41062	1.94925	0.515783	6.99483
17 	24    	4.4091 	1.95507	0.515096	6.99712
18 	24    	4.40846	1.95498	0.517545	6.9948 
19 	24    	4.40825	1.95466	0.517059	6.9944 
20 	24    	4.40817	1.95469	0.517545	6.9944 
21 	24    	4.40805	1.95469	0.517424	6.99522
22 	24    	4.40798	1.95466	0.517424	6.9944 
23 	24    	4.40785	1.9546 	0.517545	6.9944 
24 	24    	4.40775	1.95466	0.517545	6.9944 
25 	24    	4.40765	1.95467	0.517545	6.9944 
26 	24    	4.40752	1.95446	0.517545	6.9936 
27 	24    	4.40741	1.95444	0.517578	6.9936 
28 	24    	4.4074 	1.9545 	0.517578	6.9936 
29 	24    	4.4074 	1.9545 	0.517578	6.9936 
30 	24    	4.40737	1.95449	0.517578	6.9936 
31 	24    	4.40732	1.95432	0.517578	6.9936 
32 	24    	4.40732	1.95434	0.517578	6.9936 
33 	24    	4.40732	1.95425	0.517578	6.9936 
34 	24    	4.40725	1.95424	0.517578	6.9936 
35 	24    	4.40725	1.95424	0.517578	6.9936 
36 	24    	4.40724	1.95426	0.517578	6.9936 
37 	24    	4.40724	1.95426	0.517578	6.9936 
38 	24    	4.40724	1.95426	0.517578	6.9936 
39 	24    	4.40719	1.95425	0.517635	6.9936 
40 	24    	4.40719	1.95425	0.517635	6.9936 
41 	24    	4.40719	1.95425	0.517635	6.9936 
42 	24    	4.40719	1.95425	0.517635	6.9936 
43 	24    	4.40707	1.95422	0.517635	6.9936 
44 	24    	4.40703	1.95411	0.517635	6.9936 
45 	24    	4.40699	1.95414	0.517635	6.9936 
46 	24    	4.40699	1.95414	0.517635	6.9936 
47 	24    	4.40699	1.95411	0.517635	6.9936 
48 	24    	4.40699	1.95411	0.517635	6.9936 
49 	24    	4.40698	1.95404	0.51745 	6.9936 
50 	24    	4.40698	1.95404	0.51745 	6.9936 
51 	24    	4.40698	1.95407	0.51745 	6.9936 
52 	24    	4.40698	1.95407	0.51745 	6.9936 
53 	24    	4.40698	1.95407	0.51745 	6.9936 
54 	24    	4.40698	1.95407	0.51745 	6.9936 
55 	24    	4.40696	1.9541 	0.517448	6.9936 
56 	24    	4.4069 	1.95404	0.517448	6.9936 
57 	24    	4.40386	1.95284	0.517133	6.9936 
58 	24    	4.39744	1.95029	0.517133	6.9936 
59 	24    	4.39115	1.94789	0.517133	6.9936 
60 	24    	4.37559	1.94176	0.517085	6.9936 
61 	24    	4.34814	1.93036	0.515178	6.99466
62 	24    	4.3323 	1.92376	0.516335	6.99466
63 	24    	4.33176	1.92358	0.517052	6.99359
64 	24    	4.32982	1.92373	0.318312	6.99382
65 	24    	4.32644	1.92452	0.318312	6.99382
66 	24    	4.31842	1.92805	0.303397	6.99402
67 	24    	4.30635	1.93225	0.303397	6.99423
68 	24    	4.2959 	1.93403	0.315439	6.99581
69 	24    	4.29529	1.93381	0.315866	6.99423
