preds
ARNT
['EP300', 'TFRC', 'PDK1']
preds
EP300
['ARNT', 'TF', 'PDK1']
preds
HIF1A
['VHL', 'NOS3', 'BCL2']
gen	nevals	avg    	std    	min      	max    
0  	24    	8.33886	5.20513	0.0084211	20.7127
1  	24    	6.93447	4.38488	0.10053  	20.5184
2  	24    	6.30985	3.85397	0.1078   	20.565 
3  	24    	5.95165	3.49159	0.148144 	19.0446
4  	24    	5.73119	3.2624 	0.148144 	19.0446
5  	24    	5.46085	2.92968	0.175203 	18.0156
6  	24    	5.31318	2.85608	0.175203 	18.0156
7  	24    	5.22901	2.7115 	0.175203 	17.0949
8  	24    	5.11116	2.65569	0.175203 	17.1334
9  	24    	4.97202	2.57119	0.188152 	17.0949
10 	24    	4.86653	2.48645	0.188152 	11.5192
11 	24    	4.77187	2.41947	0.189578 	11.2699
12 	24    	4.71639	2.39495	0.189578 	11.2699
13 	24    	4.646  	2.30018	0.185572 	11.2767
14 	24    	4.56508	2.35152	0.181683 	11.2767
15 	24    	4.53296	2.35168	0.195235 	11.2767
16 	24    	4.52302	2.33971	0.195235 	11.2712
17 	24    	4.51395	2.33019	0.195235 	11.2694
18 	24    	4.47517	2.28363	0.195235 	11.2486
19 	24    	4.39572	2.18387	0.195235 	11.2117
20 	24    	4.34205	2.13943	0.220257 	8.76201
21 	24    	4.3337 	2.13606	0.22322  	8.74887
22 	24    	4.32869	2.13285	0.217117 	8.74707
23 	24    	4.32831	2.13283	0.218852 	8.74707
24 	24    	4.32135	2.12747	0.217419 	8.74707
25 	24    	4.30018	2.10938	0.217419 	8.74707
26 	24    	4.25694	2.07098	0.220452 	8.74627
27 	24    	4.23298	2.04982	0.220452 	8.74627
28 	24    	4.21297	2.02931	0.218745 	8.74914
29 	24    	4.15624	1.9679 	0.223069 	8.74914
30 	24    	4.04214	1.83518	0.219067 	6.65637
31 	24    	4.04075	1.83383	0.221798 	6.65637
32 	24    	4.04035	1.83348	0.222542 	6.65827
33 	24    	4.0402 	1.8335 	0.222542 	6.65827
34 	24    	4.03979	1.83298	0.225579 	6.65637
35 	24    	4.03613	1.83358	0.224293 	6.6549 
36 	24    	4.03394	1.83544	0.222934 	6.67405
37 	24    	4.02757	1.83971	0.221345 	6.67405
38 	24    	4.01124	1.84897	0.221163 	6.66428
39 	24    	3.99724	1.84816	0.220584 	6.66428
40 	24    	3.97318	1.84031	0.219259 	6.66428
41 	24    	3.95682	1.84863	0.218181 	6.65297
42 	24    	3.95338	1.84777	0.222594 	6.65903
43 	24    	3.95239	1.84674	0.22487  	6.65903
44 	24    	3.95179	1.84643	0.225027 	6.65007
45 	24    	3.95165	1.84645	0.225027 	6.65441
46 	24    	3.95158	1.84649	0.225027 	6.65441
47 	24    	3.95108	1.8462 	0.225027 	6.65255
48 	24    	3.95086	1.84604	0.225027 	6.65255
49 	24    	3.95077	1.84589	0.225093 	6.65635
50 	24    	3.95073	1.84585	0.225093 	6.65635
51 	24    	3.9506 	1.84568	0.2237   	6.65635
52 	24    	3.95042	1.84538	0.2237   	6.65587
53 	24    	3.94401	1.84172	0.215596 	6.65796
54 	24    	3.94378	1.84141	0.215596 	6.66038
55 	24    	3.94377	1.84139	0.215596 	6.66038
56 	24    	3.9373 	1.83765	0.215596 	6.66038
57 	24    	3.93083	1.83381	0.215596 	6.66038
58 	24    	3.91788	1.82607	0.215412 	6.66038
59 	24    	3.88513	1.8063 	0.215412 	6.66038
60 	24    	3.83951	1.77771	0.215412 	6.65727
61 	24    	3.79161	1.74555	0.21513  	6.66609
62 	24    	3.79006	1.74459	0.21835  	6.66609
