preds
ARNT
['EP300', 'IFNG', 'EIF4E']
preds
EP300
['ARNT', 'TF', 'TFRC']
preds
HIF1A
['VHL', 'NOS3', 'BCL2']
gen	nevals	avg    	std    	min     	max    
0  	24    	9.06355	5.27887	0.487053	20.7127
1  	24    	7.66353	4.51686	0.247275	20.7127
2  	24    	7.05312	4.02976	0.247275	20.7127
3  	24    	6.77636	4.01894	0.259568	20.7127
4  	24    	6.4731 	4.09663	0.235389	19.9039
5  	24    	6.26093	3.96712	0.235389	19.9039
6  	24    	6.08806	3.62271	0.235389	19.9039
7  	24    	5.95704	3.50431	0.235389	19.9039
8  	24    	5.79198	3.48158	0.25639 	19.805 
9  	24    	5.70464	3.30197	0.253906	18.7298
10 	24    	5.58736	2.98702	0.252778	15.5859
11 	24    	5.38548	2.72673	0.252778	15.5859
12 	24    	5.1327 	2.25178	0.579043	10.8521
13 	24    	4.96649	2.22068	0.065292	10.8521
14 	24    	4.90233	2.0798 	0.0589125	10.8416
15 	24    	4.80723	1.81661	0.0589125	10.6873
16 	24    	4.71178	1.72125	0.170058 	8.46381
17 	24    	4.67227	1.76283	0.170058 	8.46978
18 	24    	4.6491 	1.87167	0.170058 	8.49032
19 	24    	4.59597	1.88758	0.166683 	8.54069
20 	24    	4.5548 	1.89133	0.166683 	8.58111
21 	24    	4.48661	1.98551	0.166683 	8.47291
22 	24    	4.48277	2.02459	0.153284 	8.49267
23 	24    	4.479  	2.08777	0.153284 	8.53258
24 	24    	4.47286	2.0747 	0.15141  	8.61234
25 	24    	4.46329	2.04753	0.15123  	8.61234
26 	24    	4.44529	2.02582	0.150254 	8.61859
27 	24    	4.44208	2.06163	0.150254 	8.64289
28 	24    	4.44144	2.06141	0.150254 	8.64289
29 	24    	4.4323 	2.0322 	0.150254 	8.64289
30 	24    	4.41855	1.98189	0.149958 	8.61253
31 	24    	4.38635	1.8677 	0.146796 	8.84922
32 	24    	4.34799	1.82715	0.148663 	6.66718
33 	24    	4.34105	1.82528	0.148663 	6.66718
34 	24    	4.33469	1.82314	0.14861  	6.66718
35 	24    	4.31896	1.82761	0.14861  	9.01902
36 	24    	4.3117 	1.82922	0.14741  	9.01902
37 	24    	4.30157	1.82362	0.14741  	9.01902
38 	24    	4.28938	1.83434	0.148968 	9.04299
39 	24    	4.27354	1.83637	0.148889 	9.04299
40 	24    	4.26735	1.81832	0.146013 	6.67852
41 	24    	4.26615	1.81778	0.147598 	6.67887
42 	24    	4.2658 	1.81859	0.147598 	6.67887
43 	24    	4.25952	1.81462	0.147598 	6.67887
44 	24    	4.25905	1.81382	0.147598 	6.67887
45 	24    	4.25304	1.81189	0.147598 	6.67887
46 	24    	4.24732	1.80984	0.147598 	6.67887
