preds
ARNT
['EP300', 'PDK1', 'SLC2A1']
preds
EP300
['ARNT', 'TFRC', 'PDK1']
preds
HIF1A
['VHL', 'NOS3', 'TLR4']
gen	nevals	avg    	std    	min    	max    
0  	24    	7.84649	4.94683	0.58486	20.7127
1  	24    	6.67008	4.00749	0.445479	20.7127
2  	24    	5.91509	3.57383	0.58486 	19.9039
3  	24    	5.6048 	2.97638	0.597381	19.9039
4  	24    	5.40526	2.83808	1.09841 	19.8332
5  	24    	5.2626 	2.09033	1.09882 	10.7866
6  	24    	5.15481	2.0008 	1.09652 	9.5991 
7  	24    	5.06646	1.90334	1.09652 	9.58982
8  	24    	4.92232	1.72201	1.09153 	9.1931 
9  	24    	4.83004	1.56821	1.09153 	6.72323
10 	24    	4.82001	1.57175	1.09325 	6.73042
11 	24    	4.81097	1.57534	1.09194 	6.71758
12 	24    	4.77169	1.59207	1.09179 	6.71773
13 	24    	4.7317 	1.60901	1.09347 	6.72033
14 	24    	4.72984	1.61099	1.09253 	6.73095
15 	24    	4.72874	1.61153	1.09109 	6.71718
16 	24    	4.72772	1.61238	1.09109 	6.71718
17 	24    	4.72631	1.61313	1.09021 	6.71599
18 	24    	4.72553	1.61413	1.09109 	6.71462
19 	24    	4.72516	1.61468	1.08881 	6.71462
20 	24    	4.72405	1.62067	1.05591 	7.64419
21 	24    	4.72208	1.63833	1.05347 	7.65705
22 	24    	4.71789	1.6736 	1.05009 	7.6742 
23 	24    	4.71235	1.72411	1.05009 	7.67547
24 	24    	4.70868	1.75121	1.05009 	7.68981
25 	24    	4.70813	1.75129	1.04915 	7.68981
26 	24    	4.70773	1.7507 	1.04915 	7.67482
27 	24    	4.70176	1.75819	0.911678	9.33584
28 	24    	4.69571	1.76531	0.911678	9.33584
29 	24    	4.68739	1.78033	0.91    	9.33584
30 	24    	4.66659	1.83491	0.908467	9.33584
31 	24    	4.63525	1.9106 	0.908467	9.29671
32 	24    	4.62456	1.88548	0.911245	9.30121
33 	24    	4.60272	1.83242	0.911245	9.28817
34 	24    	4.57736	1.90229	0.90944 	9.32681
35 	24    	4.57568	1.90125	0.90944 	9.32551
36 	24    	4.57482	1.90032	0.90944 	9.32551
37 	24    	4.57397	1.89825	0.912376	9.32551
38 	24    	4.57311	1.89615	0.913567	9.32551
39 	24    	4.5728 	1.89503	0.913567	9.32236
40 	24    	4.57257	1.89518	0.913567	9.3362 
41 	24    	4.57253	1.89507	0.913567	9.3362 
42 	24    	4.56861	1.89449	0.914619	9.28648
43 	24    	4.56511	1.89423	0.914619	9.28648
44 	24    	4.56492	1.89362	0.913956	9.28648
45 	24    	4.53553	1.90559	0.276091	9.2912 
46 	24    	4.49839	1.94137	0.168627	9.30674
47 	24    	4.4596 	1.98697	0.168627	9.34446
48 	24    	4.42918	2.06964	0.168627	9.37475
49 	24    	4.34705	2.25419	0.168627	9.36698
50 	24    	4.23737	2.37792	0.168627	9.36698
51 	24    	4.20275	2.40913	0.168627	9.30733
52 	24    	4.19647	2.40508	0.168627	9.32081
53 	24    	4.18567	2.39692	0.168746	9.30355
54 	24    	4.17755	2.40218	0.168746	9.30355
55 	24    	4.14572	2.41626	0.168746	9.33443
56 	24    	4.13446	2.40471	0.17181 	9.32909
57 	24    	4.11974	2.39818	0.169867	9.32909
58 	24    	4.09322	2.3882 	0.169867	9.32909
59 	24    	4.07235	2.35963	0.169867	9.34103
60 	24    	4.05364	2.38305	0.17006 	9.34369
61 	24    	4.00111	2.34346	0.170375	9.34103
62 	24    	3.96791	2.2606 	0.170375	9.28517
63 	24    	3.89182	2.23249	0.170375	9.28517
64 	24    	3.8678 	2.21296	0.170375	7.30655
65 	24    	3.81993	2.20354	0.170088	7.31044
66 	24    	3.81429	2.2073 	0.170088	7.28631
67 	24    	3.81345	2.20805	0.170642	7.30297
68 	24    	3.81332	2.20827	0.170642	7.30297
69 	24    	3.80907	2.21105	0.170642	7.30297
70 	24    	3.80447	2.21484	0.170642	7.30297
71 	24    	3.78691	2.22721	0.169649	7.30297
72 	24    	3.7695 	2.23916	0.169602	7.30086
73 	24    	3.73547	2.26247	0.166445	7.30086
74 	24    	3.71304	2.27634	0.166445	7.30086
75 	24    	3.71236	2.27689	0.166445	7.30525
76 	24    	3.71164	2.27672	0.166445	7.30525
77 	24    	3.71144	2.27724	0.166445	7.30525
78 	24    	3.71125	2.27709	0.164662	7.30525
79 	24    	3.71119	2.27718	0.164662	7.30525
80 	24    	3.71119	2.27718	0.164662	7.30525
81 	24    	3.71118	2.27742	0.164662	7.30525
82 	24    	3.7111 	2.27724	0.164662	7.30525
83 	24    	3.711  	2.27707	0.164662	7.30525
84 	24    	3.711  	2.27707	0.164662	7.30525
85 	24    	3.71099	2.27697	0.164662	7.30525
86 	24    	3.71097	2.2769 	0.164662	7.30525
87 	24    	3.71097	2.2769 	0.164662	7.30525
88 	24    	3.71097	2.2769 	0.164662	7.30525
89 	24    	3.71096	2.27711	0.164662	7.30525
90 	24    	3.71095	2.27702	0.164662	7.30525
91 	24    	3.7109 	2.27713	0.164662	7.30525
92 	24    	3.71088	2.27734	0.164662	7.30525
93 	24    	3.71087	2.27716	0.164662	7.29463
94 	24    	3.71036	2.2775 	0.164662	7.29463
95 	24    	3.71036	2.2775 	0.164662	7.29463
96 	24    	3.70895	2.27816	0.164662	7.29463
97 	24    	3.70813	2.27887	0.164662	7.29463
98 	24    	3.70698	2.27994	0.164662	7.29463
99 	24    	3.70312	2.28555	0.168943	7.29463
100	24    	3.69922	2.29108	0.171778	7.29867
101	24    	3.6987 	2.29235	0.171778	7.29867
102	24    	3.69802	2.29482	0.170951	7.29867
103	24    	3.69768	2.29625	0.170951	7.28952
104	24    	3.69741	2.29735	0.170951	7.2906 
105	24    	3.69737	2.29753	0.170951	7.2906 
106	24    	3.69715	2.2975 	0.170951	7.29463
107	24    	3.69471	2.29594	0.168005	7.30221
108	24    	3.69467	2.29565	0.168005	7.30221
109	24    	3.692  	2.29376	0.167614	7.30221
110	24    	3.68951	2.29028	0.167614	7.30221
111	24    	3.6846 	2.28397	0.167614	7.29468
112	24    	3.68255	2.28145	0.167614	7.30152
113	24    	3.67106	2.26587	0.167614	7.30152
114	24    	3.65509	2.24454	0.167614	7.30152
115	24    	3.63886	2.22169	0.169021	7.26322
116	24    	3.63653	2.21829	0.172692	7.14693
117	24    	3.63361	2.21444	0.172692	7.11245
118	24    	3.6316 	2.2114 	0.173049	6.93117
119	24    	3.63075	2.21182	0.171054	6.7878 
120	24    	3.63001	2.21236	0.166387	6.74757
--- 5312.542258024216 seconds ---
ran GA
