preds
ARNT
['EP300', 'PDK1', 'SLC2A1']
preds
EP300
['ARNT', 'TF', 'TFRC']
preds
HIF1A
['VHL', 'NOS3', 'BCL2']
gen	nevals	avg   	std    	min     	max    
0  	24    	9.6441	5.58935	0.317609	20.7127
1  	24    	7.42413	4.51047	0.317609	19.9039
2  	24    	6.53239	3.76094	0.317609	18.2072
3  	24    	6.04731	3.26321	0.317609	18.2072
4  	24    	5.72512	2.82785	0.721824	18.024 
5  	24    	5.59955	2.82531	0.721824	18.024 
6  	24    	5.49238	2.42517	0.721824	18.024 
7  	24    	5.38198	2.16705	0.738866	9.94325
8  	24    	5.34484	2.14145	0.740161	9.37347
9  	24    	5.30563	2.12153	0.740161	9.37347
10 	24    	5.26961	2.09563	0.70256 	9.37347
11 	24    	5.15443	2.00491	0.70256 	9.37347
12 	24    	5.0567 	1.91664	0.810429	9.37347
13 	24    	5.00577	1.86224	0.811174	9.37347
14 	24    	4.92955	1.79841	0.811174	9.37347
15 	24    	4.82608	1.68799	0.813024	9.37347
16 	24    	4.73068	1.559  	0.813312	7.48527
17 	24    	4.69875	1.5345 	1.34837 	7.03942
18 	24    	4.6909 	1.53097	1.35008 	7.03942
19 	24    	4.68144	1.5265 	1.35003 	7.03942
20 	24    	4.66047	1.51597	1.34983 	7.03716
21 	24    	4.65438	1.51292	1.35008 	7.03796
22 	24    	4.64987	1.51046	1.35008 	7.03796
23 	24    	4.64533	1.50814	1.34971 	7.03796
24 	24    	4.63203	1.50103	1.35008 	7.03796
25 	24    	4.61198	1.4897 	1.35019 	7.02797
26 	24    	4.60475	1.4855 	1.38307 	6.67389
27 	24    	4.60427	1.48505	1.38356 	6.67386
28 	24    	4.60418	1.48495	1.38398 	6.6739 
29 	24    	4.60414	1.48494	1.38395 	6.674  
30 	24    	4.60412	1.4849 	1.38383 	6.674  
31 	24    	4.60409	1.48487	1.3842  	6.6739 
32 	24    	4.60408	1.48484	1.3842  	6.6739 
33 	24    	4.60407	1.48484	1.38432 	6.6739 
34 	24    	4.60405	1.48485	1.38432 	6.6739 
35 	24    	4.60405	1.48485	1.38432 	6.6739 
36 	24    	4.60405	1.48484	1.38432 	6.67392
37 	24    	4.60404	1.48484	1.38432 	6.67392
38 	24    	4.60402	1.48482	1.38432 	6.67394
39 	24    	4.60402	1.48482	1.38432 	6.67394
40 	24    	4.60402	1.48482	1.38432 	6.67394
41 	24    	4.60402	1.48481	1.38445 	6.67394
42 	24    	4.60402	1.48483	1.38404 	6.67394
43 	24    	4.60401	1.48482	1.38404 	6.67394
44 	24    	4.59977	1.48612	1.38362 	6.67394
45 	24    	4.59128	1.48866	1.38362 	6.67394
46 	24    	4.56585	1.4961 	1.38307 	6.67429
47 	24    	4.54041	1.50308	1.38307 	6.67471
48 	24    	4.50225	1.51263	1.38308 	6.67471
49 	24    	4.50214	1.51248	1.38341 	6.67471
50 	24    	4.5021 	1.51243	1.38373 	6.67471
51 	24    	4.50206	1.51232	1.38402 	6.67471
52 	24    	4.50202	1.51228	1.38402 	6.67471
53 	24    	4.502  	1.51226	1.38402 	6.67471
54 	24    	4.502  	1.51226	1.38402 	6.67471
55 	24    	4.50196	1.51224	1.38418 	6.67555
56 	24    	4.50195	1.51224	1.38418 	6.67555
57 	24    	4.50193	1.51223	1.38418 	6.67555
58 	24    	4.50193	1.51225	1.38418 	6.67555
59 	24    	4.50192	1.51224	1.38418 	6.67555
60 	24    	4.50191	1.51222	1.38434 	6.6742 
61 	24    	4.5019 	1.51223	1.38434 	6.6742 
62 	24    	4.5019 	1.51223	1.38434 	6.6742 
63 	24    	4.5019 	1.51223	1.38434 	6.6742 
64 	24    	4.5019 	1.51223	1.38434 	6.6742 
65 	24    	4.50189	1.51221	1.38434 	6.6742 
66 	24    	4.50188	1.51218	1.38465 	6.6742 
67 	24    	4.50188	1.51217	1.38468 	6.6742 
