preds
ARNT
['EP300', 'TF', 'EIF4E']
preds
EP300
['ARNT', 'TF', 'TFRC']
preds
HIF1A
['VHL', 'NOS3', 'BCL2']
gen	nevals	avg    	std    	min     	max    
0  	24    	9.11157	5.68845	0.240343	20.7127
1  	24    	7.16804	4.66157	0.240343	20.7127
2  	24    	6.36676	3.85815	0.240343	20.7127
3  	24    	6.08823	3.59038	0.240343	18.2072
4  	24    	5.73787	3.23051	0.240343	18.1595
5  	24    	5.48977	2.94385	0.239611	18.1595
6  	24    	5.18523	2.46346	0.239611	16.8013
7  	24    	4.97634	2.1702 	0.239611	12.2156
8  	24    	4.79586	1.83224	0.78102 	9.13247
9  	24    	4.6922 	1.80701	0.920311	9.11695
10 	24    	4.56889	1.84796	0.918664	9.09856
11 	24    	4.51765	1.86368	1.18588 	8.59564
12 	24    	4.49957	1.83969	1.18822 	8.59713
13 	24    	4.48243	1.79705	1.20874 	8.59819
14 	24    	4.45017	1.74207	1.20874 	8.59972
15 	24    	4.43316	1.7208 	1.20874 	8.59972
16 	24    	4.41553	1.70644	1.2336  	8.60012
17 	24    	4.40217	1.70707	1.22559 	8.60012
18 	24    	4.38664	1.71282	1.21556 	8.60012
19 	24    	4.36209	1.71972	1.21428 	8.59811
20 	24    	4.34379	1.72676	1.21428 	8.59797
21 	24    	4.31933	1.70802	1.21428 	8.59809
22 	24    	4.30558	1.69877	1.22112 	8.59815
23 	24    	4.30401	1.69931	1.21598 	8.59866
24 	24    	4.30314	1.70007	1.21598 	8.59925
25 	24    	4.30287	1.69982	1.21598 	8.59925
26 	24    	4.30249	1.69953	1.21598 	8.59925
27 	24    	4.30231	1.69945	1.21598 	8.59873
28 	24    	4.30207	1.69948	1.21598 	8.59912
29 	24    	4.30188	1.6992 	1.21598 	8.59912
30 	24    	4.30182	1.69989	1.20649 	8.59912
31 	24    	4.30176	1.70001	1.20649 	8.59912
32 	24    	4.30176	1.70001	1.20649 	8.59912
33 	24    	4.30171	1.70066	1.20649 	8.59912
34 	24    	4.30162	1.70068	1.20649 	8.59912
35 	24    	4.30162	1.70042	1.20649 	8.59912
36 	24    	4.3013 	1.70029	1.20649 	8.59912
37 	24    	4.30121	1.70059	1.20649 	8.59912
38 	24    	4.30094	1.70065	1.20649 	8.59912
39 	24    	4.30078	1.70053	1.21598 	8.59912
40 	24    	4.30077	1.70039	1.21598 	8.59912
41 	24    	4.30072	1.7006 	1.21598 	8.59912
42 	24    	4.30071	1.70072	1.21598 	8.59912
43 	24    	4.30057	1.70078	1.21598 	8.59912
44 	24    	4.30057	1.70078	1.21598 	8.59912
45 	24    	4.30055	1.70056	1.21598 	8.59912
46 	24    	4.30053	1.70067	1.21598 	8.59912
47 	24    	4.30051	1.70102	1.21428 	8.59912
48 	24    	4.30051	1.70102	1.21428 	8.59912
49 	24    	4.30051	1.70102	1.21428 	8.59912
50 	24    	4.30051	1.70102	1.21428 	8.59912
51 	24    	4.30051	1.70102	1.21428 	8.59912
52 	24    	4.30051	1.70102	1.21428 	8.59912
53 	24    	4.3005 	1.70098	1.21428 	8.59912
54 	24    	4.3005 	1.70098	1.21428 	8.59912
55 	24    	4.3005 	1.70098	1.21428 	8.59912
56 	24    	4.3005 	1.70098	1.21428 	8.59912
57 	24    	4.30045	1.70113	1.21428 	8.59912
58 	24    	4.30045	1.70113	1.21428 	8.59912
59 	24    	4.30041	1.70125	1.21427 	8.59912
60 	24    	4.2966 	1.69936	1.21427 	8.59912
61 	24    	4.28899	1.69623	1.21427 	8.59912
62 	24    	4.26959	1.68756	1.21427 	8.60047
63 	24    	4.24226	1.67481	1.21517 	8.60047
64 	24    	4.2073 	1.65758	1.21517 	8.60047
65 	24    	4.20617	1.65854	1.21517 	8.60047
66 	24    	4.20529	1.65849	1.21517 	8.60047
67 	24    	4.20471	1.65904	1.21517 	8.60047
68 	24    	4.20423	1.65929	1.21517 	8.59922
69 	24    	4.20394	1.65945	1.21517 	8.59922
70 	24    	4.20376	1.6593 	1.21517 	8.59922
71 	24    	4.20364	1.65937	1.21517 	8.59922
72 	24    	4.20342	1.65954	1.21517 	8.59922
73 	24    	4.20342	1.65954	1.21517 	8.59922
74 	24    	4.20339	1.65936	1.21517 	8.59922
75 	24    	4.2032 	1.65956	1.21517 	8.59922
76 	24    	4.20275	1.67061	1.05732 	8.59922
77 	24    	4.20262	1.67064	1.05732 	8.59922
78 	24    	4.20204	1.68128	1.04829 	8.59922
79 	24    	4.20204	1.68128	1.04829 	8.59922
80 	24    	4.20171	1.69234	1.04741 	8.59922
81 	24    	4.20094	1.71404	1.04741 	8.59922
82 	24    	4.19568	1.72862	1.04741 	8.59922
83 	24    	4.19393	1.78131	1.04208 	8.59922
84 	24    	4.18695	1.87553	1.04208 	8.59887
85 	24    	4.18002	1.89076	1.04643 	8.59887
86 	24    	4.1758 	1.88412	1.04743 	8.59962
87 	24    	4.17169	1.88869	1.04743 	8.59887
88 	24    	4.1638 	1.88698	1.04743 	8.59887
89 	24    	4.14172	1.88176	0.669079	8.72729
90 	24    	4.12374	1.86727	1.04782 	8.59907
91 	24    	4.11191	1.82237	1.05221 	8.59856
92 	24    	4.09335	1.74989	1.21976 	8.59916
93 	24    	4.09171	1.75111	1.21062 	8.59916
94 	24    	4.0907 	1.75206	1.21062 	8.59801
95 	24    	4.09024	1.75288	1.21062 	8.59801
96 	24    	4.08998	1.75301	1.21062 	8.59797
97 	24    	4.08923	1.75314	1.21062 	8.59797
98 	24    	4.08877	1.75349	1.21062 	8.59771
99 	24    	4.08869	1.75354	1.21062 	8.59752
100	24    	4.08869	1.75354	1.21062 	8.59752
