preds
ARNT
['EP300', 'TF', 'TFRC']
preds
EP300
['ARNT', 'TF', 'TFRC']
preds
HIF1A
['VHL', 'NOS3', 'BCL2']
gen	nevals	avg    	std    	min     	max    
0  	24    	7.24921	4.35269	0.101492	20.7127
1  	24    	5.8649 	3.30436	0.101492	20.565 
2  	24    	5.37661	2.99916	0.322787	18.024 
3  	24    	5.19532	2.82378	0.313195	14.2691
4  	24    	5.11954	2.75582	0.104671	14.9698
5  	24    	5.03645	2.71944	0.104671	14.9698
6  	24    	4.99847	2.68884	0.104671	14.0561
7  	24    	4.92708	2.58966	0.104671	14.0834
8  	24    	4.82325	2.51229	0.102787	14.0834
9  	24    	4.68506	2.41751	0.102787	12.698 
10 	24    	4.5935 	2.25712	1.75067 	11.0088
11 	24    	4.58143	2.24939	1.75067 	11.0044
12 	24    	4.5715 	2.25032	1.75067 	11.0106
13 	24    	4.55388	2.25189	1.75067 	11.0071
14 	24    	4.54515	2.25279	1.75067 	11.0054
15 	24    	4.53174	2.25695	1.75332 	11.0045
16 	24    	4.50034	2.26893	1.75009 	11.0105
17 	24    	4.4902 	2.26915	1.75203 	11.0105
18 	24    	4.48931	2.26885	1.75471 	11.0105
19 	24    	4.48542	2.26818	1.75656 	11.0105
20 	24    	4.48415	2.26804	1.75395 	11.0105
21 	24    	4.4791 	2.26802	1.75395 	11.0105
22 	24    	4.47233	2.26764	1.75395 	11.0066
23 	24    	4.46616	2.26752	1.75306 	11.0101
24 	24    	4.4655 	2.26775	1.74959 	11.0066
25 	24    	4.45549	2.24932	1.74959 	11.0057
26 	24    	4.43554	2.21478	1.72653 	11.0047
27 	24    	4.38612	2.12121	1.72653 	11.0047
28 	24    	4.32745	1.99814	1.72653 	11.0047
29 	24    	4.22913	1.77587	1.72653 	8.66356
30 	24    	4.2276 	1.78788	1.72223 	8.66356
31 	24    	4.22635	1.80734	1.72223 	8.66356
32 	24    	4.22541	1.83028	1.71332 	8.67345
33 	24    	4.22448	1.83234	1.71332 	8.67345
34 	24    	4.22411	1.83213	1.71814 	8.66693
35 	24    	4.22375	1.83189	1.71913 	8.66693
36 	24    	4.22359	1.8321 	1.71913 	8.68728
37 	24    	4.22337	1.83194	1.72223 	8.67444
38 	24    	4.22318	1.83186	1.72223 	8.67444
39 	24    	4.22316	1.83192	1.72223 	8.67444
40 	24    	4.22316	1.83201	1.72223 	8.67444
41 	24    	4.22303	1.83177	1.72223 	8.67444
42 	24    	4.22297	1.8317 	1.72382 	8.67444
43 	24    	4.22295	1.83161	1.72382 	8.67444
44 	24    	4.22292	1.83169	1.72382 	8.67444
45 	24    	4.22284	1.8317 	1.72382 	8.67444
46 	24    	4.22284	1.83165	1.72382 	8.67444
47 	24    	4.22275	1.83165	1.72382 	8.67444
48 	24    	4.22275	1.83165	1.72382 	8.67444
49 	24    	4.22275	1.83165	1.72382 	8.67444
50 	24    	4.22275	1.83165	1.72382 	8.67444
51 	24    	4.22275	1.83165	1.72382 	8.67444
52 	24    	4.22275	1.83165	1.72382 	8.67444
53 	24    	4.22275	1.83165	1.72382 	8.67444
54 	24    	4.22275	1.83165	1.72382 	8.67444
55 	24    	4.22263	1.83141	1.72382 	9.32649
56 	24    	4.22238	1.83091	1.72382 	9.33372
57 	24    	4.21923	1.83146	1.72382 	9.33372
58 	24    	4.21365	1.83342	1.72382 	9.33773
59 	24    	4.20583	1.83561	1.72382 	9.33773
60 	24    	4.20007	1.83764	1.728   	9.346  
61 	24    	4.19005	1.84275	1.728   	9.346  
62 	24    	4.17493	1.85037	1.728   	9.346  
63 	24    	4.15863	1.8577 	1.96389 	9.34314
64 	24    	4.15829	1.85779	1.96389 	9.34572
65 	24    	4.15771	1.85758	1.96389 	9.34572
66 	24    	4.15755	1.85767	1.96389 	9.34325
67 	24    	4.15653	1.86003	1.38806 	9.42464
68 	24    	4.15006	1.85659	1.38806 	9.42464
69 	24    	4.1482 	1.86184	1.36732 	9.43578
70 	24    	4.13849	1.85269	1.36732 	9.43655
71 	24    	4.13415	1.86527	1.36686 	9.43681
72 	24    	4.12009	1.87102	1.36686 	9.43681
73 	24    	4.09751	1.83811	1.36686 	9.43681
74 	24    	4.07695	1.79754	1.36636 	9.43681
75 	24    	4.04413	1.73014	1.36049 	9.43681
76 	24    	3.97164	1.53387	1.53792 	9.13577
77 	24    	3.96245	1.46698	1.96693 	6.61824
78 	24    	3.96191	1.46713	1.96472 	6.61824
