preds
ARNT
['EP300', 'TF', 'SLC2A1']
preds
EP300
['ARNT', 'TF', 'TFRC']
preds
HIF1A
['VHL', 'NOS3', 'BCL2']
gen	nevals	avg    	std   	min        	max    
0  	24    	9.25962	5.4643	0.000255751	24.9553
1  	24    	8.02744	4.75603	0.000255751	20.7127
2  	24    	7.40792	4.40958	0.0243435  	20.7127
3  	24    	6.64114	3.74947	0.0243435  	20.7127
4  	24    	5.84337	2.93507	0.122699   	19.9039
5  	24    	5.54223	2.59666	0.532416   	15.3946
6  	24    	5.46175	2.47529	0.434555   	15.5009
7  	24    	5.37377	2.32741	0.424136   	15.3946
8  	24    	5.28954	2.42326	0.424136   	15.3946
9  	24    	5.25124	2.5293 	0.429843   	15.3946
10 	24    	5.20278	2.4997 	0.429843   	15.4383
11 	24    	5.09889	2.37868	0.429843   	12.9286
12 	24    	4.99883	2.50173	0.428784   	12.9286
13 	24    	4.93183	2.3518 	0.429843   	12.9308
14 	24    	4.81258	2.06442	0.429283   	9.15936
15 	24    	4.75796	1.99323	0.430677   	7.6375 
16 	24    	4.72202	1.92307	0.430677   	7.63061
17 	24    	4.66964	1.84192	0.791068   	7.02691
18 	24    	4.64074	1.84498	0.790001   	7.57782
19 	24    	4.595  	1.8459 	0.78719    	7.57782
20 	24    	4.58448	1.8299 	0.78719    	7.02149
21 	24    	4.57758	1.81295	0.792069   	6.61762
22 	24    	4.57629	1.8128 	0.785179   	6.61762
23 	24    	4.5757 	1.81258	0.785179   	6.61604
24 	24    	4.57539	1.81265	0.787011   	6.61446
25 	24    	4.57509	1.81246	0.786916   	6.61446
26 	24    	4.57486	1.81246	0.786916   	6.61446
27 	24    	4.57479	1.81251	0.786916   	6.61321
28 	24    	4.57102	1.81598	0.424593   	7.953  
29 	24    	4.55442	1.83334	0.421916   	7.97064
30 	24    	4.5309 	1.85785	0.416646   	7.98938
31 	24    	4.48153	1.90465	0.416646   	8.01023
32 	24    	4.46952	1.92319	0.416567   	7.99112
33 	24    	4.45305	1.95282	0.416567   	8.0109 
34 	24    	4.44666	1.95659	0.413481   	7.96669
35 	24    	4.44391	1.95544	0.413481   	7.96194
36 	24    	4.4357 	1.94685	0.24364    	7.96194
37 	24    	4.43003	1.94424	0.24364    	7.98915
38 	24    	4.41449	1.93692	0.24364    	7.99919
39 	24    	4.39739	1.93268	0.24364    	7.98965
40 	24    	4.38692	1.92905	0.24364    	7.97882
41 	24    	4.36953	1.92223	0.24364    	7.9558 
42 	24    	4.32429	1.90066	0.24364    	7.92533
43 	24    	4.3044 	1.902  	0.246766   	7.44158
44 	24    	4.30304	1.90137	0.247139   	7.44158
45 	24    	4.30246	1.90127	0.244339   	7.44604
46 	24    	4.30145	1.90002	0.216454   	7.44604
47 	24    	4.29987	1.89758	0.21487    	7.41192
48 	24    	4.29765	1.89419	0.21487    	7.39513
49 	24    	4.29332	1.8874 	0.21487    	7.39477
50 	24    	4.28611	1.87634	0.21487    	7.10617
51 	24    	4.28047	1.87447	0.216411   	7.06898
52 	24    	4.27972	1.87357	0.216411   	7.0308 
53 	24    	4.27591	1.87425	0.21468    	7.06875
54 	24    	4.27255	1.87448	0.215411   	7.05382
55 	24    	4.27222	1.87387	0.215411   	7.05382
56 	24    	4.26576	1.87046	0.215411   	7.05382
57 	24    	4.24961	1.87051	0.215411   	7.06263
58 	24    	4.22538	1.86396	0.215859   	7.06263
59 	24    	4.19396	1.85931	0.212008   	7.08151
60 	24    	4.16534	1.84592	0.214803   	7.05382
61 	24    	4.12533	1.81778	0.215153   	7.03754
62 	24    	4.04676	1.75818	0.215153   	6.05683
63 	24    	4.04542	1.75836	0.213792   	6.06298
64 	24    	4.04467	1.75797	0.213509   	6.06298
65 	24    	4.04444	1.75786	0.213792   	6.06298
66 	24    	4.04412	1.75771	0.213792   	6.06298
67 	24    	4.044  	1.75795	0.213792   	6.06298
68 	24    	4.04388	1.75783	0.213792   	6.06298
69 	24    	4.04362	1.75775	0.213792   	6.06298
70 	24    	4.04358	1.75753	0.213792   	6.05193
71 	24    	4.04341	1.75743	0.213792   	6.05937
72 	24    	4.04333	1.7571 	0.215769   	6.05937
73 	24    	4.04325	1.75716	0.215769   	6.05937
74 	24    	4.0432 	1.75708	0.216131   	6.04896
75 	24    	4.0432 	1.75708	0.216131   	6.04896
76 	24    	4.0432 	1.75708	0.216131   	6.04896
77 	24    	4.04308	1.75721	0.216131   	6.04896
78 	24    	4.04308	1.75747	0.211435   	6.04896
79 	24    	4.04306	1.75744	0.211435   	6.04896
80 	24    	4.043  	1.75748	0.211435   	6.04896
81 	24    	4.043  	1.75771	0.211435   	6.04896
82 	24    	4.04297	1.75739	0.216131   	6.04896
83 	24    	4.04297	1.75739	0.216131   	6.04896
84 	24    	4.04291	1.75738	0.215143   	6.04896
85 	24    	4.04274	1.75768	0.213206   	6.05461
86 	24    	4.04274	1.75763	0.213206   	6.05461
87 	24    	4.04257	1.75755	0.213206   	6.05461
88 	24    	4.04249	1.7574 	0.213206   	6.05461
89 	24    	4.04249	1.7574 	0.213206   	6.05461
90 	24    	4.04239	1.75756	0.213206   	6.05461
91 	24    	4.04234	1.75774	0.213206   	6.05461
92 	24    	4.04234	1.75774	0.213206   	6.05461
93 	24    	4.04234	1.75774	0.213206   	6.05461
94 	24    	4.04223	1.75758	0.213206   	6.05461
95 	24    	4.04222	1.75753	0.213206   	6.05461
96 	24    	4.04218	1.7574 	0.217542   	6.05096
97 	24    	4.04218	1.7574 	0.217542   	6.05096
98 	24    	4.04214	1.75745	0.217542   	6.05096
99 	24    	4.04214	1.75745	0.217542   	6.05096
100	24    	4.04213	1.75747	0.217542   	6.05096
101	24    	4.04213	1.75747	0.217542   	6.05096
102	24    	4.04213	1.75747	0.217542   	6.05096
103	24    	4.04213	1.75747	0.217542   	6.05096
104	24    	4.04207	1.7575 	0.216123   	6.05096
105	24    	4.04206	1.75738	0.216123   	6.05096
106	24    	4.04206	1.75738	0.216123   	6.05096
107	24    	4.04204	1.7574 	0.216123   	6.05096
108	24    	4.04201	1.7575 	0.216123   	6.05096
109	24    	4.04201	1.7575 	0.216123   	6.05096
110	24    	4.04201	1.7575 	0.216123   	6.05096
111	24    	4.04201	1.7575 	0.216123   	6.05096
112	24    	4.04193	1.75761	0.213504   	6.05096
113	24    	4.04193	1.75761	0.213504   	6.05096
114	24    	4.04193	1.75761	0.213504   	6.05096
115	24    	4.04193	1.75761	0.213504   	6.05096
116	24    	4.04193	1.75761	0.213504   	6.05096
117	24    	4.04193	1.75761	0.213504   	6.05096
118	24    	4.04192	1.7577 	0.213504   	6.05096
119	24    	4.04191	1.75777	0.213504   	6.05096
120	24    	4.04191	1.75777	0.213504   	6.05096
--- 7218.002330780029 seconds ---
ran GA
