preds
ARNT
['EP300', 'TF', 'TFRC']
preds
EP300
['ARNT', 'TF', 'PDK1']
preds
HIF1A
['VHL', 'NOS3', 'BCL2']
gen	nevals	avg    	std    	min        	max    
0  	24    	9.28665	5.93218	0.000319258	21.5742
1  	24    	7.52747	5.45145	0.000280283	21.5742
2  	24    	6.27983	4.6771 	0.000280283	21.5742
3  	24    	5.74096	4.18181	0.00408472 	21.2106
4  	24    	5.50467	3.63806	0.00196325 	20.8763
5  	24    	5.34896	3.24823	0.162429   	16.6167
6  	24    	5.1658 	2.82381	0.0932671  	19.2816
7  	24    	4.97773	2.39258	0.0932671  	16.6396
8  	24    	4.77232	1.97565	0.0930916  	9.37347
9  	24    	4.68542	1.90562	0.0930957  	9.37347
10 	24    	4.6206 	1.82308	0.351077   	9.02719
11 	24    	4.54602	1.84266	0.350687   	9.02755
12 	24    	4.46539	1.85423	0.350687   	9.02755
13 	24    	4.40416	1.82211	0.350646   	7.15496
14 	24    	4.35311	1.80909	0.35057    	7.153  
15 	24    	4.33242	1.78798	0.350408   	7.153  
16 	24    	4.30628	1.79562	0.350596   	7.15718
17 	24    	4.2728 	1.80449	0.350765   	7.15718
18 	24    	4.26152	1.80742	0.35044    	7.15614
19 	24    	4.26144	1.80744	0.35044    	7.15614
20 	24    	4.26139	1.80729	0.35044    	7.15576
21 	24    	4.26138	1.80731	0.35044    	7.15576
22 	24    	4.26137	1.80738	0.35044    	7.15576
23 	24    	4.26136	1.80741	0.350793   	7.15576
24 	24    	4.25729	1.80704	0.349807   	7.15485
25 	24    	4.25324	1.80666	0.349807   	7.15485
26 	24    	4.24546	1.8093 	0.350716   	7.15485
27 	24    	4.23367	1.81149	0.350464   	7.15505
28 	24    	4.20607	1.8151 	0.350464   	7.15505
29 	24    	4.15897	1.82246	0.350144   	7.15505
30 	24    	4.13098	1.82153	0.350144   	7.15266
31 	24    	4.10513	1.84109	0.350642   	7.15484
32 	24    	4.07565	1.86269	0.350642   	7.15198
33 	24    	4.07549	1.8628 	0.350228   	7.15569
34 	24    	4.0754 	1.8626 	0.350228   	7.15392
35 	24    	4.07538	1.86261	0.350642   	7.15392
36 	24    	4.07536	1.86261	0.350365   	7.15392
37 	24    	4.07535	1.86265	0.350365   	7.15392
38 	24    	4.07532	1.86264	0.350365   	7.15392
39 	24    	4.07531	1.86268	0.35025    	7.15392
40 	24    	4.0753 	1.8627 	0.35025    	7.15392
41 	24    	4.0753 	1.86273	0.35025    	7.15392
42 	24    	4.0753 	1.8628 	0.35025    	7.15392
43 	24    	4.0753 	1.8628 	0.35025    	7.15392
44 	24    	4.07528	1.86286	0.35025    	7.15374
45 	24    	4.07528	1.86285	0.35025    	7.15374
46 	24    	4.07528	1.86285	0.35025    	7.15374
47 	24    	4.07528	1.86285	0.35025    	7.15374
48 	24    	4.07528	1.86284	0.35025    	7.15374
49 	24    	4.07527	1.86283	0.35025    	7.15374
50 	24    	4.07526	1.86283	0.35025    	7.15374
51 	24    	4.07526	1.86283	0.35025    	7.15374
52 	24    	4.07526	1.8628 	0.35025    	7.15374
53 	24    	4.07526	1.8628 	0.35025    	7.15374
54 	24    	4.07526	1.8628 	0.35025    	7.15374
55 	24    	4.07526	1.8628 	0.35025    	7.15374
56 	24    	4.07526	1.86283	0.35025    	7.15374
57 	24    	4.07526	1.86283	0.35025    	7.15374
58 	24    	4.07526	1.86283	0.35025    	7.15374
59 	24    	4.07526	1.86283	0.35025    	7.15374
60 	24    	4.07525	1.86284	0.35025    	7.15374
61 	24    	4.07524	1.86283	0.35025    	7.15374
62 	24    	4.07523	1.86287	0.350133   	7.15374
63 	24    	4.07523	1.86287	0.350133   	7.15374
64 	24    	4.07523	1.86287	0.350133   	7.15374
65 	24    	4.07523	1.86287	0.350133   	7.15374
66 	24    	4.07523	1.86291	0.350133   	7.15374
67 	24    	4.07523	1.86288	0.350133   	7.15374
68 	24    	4.07523	1.86288	0.350133   	7.15374
69 	24    	4.07522	1.86286	0.350133   	7.15374
70 	24    	4.07522	1.86286	0.350133   	7.15374
71 	24    	4.07522	1.86281	0.350133   	7.15374
72 	24    	4.07522	1.86281	0.350133   	7.15374
73 	24    	4.07522	1.86281	0.350133   	7.15374
74 	24    	4.07522	1.86287	0.350133   	7.15374
75 	24    	4.07522	1.86287	0.350133   	7.15374
76 	24    	4.07522	1.86287	0.350133   	7.15374
77 	24    	4.07522	1.86287	0.350133   	7.15374
78 	24    	4.07521	1.86291	0.350133   	7.15374
79 	24    	4.0752 	1.86289	0.350133   	7.15374
80 	24    	4.0752 	1.86289	0.350133   	7.15374
81 	24    	4.0752 	1.86288	0.350133   	7.15374
82 	24    	4.0752 	1.86289	0.349768   	7.15374
83 	24    	4.0752 	1.86289	0.349768   	7.15374
