preds
ARNT
['EP300', 'TF', 'PDK1']
preds
EP300
['ARNT', 'TF', 'TFRC']
preds
HIF1A
['VHL', 'NOS3', 'BCL2']
gen	nevals	avg    	std    	min     	max    
0  	24    	8.93487	5.35933	0.128609	20.7127
1  	24    	7.03403	4.42345	0.412568	20.7127
2  	24    	6.36798	3.76296	0.20047 	20.7127
3  	24    	6.08121	3.61473	0.20047 	20.7127
4  	24    	5.82254	3.23364	0.368659	20.7127
5  	24    	5.61589	2.94474	0.368659	20.7127
6  	24    	5.39719	2.65081	0.35289 	14.977 
7  	24    	5.32459	2.72951	0.35289 	14.977 
8  	24    	5.2508 	2.79923	0.265745	14.9385
9  	24    	5.18672	2.68514	0.233753	13.5195
10 	24    	5.14601	2.66788	0.233753	13.4989
11 	24    	5.05417	2.66583	0.233753	12.3997
12 	24    	4.95345	2.51203	0.233753	12.3997
13 	24    	4.84073	2.40968	0.280796	12.3997
14 	24    	4.75218	2.22629	0.38367 	9.36858
15 	24    	4.72618	2.2703 	0.350051	8.9271 
16 	24    	4.70838	2.29036	0.348588	8.9271 
17 	24    	4.6881 	2.31168	0.348588	8.9271 
18 	24    	4.66831	2.29642	0.348726	8.91166
19 	24    	4.64591	2.22592	0.348071	8.90276
20 	24    	4.63335	2.20061	0.350484	8.78316
21 	24    	4.61318	2.20478	0.350484	8.78316
22 	24    	4.58986	2.24498	0.349041	8.78316
23 	24    	4.54737	2.21739	0.391519	8.3948 
24 	24    	4.52982	2.22273	0.391025	8.3948 
25 	24    	4.52624	2.22075	0.391025	8.3948 
26 	24    	4.51867	2.21376	0.391025	8.3948 
27 	24    	4.51407	2.21306	0.391025	8.3948 
28 	24    	4.50404	2.20596	0.391075	8.39039
29 	24    	4.48067	2.18488	0.38874 	7.77706
30 	24    	4.4555 	2.15593	0.38874 	7.73586
31 	24    	4.42092	2.10988	0.38874 	7.68219
32 	24    	4.38519	2.058  	0.390395	7.56507
33 	24    	4.3783 	2.04722	0.388135	7.56507
34 	24    	4.37719	2.04621	0.388135	7.56507
35 	24    	4.37613	2.04544	0.388135	7.56507
36 	24    	4.37557	2.04494	0.388135	7.56507
37 	24    	4.37528	2.04472	0.388135	7.56507
38 	24    	4.37473	2.04483	0.388135	7.56507
39 	24    	4.37443	2.04417	0.388135	7.56507
40 	24    	4.37153	2.04058	0.388448	7.56507
41 	24    	4.36885	2.0372 	0.388448	7.56507
42 	24    	4.36607	2.03354	0.388448	7.56507
43 	24    	4.36289	2.02971	0.388448	7.56507
44 	24    	4.34203	2.00243	0.388448	7.5628 
45 	24    	4.3183 	1.96927	0.390382	7.5628 
46 	24    	4.30989	1.95817	0.390382	6.96588
47 	24    	4.30846	1.9562 	0.39149 	6.96588
48 	24    	4.3077 	1.95511	0.39149 	6.96686
49 	24    	4.30713	1.95491	0.391721	6.97073
