preds
ARNT
['EP300', 'TF', 'TFRC']
preds
EP300
['ARNT', 'PDK1', 'GAPDH']
preds
HIF1A
['VHL', 'TLR4', 'FLT1']
gen	nevals	avg    	std    	min       	max   
0  	24    	9.02166	5.80492	0.00108456	26.463
1  	24    	7.82327	5.01684	0.00108456	26.463
2  	24    	7.08587	4.56481	0.00108456	26.463
3  	24    	6.6841 	4.26556	0.131754  	22.957
4  	24    	6.40143	4.09652	0.131754  	22.9637
5  	24    	6.04525	3.52802	0.580945  	22.9637
6  	24    	5.69058	2.97692	0.591495  	18.2015
7  	24    	5.49711	2.65744	0.592821  	17.8434
8  	24    	5.3565 	2.44665	0.685089  	13.4794
9  	24    	5.29129	2.426  	1.16141   	13.4794
10 	24    	5.23671	2.32335	1.37785   	12.8298
11 	24    	5.21081	2.10529	1.37785   	12.8298
12 	24    	5.15817	1.90681	1.37785   	12.812 
13 	24    	5.13927	1.84973	1.37742   	12.7982
14 	24    	5.11011	1.899  	1.37769   	12.8146
15 	24    	5.09296	1.90091	1.3828    	12.8146
16 	24    	5.0613 	1.96233	1.38265   	12.8146
17 	24    	5.01012	2.03345	1.38265   	12.8146
18 	24    	4.89451	1.97687	1.47574   	12.8146
19 	24    	4.82787	1.79753	1.5734    	8.01094
20 	24    	4.8057 	1.79486	1.57553   	8.01171
21 	24    	4.80429	1.7956 	1.57022   	8.01781
22 	24    	4.80382	1.7958 	1.56951   	8.02005
23 	24    	4.80334	1.80195	1.51618   	9.4994 
24 	24    	4.80324	1.80206	1.51618   	9.4994 
25 	24    	4.80318	1.8021 	1.51618   	9.4994 
26 	24    	4.80298	1.80226	1.51618   	9.4994 
27 	24    	4.80284	1.80236	1.51618   	9.4994 
28 	24    	4.79575	1.80227	1.51618   	9.4994 
29 	24    	4.7751 	1.77231	1.56939   	8.02036
30 	24    	4.74763	1.74737	1.56939   	8.02036
31 	24    	4.69938	1.70225	1.56939   	8.02036
32 	24    	4.63784	1.6407 	1.57259   	6.63178
33 	24    	4.63377	1.64177	1.57254   	6.63474
34 	24    	4.62754	1.64416	1.57148   	6.63474
35 	24    	4.61917	1.648  	1.56782   	6.63474
36 	24    	4.60518	1.65365	1.56782   	6.63474
37 	24    	4.58087	1.66367	1.56782   	6.63474
38 	24    	4.56838	1.66707	1.56431   	6.63182
39 	24    	4.56756	1.66607	1.56431   	6.63509
40 	24    	4.56714	1.66593	1.56677   	6.63182
41 	24    	4.56702	1.66591	1.56677   	6.63182
42 	24    	4.56694	1.66576	1.56677   	6.63182
43 	24    	4.56263	1.67827	1.26739   	9.51645
44 	24    	4.55847	1.69095	1.26739   	9.53186
45 	24    	4.5543 	1.70378	1.26739   	9.56546
46 	24    	4.54254	1.74174	1.25361   	9.56546
47 	24    	4.51118	1.83742	1.25361   	9.56866
48 	24    	4.48972	1.90667	1.25361   	9.56866
49 	24    	4.47292	1.94913	1.25361   	9.56866
50 	24    	4.47186	1.94852	1.25581   	9.57665
51 	24    	4.47177	1.94812	1.25581   	9.57665
52 	24    	4.47134	1.94623	1.26048   	9.56866
53 	24    	4.4708 	1.9443 	1.26642   	9.54062
54 	24    	4.47063	1.94406	1.26642   	9.54062
55 	24    	4.47054	1.94446	1.26642   	9.54062
56 	24    	4.47047	1.94386	1.26642   	9.54062
57 	24    	4.4702 	1.9433 	1.26642   	9.54062
58 	24    	4.46996	1.9431 	1.26642   	9.54062
59 	24    	4.46994	1.94299	1.26642   	9.54062
60 	24    	4.4698 	1.94279	1.26642   	9.54062
61 	24    	4.46979	1.94304	1.26642   	9.54062
62 	24    	4.46966	1.94266	1.26642   	9.54062
63 	24    	4.46952	1.94216	1.26642   	9.54062
64 	24    	4.46943	1.94172	1.26642   	9.54062
65 	24    	4.46914	1.94162	1.26642   	9.54062
66 	24    	4.46895	1.94139	1.26642   	9.54062
67 	24    	4.46891	1.94134	1.26642   	9.54062
68 	24    	4.46886	1.94135	1.26642   	9.54062
69 	24    	4.46868	1.94088	1.27484   	9.54062
70 	24    	4.46866	1.94074	1.27484   	9.54062
71 	24    	4.46866	1.94074	1.27484   	9.54062
72 	24    	4.46861	1.94101	1.27484   	9.54062
73 	24    	4.46844	1.941  	1.27484   	9.54062
74 	24    	4.46837	1.94117	1.26691   	9.54062
75 	24    	4.46817	1.94086	1.26691   	9.54062
76 	24    	4.46806	1.94071	1.26691   	9.54062
77 	24    	4.46806	1.94071	1.26691   	9.54062
78 	24    	4.46806	1.94071	1.26691   	9.54062
79 	24    	4.46806	1.94071	1.26691   	9.54062
80 	24    	4.46806	1.94071	1.26691   	9.54062
81 	24    	4.46793	1.94058	1.26691   	9.54062
82 	24    	4.46793	1.94058	1.26691   	9.54062
83 	24    	4.46789	1.94051	1.27247   	9.54062
84 	24    	4.46789	1.94051	1.27247   	9.54062
85 	24    	4.46789	1.94051	1.27247   	9.54062
86 	24    	4.46789	1.94051	1.27247   	9.54062
87 	24    	4.46789	1.94051	1.27247   	9.54062
88 	24    	4.46789	1.94051	1.27247   	9.54062
89 	24    	4.46789	1.94051	1.27247   	9.54062
90 	24    	4.46782	1.94036	1.27247   	9.54062
91 	24    	4.46781	1.94048	1.27247   	9.54062
92 	24    	4.46775	1.94026	1.27247   	9.54062
93 	24    	4.46775	1.94026	1.27247   	9.54062
94 	24    	4.46775	1.94026	1.27247   	9.54062
95 	24    	4.46772	1.94031	1.27247   	9.54062
96 	24    	4.46772	1.94031	1.27247   	9.54062
97 	24    	4.46706	1.94014	1.27247   	9.55621
98 	24    	4.46706	1.94014	1.27247   	9.55621
99 	24    	4.46615	1.94089	1.25979   	9.6338 
100	24    	4.46562	1.94236	1.22897   	9.66114
101	24    	4.46419	1.94484	1.20943   	9.69182
102	24    	4.46312	1.94584	1.20943   	9.69182
103	24    	4.46152	1.94646	1.20943   	9.69182
104	24    	4.45895	1.94859	1.2277    	9.66114
105	24    	4.45629	1.94232	1.239     	9.6388 
106	24    	4.45452	1.93841	1.25217   	9.6388 
107	24    	4.45324	1.93694	1.26248   	9.55621
108	24    	4.45221	1.9354 	1.26248   	9.53993
109	24    	4.45114	1.94059	0.754225  	9.57954
110	24    	4.45005	1.93901	0.754225  	9.56934
111	24    	4.44938	1.93661	0.754225  	9.533  
112	24    	4.44287	1.93342	0.754225  	9.53073
113	24    	4.43634	1.9296 	0.754225  	9.53073
114	24    	4.42998	1.92629	0.754225  	9.53553
115	24    	4.40534	1.91298	0.754225  	9.54271
116	24    	4.37515	1.89435	0.754225  	9.54271
117	24    	4.34262	1.88613	1.29361   	12.9603
118	24    	4.30878	1.84289	1.29361   	9.59596
119	24    	4.30334	1.84395	1.29264   	9.59596
120	24    	4.29916	1.84415	1.29251   	9.59596
--- 5885.733774185181 seconds ---
ran GA
