preds
ARNT
['EP300', 'TF', 'TFRC']
preds
EP300
['ARNT', 'IFNG', 'TFRC']
preds
HIF1A
['VHL', 'NOS3', 'BCL2']
gen	nevals	avg    	std    	min     	max    
0  	24    	8.31306	5.42279	0.377446	20.7127
1  	24    	6.23111	3.97035	0.444172	19.9039
2  	24    	5.73872	3.4222 	0.470332	19.9039
3  	24    	5.54117	3.16865	0.464789	19.9039
4  	24    	5.19697	2.70417	0.322787	18.1462
5  	24    	5.03656	2.44315	0.243382	18.024 
6  	24    	4.91776	2.27772	0.243382	11.4895
7  	24    	4.82653	2.13967	0.249328	9.98097
8  	24    	4.77006	2.14878	0.244626	9.97244
9  	24    	4.66802	2.10913	0.238371	8.66988
10 	24    	4.62766	2.09507	0.24462 	8.65149
11 	24    	4.59054	2.08797	0.243525	8.65129
12 	24    	4.56173	2.08021	0.243525	8.65129
13 	24    	4.5394 	2.05176	0.506557	8.65129
14 	24    	4.53635	2.05804	0.507958	8.65614
15 	24    	4.53615	2.05807	0.507958	8.65614
16 	24    	4.53585	2.05769	0.508139	8.65531
17 	24    	4.53575	2.05757	0.508139	8.64812
18 	24    	4.53572	2.05765	0.508139	8.64812
19 	24    	4.53569	2.05778	0.508139	8.651  
20 	24    	4.53563	2.05779	0.508139	8.65077
21 	24    	4.5356 	2.05767	0.508139	8.65077
22 	24    	4.53553	2.05758	0.508139	8.65077
23 	24    	4.53552	2.05758	0.508139	8.65077
24 	24    	4.53535	2.05726	0.508844	8.65077
25 	24    	4.53431	2.06207	0.501948	8.65077
26 	24    	4.53296	2.0667 	0.500288	8.64725
27 	24    	4.52826	2.08589	0.499763	8.64803
28 	24    	4.52087	2.11801	0.498895	8.64803
29 	24    	4.50976	2.16667	0.499207	8.48636
30 	24    	4.50622	2.16379	0.498967	8.4877 
31 	24    	4.50114	2.15864	0.498967	8.4793 
32 	24    	4.49738	2.15518	0.499207	8.4793 
33 	24    	4.49664	2.15532	0.500159	8.48723
34 	24    	4.49636	2.15531	0.498999	8.48723
35 	24    	4.49611	2.15536	0.500599	8.48723
36 	24    	4.49597	2.15523	0.500769	8.48723
37 	24    	4.4959 	2.15546	0.500954	8.48723
38 	24    	4.49587	2.15522	0.500954	8.48723
39 	24    	4.4958 	2.1553 	0.501026	8.48723
40 	24    	4.49562	2.15505	0.499843	8.48723
41 	24    	4.49558	2.15494	0.499843	8.48723
42 	24    	4.48991	2.15169	0.499583	8.48723
43 	24    	4.48982	2.15186	0.499583	8.48723
44 	24    	4.4613 	2.13538	0.499583	8.4793 
45 	24    	4.42164	2.11216	0.49931 	8.48255
46 	24    	4.35911	2.07279	0.499023	8.4794 
47 	24    	4.35381	2.06234	0.499387	8.48035
48 	24    	4.34672	2.04633	0.499387	8.48035
49 	24    	4.33551	2.02036	0.499047	8.47571
