preds
ARNT
['EP300', 'TF', 'TFRC']
preds
EP300
['ARNT', 'TF', 'PDK1']
preds
HIF1A
['NOS3', 'BCL2', 'TLR4']
gen	nevals	avg  	std    	min     	max    
0  	24    	7.821	4.67072	0.226636	20.7127
1  	24    	6.36915	3.42828	0.125701	21.1404
2  	24    	5.8503 	2.80913	0.188469	18.3318
3  	24    	5.59394	2.61742	0.321083	14.3379
4  	24    	5.43988	2.42839	0.321083	11.7566
5  	24    	5.34194	2.31647	0.321083	11.1436
6  	24    	5.25592	2.20979	0.392873	11.1303
7  	24    	5.19733	2.13168	0.670914	11.142 
8  	24    	5.1276 	2.03894	0.440174	11.142 
9  	24    	5.09713	2.02348	0.435733	11.142 
10 	24    	5.03805	1.99985	0.435733	11.148 
11 	24    	4.97502	2.01997	0.435733	11.1334
12 	24    	4.84422	1.98332	0.439034	11.145 
13 	24    	4.80758	1.92428	0.435472	11.1414
14 	24    	4.74887	1.83573	0.436872	11.1414
15 	24    	4.66315	1.72749	0.666128	6.61131
16 	24    	4.59769	1.72716	0.666128	6.55641
17 	24    	4.58461	1.73008	0.667055	6.55641
18 	24    	4.57544	1.7266 	0.667055	6.55641
19 	24    	4.55054	1.72516	0.322787	6.55628
20 	24    	4.54918	1.71646	0.666225	6.55727
21 	24    	4.5487 	1.71685	0.667674	6.63983
22 	24    	4.54848	1.71683	0.667674	6.63983
23 	24    	4.54845	1.71679	0.667674	6.63983
24 	24    	4.54832	1.71709	0.669337	6.63983
25 	24    	4.54815	1.71753	0.669337	6.63983
26 	24    	4.54804	1.71762	0.669337	6.63983
27 	24    	4.54801	1.7172 	0.669337	6.62436
28 	24    	4.548  	1.71707	0.669337	6.62436
29 	24    	4.54796	1.71724	0.669337	6.62436
30 	24    	4.5479 	1.71739	0.66937 	6.62436
31 	24    	4.5479 	1.71739	0.66937 	6.62436
32 	24    	4.54783	1.71782	0.669259	6.626  
33 	24    	4.54782	1.71787	0.669259	6.626  
34 	24    	4.54782	1.71787	0.669259	6.626  
35 	24    	4.54782	1.71791	0.669259	6.626  
36 	24    	4.54775	1.71742	0.667066	6.62436
37 	24    	4.54767	1.71747	0.667066	6.62928
38 	24    	4.5476 	1.71754	0.667066	6.62928
39 	24    	4.5476 	1.71754	0.667066	6.62928
40 	24    	4.54758	1.7179 	0.667066	6.62928
41 	24    	4.54636	1.71871	0.667066	6.63945
42 	24    	4.54407	1.71893	0.667066	6.63945
43 	24    	4.54286	1.71931	0.667066	6.63945
44 	24    	4.53818	1.72033	0.666841	6.63945
45 	24    	4.52536	1.72314	0.666841	6.63945
46 	24    	4.51849	1.7252 	0.668659	6.66414
47 	24    	4.51723	1.7265 	0.669345	6.66555
48 	24    	4.51626	1.72914	0.666793	6.682  
49 	24    	4.51422	1.73365	0.666643	6.682  
50 	24    	4.50845	1.73605	0.666643	6.682  
51 	24    	4.49925	1.73153	0.668897	6.682  
52 	24    	4.48676	1.7223 	0.67031 	6.682  
53 	24    	4.44398	1.69246	0.665588	6.682  
54 	24    	4.41041	1.66641	0.667207	6.66817
55 	24    	4.40613	1.66929	0.665763	6.66817
56 	24    	4.40524	1.6693 	0.665763	6.67356
57 	24    	4.4049 	1.66941	0.667932	6.67356
58 	24    	4.40458	1.66946	0.670357	6.67356
59 	24    	4.40437	1.66945	0.670357	6.67356
60 	24    	4.40421	1.66938	0.670357	6.67356
61 	24    	4.4041 	1.6694 	0.669849	6.67356
62 	24    	4.40385	1.66947	0.670251	6.67448
63 	24    	4.40373	1.66966	0.670357	6.67448
64 	24    	4.40368	1.66969	0.67121 	6.67448
65 	24    	4.40339	1.66981	0.67121 	6.67448
66 	24    	4.40336	1.66984	0.671722	6.67448
67 	24    	4.40336	1.66984	0.671722	6.67448
68 	24    	4.40334	1.66979	0.671722	6.67448
69 	24    	4.40328	1.66975	0.67153 	6.67448
70 	24    	4.40319	1.66974	0.67153 	6.67448
71 	24    	4.40317	1.6698 	0.669526	6.67448
72 	24    	4.40302	1.66969	0.669526	6.67648
73 	24    	4.40299	1.66971	0.669526	6.67648
74 	24    	4.40288	1.66977	0.669526	6.67648
75 	24    	4.40288	1.66977	0.669526	6.67648
76 	24    	4.40288	1.66977	0.669526	6.67648
77 	24    	4.40288	1.66977	0.669526	6.67648
78 	24    	4.40288	1.66977	0.669526	6.67648
79 	24    	4.40281	1.66973	0.669526	6.67648
80 	24    	4.40281	1.66973	0.669526	6.67648
81 	24    	4.40274	1.66967	0.669526	6.67648
82 	24    	4.40269	1.66968	0.669526	6.67648
83 	24    	4.40268	1.66969	0.669526	6.67648
84 	24    	4.40268	1.66969	0.669526	6.67648
85 	24    	4.40268	1.66969	0.669526	6.67648
86 	24    	4.40266	1.66969	0.669526	6.67648
87 	24    	4.40263	1.66969	0.669526	6.67648
88 	24    	4.40263	1.66969	0.669526	6.67648
89 	24    	4.40263	1.66969	0.669526	6.67648
90 	24    	4.40258	1.66973	0.671037	6.67648
91 	24    	4.40258	1.66973	0.671037	6.67648
92 	24    	4.40249	1.66973	0.671037	6.67648
93 	24    	4.40247	1.66978	0.671037	6.67648
94 	24    	4.40247	1.66978	0.671037	6.67648
95 	24    	4.40247	1.66978	0.671037	6.67648
96 	24    	4.40247	1.66978	0.671037	6.67648
97 	24    	4.40241	1.66978	0.671037	6.67648
98 	24    	4.4024 	1.66975	0.671037	6.67648
99 	24    	4.40045	1.67128	0.671037	6.67648
100	24    	4.40045	1.67128	0.671037	6.67648
101	24    	4.40044	1.67122	0.671037	6.67648
102	24    	4.40044	1.67122	0.671037	6.67648
103	24    	4.40044	1.67122	0.671037	6.67648
104	24    	4.39855	1.67262	0.670896	6.67648
105	24    	4.39455	1.67552	0.669106	6.67648
106	24    	4.38888	1.67994	0.668213	6.67448
107	24    	4.38503	1.68279	0.668213	6.66953
108	24    	4.36276	1.69993	0.668213	6.66953
109	24    	4.35619	1.70442	0.667641	6.66953
110	24    	4.3549 	1.70404	0.66758 	6.66953
111	24    	4.35394	1.70388	0.66758 	6.66703
112	24    	4.35381	1.70393	0.66758 	6.67306
113	24    	4.35361	1.70382	0.66758 	6.67353
114	24    	4.35338	1.70385	0.66758 	6.67353
115	24    	4.35147	1.70345	0.668166	6.67353
116	24    	4.35016	1.70314	0.668166	6.67353
117	24    	4.34899	1.70281	0.665706	6.67353
118	24    	4.34574	1.70198	0.665706	6.67353
119	24    	4.33979	1.70032	0.665706	6.67103
120	24    	4.33842	1.7003 	0.666852	6.67296
--- 5540.183015584946 seconds ---
ran GA
