preds
ARNT
['EP300', 'TF', 'TFRC']
preds
EP300
['ARNT', 'TF', 'TFRC']
preds
HIF1A
['NOS3', 'BCL2', 'TLR4']
gen	nevals	avg    	std    	min     	max    
0  	24    	8.72867	4.99793	0.223372	20.7127
1  	24    	7.39438	4.17644	0.223372	20.7127
2  	24    	6.84984	3.86875	0.144005	20.7127
3  	24    	6.47546	3.74608	0.144005	24.6173
4  	24    	6.14167	3.26506	0.144005	19.9039
5  	24    	5.97294	3.14088	0.144005	19.9039
6  	24    	5.78699	2.9584 	0.140964	20.7127
7  	24    	5.67476	2.86144	0.140964	18.2072
8  	24    	5.46501	2.58082	0.140964	18.2072
9  	24    	5.32259	2.30382	0.266812	14.5864
10 	24    	5.21415	2.26654	0.396331	14.4331
11 	24    	5.13776	2.0096 	0.396331	13.7102
12 	24    	5.04865	1.85879	0.478488	10.299 
13 	24    	4.99214	1.89288	0.467266	10.299 
14 	24    	4.91982	2.24378	0.445688	10.3393
15 	24    	4.82705	2.41218	0.467266	10.299 
16 	24    	4.80457	2.43463	0.522984	10.288 
17 	24    	4.76448	2.30575	0.520213	10.2786
18 	24    	4.71317	2.21355	0.51725 	10.2599
19 	24    	4.65919	2.22681	0.51725 	9.32034
20 	24    	4.62187	2.23478	0.51725 	9.32108
21 	24    	4.58462	2.22309	0.51725 	9.32301
22 	24    	4.54946	2.25122	0.524183	9.43652
23 	24    	4.53797	2.30913	1.29088 	9.25511
24 	24    	4.53688	2.32275	1.29088 	9.25511
25 	24    	4.53598	2.32111	1.29844 	9.25511
26 	24    	4.53526	2.32   	1.29844 	9.25617
27 	24    	4.5349 	2.31881	1.29844 	9.25617
28 	24    	4.53462	2.318  	1.29844 	9.25125
29 	24    	4.53409	2.31723	1.31456 	9.25235
30 	24    	4.53399	2.31789	1.31456 	9.26617
31 	24    	4.53378	2.31717	1.31456 	9.25235
32 	24    	4.53356	2.31727	1.31111 	9.25235
33 	24    	4.53354	2.31676	1.31111 	9.25235
34 	24    	4.53354	2.31676	1.31111 	9.25235
35 	24    	4.53354	2.31676	1.31111 	9.25235
36 	24    	4.53346	2.31688	1.31111 	9.25235
37 	24    	4.52387	2.32713	0.201452	9.25235
38 	24    	4.50455	2.3451 	0.199123	9.25235
39 	24    	4.48525	2.36312	0.196907	9.2496 
40 	24    	4.43707	2.4073 	0.196907	9.2496 
41 	24    	4.31233	2.5184 	0.191003	9.2514 
42 	24    	4.30156	2.52653	0.191003	9.26058
43 	24    	4.30062	2.52635	0.186652	9.26058
44 	24    	4.29953	2.52474	0.185753	9.26058
45 	24    	4.29913	2.52416	0.185753	9.26058
46 	24    	4.29912	2.52435	0.185753	9.26058
47 	24    	4.29903	2.52269	0.185753	9.26058
48 	24    	4.29866	2.52132	0.185753	9.26058
49 	24    	4.29858	2.52135	0.185753	9.26058
50 	24    	4.29829	2.52093	0.185753	9.25879
51 	24    	4.29826	2.52123	0.185753	9.25879
52 	24    	4.29811	2.52147	0.185753	9.25879
53 	24    	4.29804	2.52108	0.185753	9.25879
54 	24    	4.29788	2.52108	0.185753	9.25879
55 	24    	4.29788	2.52079	0.185753	9.25879
56 	24    	4.29479	2.51149	0.184384	9.26039
57 	24    	4.2868 	2.48234	0.184384	9.25879
58 	24    	4.27641	2.4431 	0.184384	9.25879
