slurmstepd: error: task/cgroup: unable to add task[pid=11515] to memory cg '(null)'
preds
ITGB1
['F11R', 'ICAM3', 'PTPRC']
preds
ITGAL
['JAM3', 'ICAM1', 'ICAM3']
preds
CD226
['JAM3', 'ITGA4', 'ICAM2']
preds
ITGA4
['CD28', 'ICAM2', 'LRRC4']
preds
ICAM1
['F11R', 'ITGAL', 'ICAM2']
preds
JAM3
['ICOSLG', 'MADCAM1', 'ITGAL']
preds
F11R
['ICAM1', 'ITGB1', 'ITGAL']
gen	nevals	avg    	std   	min       	max    
0  	24    	4.99438	6.6442	0.00011521	23.1651
1  	24    	3.82969	5.39137	2.40684e-05	23.1651
2  	24    	3.3728 	4.66425	0.000121798	23.0471
3  	24    	3.13949	4.36444	0.000121798	19.691 
4  	24    	2.87517	4.00563	0.000121798	22.9285
5  	24    	2.71001	3.83375	0.000115526	18.3255
6  	24    	2.51429	3.54561	5.67121e-05	18.0372
7  	24    	2.36534	3.23889	6.9334e-05 	16.441 
8  	24    	2.22485	3.13547	6.9334e-05 	16.441 
9  	24    	2.13457	3.17518	6.9334e-05 	16.441 
10 	24    	2.0432 	3.05782	6.9334e-05 	16.441 
11 	24    	1.9617 	2.88181	0.000129027	12.7027
12 	24    	1.90618	2.79074	0.000129027	12.6883
13 	24    	1.87557	2.80935	7.40974e-05	11.5459
14 	24    	1.86264	2.79808	5.89363e-05	11.5507
15 	24    	1.861  	2.79778	5.89363e-05	11.5507
16 	24    	1.85928	2.79733	5.89363e-05	11.5507
17 	24    	1.85241	2.78487	5.89363e-05	11.5507
18 	24    	1.84552	2.77249	5.89363e-05	11.5507
19 	24    	1.8422 	2.76558	5.89363e-05	11.5507
20 	24    	1.83515	2.75397	7.04231e-05	11.5507
21 	24    	1.81283	2.70903	0.000190672	11.5608
22 	24    	1.77323	2.63238	0.000190672	11.5608
23 	24    	1.74745	2.57545	0.000157153	11.5608
24 	24    	1.73033	2.52629	0.000163651	11.4984
25 	24    	1.72752	2.52307	0.000161984	11.4984
26 	24    	1.72035	2.51496	0.000152941	11.4984
27 	24    	1.71171	2.50484	2.24017e-05	11.4501
28 	24    	1.70729	2.50062	9.62113e-05	11.394 
29 	24    	1.7061 	2.50099	9.62113e-05	11.4194
30 	24    	1.70572	2.5    	9.62113e-05	11.4194
31 	24    	1.705  	2.49976	8.838e-05  	11.4194
32 	24    	1.70483	2.49921	8.838e-05  	11.4194
33 	24    	1.70467	2.49793	8.838e-05  	11.407 
34 	24    	1.70465	2.49728	4.51212e-05	11.407 
35 	24    	1.70428	2.49434	4.51212e-05	11.4036
36 	24    	1.70419	2.49439	4.51212e-05	11.4036
37 	24    	1.70396	2.49356	4.51212e-05	11.3822
38 	24    	1.70357	2.49312	7.57732e-05	11.3822
39 	24    	1.7035 	2.49325	7.57732e-05	11.3822
40 	24    	1.70341	2.49254	7.57732e-05	11.3822
41 	24    	1.7032 	2.49395	7.57732e-05	11.3822
42 	24    	1.7032 	2.49373	7.57732e-05	11.3822
43 	24    	1.7032 	2.49373	7.57732e-05	11.3822
44 	24    	1.7032 	2.49373	7.57732e-05	11.3822
45 	24    	1.70184	2.49278	7.57732e-05	11.3822
46 	24    	1.70165	2.49009	7.57732e-05	11.3822
47 	24    	1.7015 	2.48884	7.57732e-05	11.355 
48 	24    	1.70145	2.48849	7.57732e-05	11.3392
49 	24    	1.70144	2.48843	7.57732e-05	11.3392
50 	24    	1.70002	2.48731	7.57732e-05	11.3392
51 	24    	1.69686	2.48682	7.57732e-05	11.3851
52 	24    	1.68843	2.48498	7.57732e-05	11.3851
53 	24    	1.67856	2.48015	0.000149023	11.3851
54 	24    	1.66695	2.47169	0.000176408	11.4287
55 	24    	1.66473	2.46373	9.10134e-05	11.3851
56 	24    	1.66242	2.45611	0.000118764	11.3851
57 	24    	1.65763	2.43146	8.17918e-05	10.8874
58 	24    	1.64946	2.39765	8.17918e-05	10.8874
59 	24    	1.64152	2.37499	8.17918e-05	10.8874
60 	24    	1.63265	2.3667 	0.000123241	10.8874
61 	24    	1.62901	2.36179	0.000123241	10.8837
62 	24    	1.61181	2.34379	0.0001046  	10.8683
63 	24    	1.57595	2.30299	7.38209e-05	9.96617
64 	24    	1.56264	2.26533	0.0001046  	9.74218
65 	24    	1.55758	2.26231	0.000144918	9.73691
66 	24    	1.55195	2.26531	0.000137055	9.66346
67 	24    	1.5425 	2.24662	0.000122804	9.59124
68 	24    	1.53686	2.22061	0.000137055	9.39894
69 	24    	1.53274	2.2149 	5.78177e-05	9.39894
70 	24    	1.52965	2.21879	0.000103058	9.38967
71 	24    	1.52764	2.2135 	9.5106e-05 	9.38967
72 	24    	1.5267 	2.211  	9.5106e-05 	9.38967
73 	24    	1.52557	2.2078 	9.5106e-05 	9.38967
74 	24    	1.5245 	2.20052	9.5106e-05 	9.33594
75 	24    	1.52358	2.19324	9.5106e-05 	9.35475
76 	24    	1.52299	2.18616	4.20119e-05	9.35475
77 	24    	1.52155	2.17455	9.5106e-05 	9.35475
78 	24    	1.52057	2.17045	9.5106e-05 	9.35475
79 	24    	1.51946	2.16558	9.5106e-05 	9.35132
80 	24    	1.51583	2.1614 	9.5106e-05 	9.35132
81 	24    	1.51464	2.15365	9.5106e-05 	9.16754
82 	24    	1.50815	2.15774	9.5106e-05 	9.16754
83 	24    	1.50083	2.16479	9.5106e-05 	9.16754
84 	24    	1.48593	2.172  	0.000130636	9.16754
85 	24    	1.47076	2.17398	0.000130636	9.16754
86 	24    	1.45068	2.1737 	0.000137659	9.06891
87 	24    	1.44949	2.17623	0.000137659	9.06891
88 	24    	1.44908	2.17563	0.000137659	9.06991
89 	24    	1.44894	2.17529	0.000164615	9.06991
90 	24    	1.4484 	2.17441	0.00014101 	9.0698 
91 	24    	1.44824	2.17445	9.3523e-05 	9.0691 
92 	24    	1.44817	2.17458	9.3523e-05 	9.0691 
93 	24    	1.44779	2.17431	0.000165362	9.06964
94 	24    	1.4474 	2.17368	0.000187725	9.06964
95 	24    	1.4473 	2.1736 	0.000187725	9.07441
96 	24    	1.44715	2.17364	0.000159916	9.07441
97 	24    	1.44706	2.17415	0.000159916	9.07453
98 	24    	1.44671	2.17356	0.000159916	9.07453
99 	24    	1.44633	2.17351	0.000159916	9.07453
100	24    	1.44605	2.17392	0.000159916	9.07453
101	24    	1.44603	2.17417	0.000159916	9.07453
102	24    	1.44525	2.17278	0.000145765	9.07432
103	24    	1.44474	2.17187	0.000145765	9.07432
104	24    	1.44364	2.17003	0.000112372	9.06952
105	24    	1.43984	2.16849	0.000112372	9.08684
106	24    	1.43431	2.16911	0.000112372	9.08684
107	24    	1.42261	2.1718 	6.15127e-05	9.08743
108	24    	1.41383	2.17411	6.15127e-05	9.08774
109	24    	1.39516	2.17673	6.15127e-05	9.1457 
110	24    	1.37442	2.17845	6.15127e-05	9.1457 
111	24    	1.36988	2.17332	6.15127e-05	9.08763
112	24    	1.36763	2.18206	6.15127e-05	9.38996
113	24    	1.36733	2.18114	6.15127e-05	9.38996
114	24    	1.36666	2.18149	6.15127e-05	9.38996
115	24    	1.36554	2.17954	8.06659e-05	9.38996
116	24    	1.36483	2.17781	7.35581e-05	9.38996
117	24    	1.36396	2.17643	7.35581e-05	9.38996
118	24    	1.36309	2.17233	7.34128e-05	9.38996
119	24    	1.36202	2.16795	7.34128e-05	9.38996
120	24    	1.36117	2.1631 	7.34128e-05	9.38996
--- 7831.183687448502 seconds ---
ran GA
